"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"BM","Normal",39166,10000,10,10,0,1,1,0.0156,0.0124077715753311,0.0187922284246689,0.0559,0.0513973211317706,0.0604026788682294,0.103,0.0979998764437766,0.108000123556223,1030,559,156
"BM","Normal",326543655,10000,10,10,0,3,1,0.0179,0.0144845319294152,0.0213154680705848,0.0602,0.0555380024888895,0.0648619975111104,0.1051,0.100055077321804,0.110144922678196,1051,602,179
"BM","Normal",343518913,10000,10,10,0,5,1,0.0171,0.013760368248746,0.020439631751254,0.0569,0.0523596317613656,0.0614403682386344,0.1037,0.0986848724989513,0.108715127501049,1037,569,171
"BM","Normal",4003137,10000,10,10,0.5,1,0,0.0814325730292117,0.074387257340363,0.0884778887180603,0.189175670268107,0.181499367462739,0.196851973073476,0.282112845138055,0.274709884776343,0.289515805499767,2820,1891,814
"BM","Normal",16723617,10000,10,10,1.5,1,0,0.72493363283643,0.71343056372551,0.736436701947351,0.878803348989177,0.87240677787359,0.885199920104764,0.930773943230549,0.926598305551643,0.934949580909455,9116,8607,7100
"BM","Normal",1663312,10000,10,10,2,1,0,0.937699504678041,0.931473299163669,0.943925710192413,0.985140341221794,0.982768915415562,0.987511767028026,0.993395707209686,0.992063290099222,0.994728124320151,9025,8950,8519
"BM","Normal",181951,10000,10,10,2.5,1,0,0.993424584004294,0.991342611799644,0.995506556208944,0.998926462694579,0.998284615864227,0.99956830952493,0.999865807836822,0.999675261616834,1.00005635405681,7451,7444,7403
"BM","Normal",2519182,10000,10,10,0.5,3,0,0.0209,0.0172150421293393,0.0245849578706607,0.0701,0.0650958167581113,0.0751041832418887,0.1247,0.119265274752044,0.130134725247956,1247,701,209
"BM","Normal",38869,10000,10,10,1.5,3,0,0.0833083308330833,0.0761896140087665,0.0904270476574002,0.197119711971197,0.189322371519707,0.204917052422687,0.287328732873287,0.279884841003837,0.294772624742738,2873,1971,833
"BM","Normal",114124416,10000,10,10,2,3,0,0.146317053642914,0.137212856881093,0.155421250404735,0.297638110488391,0.288676608406426,0.306599612570355,0.406625300240192,0.398544997858953,0.414705602621432,4063,2974,1462
"BM","Normal",2142303,10000,10,10,2.5,3,0,0.242214879343146,0.231178685887998,0.253251072798294,0.42945829578452,0.419756318196525,0.439160273372515,0.552518273755883,0.544338771475671,0.560697776036094,5518,4289,2419
