"method","distribution","seed","N","n1","n2","delta","sd1","sd2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"BM","Normal2Var",8136253,10000,10,10,0.5,1,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1314,743,296
"BM","Normal2Var",14929580,10000,10,10,1.5,1,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3537,2467,1259
"BM","Normal2Var",1660746,10000,10,10,2,1,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5265,3928,2301
"BM","Normal2Var",70371782,10000,10,10,2.5,1,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6822,5483,3625
"BM","Normal2Var",22634,10000,10,10,0.5,3,5,0,0.0198,0.0162113111701213,0.0233886888298787,0.0603,0.0556343802484986,0.0649656197515014,0.109,0.103873534921849,0.114126465078151,1090,603,198
"BM","Normal2Var",132032169,10000,10,10,1.5,3,5,0,0.0556,0.049697156845175,0.061502843154825,0.1278,0.121256207201813,0.134343792798187,0.1953,0.188778702326931,0.201821297673069,1953,1278,556
"BM","Normal2Var",118191,10000,10,10,2,3,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2556,1709,753
"BM","Normal2Var",91066685,10000,10,10,2.5,3,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3560,2498,1234
"BM","Normal2Var",108325,10000,10,10,0.5,1,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1176,536,224
"BM","Normal2Var",6540675,10000,10,10,1.5,1,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2065,1127,566
"BM","Normal2Var",32604776,10000,10,10,2,1,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2786,1666,916
"BM","Normal2Var",32089,10000,10,10,2.5,1,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3615,2270,1355
"BM","Normal2Var",176484922,10000,10,10,1,1,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2309,1502,712
"BM","Normal2Var",1535791,10000,10,10,1,3,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1414,854,309
"BM","Normal2Var",239714,10000,10,10,1,1,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1531,755,317
"BM","Normal2Var",27845,10000,10,10,5,1,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7214,7066,6592
"BM","Normal2Var",1300456,10000,10,10,5,3,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7829,6843,4855
"BM","Normal2Var",132524166,10000,10,10,5,1,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7490,6115,4747
"BM","Normal2Var",1300198,10000,20,20,0.5,1,3,0,0.0298,0.0254198939478483,0.0341801060521517,0.0959,0.0901287005388388,0.101671299461161,0.1615,0.155446539692509,0.167553460307491,1615,959,298
"BM","Normal2Var",24352,10000,20,20,1.5,1,3,0,0.2578,0.246531975302706,0.269068024697293,0.4705,0.460717071769659,0.480282928230341,0.5919,0.583815123883449,0.599984876116551,5919,4705,2578
"BM","Normal2Var",3169446,10000,20,20,2,1,3,0,0.4784,0.46553202419823,0.49126797580177,0.7007,0.691724152019915,0.709675847980085,0.8015,0.794938578744329,0.808061421255671,8015,7007,4784
"BM","Normal2Var",180303053,10000,20,20,2.5,1,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9248,8607,6944
"BM","Normal2Var",440414,10000,20,20,0.5,3,5,0,0.0211,0.0173978309092231,0.0248021690907769,0.0715,0.0664498992049663,0.0765501007950337,0.1224,0.117008558236464,0.127791441763536,1224,715,211
"BM","Normal2Var",989208,10000,20,20,1.5,3,5,0,0.0771,0.0702285186721651,0.0839714813278349,0.1926,0.18487090606873,0.20032909393127,0.2851,0.277673449142504,0.292526550857496,2851,1926,771
"BM","Normal2Var",27627274,10000,20,20,2,3,5,0,0.1389,0.129991106317174,0.147808893682826,0.2997,0.290720720172219,0.308679279827781,0.413,0.404900467008679,0.421099532991321,4130,2997,1389
"BM","Normal2Var",21630,10000,20,20,2.5,3,5,0,0.2312,0.220339584,0.242060416,0.4259,0.416208217376024,0.435591782623976,0.5523,0.544120119274233,0.560479880725767,5523,4259,2312
"BM","Normal2Var",68862,10000,20,20,0.5,1,5,0,0.0201,0.016484779706045,0.023715220293955,0.0669,0.0620029648089482,0.0717970351910518,0.1219,0.116518048947178,0.127281951052822,1219,669,201
