"method","distribution","seed","N","n1","n2","delta","sd","g1","g2","h","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"BM","ghEqual",73817,10000,10,10,0,3,1,1,0,1,0.0153,0.0121381333994591,0.0184618666005409,0.0539,0.0494739228964692,0.0583260771035308,0.1004,0.0954562388302427,0.105343761169757,1004,539,153
"BM","ghEqual",33026,10000,10,10,0,3,3,3,0,1,0.0199,0.0163024437635217,0.0234975562364783,0.0595,0.0548634606051496,0.0641365393948504,0.104,0.0989784640437412,0.109021535956259,1040,595,199
"BM","ghEqual",235097569,10000,10,10,0,3,-3,-3,0,1,0.0173,0.0139412367841576,0.0206587632158424,0.0553,0.0508201281105817,0.0597798718894183,0.102,0.0970214352881578,0.106978564711842,1020,553,173
"BM","ghEqual",913486,10000,10,10,0,3,-1,-1,0,1,0.0172,0.0138507878653606,0.0205492121346394,0.057,0.0524558846669566,0.0615441153330434,0.1026,0.0976084823022351,0.107591517697765,1026,570,172
"BM","ghEqual",15711550,10000,10,10,0.5,3,1,1,0,0,0.0295,0.0251413235043651,0.0338586764956349,0.0817,0.0763314204618354,0.0870685795381646,0.142,0.136258125202514,0.147741874797486,1420,817,295
"BM","ghEqual",2089090,10000,10,10,0.5,3,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2197,1440,577
"BM","ghEqual",1980377,10000,10,10,0.5,3,1,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2694,1819,773
"BM","ghEqual",257638675,10000,10,10,0.5,3,-1,1,0,0,0.0986,0.0909203205486229,0.106279679451377,0.2156,0.207539736454532,0.223660263545468,0.3095,0.301895370316421,0.317104629683579,3095,2156,986
"BM","ghEqual",17451,10000,10,10,0.5,3,-3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5386,4487,2455
"BM","ghEqual",9125162,10000,10,10,0.5,3,-1,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4377,3383,1754
"BM","ghEqual",159698810,10000,10,10,0.5,3,1,-3,0,0,0.0458,0.0404148438125588,0.0511851561874412,0.1242,0.117735732204062,0.130664267795938,0.1958,0.189272388777516,0.202327611222484,1958,1242,458
"BM","ghEqual",2867173,10000,10,10,1,3,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2474,1624,714
"BM","ghEqual",126335625,10000,10,10,1,3,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3351,2335,1087
"BM","ghEqual",80286,10000,10,10,1,3,1,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3916,2806,1417
"BM","ghEqual",58854927,10000,10,10,1,3,-1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4626,3536,1875
"BM","ghEqual",232787,10000,10,10,1,3,-3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7348,6564,4339
"BM","ghEqual",676749,10000,10,10,1,3,-1,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6020,5009,2969
"BM","ghEqual",6592225,10000,10,10,1,3,1,-3,0,0,0.0254,0.0213470063760741,0.0294529936239259,0.0766,0.0713872680722677,0.0818127319277323,0.1353,0.129673380719226,0.140926619280774,1353,766,254
"BM","ghEqual",8764161,10000,10,10,1.5,3,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3668,2579,1216
"BM","ghEqual",200076,10000,10,10,1.5,3,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4339,3197,1608
"BM","ghEqual",8367491,10000,10,10,1.5,3,1,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5194,4036,2193
"BM","ghEqual",392786,10000,10,10,1.5,3,-1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6408,5277,3275
"BM","ghEqual",53470,10000,10,10,1.5,3,-3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9411,9104,7915
"BM","ghEqual",52790,10000,10,10,1.5,3,-1,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7817,6984,4938
"BM","ghEqual",4409388,10000,10,10,1.5,3,1,-3,0,0,0.016,0.0127677614979089,0.0192322385020911,0.055,0.0505315868588502,0.0594684131411498,0.0981,0.0932069506108179,0.102993049389182,981,550,160
"BM","ghEqual",73166384,10000,10,10,2,3,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4920,3777,2118
"BM","ghEqual",352681,10000,10,10,2,3,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5216,4034,2193
"BM","ghEqual",189311,10000,10,10,2,3,1,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6278,5080,3071
"BM","ghEqual",986857,10000,10,10,2,3,-1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8011,7123,5157
"BM","ghEqual",9917137,10000,10,10,2,3,-3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5328,5328,5322
"BM","ghEqual",493919,10000,10,10,2,3,-1,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9005,8519,7042
"BM","ghEqual",149817,10000,10,10,2,3,1,-3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1108,639,205
"BM","ghEqual",19012819,10000,10,10,2.5,3,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6126,4956,3022
"BM","ghEqual",15154243,10000,10,10,2.5,3,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6167,4935,2870
"BM","ghEqual",294596843,10000,10,10,2.5,3,1,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7212,6070,3940
