"method","distribution","seed","N","n1","n2","delta","sd","g1","g2","h","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"BM","ghEqualK",86739,10000,10,10,0,3,1,1,0.2,1,0.0174,0.01403171475587,0.02076828524413,0.0584,0.0538038338508709,0.0629961661491291,0.1045,0.099467812175666,0.109532187824334,1045,584,174
"BM","ghEqualK",485659,10000,10,10,0,3,3,3,0.2,1,0.0142,0.0111522142245991,0.0172477857754009,0.0565,0.0519746596547884,0.0610253403452116,0.1033,0.0982934374328513,0.108306562567149,1033,565,142
"BM","ghEqualK",19864238,10000,10,10,0,3,-3,-3,0.2,1,0.0156,0.0124077715753311,0.0187922284246689,0.0543,0.0498584691736294,0.0587415308263706,0.0993,0.0943803907670654,0.104219609232935,993,543,156
"BM","ghEqualK",67042703,10000,10,10,0,3,-1,-1,0.2,1,0.0152015201520152,0.0120496882048886,0.0183533520991418,0.0564056405640564,0.0518838545397841,0.0609274265883287,0.1002100210021,0.0952704178975361,0.105149624106664,1002,564,152
"BM","ghEqualK",25391660,10000,10,10,0.5,3,1,1,0.2,0,0.0217,0.0179467131918895,0.0254532868081105,0.0723,0.0672239136853674,0.0773760863146326,0.1233,0.117891548446295,0.128708451553705,1233,723,217
"BM","ghEqualK",143429095,10000,10,10,0.5,3,3,3,0.2,0,0.0426042604260426,0.037401688185798,0.0478068326662872,0.114611461146115,0.108367832796352,0.120855089495878,0.181618161816182,0.175276201333291,0.187960122299072,1816,1146,426
"BM","ghEqualK",12404203,10000,10,10,0.5,3,1,3,0.2,0,0.0676270508203281,0.0611585905447732,0.0740955110958831,0.159263705482193,0.152091637830382,0.166435773134004,0.238195278111244,0.231187920102023,0.245202636120466,2381,1592,676
"BM","ghEqualK",37029,10000,10,10,0.5,3,-1,1,0.2,0,0.0808080808080808,0.0737874464721443,0.0878287151440173,0.185618561856186,0.177998110304705,0.193239013407666,0.268926892689269,0.261632931913703,0.276220853464835,2689,1856,808
"BM","ghEqualK",21985079,10000,10,10,0.5,3,-3,3,0.2,0,0.215121512151215,0.204536557720284,0.225706466582147,0.404340434043404,0.394721460766753,0.413959407320056,0.503950395039504,0.495725651755975,0.512175138323033,5039,4043,2151
"BM","ghEqualK",1962161,10000,10,10,0.5,3,-1,3,0.2,0,0.149014901490149,0.139841684086305,0.158188118893993,0.301730173017302,0.292733600596425,0.310726745438179,0.404240424042404,0.396167678034212,0.412313170050596,4042,3017,1490
"BM","ghEqualK",324812772,10000,10,10,0.5,3,1,-3,0.2,0,0.0411041104110411,0.0359899515553756,0.0462182692667066,0.112311231123112,0.106122551111522,0.118499911134703,0.178317831783178,0.172021099617451,0.184614563948906,1783,1123,411
"BM","ghEqualK",80930462,10000,10,10,1,3,1,1,0.2,0,0.0497049704970497,0.0441064277609387,0.0553035132331607,0.126712671267127,0.120192715131469,0.133232627402785,0.199219921992199,0.192649565784425,0.205790278199974,1992,1267,497
"BM","ghEqualK",271051080,10000,10,10,1,3,3,3,0.2,0,0.0942565539323594,0.0867298603206032,0.101783247544116,0.202921753051831,0.195039128301441,0.210804377802222,0.296477886732039,0.288965102225781,0.303990671238298,2963,2028,942
"BM","ghEqualK",78470580,10000,10,10,1,3,1,3,0.2,0,0.117393915132106,0.109102052271298,0.125685777992913,0.248999199359488,0.24052350579273,0.257474892926245,0.349779823859087,0.341934813880279,0.357624833837896,3495,2488,1173
"BM","ghEqualK",17869,10000,10,10,1,3,-1,1,0.2,0,0.1444,0.135345492282047,0.153454507717953,0.2905,0.281601734912917,0.299398265087083,0.3965,0.388453145746978,0.404546854253022,3965,2905,1444
"BM","ghEqualK",235786,10000,10,10,1,3,-3,3,0.2,0,0.39585211902615,0.383254630426337,0.408449607625962,0.601342550846609,0.59174595995677,0.610939141736447,0.688708546237852,0.681091839452161,0.696325253023543,6874,6002,3951
"BM","ghEqualK",1425953,10000,10,10,1,3,-1,3,0.2,0,0.262062062062062,0.250733941698342,0.273390182425782,0.443743743743744,0.434005970725641,0.453481516761846,0.562262262262262,0.554101281301409,0.570423243223115,5617,4433,2618
"BM","ghEqualK",177441358,10000,10,10,1,3,1,-3,0.2,0,0.0248,0.0207939298916649,0.0288060701083351,0.0713,0.0662564241207651,0.0763435758792349,0.1203,0.114948617280013,0.125651382719987,1203,713,248
"BM","ghEqualK",5624425,10000,10,10,1.5,3,1,1,0.2,0,0.0904723779023219,0.0830829331280255,0.0978618226766182,0.208466773418735,0.200505013662544,0.216428533174926,0.302942353883106,0.2953830770923,0.310501630673913,3027,2083,904
"BM","ghEqualK",7194288,10000,10,10,1.5,3,3,3,0.2,0,0.147880973850316,0.138736638578932,0.1570253091217,0.290952810339645,0.282050455116351,0.29985516556294,0.398457068430017,0.390403469758279,0.406510667101755,3977,2904,1476
"BM","ghEqualK",91291,10000,10,10,1.5,3,1,3,0.2,0,0.18937343358396,0.179280537500221,0.199466329667698,0.365714285714286,0.35627433995173,0.375154231476842,0.482205513784461,0.473985724224355,0.490425303344568,4810,3648,1889
"BM","ghEqualK",111508,10000,10,10,1.5,3,-1,1,0.2,0,0.25755151030206,0.246287032248267,0.268815988355854,0.447189437887578,0.437444254725297,0.456934621049858,0.559811962392479,0.551646023839832,0.567977900945125,5597,4471,2575
