"method","distribution","seed","N","n1","n2","delta","scale1","scale2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"BWS","Cauchy",17100,10000,10,10,0,1,1,1,0.0124,0.00954932805320851,0.0152506719467915,0.0586,0.0539964594140597,0.0632035405859403,0.1068,0.101719272695726,0.111880727304274,1068,586,124
"BWS","Cauchy",7780977,10000,10,10,0,0.5,0.5,1,0.0144,0.011331137346041,0.017468862653959,0.0528,0.0484167738610015,0.0571832261389985,0.101,0.0960431424876743,0.105956857512326,1010,528,144
"BWS","Cauchy",3799024,10000,10,10,0,2,2,1,0.0145,0.011420656237183,0.017579343762817,0.056,0.0514935341741005,0.0605064658258995,0.1042,0.099174198972114,0.109225801027886,1042,560,145
"BWS","Cauchy",744828,10000,10,10,0.5,1,1,0,0.0348,0.030078889806063,0.039521110193937,0.1044,0.0984067366266449,0.110393263373355,0.1711,0.164904990497507,0.177295009502493,1711,1044,348
"BWS","Cauchy",75243956,10000,10,10,0.5,0.5,0.5,0,0.0975,0.0898586204491597,0.10514137955084,0.24,0.231629170650407,0.248370829349593,0.3414,0.33359974996945,0.34920025003055,3414,2400,975
"BWS","Cauchy",360499280,10000,10,10,0.5,2,2,0,0.0165,0.0132184803218021,0.0197815196781979,0.0637,0.0589133320765276,0.0684866679234725,0.1174,0.112104805557196,0.122695194442804,1174,637,165
"BWS","Cauchy",7655926,10000,10,10,0.5,0.5,2,0,0.0529,0.0471340401624375,0.0586659598375625,0.1985,0.190682136376221,0.206317863623779,0.3225,0.314810724677554,0.330189275322446,3225,1985,529
"BWS","Cauchy",1153811,10000,10,10,0.5,1,2,0,0.0265,0.0223625117486088,0.0306374882513912,0.0994,0.0935357127541022,0.105264287245898,0.1719,0.165693521819101,0.178106478180899,1719,994,265
"BWS","Cauchy",34517,10000,10,10,1,1,1,0,0.0948,0.0872539044502673,0.102346095549733,0.2343,0.225998213902924,0.242601786097076,0.3388,0.33101418597882,0.34658581402118,3388,2343,948
"BWS","Cauchy",17387,10000,10,10,1,0.5,0.5,0,0.329,0.316896664616793,0.341103335383207,0.5651,0.555383420042093,0.574816579957907,0.6821,0.674439886740199,0.689760113259801,6821,5651,3290
"BWS","Cauchy",724195,10000,10,10,1,2,2,0,0.0321,0.0275593960792441,0.0366406039207559,0.0968,0.0910045693342427,0.102595430665757,0.1594,0.153378499127036,0.165421500872963,1594,968,321
"BWS","Cauchy",582784,10000,10,10,1,0.5,2,0,0.1047,0.0968131516214133,0.112586848378587,0.2959,0.286953653266813,0.304846346733187,0.4363,0.42814202206783,0.44445797793217,4363,2959,1047
"BWS","Cauchy",2546451,10000,10,10,1,1,2,0,0.0573,0.0513129908316676,0.0632870091683324,0.1622,0.15497477003649,0.16942522996351,0.2521,0.244957107867399,0.259242892132601,2521,1622,573
"BWS","Cauchy",61649,10000,10,10,1.5,1,1,0,0.2,0.189696,0.210304,0.4056,0.39597624751241,0.41522375248759,0.526,0.517786127727436,0.534213872272564,5260,4056,2000
"BWS","Cauchy",24596,10000,10,10,1.5,0.5,0.5,0,0.5689,0.556142874235099,0.581657125764901,0.7842,0.776137026907052,0.792262973092948,0.8621,0.856428122298306,0.867771877701694,8621,7842,5689
"BWS","Cauchy",1477603,10000,10,10,1.5,2,2,0,0.0572,0.0512179001190873,0.0631820998809127,0.1587,0.15153823643719,0.16586176356281,0.2422,0.235152578092387,0.249247421907613,2422,1587,572
"BWS","Cauchy",126575489,10000,10,10,1.5,0.5,2,0,0.1925,0.182343770849375,0.202656229150625,0.4253,0.415609986964632,0.434990013035368,0.5688,0.560653237188772,0.576946762811227,5688,4253,1925
"BWS","Cauchy",179979,10000,10,10,1.5,1,2,0,0.1138,0.105619443234971,0.121980556765029,0.2665,0.257834278308185,0.275165721691815,0.3775,0.369525672678252,0.385474327321748,3775,2665,1138
"BWS","Cauchy",9923426,10000,10,10,2,1,1,0,0.3385,0.326310381337285,0.350689618662715,0.5692,0.559494311149764,0.578905688850236,0.6839,0.676251532034062,0.691548467965938,6839,5692,3385
"BWS","Cauchy",8181081,10000,10,10,2,0.5,0.5,0,0.7245,0.712991310975372,0.736008689024628,0.8931,0.887043873074117,0.899156126925883,0.9407,0.936814751325234,0.944585248674766,9407,8931,7245
"BWS","Cauchy",58364,10000,10,10,2,2,2,0,0.0931,0.08561485185728,0.10058514814272,0.225,0.21681538638664,0.23318461361336,0.3263,0.318587277377166,0.334012722622834,3263,2250,931
"BWS","Cauchy",34031841,10000,10,10,2,0.5,2,0,0.3057,0.293832283568783,0.317567716431217,0.5669,0.557188118119417,0.576611881880583,0.6961,0.688533987243206,0.703666012756794,6961,5669,3057
"BWS","Cauchy",1043942,10000,10,10,2,1,2,0,0.1826,0.172647926793787,0.192552073206213,0.3841,0.374566918037151,0.393633081962849,0.5009,0.492675013324511,0.509124986675489,5009,3841,1826
"BWS","Cauchy",82272580,10000,10,10,2.5,1,1,0,0.4574,0.444566833363716,0.470233166636284,0.6905,0.681439164632331,0.699560835367669,0.7898,0.783097438264671,0.796502561735329,7898,6905,4574
"BWS","Cauchy",2633923,10000,10,10,2.5,0.5,0.5,0,0.831,0.821346390593856,0.840653609406144,0.9481,0.943752227376874,0.952447772623126,0.9742,0.971592046654578,0.976807953345422,9742,9481,8310
"BWS","Cauchy",187750602,10000,10,10,2.5,2,2,0,0.14,0.131061614069643,0.148938385930357,0.3065,0.297463618797328,0.315536381202672,0.4159,0.407792182480348,0.424007817519652,4159,3065,1400
"BWS","Cauchy",123009,10000,10,10,2.5,0.5,2,0,0.4146,0.401909262338588,0.427290737661412,0.6832,0.674081517128294,0.692318482871706,0.7929,0.78623400228188,0.79956599771812,7929,6832,4146
"BWS","Cauchy",99389,10000,10,10,2.5,1,2,0,0.2697,0.258267611293819,0.281132388706181,0.4976,0.48780011289665,0.50739988710335,0.6194,0.611412959350103,0.627387040649896,6194,4976,2697
"BWS","Cauchy",2289565,10000,10,10,5,1,1,0,0.828,0.81827867974596,0.83772132025404,0.946,0.941570053110928,0.950429946889072,0.9726,0.969914604132144,0.975285395867856,9726,9460,8280
"BWS","Cauchy",3737315,10000,10,10,5,0.5,0.5,0,0.9726,0.968394784343102,0.976805215656898,0.9956,0.994302746492624,0.996897253507376,0.9983,0.997622325883057,0.998977674116943,9983,9956,9726
"BWS","Cauchy",254390266,10000,10,10,5,2,2,0,0.4525,0.439678252730614,0.465321747269386,0.6814,0.672267703114419,0.690532296885581,0.785,0.778241972407758,0.791758027592242,7850,6814,4525
"BWS","Cauchy",377661,10000,10,10,5,0.5,2,0,0.7904,0.779915083802701,0.800884916197299,0.934,0.929133670886592,0.938866329113408,0.9684,0.965522357533049,0.971277642466951,9684,9340,7904
"BWS","Cauchy",46354002,10000,10,10,5,1,2,0,0.6524,0.640132877031633,0.664667122968366,0.8475,0.840453704590354,0.854546295409646,0.9102,0.905497026991796,0.914902973008204,9102,8475,6524
"BWS","Cauchy",238140,10000,10,10,5,0.5,1,0,0.9231,0.916236693340025,0.929963306659976,0.9828,0.980251686419296,0.985348313580704,0.9923,0.990862086501984,0.993737913498015,9923,9828,9231
"BWS","Cauchy",27821,10000,10,10,0.5,0.5,1,0,0.0559,0.0499821934874699,0.0618178065125301,0.1619,0.154680162612468,0.169119837387532,0.2529,0.245749610737311,0.260050389262689,2529,1619,559
"BWS","Cauchy",15171457,10000,10,10,1,0.5,1,0,0.1832,0.173235248841533,0.193164751158467,0.3776,0.368098178749398,0.387101821250602,0.497,0.488775148051332,0.505224851948668,4970,3776,1832
"BWS","Cauchy",27545,10000,10,10,1.5,0.5,1,0,0.356,0.343665720333704,0.368334279666296,0.6036,0.594012673673729,0.613187326326271,0.71,0.702535614241614,0.717464385758386,7100,6036,3560
"BWS","Cauchy",40453,10000,10,10,2,0.5,1,0,0.5238,0.510934599768983,0.536665400231017,0.747,0.73847927335493,0.75552072664507,0.8381,0.832040493621179,0.844159506378821,8381,7470,5238
"BWS","Cauchy",37581,10000,10,10,2.5,0.5,1,0,0.6569,0.644670580331084,0.669129419668916,0.8526,0.845651717343228,0.859548282656772,0.9125,0.907851783314068,0.917148216685932,9125,8526,6569
"BWS","Cauchy",214264834,10000,20,20,0,1,1,1,0.0107,0.00804965901805522,0.0133503409819448,0.0505,0.0462081034541825,0.0547918965458175,0.0977,0.0928158537170991,0.102584146282901,977,505,107
"BWS","Cauchy",3126826,10000,20,20,0,0.5,0.5,1,0.0162,0.012947953288365,0.019452046711635,0.0599,0.0552488910915353,0.0645511089084647,0.1038,0.0987827348983834,0.108817265101617,1038,599,162
"BWS","Cauchy",350758,10000,20,20,0,2,2,1,0.0137,0.0107055941757577,0.0166944058242423,0.0541,0.0496661875693259,0.0585338124306741,0.1018,0.09682576479769,0.10677423520231,1018,541,137
"BWS","Cauchy",4268053,10000,20,20,0.5,1,1,0,0.0561,0.0501722444971554,0.0620277555028446,0.1528,0.145748025681726,0.159851974318274,0.2361,0.229113942580684,0.243086057419316,2361,1528,561
"BWS","Cauchy",626764,10000,20,20,0.5,0.5,0.5,0,0.1987,0.188421201236241,0.208978798763759,0.3966,0.3870118442696,0.4061881557304,0.5212,0.51298239661383,0.52941760338617,5212,3966,1987
"BWS","Cauchy",77336,10000,20,20,0.5,2,2,0,0.0198,0.0162113111701213,0.0233886888298787,0.0788,0.0735192434699562,0.0840807565300438,0.1423,0.136553068013907,0.148046931986093,1423,788,198
