"method","distribution","seed","N","n1","n2","delta","rate1","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"BWS","Exp",1211187,10000,10,10,0,1,1,0.0119,0.00910668580069051,0.0146933141993095,0.0551,0.0506277631549302,0.0595722368450698,0.1064,0.101327660705197,0.111472339294803,1064,551,119
"BWS","Exp",249690570,10000,10,10,0,0.5,1,0.0122,0.00937212450238417,0.0150278754976158,0.0535,0.0490894447016277,0.0579105552983723,0.0999,0.0949671940952461,0.104832805904754,999,535,122
"BWS","Exp",30585,10000,10,10,0,0.25,1,0.0125,0.00963800139762438,0.0153619986023756,0.0568,0.0522633827975462,0.0613366172024538,0.1058,0.100740284836881,0.110859715163119,1058,568,125
"BWS","Exp",72035683,10000,10,10,0,0.125,1,0.0127,0.00981548841415119,0.0155845115858488,0.055,0.0505315868588502,0.0594684131411498,0.1019,0.0969235993001995,0.106876400699801,1019,550,127
"BWS","Exp",18840229,10000,10,10,0.5,1,0,0.1626,0.153094551622768,0.172105448377232,0.3706,0.361133876893765,0.380066123106235,0.5021,0.49387507254482,0.51032492745518,5021,3706,1626
"BWS","Exp",265404087,10000,10,10,0.5,0.5,0,0.0466,0.0411702930477839,0.0520297069522161,0.1445,0.137608718322402,0.151391281677598,0.2307,0.223769930887807,0.237630069112193,2307,1445,466
"BWS","Exp",30978,10000,10,10,0.5,0.25,0,0.0228,0.0189549232646908,0.0266450767353092,0.0813,0.0759434125145201,0.0866565874854799,0.1405,0.134783542158874,0.146216457841126,1405,813,228
"BWS","Exp",40587163,10000,10,10,0.5,0.125,0,0.0123,0.00946070223032243,0.0151392977696776,0.0601,0.055441628370514,0.064758371629486,0.1089,0.103775599510579,0.114024400489421,1089,601,123
"BWS","Exp",255608674,10000,10,10,1,1,0,0.5743,0.561563001668565,0.587036998331435,0.8069,0.799163276679214,0.814636723320786,0.89,0.884852963498284,0.895147036501716,8900,8069,5743
"BWS","Exp",26994,10000,10,10,1,0.5,0,0.1666,0.15700135112276,0.17619864887724,0.3704,0.360934928041774,0.379865071958226,0.4988,0.490575023688034,0.507024976311966,4988,3704,1666
"BWS","Exp",8855589,10000,10,10,1,0.25,0,0.0455,0.0401316660616538,0.0508683339383462,0.1434,0.13653058613924,0.15026941386076,0.2259,0.21902104368476,0.23277895631524,2259,1434,455
"BWS","Exp",147189,10000,10,10,1,0.125,0,0.0191,0.0155740600663449,0.0226259399336551,0.081,0.0756524317451761,0.0863475682548239,0.1434,0.137634599081148,0.149165400918852,1434,810,191
"BWS","Exp",36682,10000,10,10,1.5,1,0,0.8478,0.838546630787199,0.857053369212801,0.9637,0.96003410253695,0.96736589746305,0.9853,0.983320257022799,0.987279742977201,9853,9637,8478
"BWS","Exp",261969257,10000,10,10,1.5,0.5,0,0.3498,0.337514884501931,0.362085115498069,0.617,0.607472081352152,0.626527918647848,0.7395,0.732279972441232,0.746720027558768,7395,6170,3498
"BWS","Exp",38334,10000,10,10,1.5,0.25,0,0.0888,0.0814724431404556,0.0961275568595444,0.2456,0.23716332940892,0.25403667059108,0.3584,0.350511724311511,0.366288275688489,3584,2456,888
"BWS","Exp",107951,10000,10,10,1.5,0.125,0,0.0303,0.025884439183839,0.034715560816161,0.1059,0.0998688920926251,0.111931107907375,0.1761,0.169834109058085,0.182365890941915,1761,1059,303
"BWS","Exp",74101,10000,10,10,2,1,0,0.9588,0.953680135357389,0.963919864642611,0.9934,0.991812951799598,0.994987048200402,0.9982,0.997502714012833,0.998897285987167,9982,9934,9588
"BWS","Exp",23490,10000,10,10,2,0.5,0,0.5723,0.559555366327458,0.585044633672542,0.8094,0.801701623987983,0.817098376012017,0.8933,0.888221367600055,0.898378632399945,8933,8094,5723
"BWS","Exp",9196400,10000,10,10,2,0.25,0,0.1598,0.150361008722152,0.169238991277848,0.3728,0.363322428968053,0.382277571031947,0.5029,0.494675138345664,0.511124861654337,5029,3728,1598
"BWS","Exp",4349480,10000,10,10,2,0.125,0,0.045,0.0396598457550367,0.0503401542449633,0.1451,0.13819684800121,0.15200315199879,0.2291,0.222186826289831,0.236013173710169,2291,1451,450
"BWS","Exp",102231769,10000,10,10,2.5,1,0,0.9891,0.986425274558886,0.991774725441114,0.999,0.998380503559332,0.999619496440668,0.9998,0.999567385133966,1.00003261486603,9998,9990,9891
"BWS","Exp",40465783,10000,10,10,2.5,0.5,0,0.7418,0.730526276160816,0.753073723839184,0.9092,0.903568440083103,0.914831559916897,0.9561,0.952729845418089,0.959470154581911,9561,9092,7418
"BWS","Exp",82469,10000,10,10,2.5,0.25,0,0.2517,0.240520423835371,0.262879576164629,0.5069,0.497100933200432,0.516699066799568,0.6433,0.635420036013485,0.651179963986515,6433,5069,2517
"BWS","Exp",16011179,10000,10,10,2.5,0.125,0,0.0609,0.0547395785370363,0.0670604214629637,0.1857,0.17807825805202,0.19332174194798,0.2889,0.281444015224937,0.296355984775063,2889,1857,609
"BWS","Exp",63001,10000,10,10,5,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"BWS","Exp",1442442,10000,10,10,5,0.5,0,0.9899,0.98732425890101,0.99247574109899,0.9993,0.998781614273345,0.999818385726655,1,1,1,10000,9993,9899
"BWS","Exp",48137435,10000,10,10,5,0.25,0,0.7316,0.720185051332234,0.743014948667767,0.91,0.904390837495668,0.915609162504332,0.9567,0.953351905268847,0.960048094731153,9567,9100,7316
"BWS","Exp",23516633,10000,10,10,5,0.12,0,0.23,0.21915935458748,0.24084064541252,0.4746,0.46481265330468,0.48438734669532,0.6116,0.603582494781567,0.619617505218433,6116,4746,2300
"BWS","Exp",351871964,10000,10,10,0,1.5,1,0.0142,0.0111522142245991,0.0172477857754009,0.0593,0.0546707675364484,0.0639292324635516,0.1066,0.101523463901921,0.111676536098079,1066,593,142
"BWS","Exp",648835,10000,10,10,0.5,1.5,0,0.3588,0.346444257957749,0.371155742042251,0.6244,0.614908162153597,0.633891837846402,0.7483,0.741160868481827,0.755439131518173,7483,6244,3588
"BWS","Exp",12127942,10000,10,10,1,1.5,0,0.8506,0.841417015598398,0.859782984401602,0.963,0.959300269609823,0.966699730390177,0.9838,0.981723285387951,0.98587671461205,9838,9630,8506
"BWS","Exp",73570125,10000,10,10,1.5,1.5,0,0.9785,0.974763667619925,0.982236332380075,0.9978,0.996881690321515,0.998718309678485,0.9993,0.998864926265128,0.999735073734871,9993,9978,9785
"BWS","Exp",14885142,10000,10,10,2,1.5,0,0.9971,0.995714794472873,0.998485205527127,0.9999,0.999704009800245,1.00009599019976,1,1,1,10000,9999,9971
"BWS","Exp",227039954,10000,10,10,2.5,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"BWS","Exp",73929836,10000,10,10,5,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"BWS","Exp",39170350,10000,20,20,0,1,1,0.0121,0.00928359545455842,0.0149164045454416,0.0507,0.0464000659817155,0.0549999340182845,0.1005,0.0955540523305058,0.105445947669494,1005,507,121
"BWS","Exp",65514624,10000,20,20,0,0.5,1,0.0141,0.0110628107899994,0.0171371892100006,0.0556,0.0511087062952419,0.0600912937047581,0.107,0.101915087072771,0.112084912927229,1070,556,141
"BWS","Exp",28486,10000,20,20,0,0.25,1,0.0132,0.0102599995648,0.0161400004352,0.0546,0.0501469231340117,0.0590530768659883,0.1039,0.0988805987472633,0.108919401252737,1039,546,132
"BWS","Exp",332044,10000,20,20,0,0.125,1,0.011,0.00831316902087236,0.0136868309791276,0.0509,0.0465920470719378,0.0552079529280622,0.1024,0.0974127940558265,0.107387205944174,1024,509,110
