"method","distribution","seed","N","n1","n2","delta","scale","lambda3","lambda4","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"BWS","GLDLS",381198,10000,10,10,0,2,-0.002,-0.002,1,0.0122,0.00937212450238417,0.0150278754976158,0.0557,0.0512049071820929,0.0601950928179071,0.1051,0.100055077321804,0.110144922678196,1051,557,122
"BWS","GLDLS",201228627,10000,10,10,0,2,-0.02,-0.02,1,0.0109,0.00822527455888572,0.0135747254411143,0.056,0.0514935341741005,0.0605064658258995,0.1076,0.102502563565909,0.112697436434091,1076,560,109
"BWS","GLDLS",14656515,10000,10,10,0,2,-0.05,-0.05,1,0.0139,0.0108841222153569,0.0169158777846431,0.0547,0.0502430828249114,0.0591569171750886,0.1061,0.101033966435072,0.111166033564928,1061,547,139
"BWS","GLDLS",15062538,10000,10,10,0,2,-0.1,-0.1,1,0.012,0.00919511568409676,0.0148048843159032,0.0546,0.0501469231340117,0.0590530768659883,0.1051,0.100055077321804,0.110144922678196,1051,546,120
"BWS","GLDLS",51664246,10000,10,10,0,2,-0.2,-0.2,1,0.0146,0.0115102128295328,0.0176897871704672,0.0559,0.0513973211317706,0.0604026788682294,0.102,0.0970214352881578,0.106978564711842,1020,559,146
"BWS","GLDLS",2089555,10000,10,10,0.5,2,-0.002,-0.002,0,0.0967,0.0890866621790481,0.104313337820952,0.2406,0.23222202270101,0.24897797729899,0.3399,0.332108046521316,0.347691953478684,3399,2406,967
"BWS","GLDLS",3324386,10000,10,10,0.5,2,-0.002,-0.02,0,0.0926,0.0851329211134056,0.100067078886594,0.2379,0.229554367181909,0.246245632818091,0.3355,0.327732886398451,0.343267113601549,3355,2379,926
"BWS","GLDLS",28612,10000,10,10,0.5,2,-0.002,-0.05,0,0.089,0.0816650011431221,0.0963349988568779,0.2259,0.217703796730778,0.234096203269222,0.3232,0.315506361906718,0.330893638093282,3232,2259,890
"BWS","GLDLS",72004,10000,10,10,0.5,2,-0.002,-0.1,0,0.0887,0.081376168333976,0.096023831666024,0.2254,0.217210228712937,0.233589771287063,0.3241,0.316400781568109,0.331799218431891,3241,2254,887
"BWS","GLDLS",769860,10000,10,10,0.5,2,-0.002,-0.2,0,0.0745,0.0677358659367514,0.0812641340632486,0.1978,0.189992526050918,0.205607473949082,0.2903,0.282833332315499,0.297766667684501,2903,1978,745
"BWS","GLDLS",733280,10000,10,10,1,2,-0.002,-0.002,0,0.4259,0.413162228551346,0.438637771448654,0.6755,0.666323520502938,0.684676479497062,0.7817,0.774904634419049,0.788495365580951,7817,6755,4259
"BWS","GLDLS",238558764,10000,10,10,1,2,-0.002,-0.02,0,0.4127,0.400017843926489,0.425382156073511,0.6575,0.648198901624002,0.666801098375998,0.763,0.756004764430164,0.769995235569836,7630,6575,4127
"BWS","GLDLS",137346486,10000,10,10,1,2,-0.002,-0.05,0,0.3963,0.383700059833529,0.408899940166471,0.6504,0.641053865005554,0.659746134994446,0.7573,0.750247635203864,0.764352364796136,7573,6504,3963
"BWS","GLDLS",3854851,10000,10,10,1,2,-0.002,-0.1,0,0.3803,0.367794537176689,0.392805462823311,0.6227,0.613199665279918,0.632200334720082,0.7345,0.727235695086633,0.741764304913368,7345,6227,3803
"BWS","GLDLS",3788146,10000,10,10,1,2,-0.002,-0.2,0,0.3373,0.32512097520682,0.34947902479318,0.5775,0.567818438194176,0.587181561805824,0.6918,0.684204217888334,0.699395782111666,6918,5775,3373
"BWS","GLDLS",51812318,10000,10,10,1.5,2,-0.002,-0.002,0,0.8095,0.799384164107618,0.819615835892382,0.935,0.930168093130037,0.939831906869964,0.9647,0.961664366099021,0.967735633900979,9647,9350,8095
"BWS","GLDLS",7773202,10000,10,10,1.5,2,-0.002,-0.02,0,0.7988,0.788472888287606,0.809127111712393,0.9301,0.925102423147324,0.935097576852676,0.9654,0.962393524985785,0.968406475014215,9654,9301,7988
"BWS","GLDLS",41102,10000,10,10,1.5,2,-0.002,-0.05,0,0.7775,0.766785767529123,0.788214232470877,0.9233,0.91808414906486,0.92851585093514,0.9604,0.957191961505281,0.963608038494719,9604,9233,7775
"BWS","GLDLS",800461,10000,10,10,1.5,2,-0.002,-0.1,0,0.7485,0.737323373042353,0.759676626957647,0.9056,0.899869265671626,0.911330734328374,0.9478,0.944141024462517,0.951458975537483,9478,9056,7485
"BWS","GLDLS",36895582,10000,10,10,1.5,2,-0.002,-0.2,0,0.6815,0.669498555886628,0.693501444113372,0.8745,0.868006814036238,0.880993185963762,0.9301,0.925905605141504,0.934294394858496,9301,8745,6815
"BWS","GLDLS",56628794,10000,10,10,2,2,-0.002,-0.002,0,0.9669,0.962291595036711,0.971508404963289,0.9949,0.993503853876415,0.996296146123585,0.9985,0.99786337224819,0.99913662775181,9985,9949,9669
"BWS","GLDLS",8107190,10000,10,10,2,2,-0.002,-0.02,0,0.9616,0.956649960115904,0.966550039884096,0.9925,0.99080896747518,0.99419103252482,0.9974,0.996562302425036,0.998237697574964,9974,9925,9616
"BWS","GLDLS",65740,10000,10,10,2,2,-0.002,-0.05,0,0.9468,0.941018629535017,0.952581370464983,0.9887,0.986628296688809,0.990771703311191,0.9947,0.993505599721293,0.995894400278707,9947,9887,9468
"BWS","GLDLS",63888,10000,10,10,2,2,-0.002,-0.1,0,0.943,0.937027734133714,0.948972265866286,0.9873,0.985105262923811,0.989494737076189,0.9943,0.993061596844814,0.995538403155186,9943,9873,9430
"BWS","GLDLS",133435,10000,10,10,2,2,-0.002,-0.2,0,0.9058,0.898275329828788,0.913324670171213,0.9791,0.976296227707106,0.981903772292894,0.9898,0.988147126134304,0.991452873865696,9898,9791,9058
"BWS","GLDLS",55111671,10000,10,10,2.5,2,-0.002,-0.002,0,0.9969,0.995467968722666,0.998332031277334,0.9996,0.999208078407842,0.999991921592158,0.9999,0.999735508225206,1.00006449177479,9999,9996,9969
"BWS","GLDLS",197519,10000,10,10,2.5,2,-0.002,-0.02,0,0.9949,0.993065065094717,0.996734934905283,0.9995,0.99906184025744,0.99993815974256,1,1,1,10000,9995,9949
"BWS","GLDLS",78646539,10000,10,10,2.5,2,-0.002,-0.05,0,0.9923,0.990048288649916,0.994551711350084,0.9993,0.998781614273345,0.999818385726655,0.9999,0.999735508225206,1.00006449177479,9999,9993,9923
"BWS","GLDLS",209187906,10000,10,10,2.5,2,-0.002,-0.1,0,0.9918,0.98947691641085,0.99412308358915,0.9993,0.998781614273345,0.999818385726655,0.9998,0.999567385133966,1.00003261486603,9998,9993,9918
"BWS","GLDLS",154847287,10000,10,10,2.5,2,-0.002,-0.2,0,0.976,0.972057457457122,0.979942542542878,0.9972,0.996164318492199,0.998235681507801,0.9989,0.99835471537618,0.99944528462382,9989,9972,9760
"BWS","GLDLS",43346,10000,20,20,0,2,-0.002,-0.002,1,0.0118,0.00901830642683706,0.0145816935731629,0.0535,0.0490894447016277,0.0579105552983723,0.1053,0.100250843795665,0.110349156204335,1053,535,118
"BWS","GLDLS",170721,10000,20,20,0,2,-0.02,-0.02,1,0.0137,0.0107055941757577,0.0166944058242423,0.0591,0.0544780893441781,0.0637219106558219,0.1095,0.104363232327195,0.114636767672805,1095,591,137
"BWS","GLDLS",19632,10000,20,20,0,2,-0.05,-0.05,1,0.0146,0.0115102128295328,0.0176897871704672,0.0529,0.0485128566453329,0.0572871433546671,0.1027,0.0977063286343838,0.107693671365616,1027,529,146
"BWS","GLDLS",306757826,10000,20,20,0,2,-0.1,-0.1,1,0.0117,0.00892997819822009,0.0144700218017799,0.0549,0.0504354146980487,0.0593645853019513,0.1029,0.0979020257070514,0.107897974292949,1029,549,117
"BWS","GLDLS",120207,10000,20,20,0,2,-0.2,-0.2,1,0.0123,0.00946070223032243,0.0151392977696776,0.0573,0.0527446669371384,0.0618553330628616,0.1092,0.104069409819095,0.114330590180905,1092,573,123
"BWS","GLDLS",390123,10000,20,20,0.5,2,-0.002,-0.002,0,0.2232,0.212473758711246,0.233926241288754,0.4262,0.416507338053476,0.435892661946524,0.5451,0.536908527799658,0.553291472200342,5451,4262,2232
"BWS","GLDLS",211568973,10000,20,20,0.5,2,-0.002,-0.02,0,0.2209,0.210213381181471,0.231586618818529,0.4252,0.415510283315102,0.434889716684899,0.5423,0.534104486675456,0.550495513324544,5423,4252,2209
"BWS","GLDLS",8189659,10000,20,20,0.5,2,-0.002,-0.05,0,0.2123,0.201765806816234,0.222834193183766,0.4081,0.39846695611645,0.41773304388355,0.5263,0.518086386181663,0.534513613818337,5263,4081,2123
"BWS","GLDLS",439038,10000,20,20,0.5,2,-0.002,-0.1,0,0.1971,0.186852453450294,0.207347546549706,0.3941,0.38452233229902,0.40367766770098,0.5106,0.502376848529724,0.518823151470276,5106,3941,1971
"BWS","GLDLS",56690,10000,20,20,0.5,2,-0.002,-0.2,0,0.1742,0.164429711828286,0.183970288171714,0.365,0.355563968842781,0.374436031157219,0.4801,0.471881516946299,0.488318483053701,4801,3650,1742
"BWS","GLDLS",237899644,10000,20,20,1,2,-0.002,-0.002,0,0.8122,0.802139370741449,0.822260629258551,0.9335,0.928616580251504,0.938383419748496,0.9655,0.962497717264418,0.968502282735582,9655,9335,8122
"BWS","GLDLS",230255,10000,20,20,1,2,-0.002,-0.02,0,0.8086,0.798465934804596,0.818734065195404,0.9331,0.928202964808948,0.937997035191052,0.9651,0.962080988456634,0.968119011543366,9651,9331,8086
"BWS","GLDLS",159738,10000,20,20,1,2,-0.002,-0.05,0,0.793,0.782563193658135,0.803436806341865,0.9228,0.917568592936351,0.928031407063649,0.9578,0.95449280696906,0.96110719303094,9578,9228,7930
"BWS","GLDLS",162604687,10000,20,20,1,2,-0.002,-0.1,0,0.7629,0.751944166004745,0.773855833995255,0.9042,0.898431391344735,0.909968608655265,0.9445,0.940733713314234,0.948266286685766,9445,9042,7629
"BWS","GLDLS",1958474,10000,20,20,1,2,-0.002,-0.2,0,0.7154,0.703776477129528,0.727023522870472,0.8771,0.870664881208991,0.883535118791009,0.9267,0.922412664489012,0.930987335510988,9267,8771,7154
"BWS","GLDLS",22327,10000,20,20,1.5,2,-0.002,-0.002,0,0.9921,0.98981946296632,0.99438053703368,0.999,0.998380503559332,0.999619496440668,0.9997,0.999415120383714,0.999984879616286,9997,9990,9921
"BWS","GLDLS",308940,10000,20,20,1.5,2,-0.002,-0.02,0,0.9924,0.990162845218179,0.994637154781821,0.9991,0.998512264659562,0.999687735340438,0.9996,0.999271065806581,0.999928934193419,9996,9991,9924
"BWS","GLDLS",30700403,10000,20,20,1.5,2,-0.002,-0.05,0,0.9911,0.988680644991262,0.993519355008738,0.9984,0.997616627451081,0.999183372548919,0.9999,0.999735508225206,1.00006449177479,9999,9984,9911
"BWS","GLDLS",328932,10000,20,20,1.5,2,-0.002,-0.1,0,0.985,0.981868808686778,0.988131191313222,0.9967,0.995575925048051,0.997824074951949,0.999,0.998480065487297,0.999519934512703,9990,9967,9850
"BWS","GLDLS",10044895,10000,20,20,1.5,2,-0.002,-0.2,0,0.9717,0.967428256396278,0.975971743603722,0.9948,0.993390303467551,0.99620969653245,0.9982,0.997502714012833,0.998897285987167,9982,9948,9717
"BWS","GLDLS",55446,10000,20,20,2,2,-0.002,-0.002,0,0.9999,0.999642412880322,1.00015758711968,1,1,1,1,1,1,10000,10000,9999
"BWS","GLDLS",9225619,10000,20,20,2,2,-0.002,-0.02,0,0.9999,0.999642412880322,1.00015758711968,0.9999,0.999704009800245,1.00009599019976,1,1,1,10000,9999,9999
"BWS","GLDLS",1034977,10000,20,20,2,2,-0.002,-0.05,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"BWS","GLDLS",95326513,10000,20,20,2,2,-0.002,-0.1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"BWS","GLDLS",45992,10000,20,20,2,2,-0.002,-0.2,0,0.9989,0.998046107482698,0.999753892517302,0.9998,0.999522841861747,1.00007715813825,0.9999,0.999735508225206,1.00006449177479,9999,9998,9989
"BWS","GLDLS",263118223,10000,20,20,2.5,2,-0.002,-0.002,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"BWS","GLDLS",70684,10000,20,20,2.5,2,-0.002,-0.02,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"BWS","GLDLS",350473641,10000,20,20,2.5,2,-0.002,-0.05,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"BWS","GLDLS",107639729,10000,20,20,2.5,2,-0.002,-0.1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"BWS","GLDLS",18917970,10000,20,20,2.5,2,-0.002,-0.2,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"BWS","GLDLS",1171504,10000,100,100,0,2,-0.002,-0.002,1,0.0118,0.00901830642683706,0.0145816935731629,0.0547,0.0502430828249114,0.0591569171750886,0.1051,0.100055077321804,0.110144922678196,1051,547,118
"BWS","GLDLS",300986797,10000,100,100,0,2,-0.02,-0.02,1,0.0109,0.00822527455888572,0.0135747254411143,0.0533,0.0488972313599736,0.0577027686400264,0.1069,0.101817179187206,0.111982820812794,1069,533,109
"BWS","GLDLS",72945,10000,100,100,0,2,-0.05,-0.05,1,0.0103,0.00769914430765258,0.0129008556923474,0.0501,0.0458242345061498,0.0543757654938502,0.1023,0.0973149521453877,0.107285047854612,1023,501,103
"BWS","GLDLS",63635,10000,100,100,0,2,-0.1,-0.1,1,0.0107,0.00804965901805522,0.0133503409819448,0.0554,0.0509163167491001,0.0598836832508999,0.1096,0.10446117586664,0.11473882413336,1096,554,107
"BWS","GLDLS",669060,10000,100,100,0,2,-0.2,-0.2,1,0.0131,0.0101710087046794,0.0160289912953206,0.0533,0.0488972313599736,0.0577027686400264,0.1036,0.0985870115508212,0.108612988449179,1036,533,131
"BWS","GLDLS",83878248,10000,100,100,0.5,2,-0.002,-0.002,0,0.9214,0.914467637957355,0.928332362042645,0.9807,0.978003485167554,0.983396514832446,0.9904,0.988795990874839,0.992004009125161,9904,9807,9214
"BWS","GLDLS",21335,10000,100,100,0.5,2,-0.002,-0.02,0,0.9187,0.911659913590512,0.925740086409488,0.9765,0.973530891103378,0.979469108896622,0.988,0.986208837461312,0.989791162538688,9880,9765,9187
"BWS","GLDLS",150437689,10000,100,100,0.5,2,-0.002,-0.05,0,0.9062,0.89868966504202,0.91371033495798,0.9698,0.966445709804802,0.973154290195198,0.9866,0.984708576167249,0.988491423832751,9866,9698,9062
"BWS","GLDLS",95688029,10000,100,100,0.5,2,-0.002,-0.1,0,0.8936,0.885656932508564,0.901543067491436,0.9678,0.964339994285323,0.971260005714677,0.9823,0.980130924807026,0.984469075192974,9823,9678,8936
"BWS","GLDLS",2193739,10000,100,100,0.5,2,-0.002,-0.2,0,0.8533,0.84418594199141,0.86241405800859,0.9514,0.947185405660517,0.955614594339483,0.9746,0.972011811136895,0.977188188863105,9746,9514,8533
"BWS","GLDLS",11010145,10000,100,100,1,2,-0.002,-0.002,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"BWS","GLDLS",2445672,10000,100,100,1,2,-0.002,-0.02,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"BWS","GLDLS",47056772,10000,100,100,1,2,-0.002,-0.05,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"BWS","GLDLS",39044,10000,100,100,1,2,-0.002,-0.1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"BWS","GLDLS",136902,10000,100,100,1,2,-0.002,-0.2,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"BWS","GLDLS",139066,10000,100,100,1.5,2,-0.002,-0.002,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"BWS","GLDLS",1481572,10000,100,100,1.5,2,-0.002,-0.02,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"BWS","GLDLS",29185839,10000,100,100,1.5,2,-0.002,-0.05,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"BWS","GLDLS",263272,10000,100,100,1.5,2,-0.002,-0.1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"BWS","GLDLS",1550789,10000,100,100,1.5,2,-0.002,-0.2,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"BWS","GLDLS",33733094,10000,100,100,2,2,-0.002,-0.002,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"BWS","GLDLS",305793,10000,100,100,2,2,-0.002,-0.02,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"BWS","GLDLS",89554718,10000,100,100,2,2,-0.002,-0.05,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"BWS","GLDLS",232568,10000,100,100,2,2,-0.002,-0.1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"BWS","GLDLS",7905247,10000,100,100,2,2,-0.002,-0.2,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"BWS","GLDLS",7786356,10000,100,100,2.5,2,-0.002,-0.002,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"BWS","GLDLS",23306345,10000,100,100,2.5,2,-0.002,-0.02,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"BWS","GLDLS",47704,10000,100,100,2.5,2,-0.002,-0.05,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"BWS","GLDLS",15335260,10000,100,100,2.5,2,-0.002,-0.1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"BWS","GLDLS",369287,10000,100,100,2.5,2,-0.002,-0.2,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"BWS","GLDLS",167818800,10000,10,100,0,2,-0.002,-0.002,1,0.0122,0.00937212450238417,0.0150278754976158,0.058,0.0534186283975211,0.0625813716024789,0.1104,0.105244772610874,0.115555227389126,1104,580,122
"BWS","GLDLS",294732368,10000,10,100,0,2,-0.02,-0.02,1,0.0138,0.0107948379142123,0.0168051620857877,0.057,0.0524558846669566,0.0615441153330434,0.1117,0.106518299350235,0.116881700649765,1117,570,138
"BWS","GLDLS",579244,10000,10,100,0,2,-0.05,-0.05,1,0.0122,0.00937212450238417,0.0150278754976158,0.0561,0.0515897512478357,0.0606102487521643,0.1076,0.102502563565909,0.112697436434091,1076,561,122
"BWS","GLDLS",970169,10000,10,100,0,2,-0.1,-0.1,1,0.0126,0.00972672170157083,0.0154732782984292,0.0558,0.0513011121310262,0.0602988878689738,0.1081,0.102992165334511,0.113207834665489,1081,558,126
"BWS","GLDLS",369419,10000,10,100,0,2,-0.2,-0.2,1,0.0134,0.0104381107640318,0.0163618892359682,0.0566,0.0520708967344076,0.0611291032655924,0.1124,0.107204136841717,0.117595863158283,1124,566,134
"BWS","GLDLS",85740,10000,10,100,0.5,2,-0.002,-0.002,0,0.2574,0.246137686755794,0.268662313244206,0.4825,0.472706004339392,0.492293995660608,0.5965,0.58842964022677,0.60457035977323,5965,4825,2574
"BWS","GLDLS",230444985,10000,10,100,0.5,2,-0.002,-0.02,0,0.2553,0.244067874611401,0.266532125388599,0.479,0.469208647415193,0.488791352584807,0.5916,0.583514202668407,0.599685797331593,5916,4790,2553
"BWS","GLDLS",256587559,10000,10,100,0.5,2,-0.002,-0.05,0,0.2441,0.233034732405236,0.255165267594764,0.465,0.455224039484531,0.474775960515469,0.5838,0.575691341961835,0.591908658038165,5838,4650,2441
"BWS","GLDLS",367696198,10000,10,100,0.5,2,-0.002,-0.1,0,0.2401,0.229096770763116,0.251103229236884,0.4504,0.440648338350086,0.460151661649914,0.5647,0.556544151878512,0.572855848121488,5647,4504,2401
"BWS","GLDLS",4543748,10000,10,100,0.5,2,-0.002,-0.2,0,0.2135,0.202944126869728,0.224055873130272,0.4186,0.408930740917402,0.428269259082598,0.5383,0.530099165841283,0.546500834158717,5383,4186,2135
"BWS","GLDLS",259531,10000,10,100,1,2,-0.002,-0.002,0,0.8354,0.825847698765701,0.844952301234299,0.9413,0.936692777872774,0.945907222127226,0.9688,0.965940037989343,0.971659962010657,9688,9413,8354
"BWS","GLDLS",83987,10000,10,100,1,2,-0.002,-0.02,0,0.8171,0.80714158280157,0.82705841719843,0.929,0.923966233076512,0.934033766923488,0.9645,0.961456094293613,0.967543905706387,9645,9290,8171
"BWS","GLDLS",96194620,10000,10,100,1,2,-0.002,-0.05,0,0.8031,0.792856378341462,0.813343621658538,0.9288,0.923759690889479,0.933840309110521,0.9596,0.956361068938122,0.962838931061878,9596,9288,8031
"BWS","GLDLS",7190921,10000,10,100,1,2,-0.002,-0.1,0,0.7658,0.754890697481143,0.776709302518857,0.9017,0.895864690909849,0.907535309090151,0.943,0.93918618891691,0.94681381108309,9430,9017,7658
"BWS","GLDLS",7499748,10000,10,100,1,2,-0.002,-0.2,0,0.7294,0.717955610392438,0.740844389607562,0.8795,0.873119311889772,0.885880688110228,0.9287,0.924466998815642,0.932933001184358,9287,8795,7294
"BWS","GLDLS",3340940,10000,10,100,1.5,2,-0.002,-0.002,0,0.9925,0.990277500110236,0.994722499889764,0.9982,0.997369191164226,0.999030808835774,0.9994,0.998997179837769,0.999802820162231,9994,9982,9925
"BWS","GLDLS",17704,10000,10,100,1.5,2,-0.002,-0.02,0,0.9925,0.990277500110236,0.994722499889764,0.9992,0.998645850076604,0.999754149923396,0.9996,0.999271065806581,0.999928934193419,9996,9992,9925
"BWS","GLDLS",84103,10000,10,100,1.5,2,-0.002,-0.05,0,0.9865,0.983527230149776,0.989472769850224,0.9977,0.996761098624136,0.998638901375864,0.9993,0.998864926265128,0.999735073734871,9993,9977,9865
