"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"BWS","Logistic",8717039,10000,10,10,0,1,1,0.0124,0.00954932805320851,0.0152506719467915,0.0527,0.0483206954577696,0.0570793045422304,0.0995,0.0945759857484594,0.104424014251541,995,527,124
"BWS","Logistic",1765672,10000,10,10,0,3,1,0.0134,0.0104381107640318,0.0163618892359682,0.0547,0.0502430828249114,0.0591569171750886,0.1054,0.100348729166724,0.110451270833276,1054,547,134
"BWS","Logistic",5916105,10000,10,10,0,5,1,0.0126,0.00972672170157083,0.0154732782984292,0.0515,0.0471681006890741,0.0558318993109259,0.1041,0.0990763307859718,0.109123669214028,1041,515,126
"BWS","Logistic",1352321,10000,10,10,0,2,1,0.0134,0.0104381107640318,0.0163618892359682,0.057,0.0524558846669566,0.0615441153330434,0.1105,0.105342728233419,0.115657271766581,1105,570,134
"BWS","Logistic",1859892,10000,10,10,0.5,1,0,0.0297,0.0253270239476055,0.0340729760523945,0.1003,0.0944121681557979,0.106187831844202,0.1701,0.163919395676071,0.176280604323929,1701,1003,297
"BWS","Logistic",3151380,10000,10,10,1.5,1,0,0.2264,0.215619415686527,0.237180584313473,0.4479,0.438153347638579,0.457646652361421,0.5645,0.556343723217707,0.572656276782293,5645,4479,2264
"BWS","Logistic",75186,10000,10,10,2,1,0,0.4318,0.419040378480387,0.444559621519613,0.668,0.658769752540695,0.677230247459305,0.7693,0.762369930887807,0.776230069112193,7693,6680,4318
"BWS","Logistic",122567445,10000,10,10,2.5,1,0,0.6338,0.621389732402939,0.646210267597061,0.8443,0.837193614347532,0.851406385652468,0.9067,0.901915478262796,0.911484521737204,9067,8443,6338
"BWS","Logistic",336106,10000,10,10,0.5,3,0,0.0157,0.0124977190820642,0.0189022809179358,0.0633,0.0585273653882159,0.0680726346117841,0.111,0.105832526333159,0.116167473666841,1110,633,157
"BWS","Logistic",326283209,10000,10,10,1.5,3,0,0.0317,0.0271868428538842,0.0362131571461158,0.1034,0.0974321801040581,0.109367819895942,0.1735,0.167270731211099,0.179729268788901,1735,1034,317
"BWS","Logistic",589733,10000,10,10,2,3,0,0.0432,0.0379628101753158,0.0484371898246842,0.1355,0.128791765779283,0.142208234220717,0.212,0.205276476278022,0.218723523721978,2120,1355,432
"BWS","Logistic",171394,10000,10,10,2.5,3,0,0.0639,0.0575997554057081,0.0702002445942919,0.1855,0.17788142806295,0.19311857193705,0.2715,0.264184136440626,0.278815863559374,2715,1855,639
"BWS","Logistic",230772,10000,10,10,1,1,0,0.0935,0.0860004437246994,0.100999556275301,0.2345,0.226195756171691,0.242804243828309,0.3379,0.330119244075093,0.345680755924907,3379,2345,935
"BWS","Logistic",465831,10000,10,10,1,3,0,0.0204,0.0167584579384574,0.0240415420615426,0.0762,0.0709997701964625,0.0814002298035375,0.1328,0.127217553439002,0.138382446560998,1328,762,204
"BWS","Logistic",221605,10000,10,10,5,1,0,0.997,0.995591184681514,0.998408815318486,0.9998,0.999522841861747,1.00007715813825,0.9998,0.999567385133966,1.00003261486603,9998,9998,9970
"BWS","Logistic",161516,10000,10,10,5,3,0,0.2971,0.285328170690314,0.308871829309686,0.526,0.51621325856886,0.53578674143114,0.6432,0.635319544100092,0.651080455899908,6432,5260,2971
"BWS","Logistic",141091,10000,10,10,0.5,5,0,0.0132,0.0102599995648,0.0161400004352,0.0572,0.0526484022645229,0.0617515977354771,0.1029,0.0979020257070514,0.107897974292949,1029,572,132
"BWS","Logistic",5670081,10000,10,10,1,5,0,0.0143,0.0112416565437191,0.0173583434562809,0.0598,0.0551525279480561,0.0644474720519439,0.1119,0.106714246363355,0.117085753636645,1119,598,143
