"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"BWS","Normal",1028677,10000,10,10,0,1,1,0.0125,0.00963800139762438,0.0153619986023756,0.0536,0.0491855578284001,0.0580144421715999,0.1008,0.0958475019016258,0.105752498098374,1008,536,125
"BWS","Normal",188826360,10000,10,10,0,3,1,0.0129,0.00999315891531993,0.0158068410846801,0.0551,0.0506277631549302,0.0595722368450698,0.1029,0.0979020257070514,0.107897974292949,1029,551,129
"BWS","Normal",8959827,10000,10,10,0,5,1,0.0148,0.011689437600289,0.017910562399711,0.0563,0.0517821974490246,0.0608178025509754,0.1003,0.0953584268450447,0.105241573154955,1003,563,148
"BWS","Normal",11897644,10000,10,10,0.5,1,0,0.0621,0.0558831566154853,0.0683168433845147,0.1825,0.174929381068895,0.190070618931105,0.2682,0.260912283133388,0.275487716866612,2682,1825,621
"BWS","Normal",316578956,10000,10,10,1.5,1,0,0.6741,0.662026026940309,0.686173973059691,0.8668,0.860140101120768,0.873459898879232,0.9242,0.919846049500523,0.928553950499478,9242,8668,6741
"BWS","Normal",41030897,10000,10,10,2,1,0,0.9204,0.91342746508693,0.92737253491307,0.9814,0.978751892750208,0.984048107249792,0.9909,0.98933792632793,0.99246207367207,9909,9814,9204
"BWS","Normal",1904884,10000,10,10,2.5,1,0,0.9921,0.98981946296632,0.99438053703368,0.9989,0.998250299171618,0.999549700828382,0.9997,0.999415120383714,0.999984879616286,9997,9989,9921
"BWS","Normal",31715061,10000,10,10,0.5,3,0,0.0203,0.0166672088434902,0.0239327911565098,0.074,0.0688692905129992,0.0791307094870008,0.1292,0.12368232178499,0.13471767821501,1292,740,203
"BWS","Normal",118084895,10000,10,10,1.5,3,0,0.0677,0.0612283050951319,0.0741716949048681,0.1892,0.181523318765404,0.196876681234596,0.2728,0.26547318846657,0.28012681153343,2728,1892,677
"BWS","Normal",722185,10000,10,10,2,3,0,0.1184,0.11007742915682,0.12672257084318,0.2816,0.272784325256091,0.290415674743909,0.3981,0.3900476218311,0.4061523781689,3981,2816,1184
"BWS","Normal",19290,10000,10,10,2.5,3,0,0.1966,0.186362273360802,0.206837726639198,0.4012,0.391593229199695,0.410806770800305,0.5226,0.514383406297796,0.530816593702204,5226,4012,1966
"BWS","Normal",344830155,10000,10,10,0.5,5,0,0.0149,0.0117791050358873,0.0180208949641127,0.0572,0.0526484022645229,0.0617515977354771,0.1099,0.104755014572521,0.115044985427479,1099,572,149
"BWS","Normal",142755,10000,10,10,1.5,5,0,0.0294,0.0250484931913573,0.0337515068086427,0.0978,0.0919779368720702,0.10362206312793,0.161,0.154954115854774,0.167045884145226,1610,978,294
"BWS","Normal",20348,10000,10,10,2,5,0,0.0463,0.0408869474217724,0.0517130525782276,0.1417,0.134864653218922,0.148535346781078,0.2162,0.209428320785809,0.222971679214191,2162,1417,463
"BWS","Normal",10445992,10000,10,10,2.5,5,0,0.0682,0.0617061926696447,0.0746938073303553,0.1875,0.179849877451962,0.195150122548038,0.276,0.268646573998468,0.283353426001532,2760,1875,682
"BWS","Normal",56966,10000,10,10,1,1,0,0.3026,0.290766279920523,0.314433720079477,0.5491,0.539347366343884,0.558852633656116,0.6693,0.66156084736229,0.67703915263771,6693,5491,3026
"BWS","Normal",3753365,10000,10,10,1,3,0,0.0371,0.0322311834994956,0.0419688165005044,0.1113,0.105135735809555,0.117464264190445,0.1804,0.174074641516594,0.186725358483406,1804,1113,371
"BWS","Normal",91126427,10000,10,10,1,5,0,0.0205,0.0168497298300537,0.0241502701699463,0.0734,0.0682884778245223,0.0785115221754777,0.1277,0.122209722611035,0.133190277388965,1277,734,205
"BWS","Normal",118272116,10000,10,10,5,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"BWS","Normal",207248383,10000,10,10,5,3,0,0.7771,0.766378899986718,0.787821100013282,0.9246,0.91942490068362,0.92977509931638,0.9622,0.959062783586697,0.965337216413303,9622,9246,7771
