"method","distribution","seed","N","n1","n2","delta","sd1","sd2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"BWS","Normal2Var",2011801,10000,10,10,0.5,1,3,0,0.0662,0.0597952558128637,0.0726047441871363,0.2487,0.240227713014209,0.257172286985791,0.4238,0.415671077081193,0.431928922918807,4238,2487,662
"BWS","Normal2Var",8410022,10000,10,10,1.5,1,3,0,0.2329,0.222011787346218,0.243788212653782,0.5077,0.497901162152908,0.517498837847092,0.652,0.644164272539196,0.659835727460804,6520,5077,2329
"BWS","Normal2Var",4694177,10000,10,10,2,1,3,0,0.3644,0.352002703529363,0.376797296470637,0.6646,0.655346249859954,0.673853750140046,0.7817,0.774904634419049,0.788495365580951,7817,6646,3644
"BWS","Normal2Var",19067117,10000,10,10,2.5,1,3,0,0.5307,0.517844301467918,0.543555698532082,0.802,0.794189553702893,0.809810446297108,0.8783,0.872921853442981,0.883678146557019,8783,8020,5307
"BWS","Normal2Var",24962,10000,10,10,0.5,3,5,0,0.0212,0.0174892579174165,0.0249107420825835,0.0923,0.0866268000604949,0.097973199939505,0.1659,0.159780750572417,0.172019249427583,1659,923,212
"BWS","Normal2Var",2353213,10000,10,10,1.5,3,5,0,0.0529,0.0471340401624375,0.0586659598375625,0.1667,0.159394926966991,0.174005073033009,0.2545,0.247334712519768,0.261665287480232,2545,1667,529
"BWS","Normal2Var",4011983,10000,10,10,2,3,5,0,0.0834,0.0762777238168866,0.0905222761831134,0.2298,0.221554199168449,0.238045800831551,0.3367,0.328926037181799,0.344473962818201,3367,2298,834
"BWS","Normal2Var",1328762,10000,10,10,2.5,3,5,0,0.119,0.110659207950896,0.127340792049104,0.3017,0.29270368305485,0.31069631694515,0.4192,0.41108310658599,0.42731689341401,4192,3017,1190
"BWS","Normal2Var",37949440,10000,10,10,0.5,1,5,0,0.087,0.0797399289021663,0.0942600710978337,0.3982,0.388605269273106,0.407794730726894,0.646,0.638133459330176,0.653866540669824,6460,3982,870
"BWS","Normal2Var",151783,10000,10,10,1.5,1,5,0,0.1709,0.161203380642897,0.180596619357103,0.5045,0.494700396908038,0.514299603091962,0.7116,0.704147851509289,0.719052148490711,7116,5045,1709
"BWS","Normal2Var",1812225,10000,10,10,2,1,5,0,0.2457,0.234610282302503,0.256789717697497,0.5837,0.574038287205179,0.593361712794821,0.7719,0.764997457880608,0.778802542119392,7719,5837,2457
"BWS","Normal2Var",31420,10000,10,10,2.5,1,5,0,0.3262,0.314123159227668,0.338276840772332,0.6653,0.656051044513806,0.674548955486194,0.8208,0.814491100941178,0.827108899058822,8208,6653,3262
"BWS","Normal2Var",32326311,10000,10,10,1,1,3,0,0.1286,0.119976667723304,0.137223332276696,0.353,0.343633106888621,0.362366893111379,0.513,0.504777780519987,0.521222219480013,5130,3530,1286
"BWS","Normal2Var",5640667,10000,10,10,1,3,5,0,0.0327,0.0281185776632037,0.0372814223367963,0.1182,0.111872242068347,0.124527757931653,0.1986,0.192037335638698,0.205162664361302,1986,1182,327
"BWS","Normal2Var",47847,10000,10,10,1,1,5,0,0.1254,0.116869011363999,0.133930988636001,0.4444,0.434660779130629,0.454139220869371,0.6805,0.672829646168567,0.688170353831433,6805,4444,1254
"BWS","Normal2Var",297991,10000,10,10,5,1,3,0,0.9808,0.977265022111309,0.984334977888691,0.9986,0.997867148687386,0.999332851312614,0.9995,0.999132258787495,0.999867741212506,9995,9986,9808
"BWS","Normal2Var",33982128,10000,10,10,5,3,5,0,0.5063,0.493421022454983,0.519178977545017,0.7518,0.743333417966995,0.760266582033005,0.8385,0.832446539692508,0.844553460307492,8385,7518,5063
"BWS","Normal2Var",771594,10000,10,10,5,1,5,0,0.7771,0.766378899986718,0.787821100013282,0.9468,0.942401131167948,0.951198868832052,0.9756,0.973061970233508,0.978138029766492,9756,9468,7771
"BWS","Normal2Var",30484944,10000,20,20,0.5,1,3,0,0.3151,0.303133045400963,0.327066954599037,0.7071,0.69818017824761,0.716019821752389,0.8627,0.857038505758391,0.868361494241609,8627,7071,3151
"BWS","Normal2Var",32803,10000,20,20,1.5,1,3,0,0.6955,0.683645368068405,0.707354631931595,0.9119,0.906344570592438,0.917455429407562,0.9634,0.960311057913282,0.966488942086718,9634,9119,6955
"BWS","Normal2Var",19679466,10000,20,20,2,1,3,0,0.8569,0.847879497172415,0.865920502827585,0.9693,0.965918928418149,0.972681071581851,0.9904,0.988795990874839,0.992004009125161,9904,9693,8569
"BWS","Normal2Var",343098,10000,20,20,2.5,1,3,0,0.9496,0.943964512641875,0.955235487358125,0.9936,0.992037025653953,0.995162974346047,0.9982,0.997502714012833,0.998897285987167,9982,9936,9496
"BWS","Normal2Var",22105,10000,20,20,0.5,3,5,0,0.0454,0.0400372876793563,0.0507627123206437,0.1729,0.165488048337017,0.180311951662983,0.3042,0.296631885058226,0.311768114941774,3042,1729,454
"BWS","Normal2Var",134226,10000,20,20,1.5,3,5,0,0.1378,0.128920786948946,0.146679213051054,0.3434,0.334093065532067,0.352706934467933,0.485,0.476778702083156,0.493221297916844,4850,3434,1378
"BWS","Normal2Var",139167,10000,20,20,2,3,5,0,0.2304,0.219552750599844,0.241247249400156,0.4655,0.45572335673352,0.47527664326648,0.6003,0.592242187673085,0.608357812326914,6003,4655,2304
"BWS","Normal2Var",1338173,10000,20,20,2.5,3,5,0,0.3347,0.322544229932431,0.346855770067569,0.584,0.57433928744657,0.59366071255343,0.7056,0.698102541143454,0.713097458856546,7056,5840,3347
"BWS","Normal2Var",1033626,10000,20,20,0.5,1,5,0,0.6894,0.67747983618213,0.70132016381787,0.9609,0.957100875317866,0.964699124682134,0.9912,0.989663658064622,0.992736341935378,9912,9609,6894
"BWS","Normal2Var",2916277,10000,20,20,1.5,1,5,0,0.7931,0.782665057051691,0.803534942948309,0.9757,0.972682013028259,0.978717986971741,0.9937,0.992398441112829,0.995001558887171,9937,9757,7931
"BWS","Normal2Var",97443,10000,20,20,2,1,5,0,0.8537,0.844596242883366,0.862803757116634,0.9852,0.98283326773935,0.98756673226065,0.9963,0.99530123841595,0.99729876158405,9963,9852,8537
"BWS","Normal2Var",19957464,10000,20,20,2.5,1,5,0,0.9084,0.900969258415707,0.915830741584293,0.9914,0.989590203457181,0.993209796542819,0.9976,0.996795085514107,0.998404914485893,9976,9914,9084
"BWS","Normal2Var",85249598,10000,20,20,1,1,3,0,0.5,0.48712,0.51288,0.8197,0.812165032173552,0.827234967826448,0.9187,0.914204292646115,0.923195707353885,9187,8197,5000
"BWS","Normal2Var",2683977,10000,20,20,1,3,5,0,0.0773,0.0704203575759713,0.0841796424240287,0.2365,0.228171320222268,0.244828679777732,0.3709,0.362953897524763,0.378846102475237,3709,2365,773
"BWS","Normal2Var",14468773,10000,20,20,1,1,5,0,0.7261,0.714612114635012,0.737587885364988,0.9647,0.961083074500961,0.968316925499039,0.9905,0.988904286405906,0.992095713594094,9905,9647,7261
