"method","distribution","seed","N","n1","n2","delta","sd","g1","g2","h","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"BWS","ghEqual",1086044,10000,10,10,0,3,1,1,0,1,0.0131,0.0101710087046794,0.0160289912953206,0.0572,0.0526484022645229,0.0617515977354771,0.1074,0.102306732521544,0.112493267478456,1074,572,131
"BWS","ghEqual",93746669,10000,10,10,0,3,3,3,0,1,0.0142,0.0111522142245991,0.0172477857754009,0.0554,0.0509163167491001,0.0598836832508999,0.1035,0.0984891520558517,0.108510847944148,1035,554,142
"BWS","ghEqual",6717972,10000,10,10,0,3,-3,-3,0,1,0.0122,0.00937212450238417,0.0150278754976158,0.0537,0.0492816752439867,0.0581183247560133,0.101,0.0960431424876743,0.105956857512326,1010,537,122
"BWS","ghEqual",128745,10000,10,10,0,3,-1,-1,0,1,0.0136,0.0106163914386931,0.0165836085613069,0.0571,0.052552141504576,0.061647858495424,0.1067,0.101621367600055,0.111778632399945,1067,571,136
"BWS","ghEqual",363833085,10000,10,10,0.5,3,1,1,0,0,0.0235,0.0195977425930111,0.0274022574069889,0.0836,0.0781749749192838,0.0890250250807162,0.144,0.138224573906628,0.149775426093372,1440,836,235
"BWS","ghEqual",283213695,10000,10,10,0.5,3,3,3,0,0,0.0567,0.0507425239463733,0.0626574760536267,0.1844,0.176798922890642,0.192001077109358,0.306,0.298419351656356,0.313580648343644,3060,1844,567
"BWS","ghEqual",903974,10000,10,10,0.5,3,1,3,0,0,0.0759,0.0690777719646626,0.0827222280353374,0.2305,0.222245403513193,0.238754596486807,0.353,0.345138500424378,0.360861499575622,3530,2305,759
"BWS","ghEqual",349205714,10000,10,10,0.5,3,-1,1,0,0,0.0732,0.0664904342703439,0.0799095657296561,0.2181,0.210006068758483,0.226193931241517,0.3331,0.32534675375762,0.34085324624238,3331,2181,732
"BWS","ghEqual",59309,10000,10,10,0.5,3,-3,3,0,0,0.2334,0.222503658849112,0.244296341150888,0.5128,0.503003211790306,0.522596788209694,0.6462,0.638334464538259,0.654065535461741,6462,5128,2334
"BWS","ghEqual",18601,10000,10,10,0.5,3,-1,3,0,0,0.1456,0.136514325664561,0.15468567433544,0.3805,0.370984008240861,0.390015991759139,0.526,0.517786127727436,0.534213872272564,5260,3805,1456
"BWS","ghEqual",824736,10000,10,10,0.5,3,1,-3,0,0,0.0417,0.03655050512505,0.04684949487495,0.1682,0.160868741633144,0.175531258366856,0.2703,0.262994312384123,0.277605687615877,2703,1682,417
"BWS","ghEqual",55776,10000,10,10,1,3,1,1,0,0,0.0538,0.0479879616887484,0.0596120383112516,0.1689,0.161556594045921,0.176243405954079,0.2657,0.258433948970398,0.272966051029602,2657,1689,538
"BWS","ghEqual",343295748,10000,10,10,1,3,3,3,0,0,0.1327,0.123960914400002,0.141439085599998,0.3333,0.324060702406698,0.342539297593302,0.4887,0.480477100768781,0.496922899231219,4887,3333,1327
"BWS","ghEqual",7628711,10000,10,10,1,3,1,3,0,0,0.1513,0.14206913448425,0.16053086551575,0.3585,0.349100624890983,0.367899375109017,0.507,0.4987758060895,0.5152241939105,5070,3585,1513
"BWS","ghEqual",76006,10000,10,10,1,3,-1,1,0,0,0.1444,0.135345492282047,0.153454507717953,0.3745,0.365013726550431,0.383986273449569,0.5017,0.493475047540637,0.509924952459363,5017,3745,1444
"BWS","ghEqual",32183902,10000,10,10,1,3,-3,3,0,0,0.4133,0.400615112922287,0.425984887077713,0.7119,0.703023593209953,0.720776406790047,0.8154,0.809017848575042,0.821782151424958,8154,7119,4133
"BWS","ghEqual",62787340,10000,10,10,1,3,-1,3,0,0,0.273,0.261523898316519,0.284476101683481,0.5511,0.541351314059505,0.560848685940495,0.69,0.682391986149461,0.697608013850539,6900,5511,2730
"BWS","ghEqual",7729560,10000,10,10,1,3,1,-3,0,0,0.0271,0.0229172240157063,0.0312827759842937,0.1193,0.112946832707885,0.125653167292115,0.2112,0.204485768515876,0.217914231484124,2112,1193,271
"BWS","ghEqual",18141414,10000,10,10,1.5,3,1,1,0,0,0.1134,0.105231990213146,0.121568009786854,0.2961,0.287151901468669,0.305048098531331,0.4176,0.409487460387178,0.425712539612822,4176,2961,1134
"BWS","ghEqual",27005800,10000,10,10,1.5,3,3,3,0,0,0.1992,0.188911488248423,0.209488511751577,0.45,0.440249123116355,0.459750876883645,0.6126,0.604586279213306,0.620613720786695,6126,4500,1992
"BWS","ghEqual",38249,10000,10,10,1.5,3,1,3,0,0,0.2533,0.242096943422443,0.264503056577557,0.5067,0.4969008798835,0.5164991201165,0.6562,0.648386655892648,0.664013344107352,6562,5067,2533
