"method","distribution","seed","N","n1","n2","delta","sd","g1","g2","h","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"BWS","ghEqualK",3309521,10000,10,10,0,3,1,1,0.2,1,0.0129,0.00999315891531993,0.0158068410846801,0.0527,0.0483206954577696,0.0570793045422304,0.0973,0.0924247819630528,0.102175218036947,973,527,129
"BWS","ghEqualK",112245866,10000,10,10,0,3,3,3,0.2,1,0.0111,0.00840112023907993,0.0137988797609201,0.0535,0.0490894447016277,0.0579105552983723,0.1025,0.0975106374420799,0.10748936255792,1025,535,111
"BWS","ghEqualK",149808,10000,10,10,0,3,-3,-3,0.2,1,0.0113,0.00857718993386318,0.0140228100661368,0.0537,0.0492816752439867,0.0581183247560133,0.1001,0.0951628074279025,0.105037192572098,1001,537,113
"BWS","ghEqualK",130531083,10000,10,10,0,3,-1,-1,0.2,1,0.0124,0.00954932805320851,0.0152506719467915,0.0532,0.0488011311679478,0.0575988688320522,0.1034,0.0983912940159059,0.108408705984094,1034,532,124
"BWS","ghEqualK",572671,10000,10,10,0.5,3,1,1,0.2,0,0.017,0.0136699781872186,0.0203300218127814,0.069,0.0640322988978804,0.0739677011021196,0.1224,0.117008558236464,0.127791441763536,1224,690,170
"BWS","ghEqualK",361029408,10000,10,10,0.5,3,3,3,0.2,0,0.0435,0.0382454809081706,0.0487545190918294,0.1483,0.141334216528085,0.155265783471915,0.24,0.232974482510163,0.247025517489837,2400,1483,435
"BWS","ghEqualK",42153,10000,10,10,0.5,3,1,3,0.2,0,0.0586,0.0525496323727641,0.0646503676272359,0.1878,0.180145173390233,0.195454826609767,0.3001,0.29256094525859,0.30763905474141,3001,1878,586
"BWS","ghEqualK",41512,10000,10,10,0.5,3,-1,1,0.2,0,0.0502,0.0445751130300338,0.0558248869699662,0.1768,0.169322612587167,0.184277387412833,0.2809,0.273506732562529,0.288293267437471,2809,1768,502
"BWS","ghEqualK",248488,10000,10,10,0.5,3,-3,3,0.2,0,0.194,0.183813752023125,0.204186247976875,0.4464,0.436656472728709,0.456143527271291,0.5866,0.57849930710895,0.59470069289105,5866,4464,1940
"BWS","ghEqualK",48300,10000,10,10,0.5,3,-1,3,0.2,0,0.1159,0.107654096045979,0.124145903954021,0.3198,0.310658581012031,0.328941418987969,0.4571,0.448905330668479,0.465294669331521,4571,3198,1159
