"method","distribution","seed","N","n1","n2","delta","sd1","sd2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Bayes_TTest_VarEqual","Normal2Var",62735377,1000,10,10,0,1,2,1,0.014,0.00442919794876103,0.023570802051239,0.05,0.0364916322229516,0.0635083677770484,0.096,0.0806755204460315,0.111324479553969
"Bayes_TTest_VarEqual","Normal2Var",21963,1000,10,10,0,3,5,1,0.019,0.00787865885497617,0.0301213411450238,0.05,0.0364916322229516,0.0635083677770484,0.092,0.0769650239641029,0.107034976035897
"Bayes_TTest_VarEqual","Normal2Var",1107475,1000,10,10,0,1,5,1,0.017,0.00646954641356793,0.0275304535864321,0.061,0.0461661533512039,0.0758338466487961,0.098,0.0825338503207812,0.113466149679219
"Bayes_TTest_VarEqual","Normal2Var",196996006,1000,10,10,0.5,1,2,0,0.031,0.0168814988308249,0.0451185011691751,0.099,0.0804887364450722,0.117511263554928,0.18,0.160014773206191,0.199985226793809
"Bayes_TTest_VarEqual","Normal2Var",112860007,1000,10,10,1.5,1,2,0,0.259,0.223313426976747,0.294686573023253,0.513,0.482020155429699,0.543979844570301,0.654,0.629254694160306,0.678745305839694
"Bayes_TTest_VarEqual","Normal2Var",49812,1000,10,10,2,1,2,0,0.513,0.472283632850462,0.553716367149538,0.749,0.722125905440369,0.775874094559631,0.856,0.837736499086977,0.874263500913023
"Bayes_TTest_VarEqual","Normal2Var",51586831,1000,10,10,2.5,1,2,0,0.733,0.696962597808166,0.769037402191834,0.923,0.906476490881172,0.939523509118828,0.963,0.953180714039453,0.972819285960547
"Bayes_TTest_VarEqual","Normal2Var",2024060,1000,10,10,0.5,3,5,0,0.016,0.00577876439250127,0.0262212356074987,0.056,0.0417493037924458,0.0702506962075542,0.113,0.0965310112097008,0.129468988790299
"Bayes_TTest_VarEqual","Normal2Var",62891724,1000,10,10,1.5,3,5,0,0.031,0.0168814988308249,0.0451185011691751,0.119,0.0989313801570711,0.139068619842929,0.201,0.180153299806084,0.221846700193916
"Bayes_TTest_VarEqual","Normal2Var",31890,1000,10,10,2,3,5,0,0.059,0.0398059475945281,0.0781940524054719,0.161,0.138220195646143,0.183779804353857,0.257,0.234268564062625,0.279731435937375
"Bayes_TTest_VarEqual","Normal2Var",33906,1000,10,10,2.5,3,5,0,0.113,0.0872102643624251,0.138789735637575,0.265,0.237645884404719,0.292354115595281,0.379,0.353763373086425,0.404236626913575
"Bayes_TTest_VarEqual","Normal2Var",168465559,1000,10,10,0.5,1,5,0,0.023,0.0107888361530934,0.0352111638469066,0.07,0.0541858240809077,0.0858141759190924,0.12,0.103095673926477,0.136904326073523
"Bayes_TTest_VarEqual","Normal2Var",109094,1000,10,10,1.5,1,5,0,0.053,0.03475017169352,0.07124982830648,0.181,0.157136325882212,0.204863674117788,0.276,0.252746425229656,0.299253574770344
"Bayes_TTest_VarEqual","Normal2Var",136656574,1000,10,10,2,1,5,0,0.09,0.0666875558038201,0.11331244419618,0.23,0.203916530905572,0.256083469094428,0.337,0.312411184010307,0.361588815989693
"Bayes_TTest_VarEqual","Normal2Var",146656,1000,10,10,2.5,1,5,0,0.135,0.107163104655871,0.162836895344129,0.324,0.294993059478807,0.353006940521193,0.441,0.415171980777168,0.466828019222832
"Bayes_TTest_VarEqual","Normal2Var",64863,1000,20,20,0,1,2,1,0.009,0.00130685460010016,0.0166931453998998,0.055,0.0408696369473392,0.0691303630526608,0.105,0.0890532542700713,0.120946745729929
"Bayes_TTest_VarEqual","Normal2Var",25149396,1000,20,20,0,3,5,1,0.012,0.00313017698846251,0.0208698230115375,0.061,0.0461661533512039,0.0758338466487961,0.106,0.0899864509523966,0.122013549047603
"Bayes_TTest_VarEqual","Normal2Var",731991,1000,20,20,0,1,5,1,0.02,0.00859556184636876,0.0314044381536312,0.049,0.0356203617986135,0.0623796382013865,0.096,0.0806755204460315,0.111324479553969
"Bayes_TTest_VarEqual","Normal2Var",17691997,1000,20,20,0.5,1,2,0,0.056,0.0372705135557859,0.0747294864442141,0.188,0.163783408794795,0.212216591205205,0.259,0.23621101994439,0.28178898005561
"Bayes_TTest_VarEqual","Normal2Var",1509316,1000,20,20,1.5,1,2,0,0.615,0.5753618130788,0.6546381869212,0.838,0.815163182148119,0.860836817851881,0.905,0.889747115047474,0.920252884952526
"Bayes_TTest_VarEqual","Normal2Var",31228017,1000,20,20,2,1,2,0,0.866,0.838250369549416,0.893749630450584,0.97,0.959426894495939,0.980573105504061,0.991,0.986087257692999,0.995912742307001
"Bayes_TTest_VarEqual","Normal2Var",35564079,1000,20,20,2.5,1,2,0,0.991,0.9833068546001,0.9986931453999,0.999,0.997040980245123,1.00095901975488,1,1,1
"Bayes_TTest_VarEqual","Normal2Var",243105,1000,20,20,0.5,3,5,0,0.014,0.00442919794876103,0.023570802051239,0.077,0.0604764908811718,0.0935235091188282,0.137,0.119113243956072,0.154886756043928
"Bayes_TTest_VarEqual","Normal2Var",410269,1000,20,20,1.5,3,5,0,0.067,0.0466331398213667,0.0873668601786333,0.203,0.178069370132305,0.227930629867695,0.292,0.268347668520841,0.315652331479159
"Bayes_TTest_VarEqual","Normal2Var",210237,1000,20,20,2,3,5,0,0.133,0.105338149621979,0.160661850378021,0.313,0.28425868671059,0.34174131328941,0.444,0.418153914114512,0.469846085885488
"Bayes_TTest_VarEqual","Normal2Var",64245,1000,20,20,2.5,3,5,0,0.227,0.19287689564978,0.26112310435022,0.446,0.415190944603899,0.476809055396101,0.566,0.540217858795282,0.591782141204718
"Bayes_TTest_VarEqual","Normal2Var",3995303,1000,20,20,0.5,1,5,0,0.022,0.0100511357687854,0.0339488642312146,0.085,0.0677147334414537,0.102285266558546,0.147,0.128579598788979,0.165420401211021
"Bayes_TTest_VarEqual","Normal2Var",42967,1000,20,20,1.5,1,5,0,0.101,0.0764536800105596,0.12554631998944,0.254,0.227019975270582,0.280980024729418,0.361,0.336015542011582,0.385984457988418
"Bayes_TTest_VarEqual","Normal2Var",46571,1000,20,20,2,1,5,0,0.196,0.163662836778963,0.228337163221037,0.422,0.391389091722067,0.452610908277933,0.555,0.529148104046802,0.580851895953199
"Bayes_TTest_VarEqual","Normal2Var",356659,1000,20,20,2.5,1,5,0,0.33,0.291696343861193,0.368303656138807,0.588,0.557493432680814,0.618506567319186,0.712,0.688443967600634,0.735556032399366
"Bayes_TTest_VarEqual","Normal2Var",9569194,1000,100,100,0,1,2,1,0.007,0.000208440607931048,0.013791559392069,0.047,0.0338824885896753,0.0601175114103247,0.098,0.0825338503207812,0.113466149679219
"Bayes_TTest_VarEqual","Normal2Var",68679646,1000,100,100,0,3,5,1,0.016,0.00577876439250127,0.0262212356074987,0.065,0.0497201688491005,0.0802798311508995,0.114,0.0974676272392618,0.130532372760738
"Bayes_TTest_VarEqual","Normal2Var",230774295,1000,100,100,0,1,5,1,0.017,0.00646954641356793,0.0275304535864321,0.056,0.0417493037924458,0.0702506962075542,0.112,0.0955948050179219,0.128405194982078
"Bayes_TTest_VarEqual","Normal2Var",16422334,1000,100,100,0.5,1,2,0,0.373,0.333605640392361,0.412394359607639,0.602,0.571661377855941,0.632338622144059,0.72,0.696643317016323,0.743356682983677
"Bayes_TTest_VarEqual","Normal2Var",401833,1000,100,100,1.5,1,2,0,1,1,1,1,1,1,1,1,1
"Bayes_TTest_VarEqual","Normal2Var",24734,1000,100,100,2,1,2,0,1,1,1,1,1,1,1,1,1
"Bayes_TTest_VarEqual","Normal2Var",2196678,1000,100,100,2.5,1,2,0,1,1,1,1,1,1,1,1,1
"Bayes_TTest_VarEqual","Normal2Var",5735380,1000,100,100,0.5,3,5,0,0.043,0.0264752059566238,0.0595247940433761,0.138,0.116622877424686,0.159377122575314,0.243,0.22068910569307,0.26531089430693
