"method","distribution","seed","N","n1","n2","delta","sd1","sd2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Bayes_TTest_VarUnequal","Normal2Var",15676468,1000,10,10,0,1,2,1,0.008,0.000743174362298623,0.0152568256377014,0.044,0.031288074009026,0.056711925990974,0.098,0.0825338503207812,0.113466149679219
"Bayes_TTest_VarUnequal","Normal2Var",158022131,1000,10,10,0,3,5,1,0.014,0.00442919794876103,0.023570802051239,0.05,0.0364916322229516,0.0635083677770484,0.098,0.0825338503207812,0.113466149679219
"Bayes_TTest_VarUnequal","Normal2Var",33076761,1000,10,10,0,1,5,1,0.01,0.00189480522134107,0.0181051947786589,0.039,0.0270008614309193,0.0509991385690807,0.095,0.0797471150474738,0.110252884952526
"Bayes_TTest_VarUnequal","Normal2Var",11898354,1000,10,10,0.5,1,2,0,0.025,0.0122820190281633,0.0377179809718367,0.098,0.079572247190718,0.116427752809282,0.169,0.149505604780476,0.188494395219524
"Bayes_TTest_VarUnequal","Normal2Var",70124,1000,10,10,1.5,1,2,0,0.226,0.191930123554319,0.260069876445681,0.479,0.448037024458234,0.509962975541766,0.631,0.605898841561095,0.656101158438905
"Bayes_TTest_VarUnequal","Normal2Var",161158393,1000,10,10,2,1,2,0,0.463,0.422381535939231,0.503618464060769,0.744,0.716950295705868,0.771049704294132,0.859,0.8408961042321,0.8771038957679
"Bayes_TTest_VarUnequal","Normal2Var",1987297,1000,10,10,2.5,1,2,0,0.665,0.626551528009555,0.703448471990445,0.913,0.895531682118761,0.930468317881239,0.947,0.935345897684721,0.958654102315279
"Bayes_TTest_VarUnequal","Normal2Var",32304,1000,10,10,0.5,3,5,0,0.012,0.00313017698846251,0.0208698230115375,0.04,0.0278543242262935,0.0521456757737065,0.08,0.0658874722320911,0.0941125277679089
"Bayes_TTest_VarUnequal","Normal2Var",2626738,1000,10,10,1.5,3,5,0,0.032,0.017662992035435,0.046337007964565,0.113,0.0933773750583669,0.132622624941633,0.193,0.172470360456769,0.213529639543231
"Bayes_TTest_VarUnequal","Normal2Var",57429,1000,10,10,2,3,5,0,0.049,0.0314153326496064,0.0665846673503936,0.164,0.141050082213655,0.186949917786345,0.272,0.248851863003689,0.295148136996311
"Bayes_TTest_VarUnequal","Normal2Var",237084,1000,10,10,2.5,3,5,0,0.094,0.0702275531914782,0.117772446808522,0.229,0.202956400893886,0.255043599106114,0.34,0.315357921962627,0.364642078037373
"Bayes_TTest_VarUnequal","Normal2Var",31187984,1000,10,10,0.5,1,5,0,0.02,0.00859556184636876,0.0314044381536312,0.062,0.0470530240650491,0.0769469759349509,0.107,0.0909200934463225,0.123079906553677
"Bayes_TTest_VarUnequal","Normal2Var",5224234,1000,10,10,1.5,1,5,0,0.04,0.0240371118402715,0.0559628881597285,0.134,0.112886150744121,0.155113849255879,0.232,0.210042115074534,0.253957884925466
"Bayes_TTest_VarUnequal","Normal2Var",107443,1000,10,10,2,1,5,0,0.062,0.0423554030569217,0.0816445969430783,0.203,0.178069370132305,0.227930629867695,0.324,0.299654889205428,0.348345110794572
"Bayes_TTest_VarUnequal","Normal2Var",137442,1000,10,10,2.5,1,5,0,0.106,0.0809234636190721,0.131076536380928,0.294,0.265762120079581,0.322237879920419,0.431,0.405239121424629,0.456760878575371
"Bayes_TTest_VarUnequal","Normal2Var",7140500,1000,20,20,0,1,2,1,0.01,0.00189480522134107,0.0181051947786589,0.056,0.0417493037924458,0.0702506962075542,0.122,0.10497476655373,0.13902523344627
"Bayes_TTest_VarUnequal","Normal2Var",7116062,1000,20,20,0,3,5,1,0.014,0.00442919794876103,0.023570802051239,0.048,0.0347506319546931,0.0612493680453069,0.096,0.0806755204460315,0.111324479553969
"Bayes_TTest_VarUnequal","Normal2Var",10824191,1000,20,20,0,1,5,1,0.014,0.00442919794876103,0.023570802051239,0.052,0.038238622394542,0.065761377605458,0.123,0.105914871297675,0.140085128702325
"Bayes_TTest_VarUnequal","Normal2Var",269271,1000,20,20,0.5,1,2,0,0.051,0.0330789251822331,0.0689210748177669,0.153,0.13068774360133,0.17531225639867,0.241,0.218751777891818,0.263248222108182
"Bayes_TTest_VarUnequal","Normal2Var",207402383,1000,20,20,1.5,1,2,0,0.626,0.5865843378817,0.6654156621183,0.846,0.823628164706489,0.868371835293511,0.905,0.889747115047474,0.920252884952526
"Bayes_TTest_VarUnequal","Normal2Var",185945662,1000,20,20,2,1,2,0,0.882,0.855720254510821,0.908279745489179,0.971,0.960599249334784,0.981400750665216,0.988,0.982335846718176,0.993664153281824
"Bayes_TTest_VarUnequal","Normal2Var",82259888,1000,20,20,2.5,1,2,0,0.98,0.968595561846369,0.991404438153631,0.999,0.997040980245123,1.00095901975488,1,1,1
"Bayes_TTest_VarUnequal","Normal2Var",9927335,1000,20,20,0.5,3,5,0,0.01,0.00189480522134107,0.0181051947786589,0.053,0.0391142610711565,0.0668857389288435,0.116,0.0993420701286144,0.132657929871386
"Bayes_TTest_VarUnequal","Normal2Var",20416,1000,20,20,1.5,3,5,0,0.079,0.0570270068951906,0.100972993104809,0.195,0.170443225781874,0.219556774218126,0.298,0.274207362359335,0.321792637640665
"Bayes_TTest_VarUnequal","Normal2Var",92147824,1000,20,20,2,3,5,0,0.132,0.104426449793761,0.159573550206239,0.336,0.306724134062337,0.365275865937663,0.454,0.428100573344184,0.479899426655816
"Bayes_TTest_VarUnequal","Normal2Var",1474254,1000,20,20,2.5,3,5,0,0.218,0.184366080374479,0.251633919625521,0.452,0.421152812873781,0.482847187126219,0.589,0.56340562901779,0.61459437098221
"Bayes_TTest_VarUnequal","Normal2Var",937356,1000,20,20,0.5,1,5,0,0.021,0.00931989217584016,0.0326801078241598,0.061,0.0461661533512039,0.0758338466487961,0.132,0.114391890493298,0.149608109506702
"Bayes_TTest_VarUnequal","Normal2Var",964188,1000,20,20,1.5,1,5,0,0.095,0.0711146312232781,0.118885368776722,0.263,0.235712252390496,0.290287747609504,0.381,0.355737651930689,0.406262348069311
"Bayes_TTest_VarUnequal","Normal2Var",684759,1000,20,20,2,1,5,0,0.19,0.158043061373154,0.221956938626846,0.401,0.370623224687271,0.431376775312729,0.522,0.496015455865072,0.547984544134928
"Bayes_TTest_VarUnequal","Normal2Var",7574435,1000,20,20,2.5,1,5,0,0.282,0.24534504970163,0.31865495029837,0.526,0.49505160620646,0.55694839379354,0.672,0.647577649449736,0.696422350550264
"Bayes_TTest_VarUnequal","Normal2Var",339225,1000,100,100,0,1,2,1,0.013,0.00377266875765262,0.0222273312423474,0.051,0.0373643995951773,0.0646356004048227,0.098,0.0825338503207812,0.113466149679219
"Bayes_TTest_VarUnequal","Normal2Var",30802,1000,100,100,0,3,5,1,0.011,0.00250349441805633,0.0194965055819437,0.054,0.0399912779169547,0.0680087220830453,0.106,0.0899864509523966,0.122013549047603
"Bayes_TTest_VarUnequal","Normal2Var",105887515,1000,100,100,0,1,5,1,0.016,0.00577876439250127,0.0262212356074987,0.05,0.0364916322229516,0.0635083677770484,0.103,0.0871882209800731,0.118811779019927
"Bayes_TTest_VarUnequal","Normal2Var",239371,1000,100,100,0.5,1,2,0,0.356,0.316995582957003,0.395004417042997,0.6,0.569635810565734,0.630364189434266,0.741,0.71821101994439,0.76378898005561
"Bayes_TTest_VarUnequal","Normal2Var",25623,1000,100,100,1.5,1,2,0,1,1,1,1,1,1,1,1,1
"Bayes_TTest_VarUnequal","Normal2Var",11591636,1000,100,100,2,1,2,0,1,1,1,1,1,1,1,1,1
"Bayes_TTest_VarUnequal","Normal2Var",51342217,1000,100,100,2.5,1,2,0,1,1,1,1,1,1,1,1,1
"Bayes_TTest_VarUnequal","Normal2Var",116119602,1000,100,100,0.5,3,5,0,0.039,0.0232297035949225,0.0547702964050775,0.123,0.102643250907868,0.143356749092132,0.217,0.195557439197358,0.238442560802642
"Bayes_TTest_VarUnequal","Normal2Var",353962,1000,100,100,1.5,3,5,0,0.49,0.44927801057905,0.53072198942095,0.728,0.700419241025672,0.755580758974328,0.827,0.807323778239332,0.846676221760668
"Bayes_TTest_VarUnequal","Normal2Var",6168296,1000,100,100,2,3,5,0,0.801,0.768477145595382,0.833522854404618,0.922,0.905378552842788,0.938621447157212,0.963,0.953180714039453,0.972819285960547
"Bayes_TTest_VarUnequal","Normal2Var",17588,1000,100,100,2.5,3,5,0,0.954,0.936935288048607,0.971064711951393,0.988,0.981251221621656,0.994748778378344,0.995,0.991330875530184,0.998669124469816
"Bayes_TTest_VarUnequal","Normal2Var",8491830,1000,100,100,0.5,1,5,0,0.052,0.0339136180042552,0.0700863819957448,0.181,0.157136325882212,0.204863674117788,0.278,0.254694581876739,0.301305418123261
"Bayes_TTest_VarUnequal","Normal2Var",8739014,1000,100,100,1.5,1,5,0,0.622,0.582500922668801,0.661499077331199,0.823,0.799343928610185,0.846656071389814,0.889,0.872659013463839,0.905340986536161
"Bayes_TTest_VarUnequal","Normal2Var",236211283,1000,100,100,2,1,5,0,0.898,0.873346186126767,0.922653813873233,0.964,0.952453620203717,0.975546379796282,0.983,0.976275389693447,0.989724610306553
"Bayes_TTest_VarUnequal","Normal2Var",59990698,1000,100,100,2.5,1,5,0,0.986,0.976429197948761,0.995570802051239,0.997,0.993610276471451,1.00038972352855,1,1,1
"Bayes_TTest_VarUnequal","Normal2Var",5465100,1000,10,100,0,1,2,1,0.009,0.00130685460010016,0.0166931453998998,0.047,0.0338824885896753,0.0601175114103247,0.096,0.0806755204460315,0.111324479553969
