"method","distribution","seed","N","n1","n2","delta","sd","g1","g2","h","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Bayes_TTest_VarUnequal","ghEqual",168335462,1000,10,10,0,1,1,1,0,1,0.006,-0.000290927440687899,0.0122909274406879,0.035,0.0236092124943005,0.0463907875056995,0.075,0.0612985225477323,0.0887014774522677
"Bayes_TTest_VarUnequal","ghEqual",66123981,1000,10,10,0,1,3,3,0,1,0.002,-0.00163936929920556,0.00563936929920556,0.03,0.0194268944959392,0.0405731055040608,0.071,0.0576401084220343,0.0843598915779657
"Bayes_TTest_VarUnequal","ghEqual",168448446,1000,10,10,0,1,1,3,0,1,0.005,-0.000745692786775151,0.0107456927867752,0.053,0.0391142610711565,0.0668857389288435,0.106,0.0899864509523966,0.122013549047603
"Bayes_TTest_VarUnequal","ghEqual",518000,1000,10,10,0,1,-1,1,0,1,0.023,0.0107888361530934,0.0352111638469066,0.125,0.104501829349915,0.145498170650085,0.244,0.221658017196319,0.266341982803681
"Bayes_TTest_VarUnequal","ghEqual",144620,1000,10,10,0,1,-3,3,0,1,0.1,0.0755619182422188,0.124438081757781,0.394,0.363714099280358,0.424285900719642,0.612,0.586651195838857,0.637348804161143
"Bayes_TTest_VarUnequal","ghEqual",330413325,1000,10,10,0,1,-1,3,0,1,0.046,0.0289352880486074,0.0630647119513926,0.24,0.213529113350702,0.266470886649298,0.412,0.386396273857112,0.437603726142888
"Bayes_TTest_VarUnequal","ghEqual",1674250,1000,10,10,0,1,1,-3,0,1,0.06,0.0406542571504736,0.0793457428495263,0.251,0.224125905440369,0.277874094559631,0.415,0.38936886230822,0.44063113769178
"Bayes_TTest_VarUnequal","ghEqual",172384,1000,10,10,0.5,3,1,1,0,0,0.01,0.00189480522134107,0.0181051947786589,0.056,0.0417493037924458,0.0702506962075542,0.101,0.0853250402241345,0.116674959775865
"Bayes_TTest_VarUnequal","ghEqual",1446503,1000,10,10,0.5,3,3,3,0,0,0.004,-0.00114168567534034,0.00914168567534034,0.034,0.0227673017311066,0.0452326982688934,0.085,0.0704927227097915,0.0995072772902085
"Bayes_TTest_VarUnequal","ghEqual",990767,1000,10,10,0.5,3,1,3,0,0,0.022,0.0100511357687854,0.0339488642312146,0.103,0.0841604335081722,0.121839566491828,0.193,0.172470360456769,0.213529639543231
"Bayes_TTest_VarUnequal","ghEqual",1554276,1000,10,10,0.5,3,-1,1,0,0,0.05,0.0322461452073078,0.0677538547926922,0.242,0.215454044797747,0.268545955202253,0.401,0.37550520643396,0.42649479356604
"Bayes_TTest_VarUnequal","ghEqual",50002,1000,10,10,0.5,3,-3,3,0,0,0.18,0.148703985276077,0.211296014723923,0.587,0.556482416058934,0.617517583941066,0.779,0.757416057867595,0.800583942132405
"Bayes_TTest_VarUnequal","ghEqual",79174895,1000,10,10,0.5,3,-1,3,0,0,0.109,0.0836137846589138,0.134386215341086,0.377,0.346962016818701,0.407037983181299,0.574,0.548276702056307,0.599723297943693
"Bayes_TTest_VarUnequal","ghEqual",16693735,1000,10,10,0.5,3,1,-3,0,0,0.025,0.0122820190281633,0.0377179809718367,0.136,0.114753744649939,0.157246255350061,0.249,0.226505023472451,0.271494976527549
"Bayes_TTest_VarUnequal","ghEqual",608887,1000,10,10,1,3,1,1,0,0,0.018,0.00716976562691277,0.0288302343730872,0.087,0.0695316821187614,0.104468317881239,0.153,0.134273641951116,0.171726358048884
"Bayes_TTest_VarUnequal","ghEqual",8506693,1000,10,10,1,3,3,3,0,0,0.018,0.00716976562691277,0.0288302343730872,0.097,0.0786563475392713,0.115343652460729,0.173,0.153323778239332,0.192676221760668
"Bayes_TTest_VarUnequal","ghEqual",139700485,1000,10,10,1,3,1,3,0,0,0.045,0.0281129495292991,0.0618870504707009,0.158,0.135393118357456,0.180606881642544,0.253,0.230385527404447,0.275614472595553
"Bayes_TTest_VarUnequal","ghEqual",3045669,1000,10,10,1,3,-1,1,0,0,0.094,0.0702275531914782,0.117772446808522,0.367,0.337126166339085,0.396873833660915,0.548,0.522110396519066,0.573889603480934
"Bayes_TTest_VarUnequal","ghEqual",74617803,1000,10,10,1,3,-3,3,0,0,0.35,0.3111459263397,0.3888540736603,0.804,0.779395636679646,0.828604363320354,0.937,0.924361196188919,0.949638803811081
"Bayes_TTest_VarUnequal","ghEqual",17116,1000,10,10,1,3,-1,3,0,0,0.2,0.167415890989625,0.232584109010375,0.592,0.561538800128688,0.622461199871312,0.768,0.746042115074534,0.789957884925466
"Bayes_TTest_VarUnequal","ghEqual",6809633,1000,10,10,1,3,1,-3,0,0,0.014,0.00442919794876103,0.023570802051239,0.082,0.0649946984266671,0.099005301573333,0.173,0.153323778239332,0.192676221760668
"Bayes_TTest_VarUnequal","ghEqual",940562,1000,10,10,1.5,3,1,1,0,0,0.034,0.0192370251323116,0.0487629748676884,0.16,0.137277521261975,0.182722478738025,0.267,0.243986985013367,0.290013014986633
