"method","distribution","seed","N","n1","n2","delta","scale1","scale2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"CVM","Cauchy",6960792,10000,10,10,0,1,1,1,0.0089,0.00648064499126234,0.0113193550087377,0.0549,0.0504354146980487,0.0593645853019513,0.107,0.101915087072771,0.112084912927229,1070,549,89
"CVM","Cauchy",31313867,10000,10,10,0,0.5,0.5,1,0.0092,0.00674057959837363,0.0116594204016264,0.0484,0.0441936445525372,0.0526063554474628,0.0988,0.0938914302559299,0.10370856974407,988,484,92
"CVM","Cauchy",128255,10000,10,10,0,2,2,1,0.009,0.00656721381654696,0.011432786183453,0.0482,0.0440019032739109,0.0523980967260891,0.1007,0.0957496838681984,0.105650316131802,1007,482,90
"CVM","Cauchy",47454,10000,10,10,0.5,1,1,0,0.0257,0.0216237691489593,0.0297762308510407,0.0917,0.0860434009495458,0.0973565990504543,0.1624,0.156332954540338,0.168467045459662,1624,917,257
"CVM","Cauchy",49451,10000,10,10,0.5,0.5,0.5,0,0.0836,0.076469967036773,0.090730032963227,0.225,0.21681538638664,0.23318461361336,0.3312,0.323457892476696,0.338942107523304,3312,2250,836
"CVM","Cauchy",111265,10000,10,10,0.5,2,2,0,0.0129,0.00999315891531993,0.0158068410846801,0.0599,0.0552488910915353,0.0645511089084647,0.1143,0.109066016613059,0.119533983386941,1143,599,129
"CVM","Cauchy",70644154,10000,10,10,0.5,0.5,2,0,0.0338,0.029144806632732,0.038455193367268,0.1364,0.129673028722642,0.143126971277358,0.2551,0.2479291585742,0.2622708414258,2551,1364,338
"CVM","Cauchy",46554,10000,10,10,0.5,1,2,0,0.0202,0.0165759827102929,0.0238240172897071,0.0843,0.0788543908695537,0.0897456091304463,0.1619,0.155840493621179,0.167959506378821,1619,843,202
"CVM","Cauchy",59804,10000,10,10,1,1,1,0,0.082,0.074932364793115,0.089067635206885,0.2196,0.211486077231425,0.227713922768575,0.3248,0.317096463770553,0.332503536229447,3248,2196,820
"CVM","Cauchy",85860339,10000,10,10,1,0.5,0.5,0,0.3066,0.294722532449055,0.318477467550945,0.5691,0.559394037451628,0.578805962548372,0.7007,0.693166699016714,0.708233300983286,7007,5691,3066
"CVM","Cauchy",33762815,10000,10,10,1,2,2,0,0.0276,0.0233798987112364,0.0318201012887636,0.0976,0.0917832483258781,0.103416751674122,0.1661,0.159977797287661,0.172222202712339,1661,976,276
"CVM","Cauchy",437965,10000,10,10,1,0.5,2,0,0.0833,0.0761816067749009,0.0904183932250991,0.2435,0.235087791654981,0.251912208345019,0.3876,0.379585519482861,0.395614480517139,3876,2435,833
"CVM","Cauchy",12448331,10000,10,10,1,1,2,0,0.0402,0.035140014666494,0.045259985333506,0.1459,0.138981083678032,0.152818916321968,0.2414,0.234360513922231,0.248439486077769,2414,1459,402
"CVM","Cauchy",2663472,10000,10,10,1.5,1,1,0,0.1802,0.170299042210488,0.190100957789512,0.3977,0.388107312462422,0.407292687537578,0.5345,0.526294602972776,0.542705397027224,5345,3977,1802
"CVM","Cauchy",9838276,10000,10,10,1.5,0.5,0.5,0,0.5435,0.530668836947244,0.556331163052756,0.7908,0.782827945816943,0.798772054183057,0.8823,0.876998945449934,0.887601054550066,8823,7908,5435
"CVM","Cauchy",27879,10000,10,10,1.5,2,2,0,0.0459,0.0405092505236708,0.0512907494763292,0.146,0.139079118160234,0.152920881839766,0.2387,0.231687545979347,0.245712454020653,2387,1460,459
"CVM","Cauchy",4845307,10000,10,10,1.5,0.5,2,0,0.1579,0.148506687791307,0.167293312208693,0.3741,0.364615762928395,0.383584237071605,0.5331,0.52489304257383,0.541306957426171,5331,3741,1579
"CVM","Cauchy",2526599,10000,10,10,1.5,1,2,0,0.0894,0.0820501505884226,0.0967498494115774,0.2413,0.232913711969554,0.249686288030446,0.3603,0.352402562298076,0.368197437701924,3603,2413,894
"CVM","Cauchy",75242766,10000,10,10,2,1,1,0,0.3107,0.298778782145746,0.322621217854254,0.5578,0.54806570069776,0.56753429930224,0.6923,0.684707639584571,0.699892360415429,6923,5578,3107
"CVM","Cauchy",305291388,10000,10,10,2,0.5,0.5,0,0.7158,0.704181401545112,0.727418598454888,0.906,0.900280157149012,0.911719842850988,0.9575,0.954181592176303,0.960818407823697,9575,9060,7158
"CVM","Cauchy",79878,10000,10,10,2,2,2,0,0.0844,0.0772390610038024,0.0915609389961976,0.2322,0.223924176249726,0.240475823750274,0.3366,0.328826605804727,0.344373394195273,3366,2322,844
"CVM","Cauchy",198034711,10000,10,10,2,0.5,2,0,0.2556,0.244363541150057,0.266836458849943,0.5142,0.504403952941232,0.523996047058768,0.6625,0.654721502218656,0.670278497781344,6625,5142,2556
"CVM","Cauchy",1607553,10000,10,10,2,1,2,0,0.1531,0.143824239631639,0.162375760368361,0.356,0.346615221993036,0.365384778006964,0.4937,0.485475652926416,0.501924347073584,4937,3560,1531
"CVM","Cauchy",125848,10000,10,10,2.5,1,1,0,0.4325,0.419737908691754,0.445262091308246,0.7003,0.691320720172219,0.709279279827781,0.8085,0.802027228088417,0.814972771911583,8085,7003,4325
"CVM","Cauchy",84796564,10000,10,10,2.5,0.5,0.5,0,0.8178,0.80785640108888,0.827743598911119,0.9478,0.943440369572361,0.952159630427639,0.9798,0.977485749828584,0.982114250171416,9798,9478,8178
"CVM","Cauchy",18498,10000,10,10,2.5,2,2,0,0.1277,0.119102459237707,0.136297540762293,0.3127,0.303613572119166,0.321786427880834,0.4392,0.43103603619714,0.447363963802859,4392,3127,1277
"CVM","Cauchy",11698073,10000,10,10,2.5,0.5,2,0,0.3617,0.349322511392115,0.374077488607886,0.635,0.625563968842781,0.644436031157219,0.7716,0.764694262570326,0.778505737429674,7716,6350,3617
"CVM","Cauchy",1767282,10000,10,10,2.5,1,2,0,0.2391,0.228112486067115,0.250087513932885,0.4783,0.468509233794151,0.488090766205849,0.6167,0.608702167836296,0.624697832163704,6167,4783,2391
"CVM","Cauchy",13100084,10000,10,10,5,1,1,0,0.8218,0.811942137028069,0.831657862971931,0.9497,0.945416159593822,0.953983840406178,0.98,0.977697,0.982303,9800,9497,8218
"CVM","Cauchy",3652950,10000,10,10,5,0.5,0.5,0,0.9695,0.965070347221553,0.973929652778447,0.9955,0.994188153682781,0.996811846317219,0.9987,0.998107272464133,0.999292727535867,9987,9955,9695
"CVM","Cauchy",58639,10000,10,10,5,2,2,0,0.439,0.426216212308146,0.451783787691854,0.6942,0.685169389386227,0.703230610613774,0.8077,0.801216931866178,0.814183068133822,8077,6942,4390
"CVM","Cauchy",275005,10000,10,10,5,0.5,2,0,0.7505,0.739353038992371,0.761646961007629,0.9205,0.915197855833722,0.925802144166278,0.9689,0.966044477577399,0.971755522422601,9689,9205,7505
"CVM","Cauchy",366563676,10000,10,10,5,1,2,0,0.6192,0.606691368389407,0.631708631610593,0.8459,0.838823526197999,0.852976473802,0.9206,0.916152544219096,0.925047455780904,9206,8459,6192
"CVM","Cauchy",3768964,10000,10,10,5,0.5,1,0,0.9069,0.89941485185728,0.91438514814272,0.9806,0.977896646241721,0.983303353758279,0.9942,0.99295084371198,0.99544915628802,9942,9806,9069
"CVM","Cauchy",84561,10000,10,10,0.5,0.5,1,0,0.0462,0.0407925127325664,0.0516074872674336,0.1502,0.143197559922884,0.157202440077116,0.2471,0.240004697373757,0.254195302626243,2471,1502,462
"CVM","Cauchy",35606,10000,10,10,1,0.5,1,0,0.1531,0.143824239631639,0.162375760368361,0.3553,0.34591935911861,0.36468064088139,0.4854,0.477178507229761,0.493621492770239,4854,3553,1531
"CVM","Cauchy",18335271,10000,10,10,1.5,0.5,1,0,0.328,0.315906070932836,0.340093929067164,0.5883,0.578654029507737,0.597945970492263,0.7194,0.712009140398905,0.726790859601095,7194,5883,3280
"CVM","Cauchy",13440537,10000,10,10,2,0.5,1,0,0.4866,0.473724626296447,0.499475373703553,0.7413,0.732716759415605,0.749883240584395,0.8482,0.842297297132,0.854102702868,8482,7413,4866
"CVM","Cauchy",3167865,10000,10,10,2.5,0.5,1,0,0.6302,0.617764349394515,0.642635650605485,0.8483,0.841268894811084,0.855331105188916,0.9219,0.917485989857853,0.926314010142147,9219,8483,6302
"CVM","Cauchy",4489042,10000,20,20,0,1,1,1,0.0112,0.00848912745672984,0.0139108725432702,0.0513,0.046976064527586,0.055623935472414,0.1001,0.0951628074279025,0.105037192572098,1001,513,112
"CVM","Cauchy",284642669,10000,20,20,0,0.5,0.5,1,0.0096,0.00708818996570521,0.0121118100342948,0.0514,0.0470720803327234,0.0557279196672767,0.1009,0.095945321442114,0.105854678557886,1009,514,96
"CVM","Cauchy",19906,10000,20,20,0,2,2,1,0.0114,0.00866530694682127,0.0141346930531787,0.0509,0.0465920470719378,0.0552079529280622,0.0981,0.0932069506108179,0.102993049389182,981,509,114
"CVM","Cauchy",907741,10000,20,20,0.5,1,1,0,0.049,0.0434392399276358,0.0545607600723642,0.1522,0.14515939299026,0.15924060700974,0.2404,0.233370480953607,0.247429519046393,2404,1522,490
"CVM","Cauchy",12939628,10000,20,20,0.5,0.5,0.5,0,0.1947,0.184499823563427,0.204900176436573,0.4151,0.405442310272203,0.424757689727797,0.5457,0.537509427713232,0.553890572286768,5457,4151,1947
"CVM","Cauchy",66157004,10000,20,20,0.5,2,2,0,0.0173,0.0139412367841576,0.0206587632158424,0.0706,0.065579352206896,0.075620647793104,0.1285,0.12299507810052,0.13400492189948,1285,706,173
"CVM","Cauchy",665161,10000,20,20,0.5,0.5,2,0,0.0939,0.0863860773500452,0.101413922649955,0.3209,0.311750280186235,0.330049719813765,0.5303,0.522090116471546,0.538509883528454,5303,3209,939
"CVM","Cauchy",323737,10000,20,20,0.5,1,2,0,0.0358,0.0310140193810739,0.0405859806189261,0.1327,0.126050695739132,0.139349304260868,0.2341,0.227134494429191,0.241065505570809,2341,1327,358
"CVM","Cauchy",136429,10000,20,20,1,1,1,0,0.2023,0.191951829013662,0.212648170986338,0.4213,0.411622157675928,0.430977842324072,0.5419,0.533703930664948,0.550096069335052,5419,4213,2023
"CVM","Cauchy",117201053,10000,20,20,1,0.5,0.5,0,0.695,0.683139904647938,0.706860095352062,0.8791,0.872710183862551,0.885489816137449,0.9351,0.931047553601345,0.939152446398655,9351,8791,6950
"CVM","Cauchy",324770128,10000,20,20,1,2,2,0,0.0476,0.0421152223220058,0.0530847776779943,0.1487,0.14172646680874,0.15567353319126,0.2346,0.227629336228801,0.241570663771199,2346,1487,476
"CVM","Cauchy",16817764,10000,20,20,1,0.5,2,0,0.2347,0.22378262419445,0.24561737580555,0.5302,0.52041789231742,0.53998210768258,0.7063,0.698807746234492,0.713792253765508,7063,5302,2347
"CVM","Cauchy",108146,10000,20,20,1,1,2,0,0.1071,0.0991339687534391,0.115066031246561,0.2798,0.271001543626658,0.288598456373342,0.409,0.400912369586987,0.417087630413013,4090,2798,1071
"CVM","Cauchy",5860833,10000,20,20,1.5,1,1,0,0.4603,0.447460664270282,0.473139335729718,0.7098,0.700904450659257,0.718695549340743,0.8069,0.800406678641483,0.813393321358517,8069,7098,4603
"CVM","Cauchy",70039404,10000,20,20,1.5,0.5,0.5,0,0.9265,0.919777787454238,0.933222212545762,0.986,0.983697187667221,0.988302812332779,0.9942,0.99295084371198,0.99544915628802,9942,9860,9265
"CVM","Cauchy",1094002,10000,20,20,1.5,2,2,0,0.1128,0.104650871330626,0.120949128669374,0.2759,0.267139453576951,0.284660546423049,0.3942,0.386161243999729,0.402238756000271,3942,2759,1128
"CVM","Cauchy",6137307,10000,20,20,1.5,0.5,2,0,0.44,0.427213072275171,0.452786927724829,0.737,0.728370856533815,0.745629143466185,0.861,0.855309179619993,0.866690820380007,8610,7370,4400
"CVM","Cauchy",117244034,10000,20,20,1.5,1,2,0,0.2355,0.224569750908163,0.246430249091837,0.4814,0.471606783163516,0.491193216836484,0.618,0.61000733112221,0.62599266887779,6180,4814,2355
"CVM","Cauchy",663294,10000,20,20,2,1,1,0,0.6876,0.675660962802461,0.699539037197539,0.8748,0.868313467133083,0.881286532866917,0.9336,0.929504279013214,0.937695720986786,9336,8748,6876
"CVM","Cauchy",51693717,10000,20,20,2,0.5,0.5,0,0.9818,0.97835655566681,0.98524344433319,0.998,0.997124338330175,0.998875661669825,0.9995,0.999132258787495,0.999867741212506,9995,9980,9818
"CVM","Cauchy",567179,10000,20,20,2,2,2,0,0.2074,0.196955749761968,0.217844250238032,0.4282,0.418501569044345,0.437898430955655,0.5558,0.547626379857621,0.563973620142379,5558,4282,2074
"CVM","Cauchy",180481,10000,20,20,2,0.5,2,0,0.6413,0.628945016578422,0.653654983421578,0.8717,0.865145298443285,0.878254701556715,0.9406,0.936711683466704,0.944488316533296,9406,8717,6413
"CVM","Cauchy",352167337,10000,20,20,2,1,2,0,0.4065,0.393847204311837,0.419152795688163,0.67,0.660783830730721,0.679216169269279,0.7882,0.78147879571744,0.79492120428256,7882,6700,4065
