"method","distribution","seed","N","n1","n2","delta","rate1","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"CVM","Exp",70377973,10000,10,10,0,1,1,0.0084,0.00604899387398841,0.0107510061260116,0.0453,0.0412239581570352,0.0493760418429648,0.0942,0.0893948437765355,0.0990051562234645,942,453,84
"CVM","Exp",151946,10000,10,10,0,0.5,1,0.0093,0.00682737409756834,0.0117726259024317,0.049,0.044768986901462,0.053231013098538,0.0975,0.0926203146890014,0.102379685310999,975,490,93
"CVM","Exp",221934,10000,10,10,0,0.25,1,0.01,0.00743691236201335,0.0125630876379867,0.0476,0.0434267995928305,0.0517732004071695,0.0949,0.090078887220882,0.099721112779118,949,476,100
"CVM","Exp",25447544,10000,10,10,0,0.125,1,0.0113,0.00857718993386318,0.0140228100661368,0.0512,0.0468800532862546,0.0555199467137454,0.1019,0.0969235993001995,0.106876400699801,1019,512,113
"CVM","Exp",9244707,10000,10,10,0.5,1,0,0.1294,0.120753858709363,0.138046141290637,0.3437,0.334391128409437,0.353008871590563,0.4828,0.474579868008578,0.491020131991422,4828,3437,1294
"CVM","Exp",551316,10000,10,10,0.5,0.5,0,0.0319,0.0273730957334549,0.0364269042665451,0.1214,0.114998805635946,0.127801194364054,0.2041,0.197469952238334,0.210730047761666,2041,1214,319
"CVM","Exp",86274610,10000,10,10,0.5,0.25,0,0.0158,0.0125877001123905,0.0190122998876095,0.0705,0.0654826392635171,0.0755173607364829,0.1297,0.124173242845866,0.135226757154134,1297,705,158
"CVM","Exp",1957704,10000,10,10,0.5,0.125,0,0.0086,0.00622141025800917,0.0109785897419908,0.0545,0.0500507676212632,0.0589492323787368,0.1096,0.10446117586664,0.11473882413336,1096,545,86
"CVM","Exp",26447578,10000,10,10,1,1,0,0.5113,0.498423289714517,0.524176710285483,0.78,0.771880772450535,0.788119227549466,0.8788,0.873431385298571,0.884168614701429,8788,7800,5113
"CVM","Exp",1165293,10000,10,10,1,0.5,0,0.1361,0.127267031975383,0.144932968024617,0.3371,0.327834700612803,0.346365299387197,0.4778,0.469583111217505,0.486016888782495,4778,3371,1361
"CVM","Exp",137881988,10000,10,10,1,0.25,0,0.0333,0.0286781714100222,0.0379218285899778,0.124,0.117540201563516,0.130459798436484,0.2063,0.199643534178201,0.212956465821799,2063,1240,333
"CVM","Exp",722491,10000,10,10,1,0.125,0,0.0157,0.0124977190820642,0.0189022809179358,0.0663,0.0614234069546865,0.0711765930453135,0.1294,0.123878686947555,0.134921313052445,1294,663,157
"CVM","Exp",25049,10000,10,10,1.5,1,0,0.814,0.803976612201935,0.824023387798065,0.9496,0.945312129184036,0.953887870815964,0.9825,0.9803429947301,0.9846570052699,9825,9496,8140
"CVM","Exp",601094,10000,10,10,1.5,0.5,0,0.3089,0.296997854383587,0.320802145616413,0.5794,0.569724354436917,0.589075645563083,0.7191,0.711706732562529,0.726493267437471,7191,5794,3089
"CVM","Exp",1436266,10000,10,10,1.5,0.25,0,0.0756,0.0687901628736023,0.0824098371263977,0.2225,0.214347866598246,0.230652133401754,0.3374,0.329622067726761,0.345177932273239,3374,2225,756
"CVM","Exp",144265144,10000,10,10,1.5,0.125,0,0.0236,0.0196896489697338,0.0275103510302662,0.0939,0.0881828849402518,0.0996171150597482,0.1646,0.15850002502701,0.17069997497299,1646,939,236
"CVM","Exp",63077678,10000,10,10,2,1,0,0.9396,0.933463286727996,0.945736713272003,0.9894,0.987392780086189,0.991407219913811,0.9974,0.996562302425036,0.998237697574964,9974,9894,9396
"CVM","Exp",4303580,10000,10,10,2,0.5,0,0.5144,0.501525342701692,0.527274657298307,0.777,0.768841336668302,0.785158663331698,0.8801,0.874756306941452,0.885443693058548,8801,7770,5144
"CVM","Exp",2227252,10000,10,10,2,0.25,0,0.1323,0.123572083564235,0.141027916435765,0.3374,0.328132676440396,0.346667323559604,0.4747,0.466485536228957,0.482914463771043,4747,3374,1323
"CVM","Exp",62895,10000,10,10,2,0.125,0,0.0322,0.0276525639178526,0.0367474360821474,0.1211,0.114705628339985,0.127494371660015,0.2075,0.200829251177014,0.214170748822986,2075,1211,322
"CVM","Exp",290148098,10000,10,10,2.5,1,0,0.9834,0.980108718681646,0.986691281318354,0.9977,0.996761098624136,0.998638901375864,0.9997,0.999415120383714,0.999984879616286,9997,9977,9834
"CVM","Exp",2181572,10000,10,10,2.5,0.5,0,0.6787,0.66667070581328,0.69072929418672,0.8875,0.881306779916715,0.893693220083285,0.9466,0.942901549752248,0.950298450247752,9466,8875,6787
"CVM","Exp",8717139,10000,10,10,2.5,0.25,0,0.2176,0.206971065638615,0.228228934361385,0.4613,0.451529398820461,0.471070601179539,0.6069,0.598865182941412,0.614934817058588,6069,4613,2176
"CVM","Exp",35489290,10000,10,10,2.5,0.125,0,0.0493,0.0437231230102345,0.0548768769897655,0.1673,0.159984427407673,0.174615572592327,0.2749,0.2675556692872,0.2822443307128,2749,1673,493
"CVM","Exp",616239,10000,10,10,5,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"CVM","Exp",85114011,10000,10,10,5,0.5,0,0.9834,0.980108718681646,0.986691281318354,0.9986,0.997867148687386,0.999332851312614,0.9997,0.999415120383714,0.999984879616286,9997,9986,9834
"CVM","Exp",36072765,10000,10,10,5,0.25,0,0.6792,0.667175642577704,0.691224357422296,0.889,0.882843010099083,0.895156989900918,0.9502,0.946621606578938,0.953778393421062,9502,8890,6792
"CVM","Exp",16482722,10000,10,10,5,0.12,0,0.1965,0.186264240418298,0.206735759581702,0.4403,0.430570106928357,0.450029893071643,0.5834,0.575290226077436,0.591509773922564,5834,4403,1965
"CVM","Exp",259433812,10000,10,10,0,1.5,1,0.0089,0.00648064499126234,0.0113193550087377,0.0428,0.0388328437961683,0.0467671562038317,0.0901,0.0853899541988453,0.0948100458011547,901,428,89
"CVM","Exp",229291,10000,10,10,0.5,1.5,0,0.3089,0.296997854383587,0.320802145616413,0.5845,0.574840962700145,0.594159037299856,0.7254,0.718058159516096,0.732741840483905,7254,5845,3089
"CVM","Exp",13391763,10000,10,10,1,1.5,0,0.8177,0.807754280837381,0.827645719162619,0.9492,0.944896054212981,0.953503945787019,0.98,0.977697,0.982303,9800,9492,8177
"CVM","Exp",5023087,10000,10,10,1.5,1.5,0,0.9712,0.966891794216213,0.975508205783787,0.9968,0.995693031978059,0.997906968021941,0.9995,0.999132258787495,0.999867741212506,9995,9968,9712
"CVM","Exp",1135792,10000,10,10,2,1.5,0,0.9956,0.993895038247448,0.997304961752552,0.9996,0.999208078407842,0.999991921592158,1,1,1,10000,9996,9956
"CVM","Exp",35819872,10000,10,10,2.5,1.5,0,0.9994,0.998769200767229,1.00003079923277,1,1,1,1,1,1,10000,10000,9994
