"method","distribution","seed","N","n1","n2","delta","scale","lambda3","lambda4","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"CVM","GLDLS",33121706,10000,10,10,0,2,-0.002,-0.002,1,0.0088,0.00639415390545114,0.0112058460945489,0.0481,0.0439060401072018,0.0522939598927982,0.0964,0.0915449631523952,0.101255036847605,964,481,88
"CVM","GLDLS",14149320,10000,10,10,0,2,-0.02,-0.02,1,0.0087,0.00630774187608109,0.0110922581239189,0.0476,0.0434267995928305,0.0517732004071695,0.0983,0.0934025084421946,0.103197491557805,983,476,87
"CVM","GLDLS",1053229,10000,10,10,0,2,-0.05,-0.05,1,0.0114,0.00866530694682127,0.0141346930531787,0.0527,0.0483206954577696,0.0570793045422304,0.1023,0.0973149521453877,0.107285047854612,1023,527,114
"CVM","GLDLS",1478240,10000,10,10,0,2,-0.1,-0.1,1,0.0093,0.00682737409756834,0.0117726259024317,0.047,0.0428518786710126,0.0511481213289874,0.0967,0.0918382217719465,0.101561778228053,967,470,93
"CVM","GLDLS",94194,10000,10,10,0,2,-0.2,-0.2,1,0.0102,0.00761166986137858,0.0127883301386214,0.0478,0.0436184806749699,0.0519815193250301,0.0988,0.0938914302559299,0.10370856974407,988,478,102
"CVM","GLDLS",104407,10000,10,10,0.5,2,-0.002,-0.002,0,0.073,0.0662988836922793,0.0797011163077207,0.225,0.21681538638664,0.23318461361336,0.3383,0.330516992149639,0.346083007850361,3383,2250,730
"CVM","GLDLS",57342,10000,10,10,0.5,2,-0.002,-0.02,0,0.0753,0.0685025851556628,0.0820974148443372,0.2201,0.211979447979454,0.228220552020546,0.3309,0.323159664223887,0.338640335776113,3309,2201,753
"CVM","GLDLS",1932196,10000,10,10,0.5,2,-0.002,-0.05,0,0.0789,0.0719555516613122,0.0858444483386878,0.2172,0.209118138747442,0.225281861252558,0.3241,0.316400781568109,0.331799218431891,3241,2172,789
"CVM","GLDLS",117332,10000,10,10,0.5,2,-0.002,-0.1,0,0.0686,0.0620885751392261,0.0751114248607739,0.21,0.202016758553069,0.217983241446931,0.3175,0.309842463158144,0.325157536841856,3175,2100,686
"CVM","GLDLS",108603166,10000,10,10,0.5,2,-0.002,-0.2,0,0.0617,0.0555018897242518,0.0678981102757482,0.1873,0.179653017612574,0.194946982387426,0.2866,0.27916175382129,0.29403824617871,2866,1873,617
