"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"CVM","Logistic",15793319,10000,10,10,0,1,1,0.0091,0.00665385910075809,0.0115461408992419,0.0475,0.0433309666588045,0.0516690333411955,0.0967,0.0918382217719465,0.101561778228053,967,475,91
"CVM","Logistic",1027015,10000,10,10,0,3,1,0.0086,0.00622141025800917,0.0109785897419908,0.0482,0.0440019032739109,0.0523980967260891,0.0973,0.0924247819630528,0.102175218036947,973,482,86
"CVM","Logistic",22755,10000,10,10,0,5,1,0.0092,0.00674057959837363,0.0116594204016264,0.0478,0.0436184806749699,0.0519815193250301,0.0981,0.0932069506108179,0.102993049389182,981,478,92
"CVM","Logistic",3809427,10000,10,10,0,2,1,0.0091,0.00665385910075809,0.0115461408992419,0.0498,0.0455363823068197,0.0540636176931803,0.0967,0.0918382217719465,0.101561778228053,967,498,91
"CVM","Logistic",170077,10000,10,10,0.5,1,0,0.0254,0.0213470063760741,0.0294529936239259,0.095,0.0892529872107329,0.100747012789267,0.1652,0.159091112265854,0.171308887734146,1652,950,254
"CVM","Logistic",100977,10000,10,10,1.5,1,0,0.2009,0.19057865268455,0.21122134731545,0.4326,0.422889446291874,0.442310553708126,0.5612,0.553036844998875,0.569363155001126,5612,4326,2009
"CVM","Logistic",18699865,10000,10,10,2,1,0,0.3849,0.372365913782033,0.397434086217967,0.6491,0.639745866580468,0.658454133419532,0.7649,0.757924191540475,0.771875808459525,7649,6491,3849
"CVM","Logistic",3183009,10000,10,10,2.5,1,0,0.5912,0.57853606960195,0.60386393039805,0.8274,0.819993138475819,0.834806861524181,0.9004,0.895473785540235,0.905326214459765,9004,8274,5912
"CVM","Logistic",25160,10000,10,10,0.5,3,0,0.0097,0.00717526898390819,0.0122247310160918,0.0506,0.0463040823911066,0.0548959176088934,0.1019,0.0969235993001995,0.106876400699801,1019,506,97
"CVM","Logistic",18624,10000,10,10,1.5,3,0,0.0233,0.0194139855331283,0.0271860144668717,0.0932,0.0875020349209915,0.0988979650790085,0.1593,0.153280030181573,0.165319969818427,1593,932,233
"CVM","Logistic",10026006,10000,10,10,2,3,0,0.0378,0.0328872525953377,0.0427127474046623,0.1271,0.120571534801012,0.133628465198988,0.208,0.201323326169416,0.214676673830584,2080,1271,378
"CVM","Logistic",223369,10000,10,10,2.5,3,0,0.0557,0.0497921637250364,0.0616078362749636,0.1675,0.160180935100711,0.174819064899289,0.2598,0.252586267794276,0.267013732205724,2598,1675,557
"CVM","Logistic",63920,10000,10,10,1,1,0,0.0789,0.0719555516613122,0.0858444483386878,0.2271,0.218888428247016,0.235311571752984,0.3336,0.325843846107664,0.341356153892336,3336,2271,789
"CVM","Logistic",279115,10000,10,10,1,3,0,0.0161,0.0128578412422733,0.0193421587577267,0.07,0.0649991184777082,0.0750008815222919,0.1269,0.121424437916983,0.132375562083017,1269,700,161
"CVM","Logistic",19250661,10000,10,10,5,1,0,0.994,0.992010634069257,0.995989365930743,0.9997,0.99936056896783,1.00003943103217,0.9999,0.999735508225206,1.00006449177479,9999,9997,9940
"CVM","Logistic",6394449,10000,10,10,5,3,0,0.2595,0.248207838748867,0.270792161251133,0.5097,0.49990184433755,0.51949815566245,0.6374,0.629491650908875,0.645308349091125,6374,5097,2595
"CVM","Logistic",7464820,10000,10,10,0.5,5,0,0.0097,0.00717526898390819,0.0122247310160918,0.0486,0.0443854056605173,0.0528145943394827,0.099,0.0940870098313247,0.103912990168675,990,486,97
"CVM","Logistic",10345716,10000,10,10,1,5,0,0.0128,0.00990430099526626,0.0156956990047337,0.058,0.0534186283975211,0.0625813716024789,0.1132,0.107988029391833,0.118411970608167,1132,580,128
"CVM","Logistic",254066969,10000,10,10,1.5,5,0,0.0147,0.0115998067420859,0.0178001932579141,0.0635,0.058720341974576,0.068279658025424,0.1198,0.114458232352872,0.125141767647128,1198,635,147
"CVM","Logistic",97733,10000,10,10,2,5,0,0.0181,0.0146658538321056,0.0215341461678944,0.0803,0.0749735612511172,0.0856264387488828,0.1388,0.13311261476842,0.144487385231581,1388,803,181
"CVM","Logistic",52976,10000,10,10,2.5,5,0,0.0233,0.0194139855331283,0.0271860144668717,0.0898,0.0841964576923521,0.0954035423076479,0.1591,0.153083094808627,0.165116905191373,1591,898,233
"CVM","Logistic",320571,10000,10,10,5,5,0,0.0785,0.0715716733236372,0.0854283266763628,0.2253,0.217111517123081,0.233488482876919,0.3342,0.326440369874027,0.341959630125973,3342,2253,785
"CVM","Logistic",2206758,10000,10,10,3,1,0,0.7685,0.757634660715541,0.779365339284459,0.9294,0.924379352206896,0.934420647793104,0.969,0.966148925027731,0.971851074972269,9690,9294,7685
"CVM","Logistic",150204018,10000,10,10,3,3,0,0.0784,0.071475712,0.085324288,0.2247,0.21651926170657,0.232880738293431,0.3334,0.325645007990004,0.341154992009996,3334,2247,784
"CVM","Logistic",2782756,10000,10,10,3,5,0,0.0319,0.0273730957334549,0.0364269042665451,0.1112,0.105038158995105,0.117361841004895,0.1847,0.178316511634633,0.191083488365367,1847,1112,319
"CVM","Logistic",538888,10000,10,10,0.5,2,0,0.0135,0.0105272301497761,0.0164727698502239,0.0602,0.0555380024888895,0.0648619975111104,0.1192,0.113869810088336,0.124530189911664,1192,602,135
"CVM","Logistic",32659,10000,10,10,1,2,0,0.0221,0.0183130530734662,0.0258869469265338,0.0826,0.0772045774476506,0.0879954225523494,0.1492,0.143339103467523,0.155060896532477,1492,826,221
"CVM","Logistic",2075539,10000,10,10,1.5,2,0,0.046,0.0406036642618903,0.0513963357381097,0.1513,0.144276515368451,0.158323484631549,0.2451,0.238024090485388,0.252175909514612,2451,1513,460
"CVM","Logistic",8228843,10000,10,10,2,2,0,0.0795,0.072531467667177,0.086468532332823,0.2284,0.220171887317835,0.236628112682165,0.3384,0.330616430139223,0.346183569860777,3384,2284,795
"CVM","Logistic",1439331,10000,10,10,2.5,2,0,0.1316,0.122891693409179,0.140308306590821,0.3206,0.311452538261222,0.329747461738778,0.441,0.432832463180524,0.449167536819476,4410,3206,1316
"CVM","Logistic",214327,10000,10,10,3,2,0,0.1978,0.187538748524063,0.208061251475937,0.427,0.417305011018057,0.436694988981943,0.559,0.550832463180524,0.567167536819476,5590,4270,1978
"CVM","Logistic",44814058,10000,10,10,5,2,0,0.595,0.582354620916714,0.607645379083286,0.832,0.824672220789352,0.839327779210648,0.9035,0.898642714428884,0.908357285571116,9035,8320,5950
"CVM","Logistic",45644303,10000,20,20,0,1,1,0.0084,0.00604899387398841,0.0107510061260116,0.0466,0.0424687012320095,0.0507312987679905,0.0966,0.0917404673028058,0.101459532697194,966,466,84
"CVM","Logistic",80220,10000,20,20,0,3,1,0.0098,0.00726241640782102,0.012337583592179,0.0469,0.042756076518274,0.051043923481726,0.0946,0.089785715896304,0.099414284103696,946,469,98
"CVM","Logistic",19456,10000,20,20,0,5,1,0.0088,0.00639415390545114,0.0112058460945489,0.0485,0.0442895226351398,0.0527104773648602,0.0974,0.0925225475371768,0.102277452462823,974,485,88
"CVM","Logistic",803681,10000,20,20,0,2,1,0.0113,0.00857718993386318,0.0140228100661368,0.0525,0.0481285518417806,0.0568714481582194,0.1049,0.0998593165509055,0.109940683449094,1049,525,113
"CVM","Logistic",56975614,10000,20,20,0.5,1,0,0.0455,0.0401316660616538,0.0508683339383462,0.1404,0.133590929533747,0.147209070466253,0.2238,0.216943811290527,0.230656188709473,2238,1404,455
"CVM","Logistic",21123,10000,20,20,1.5,1,0,0.4911,0.47822204061125,0.50397795938875,0.7342,0.725541538110172,0.742858461889828,0.8295,0.823313624330484,0.835686375669516,8295,7342,4911
"CVM","Logistic",199881,10000,20,20,2,1,0,0.7984,0.788065216415553,0.808734783584447,0.9353,0.930478483260882,0.940121516739118,0.9688,0.965940037989343,0.971659962010657,9688,9353,7984
"CVM","Logistic",1186422,10000,20,20,2.5,1,0,0.9457,0.939862559485341,0.951537440514658,0.989,0.986955672081099,0.991044327918901,0.9962,0.995187882417947,0.997212117582053,9962,9890,9457
"CVM","Logistic",121895242,10000,20,20,0.5,3,0,0.0123,0.00946070223032243,0.0151392977696776,0.0604,0.0557307616408669,0.0650692383591331,0.1097,0.104559120755087,0.114840879244913,1097,604,123
"CVM","Logistic",793884,10000,20,20,1.5,3,0,0.0437,0.0384339660452048,0.0489660339547952,0.1389,0.13212149393698,0.14567850606302,0.2214,0.214570138289899,0.228229861710101,2214,1389,437
"CVM","Logistic",128532536,10000,20,20,2,3,0,0.0769,0.0700366933400245,0.0837633066599755,0.2156,0.207539736454532,0.223660263545468,0.324,0.3163014,0.3316986,3240,2156,769
