"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"CVM","Normal",25127,10000,10,10,0,1,1,0.0089,0.00648064499126234,0.0113193550087377,0.0508,0.0464960542129808,0.0551039457870192,0.1016,0.0966301002567859,0.106569899743214,1016,508,89
"CVM","Normal",1341590,10000,10,10,0,3,1,0.0098,0.00726241640782102,0.012337583592179,0.051,0.0466880445456846,0.0553119554543154,0.0955,0.0906652739168206,0.100334726083179,955,510,98
"CVM","Normal",300568,10000,10,10,0,5,1,0.0087,0.00630774187608109,0.0110922581239189,0.0487,0.0444812936141988,0.0529187063858012,0.0972,0.0923270179687998,0.1020729820312,972,487,87
"CVM","Normal",7811581,10000,10,10,0.5,1,0,0.0549,0.0490322593174354,0.0607677406825646,0.1718,0.164406752175018,0.179193247824982,0.2626,0.255361229134231,0.269838770865769,2626,1718,549
"CVM","Normal",3937583,10000,10,10,1.5,1,0,0.6252,0.612730325001152,0.637669674998848,0.8498,0.842797559922884,0.856802440077116,0.9151,0.910514844961839,0.919685155038161,9151,8498,6252
"CVM","Normal",2157457,10000,10,10,2,1,0,0.9011,0.893409926347355,0.908790073652645,0.9786,0.975763612493611,0.981436387506389,0.9911,0.989555031448225,0.992644968551775,9911,9786,9011
"CVM","Normal",48388725,10000,10,10,2.5,1,0,0.9853,0.982199806742086,0.988400193257914,0.9987,0.997993771446627,0.999406228553373,0.9998,0.999567385133966,1.00003261486603,9998,9987,9853
"CVM","Normal",11359021,10000,10,10,0.5,3,0,0.0148,0.011689437600289,0.017910562399711,0.0626,0.0578520546382251,0.0673479453617749,0.1213,0.115929476566314,0.126670523433686,1213,626,148
"CVM","Normal",171114921,10000,10,10,1.5,3,0,0.0509,0.0452381190088325,0.0565618809911675,0.1714,0.16401358091587,0.17878641908413,0.2664,0.259127852586643,0.273672147413357,2664,1714,509
"CVM","Normal",4467490,10000,10,10,2,3,0,0.0982,0.0905342135260251,0.105865786473975,0.2644,0.255756141337204,0.273043858662796,0.3831,0.375102958248829,0.391097041751171,3831,2644,982
"CVM","Normal",124780554,10000,10,10,2.5,3,0,0.1708,0.161105633406811,0.180494366593189,0.3896,0.380041872753808,0.399158127246192,0.5214,0.513182536895179,0.529617463104821,5214,3896,1708
"CVM","Normal",15206829,10000,10,10,0.5,5,0,0.0118,0.00901830642683706,0.0145816935731629,0.053,0.0486089437990388,0.0573910562009612,0.1078,0.10269840013879,0.11290159986121,1078,530,118
"CVM","Normal",102676,10000,10,10,1.5,5,0,0.0246,0.0206097069857485,0.0285902930142515,0.0917,0.0860434009495458,0.0973565990504543,0.1618,0.155742003903278,0.167857996096722,1618,917,246
"CVM","Normal",4386185,10000,10,10,2,5,0,0.0324,0.0278389346618773,0.0369610653381227,0.1187,0.112360670643546,0.125039329356454,0.2016,0.195000342004498,0.208199657995502,2016,1187,324
"CVM","Normal",376631,10000,10,10,2.5,5,0,0.0492,0.0436284889447892,0.0547715110552108,0.1676,0.160279190359093,0.174920809640907,0.2638,0.256550614339139,0.271049385660861,2638,1676,492
"CVM","Normal",4234282,10000,10,10,1,1,0,0.2586,0.247320589311462,0.269879410688538,0.5096,0.499801806502503,0.519398193497497,0.6441,0.636223984795471,0.651976015204529,6441,5096,2586
"CVM","Normal",16823034,10000,10,10,1,3,0,0.0281,0.0238429396232536,0.0323570603767464,0.105,0.09899155294606,0.11100844705394,0.1831,0.176737987435569,0.189462012564431,1831,1050,281
