"method","distribution","seed","N","n1","n2","delta","sd1","sd2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"CVM","Normal2Var",60861,10000,10,10,0.5,1,3,0,0.0383,0.0333561526384469,0.0432438473615532,0.1617,0.154483762563662,0.168916237436338,0.3139,0.306265945258843,0.321534054741157,3139,1617,383
"CVM","Normal2Var",256791894,10000,10,10,1.5,1,3,0,0.1685,0.1588577821801,0.1781422178199,0.3946,0.385020213723971,0.404179786276029,0.5655,0.557345880021463,0.573654119978537,5655,3946,1685
"CVM","Normal2Var",301851765,10000,10,10,2,1,3,0,0.2904,0.278706326381142,0.302093673618858,0.5623,0.552576370860959,0.572023629139041,0.7102,0.702737137726321,0.717662862273679,7102,5623,2904
"CVM","Normal2Var",112224068,10000,10,10,2.5,1,3,0,0.4538,0.440975101036365,0.466624898963635,0.7175,0.708675781564354,0.726324218435646,0.837,0.830923934687851,0.843076065312149,8370,7175,4538
"CVM","Normal2Var",54565,10000,10,10,0.5,3,5,0,0.0147,0.0115998067420859,0.0178001932579141,0.0707,0.0656760680655885,0.0757239319344115,0.1469,0.141076598001599,0.152723401998401,1469,707,147
"CVM","Normal2Var",25796,10000,10,10,1.5,3,5,0,0.0354,0.0306398447362734,0.0401601552637266,0.1315,0.12487625111889,0.13812374888111,0.2286,0.221692135143252,0.235507864856748,2286,1315,354
"CVM","Normal2Var",120623327,10000,10,10,2,3,5,0,0.0593,0.0532158659050465,0.0653841340949535,0.192,0.184280087710343,0.199719912289657,0.2952,0.28769661852773,0.30270338147227,2952,1920,593
"CVM","Normal2Var",3420886,10000,10,10,2.5,3,5,0,0.1006,0.0928514348192672,0.108348565180733,0.2583,0.249721084030159,0.266878915969841,0.3814,0.373409734606466,0.389390265393534,3814,2583,1006
"CVM","Normal2Var",28448,10000,10,10,0.5,1,5,0,0.0474,0.0419261824444521,0.0528738175555479,0.222,0.213854413553341,0.230145586446659,0.4723,0.464087631620064,0.480512368379936,4723,2220,474
"CVM","Normal2Var",6314277,10000,10,10,1.5,1,5,0,0.1156,0.107363377864484,0.123836622135515,0.3494,0.340055102306478,0.358744897693522,0.5815,0.573385000582602,0.589614999417398,5815,3494,1156
"CVM","Normal2Var",29478959,10000,10,10,2,1,5,0,0.1675,0.157880657560935,0.177119342439065,0.4235,0.413815383350901,0.433184616649099,0.6433,0.635420036013485,0.651179963986515,6433,4235,1675
"CVM","Normal2Var",8955074,10000,10,10,2.5,1,5,0,0.2319,0.221028108349396,0.242771891650604,0.5102,0.500402039396201,0.519997960603799,0.7215,0.714126109744892,0.728873890255108,7215,5102,2319
"CVM","Normal2Var",4133286,10000,10,10,1,1,3,0,0.0873,0.0800286172461563,0.0945713827538437,0.2651,0.256448825763031,0.273751174236969,0.4308,0.422654154000695,0.438945845999305,4308,2651,873
"CVM","Normal2Var",319792893,10000,10,10,1,3,5,0,0.0248,0.0207939298916649,0.0288060701083351,0.097,0.0911992277617545,0.102800772238246,0.1766,0.170327124280276,0.182872875719724,1766,970,248
