"method","distribution","seed","N","n1","n2","delta","sd","g1","g2","h","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"CVM","ghEqual",33687,10000,10,10,0,3,1,1,0,1,0.0089,0.00648064499126234,0.0113193550087377,0.0514,0.0470720803327234,0.0557279196672767,0.0988,0.0938914302559299,0.10370856974407,988,514,89
"CVM","ghEqual",63222633,10000,10,10,0,3,3,3,0,1,0.0095,0.00700118041435561,0.0119988195856444,0.0484,0.0441936445525372,0.0526063554474628,0.102,0.0970214352881578,0.106978564711842,1020,484,95
"CVM","ghEqual",12333925,10000,10,10,0,3,-3,-3,0,1,0.0117,0.00892997819822009,0.0144700218017799,0.0493,0.0450567240295262,0.0535432759704738,0.1007,0.0957496838681984,0.105650316131802,1007,493,117
"CVM","ghEqual",27061,10000,10,10,0,3,-1,-1,0,1,0.0079,0.00561946296632043,0.0101805370336796,0.0473,0.0431393160810271,0.0514606839189729,0.0964,0.0915449631523952,0.101255036847605,964,473,79
"CVM","ghEqual",31857,10000,10,10,0.5,3,1,1,0,0,0.0178,0.014393912309817,0.021206087690183,0.0776,0.0723561944469307,0.0828438055530693,0.1416,0.135864881663156,0.147335118336844,1416,776,178
"CVM","ghEqual",152539,10000,10,10,0.5,3,3,3,0,0,0.0412,0.0360801353573892,0.0463198646426108,0.1525,0.145453704590354,0.159546295409646,0.2772,0.269836715393495,0.284563284606505,2772,1525,412
"CVM","ghEqual",6967573,10000,10,10,0.5,3,1,3,0,0,0.0524,0.0466598396007582,0.0581401603992418,0.1878,0.180145173390233,0.195454826609767,0.3234,0.315705119020082,0.331094880979918,3234,1878,524
"CVM","ghEqual",103157,10000,10,10,0.5,3,-1,1,0,0,0.0504,0.0447645126418752,0.0560354873581248,0.1781,0.170601100705944,0.185598899294056,0.2906,0.283131054347292,0.298068945652708,2906,1781,504
"CVM","ghEqual",34780346,10000,10,10,0.5,3,-3,3,0,0,0.1547,0.145384708492225,0.164015291507775,0.3909,0.381336140083084,0.400463859916916,0.5486,0.540413946450267,0.556786053549733,5486,3909,1547
"CVM","ghEqual",859826,10000,10,10,0.5,3,-1,3,0,0,0.0972,0.089569117500078,0.104830882499922,0.289,0.280115360860451,0.297884639139549,0.4403,0.432133839743443,0.448466160256557,4403,2890,972
"CVM","ghEqual",94889891,10000,10,10,0.5,3,1,-3,0,0,0.0276,0.0233798987112364,0.0318201012887636,0.1148,0.108551903650423,0.121048096349577,0.2183,0.211504634419049,0.225095365580951,2183,1148,276
"CVM","ghEqual",308080,10000,10,10,1,3,1,1,0,0,0.0387,0.0337314368692492,0.0436685631307508,0.1471,0.140157570712323,0.154042429287677,0.2448,0.237727017237516,0.251872982762484,2448,1471,387
"CVM","ghEqual",40514354,10000,10,10,1,3,3,3,0,0,0.1014,0.0936241469728458,0.109175853027154,0.2842,0.275359762045194,0.293040237954806,0.4498,0.441616559655261,0.457983440344739,4498,2842,1014
"CVM","ghEqual",29223,10000,10,10,1,3,1,3,0,0,0.1155,0.107266475741118,0.123733524258882,0.3008,0.291811324606061,0.309788675393939,0.4652,0.456994945792476,0.473405054207524,4652,3008,1155
"CVM","ghEqual",104486,10000,10,10,1,3,-1,1,0,0,0.0926,0.0851329211134056,0.100067078886594,0.2832,0.274369166546605,0.292030833453395,0.4172,0.409088562546848,0.425311437453152,4172,2832,926
"CVM","ghEqual",3691473,10000,10,10,1,3,-3,3,0,0,0.303,0.291161857539225,0.314838142460775,0.594,0.584374743523417,0.603625256476583,0.735,0.727740068737412,0.742259931262588,7350,5940,3030
"CVM","ghEqual",2120314,10000,10,10,1,3,-1,3,0,0,0.1981,0.187832890279107,0.208367109720893,0.4491,0.439350912123157,0.458849087876843,0.598,0.589934532958966,0.606065467041034,5980,4491,1981
"CVM","ghEqual",514513,10000,10,10,1,3,1,-3,0,0,0.016,0.0127677614979089,0.0192322385020911,0.0868,0.0812817815953335,0.0923182184046665,0.173,0.166777832348972,0.179222167651028,1730,868,160
