"method","distribution","seed","N","n1","n2","delta","sd","g1","g2","h","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"CVM","ghEqualK",304817,10000,10,10,0,3,1,1,0.2,1,0.0093,0.00682737409756834,0.0117726259024317,0.0497,0.0454404410761676,0.0539595589238324,0.1001,0.0951628074279025,0.105037192572098,1001,497,93
"CVM","ghEqualK",960659,10000,10,10,0,3,3,3,0.2,1,0.0096,0.00708818996570521,0.0121118100342948,0.0497,0.0454404410761676,0.0539595589238324,0.0999,0.0949671940952461,0.104832805904754,999,497,96
"CVM","ghEqualK",109950918,10000,10,10,0,3,-3,-3,0.2,1,0.0093,0.00682737409756834,0.0117726259024317,0.0514,0.0470720803327234,0.0557279196672767,0.0976,0.092718083416362,0.102481916583638,976,514,93
"CVM","ghEqualK",243345,10000,10,10,0,3,-1,-1,0.2,1,0.0112,0.00848912745672984,0.0139108725432702,0.0534,0.0489933358750184,0.0578066641249816,0.1023,0.0973149521453877,0.107285047854612,1023,534,112
"CVM","ghEqualK",276668,10000,10,10,0.5,3,1,1,0.2,0,0.0162,0.012947953288365,0.019452046711635,0.0679,0.0629691452166587,0.0728308547833413,0.1242,0.118774632385552,0.129625367614448,1242,679,162
"CVM","ghEqualK",25429789,10000,10,10,0.5,3,3,3,0.2,0,0.0274,0.0231947843431015,0.0316052156568985,0.1238,0.117344676397763,0.130255323602237,0.2176,0.210812501155094,0.224387498844906,2176,1238,274
"CVM","ghEqualK",3005820,10000,10,10,0.5,3,1,3,0.2,0,0.0494,0.0438177634224207,0.0549822365775793,0.165,0.157724861238437,0.172275138761563,0.2816,0.274201130125648,0.288998869874352,2816,1650,494
"CVM","ghEqualK",55290317,10000,10,10,0.5,3,-1,1,0.2,0,0.0374,0.0325122994735536,0.0422877005264464,0.1371,0.130358523371367,0.143841476628633,0.238,0.230994617284545,0.245005382715455,2380,1371,374
"CVM","ghEqualK",583210,10000,10,10,0.5,3,-3,3,0.2,0,0.1292,0.120559550710111,0.137840449289889,0.3433,0.333993712154806,0.352606287845194,0.4953,0.487075363388527,0.503524636611473,4953,3433,1292
"CVM","ghEqualK",196243949,10000,10,10,0.5,3,-1,3,0.2,0,0.0838,0.0766622224047918,0.0909377775952082,0.2521,0.24358932001222,0.26061067998778,0.3847,0.376696675002802,0.392703324997198,3847,2521,838
"CVM","ghEqualK",144651,10000,10,10,0.5,3,1,-3,0.2,0,0.0215,0.0177636676199246,0.0252363323800754,0.098,0.0921726328964103,0.10382736710359,0.1997,0.19312370414323,0.20627629585677,1997,980,215
"CVM","ghEqualK",307714,10000,10,10,1,3,1,1,0.2,0,0.0296,0.0252341671115371,0.0339658328884629,0.1085,0.102404187302746,0.114595812697254,0.1844,0.178020524568932,0.190779475431068,1844,1085,296
"CVM","ghEqualK",323347297,10000,10,10,1,3,3,3,0.2,0,0.082,0.074932364793115,0.089067635206885,0.2346,0.226294528272615,0.242905471727385,0.3756,0.367633636093198,0.383566363906802,3756,2346,820
"CVM","ghEqualK",7548507,10000,10,10,1,3,1,3,0.2,0,0.0995,0.0917892032146088,0.107210796785391,0.2692,0.260506535831005,0.277893464168995,0.4143,0.406196717477172,0.422403282522828,4143,2692,995
"CVM","ghEqualK",26097,10000,10,10,1,3,-1,1,0.2,0,0.0769,0.0700366933400245,0.0837633066599755,0.2329,0.224615490372122,0.241184509627878,0.3527,0.344840020096541,0.360559979903459,3527,2329,769
"CVM","ghEqualK",107659654,10000,10,10,1,3,-3,3,0.2,0,0.2548,0.243575112587999,0.266024887412001,0.5312,0.521419098032922,0.540980901967078,0.6755,0.66779831185068,0.68320168814932,6755,5312,2548
"CVM","ghEqualK",59788,10000,10,10,1,3,-1,3,0.2,0,0.158,0.148604271736922,0.167395728263078,0.3883,0.378747676830341,0.397852323169659,0.5371,0.528897673195186,0.545302326804814,5371,3883,1580
"CVM","ghEqualK",641373,10000,10,10,1,3,1,-3,0.2,0,0.0164,0.0131282731152029,0.0196717268847971,0.0783,0.0730345954288773,0.0835654045711227,0.167,0.160864546929729,0.173135453070271,1670,783,164
"CVM","ghEqualK",3106749,10000,10,10,1.5,3,1,1,0.2,0,0.067,0.0605594333049335,0.0734405666950665,0.1958,0.188022420671083,0.203577579328917,0.3036,0.296036093232224,0.311163906767775,3036,1958,670
"CVM","ghEqualK",31470,10000,10,10,1.5,3,3,3,0.2,0,0.1421,0.133105827108956,0.151094172891044,0.3518,0.342440373847124,0.361159626152876,0.5226,0.514383406297796,0.530816593702204,5226,3518,1421
"CVM","ghEqualK",28990499,10000,10,10,1.5,3,1,3,0.2,0,0.1739,0.164136355440354,0.183663644559646,0.402,0.392390081823449,0.411609918176551,0.5607,0.552535834837855,0.568864165162145,5607,4020,1739
"CVM","ghEqualK",1545389,10000,10,10,1.5,3,-1,1,0.2,0,0.146,0.136903983867736,0.155096016132264,0.35,0.340651395826114,0.359348604173886,0.4852,0.476978603997593,0.493421396002407,4852,3500,1460
"CVM","ghEqualK",2007978,10000,10,10,1.5,3,-3,3,0.2,0,0.5307,0.517844301467918,0.543555698532082,0.7952,0.787290314181107,0.803109685818893,0.8802,0.874858232352872,0.885541767647128,8802,7952,5307
"CVM","ghEqualK",36030,10000,10,10,1.5,3,-1,3,0.2,0,0.2881,0.276433865361652,0.299766134638348,0.5751,0.565411174799884,0.584788825200116,0.7064,0.698908491558998,0.713891508441002,7064,5751,2881
"CVM","ghEqualK",3961600,10000,10,10,1.5,3,1,-3,0.2,0,0.0155,0.0123178579098978,0.0186821420901022,0.084,0.0785631988228371,0.0894368011771629,0.1681,0.161948439194808,0.174251560805192,1681,840,155
"CVM","ghEqualK",178633471,10000,10,10,2,3,1,1,0.2,0,0.12,0.111628990827863,0.128371009172137,0.3133,0.30420882971573,0.32239117028427,0.4418,0.433630910124873,0.449969089875127,4418,3133,1200
"CVM","ghEqualK",869048,10000,10,10,2,3,3,3,0.2,0,0.2032,0.192834688139888,0.213565311860112,0.4557,0.445938540588539,0.465461459411461,0.6292,0.621254337353977,0.637145662646023,6292,4557,2032
"CVM","ghEqualK",5760748,10000,10,10,2,3,1,3,0.2,0,0.263,0.251658840015871,0.274341159984129,0.5298,0.520017421068369,0.539582578931632,0.6906,0.682996048398162,0.698203951601838,6906,5298,2630
"CVM","ghEqualK",182245395,10000,10,10,2,3,-1,1,0.2,0,0.2589,0.247616332230241,0.270183667769759,0.5163,0.506505208908323,0.526094791091677,0.6515,0.643661652676146,0.659338347323854,6515,5163,2589
"CVM","ghEqualK",21570,10000,10,10,2,3,-3,3,0.2,0,0.94,0.933882338956758,0.946117661043242,0.9896,0.987611605357481,0.991588394642519,0.9962,0.995187882417947,0.997212117582053,9962,9896,9400
"CVM","ghEqualK",226263,10000,10,10,2,3,-1,3,0.2,0,0.4857,0.472825268740025,0.498574731259975,0.7562,0.747784280370069,0.764615719629931,0.8576,0.851851384214474,0.863348615785526,8576,7562,4857
"CVM","ghEqualK",1252012,10000,10,10,2,3,1,-3,0.2,0,0.0276,0.0233798987112364,0.0318201012887636,0.1063,0.100258864420525,0.112341135579475,0.2014,0.194802790308085,0.207997209691915,2014,1063,276
"CVM","ghEqualK",39734,10000,10,10,2.5,3,1,1,0.2,0,0.1914,0.181265934804596,0.201534065195404,0.4321,0.422390784537647,0.441809215462353,0.5698,0.561655539379683,0.577944460620317,5698,4321,1914
"CVM","ghEqualK",5241901,10000,10,10,2.5,3,3,3,0.2,0,0.2913,0.279595649536883,0.303004350463117,0.5588,0.549068001754542,0.568531998245458,0.7256,0.718259821981341,0.732940178018659,7256,5588,2913
"CVM","ghEqualK",161202327,10000,10,10,2.5,3,1,3,0.2,0,0.3659,0.353491881282848,0.378308118717152,0.6459,0.636526502303281,0.655273497696719,0.7884,0.781681117568554,0.795118882431446,7884,6459,3659
"CVM","ghEqualK",69315398,10000,10,10,2.5,3,-1,1,0.2,0,0.4134,0.400714659642952,0.426085340357048,0.6958,0.686782671558738,0.704817328441262,0.8055,0.798988838350619,0.812011161649381,8055,6958,4134
"CVM","ghEqualK",63738784,10000,10,10,2.5,3,-3,3,0.2,0,0.9938,0.991777953215908,0.995822046784092,0.9999,0.999704009800245,1.00009599019976,0.9999,0.999735508225206,1.00006449177479,9999,9999,9938
