"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Cucconi","Logistic",1143008,1000,10,10,0,1,1,0.01,0.00189480522134107,0.0181051947786589,0.06,0.0452804130492734,0.0747195869507266,0.11,0.0937236414545513,0.126276358545449
"Cucconi","Logistic",7233256,1000,10,10,0,3,1,0.01,0.00189480522134107,0.0181051947786589,0.044,0.031288074009026,0.056711925990974,0.092,0.0769650239641029,0.107034976035897
"Cucconi","Logistic",98352,1000,10,10,0.5,1,0,0.013,0.00377266875765262,0.0222273312423474,0.069,0.0532907497823734,0.0847092502176266,0.141,0.1228961042321,0.1591038957679
"Cucconi","Logistic",187827097,1000,10,10,1.5,1,0,0.132,0.104426449793761,0.159573550206239,0.311,0.282308987358408,0.339691012641592,0.441,0.415171980777168,0.466828019222832
"Cucconi","Logistic",47219986,1000,10,10,2,1,0,0.28,0.243424428348965,0.316575571651035,0.541,0.510114044123583,0.571885955876417,0.678,0.653694269114055,0.702305730885946
"Cucconi","Logistic",28243917,1000,10,10,2.5,1,0,0.486,0.445285833081052,0.526714166918948,0.745,0.717985041921187,0.772014958078813,0.847,0.828273641951116,0.865726358048884
"Cucconi","Logistic",308019515,1000,10,10,0.5,3,0,0.008,0.000743174362298623,0.0152568256377014,0.055,0.0408696369473392,0.0691303630526608,0.107,0.0909200934463225,0.123079906553677
"Cucconi","Logistic",68966,1000,10,10,1.5,3,0,0.024,0.0115325857923946,0.0364674142076054,0.083,0.0659006427723145,0.100099357227685,0.153,0.134273641951116,0.171726358048884
"Cucconi","Logistic",28452310,1000,10,10,2,3,0,0.025,0.0122820190281633,0.0377179809718367,0.091,0.073173802693788,0.108826197306212,0.163,0.143785794401667,0.182214205598333
"Cucconi","Logistic",17460191,1000,10,10,2.5,3,0,0.03,0.0161039184803773,0.0438960815196227,0.129,0.108224092453036,0.149775907546964,0.215,0.193629240318253,0.236370759681747
"Cucconi","Logistic",20451321,1000,20,20,0,1,1,0.005,-0.000745692786775151,0.0107456927867752,0.049,0.0356203617986135,0.0623796382013865,0.1,0.0843941597470691,0.115605840252931
"Cucconi","Logistic",13267118,1000,20,20,0,3,1,0.007,0.000208440607931048,0.013791559392069,0.05,0.0364916322229516,0.0635083677770484,0.105,0.0890532542700713,0.120946745729929
"Cucconi","Logistic",8326528,1000,20,20,0.5,1,0,0.032,0.017662992035435,0.046337007964565,0.109,0.0896844013709127,0.128315598629087,0.192,0.171510932319893,0.212489067680107
"Cucconi","Logistic",8285345,1000,20,20,1.5,1,0,0.373,0.333605640392361,0.412394359607639,0.619,0.5889001810238,0.6490998189762,0.744,0.721297569610282,0.766702430389718
"Cucconi","Logistic",19801803,1000,20,20,2,1,0,0.701,0.663705871590504,0.738294128409496,0.883,0.863078164301451,0.902921835698549,0.935,0.922175855998352,0.947824144001648
"Cucconi","Logistic",786317,1000,20,20,2.5,1,0,0.894,0.868923463619072,0.919076536380928,0.972,0.961774884567889,0.982225115432111,0.988,0.982335846718176,0.993664153281824
"Cucconi","Logistic",824806,1000,20,20,0.5,3,0,0.012,0.00313017698846251,0.0208698230115375,0.05,0.0364916322229516,0.0635083677770484,0.1,0.0843941597470691,0.115605840252931
"Cucconi","Logistic",326812,1000,20,20,1.5,3,0,0.028,0.0145612768606538,0.0414387231393462,0.091,0.073173802693788,0.108826197306212,0.17,0.150459781794975,0.189540218205025
"Cucconi","Logistic",3094228,1000,20,20,2,3,0,0.062,0.0423554030569217,0.0816445969430783,0.162,0.139163182148119,0.184836817851881,0.247,0.224565733892659,0.269434266107341
"Cucconi","Logistic",56428,1000,20,20,2.5,3,0,0.085,0.062282221094482,0.107717778905518,0.226,0.200077267921764,0.251922732078236,0.334,0.309465554314393,0.358534445685607
"Cucconi","Logistic",100021094,1000,100,100,0,1,1,0.011,0.00250349441805633,0.0194965055819437,0.05,0.0364916322229516,0.0635083677770484,0.111,0.0946590134638388,0.127340986536161
"Cucconi","Logistic",25625728,1000,100,100,0,3,1,0.013,0.00377266875765262,0.0222273312423474,0.058,0.0435124309285512,0.0724875690714488,0.106,0.0899864509523966,0.122013549047603
"Cucconi","Logistic",23358,1000,100,100,0.5,1,0,0.213,0.179647912109495,0.246352087890505,0.434,0.403280853032677,0.464719146967323,0.553,0.527136801710249,0.578863198289751
"Cucconi","Logistic",540882,1000,100,100,1.5,1,0,1,1,1,1,1,1,1,1,1
"Cucconi","Logistic",390143,1000,100,100,2,1,0,1,1,1,1,1,1,1,1,1
"Cucconi","Logistic",221637,1000,100,100,2.5,1,0,1,1,1,1,1,1,1,1,1
"Cucconi","Logistic",143737,1000,100,100,0.5,3,0,0.015,0.00509830366048322,0.0249016963395168,0.083,0.0659006427723145,0.100099357227685,0.162,0.142833385017171,0.181166614982829
"Cucconi","Logistic",528102,1000,100,100,1.5,3,0,0.213,0.179647912109495,0.246352087890505,0.437,0.406256664305902,0.467743335694098,0.554,0.528142399935416,0.579857600064585
"Cucconi","Logistic",324776176,1000,100,100,2,3,0,0.428,0.387694365937055,0.468305634062945,0.675,0.645969826042547,0.704030173957453,0.784,0.762593246448842,0.805406753551158
"Cucconi","Logistic",27137155,1000,100,100,2.5,3,0,0.67,0.631696343861193,0.708303656138807,0.857,0.835302259988653,0.878697740011347,0.921,0.906968333207527,0.935031666792473
"Cucconi","Logistic",42512151,1000,10,100,0,1,1,0.011,0.00250349441805633,0.0194965055819437,0.045,0.0321511572505536,0.0578488427494463,0.103,0.0871882209800731,0.118811779019927
"Cucconi","Logistic",60907,1000,10,100,0,3,1,0.009,0.00130685460010016,0.0166931453998998,0.05,0.0364916322229516,0.0635083677770484,0.102,0.0862563960320389,0.117743603967961
"Cucconi","Logistic",80312,1000,10,100,0.5,1,0,0.033,0.0184482218290684,0.0475517781709316,0.12,0.0998586753166531,0.140141324683347,0.201,0.180153299806084,0.221846700193916
"Cucconi","Logistic",6040963,1000,10,100,1.5,1,0,0.432,0.391648294066099,0.472351705933901,0.651,0.621456681323859,0.680543318676141,0.745,0.722326731612425,0.767673268387575
"Cucconi","Logistic",36679,1000,10,100,2,1,0,0.688,0.650258654858948,0.725741345141052,0.863,0.841688120458298,0.884311879541702,0.91,0.895112977211679,0.924887022788321
"Cucconi","Logistic",27013,1000,10,100,2.5,1,0,0.908,0.884455867313999,0.931544132686001,0.969,0.958257662153888,0.979742337846112,0.985,0.978676905870146,0.991323094129854
"Cucconi","Logistic",44638,1000,10,100,0.5,3,0,0.013,0.00377266875765262,0.0222273312423474,0.052,0.038238622394542,0.065761377605458,0.105,0.0890532542700713,0.120946745729929
"Cucconi","Logistic",799452,1000,10,100,1.5,3,0,0.024,0.0115325857923946,0.0364674142076054,0.107,0.087840962404129,0.126159037595871,0.19,0.16959271582253,0.21040728417747
"Cucconi","Logistic",205232,1000,10,100,2,3,0,0.062,0.0423554030569217,0.0816445969430783,0.177,0.153343928610186,0.200656071389814,0.255,0.232326731612425,0.277673268387575
"Cucconi","Logistic",207845,1000,10,100,2.5,3,0,0.115,0.0890123855962114,0.140987614403789,0.275,0.247324758356972,0.302675241643028,0.376,0.350802809489945,0.401197190510055
