"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Cucconi","Normal",168241,1000,10,10,0,1,1,0.013,0.00377266875765262,0.0222273312423474,0.049,0.0356203617986135,0.0623796382013865,0.102,0.0862563960320389,0.117743603967961
"Cucconi","Normal",225515,1000,10,10,0,3,1,0.017,0.00646954641356793,0.0275304535864321,0.061,0.0461661533512039,0.0758338466487961,0.107,0.0909200934463225,0.123079906553677
"Cucconi","Normal",1455619,1000,10,10,0.5,1,0,0.04,0.0240371118402715,0.0559628881597285,0.133,0.111952939929767,0.154047060070233,0.22,0.198451127871742,0.241548872128258
"Cucconi","Normal",33450613,1000,10,10,1.5,1,0,0.511,0.470279721622956,0.551720278377045,0.774,0.748077267921764,0.799922732078236,0.864,0.846168321402627,0.881831678597373
"Cucconi","Normal",371051,1000,10,10,2,1,0,0.813,0.781237700633361,0.844762299366639,0.952,0.938750631954693,0.965249368045307,0.979,0.971541235492724,0.986458764507276
"Cucconi","Normal",163552848,1000,10,10,2.5,1,0,0.963,0.947623416027739,0.978376583972261,0.997,0.993610276471451,1.00038972352855,0.998,0.995675946235562,1.00032405376444
"Cucconi","Normal",152342895,1000,10,10,0.5,3,0,0.015,0.00509830366048322,0.0249016963395168,0.06,0.0452804130492734,0.0747195869507266,0.111,0.0946590134638388,0.127340986536161
"Cucconi","Normal",77861,1000,10,10,1.5,3,0,0.038,0.0224251026502259,0.0535748973497741,0.14,0.118493520976227,0.161506479023773,0.229,0.207141979321654,0.250858020678346
"Cucconi","Normal",194424,1000,10,10,2,3,0,0.05,0.0322461452073078,0.0677538547926922,0.179,0.15523957714181,0.20276042285819,0.307,0.283006052330327,0.330993947669673
"Cucconi","Normal",44378,1000,10,10,2.5,3,0,0.093,0.0693412945963647,0.116658705403635,0.285,0.257021042907213,0.312978957092787,0.435,0.409210985005724,0.460789014994276
"Cucconi","Normal",198535662,1000,20,20,0,1,1,0.01,0.00189480522134107,0.0181051947786589,0.038,0.0261495346251719,0.0498504653748281,0.095,0.0797471150474738,0.110252884952526
