"method","distribution","seed","N","n1","n2","delta","sd1","sd2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Cucconi","Normal2Var",104481785,1000,10,10,0,1,2,1,0.07,0.0492156545063358,0.0907843454936642,0.26,0.232813167893261,0.287186832106739,0.404,0.378474179276662,0.429525820723338
"Cucconi","Normal2Var",21130,1000,10,10,0,3,5,1,0.052,0.0339136180042552,0.0700863819957448,0.185,0.16093306749916,0.20906693250084,0.3,0.276161685252518,0.323838314747482
"Cucconi","Normal2Var",26934,1000,10,10,0,1,5,1,0.611,0.571286216449399,0.650713783550601,0.874,0.853431763361921,0.894568236638079,0.937,0.924361196188919,0.949638803811081
"Cucconi","Normal2Var",790602,1000,10,10,0.5,1,2,0,0.097,0.0728911996230422,0.121108800376958,0.308,0.279385611004252,0.336614388995748,0.455,0.429095819847465,0.480904180152535
"Cucconi","Normal2Var",4278014,1000,10,10,1.5,1,2,0,0.28,0.243424428348965,0.316575571651035,0.601,0.570648528233379,0.631351471766621,0.726,0.702798850953024,0.749201149046976
"Cucconi","Normal2Var",186120,1000,10,10,2,1,2,0,0.46,0.419400409381374,0.500599590618626,0.763,0.736643210180297,0.789356789819703,0.871,0.853563077594512,0.888436922405488
"Cucconi","Normal2Var",1156271,1000,10,10,2.5,1,2,0,0.663,0.624494960492736,0.701505039507265,0.884,0.864152253770264,0.903847746229736,0.944,0.932039594254374,0.955960405745626
"Cucconi","Normal2Var",209217877,1000,10,10,0.5,3,5,0,0.045,0.0281129495292991,0.0618870504707009,0.166,0.142938203226982,0.189061796773018,0.277,0.25372043100109,0.30027956899891
"Cucconi","Normal2Var",288109,1000,10,10,1.5,3,5,0,0.062,0.0423554030569217,0.0816445969430783,0.199,0.17425434990953,0.22374565009047,0.333,0.308483925298388,0.357516074701612
"Cucconi","Normal2Var",147499486,1000,10,10,2,3,5,0,0.084,0.0614039129815802,0.10659608701842,0.24,0.213529113350702,0.266470886649298,0.362,0.337000545807958,0.386999454192042
"Cucconi","Normal2Var",369170,1000,10,10,2.5,3,5,0,0.098,0.0737806677363722,0.122219332263628,0.284,0.256050647406425,0.311949352593575,0.418,0.392342429228393,0.443657570771607
"Cucconi","Normal2Var",51724310,1000,10,10,0.5,1,5,0,0.624,0.584542271882127,0.663457728117873,0.86,0.838493520976227,0.881506479023773,0.942,0.929840790243605,0.954159209756394
"Cucconi","Normal2Var",106141,1000,10,10,1.5,1,5,0,0.624,0.584542271882127,0.663457728117873,0.875,0.854501829349915,0.895498170650085,0.935,0.922175855998352,0.947824144001648
"Cucconi","Normal2Var",338171887,1000,10,10,2,1,5,0,0.662,0.623466966189307,0.700533033810693,0.916,0.898807325094681,0.933192674905319,0.954,0.94310269753104,0.96489730246896
"Cucconi","Normal2Var",4446424,1000,10,10,2.5,1,5,0,0.647,0.608069915021721,0.685930084978279,0.903,0.884656347539271,0.921343652460729,0.963,0.953180714039453,0.972819285960547
"Cucconi","Normal2Var",94076852,1000,20,20,0,1,2,1,0.319,0.281032259186725,0.356967740813275,0.593,0.562550467957619,0.623449532042381,0.712,0.688443967600634,0.735556032399366
"Cucconi","Normal2Var",31606028,1000,20,20,0,3,5,1,0.116,0.0899143906694898,0.14208560933051,0.342,0.312597648094072,0.371402351905928,0.488,0.461997758127423,0.514002241872577
"Cucconi","Normal2Var",775485,1000,20,20,0,1,5,1,0.985,0.975098303660483,0.994901696339517,0.997,0.993610276471451,1.00038972352855,0.999,0.997355822705728,1.00064417729427
"Cucconi","Normal2Var",195317,1000,20,20,0.5,1,2,0,0.387,0.347323662262553,0.426676337737448,0.644,0.614322726162937,0.673677273837063,0.774,0.752243421291481,0.795756578708519
"Cucconi","Normal2Var",4619283,1000,20,20,1.5,1,2,0,0.766,0.731511987106474,0.800488012893526,0.932,0.916396627236395,0.947603372763605,0.971,0.962270798548836,0.979729201451164
"Cucconi","Normal2Var",98203763,1000,20,20,2,1,2,0,0.918,0.895650175075048,0.940349824924952,0.983,0.974987698358149,0.991012301641851,0.995,0.991330875530184,0.998669124469816
"Cucconi","Normal2Var",38934347,1000,20,20,2.5,1,2,0,0.988,0.979130176988462,0.996869823011537,0.999,0.997040980245123,1.00095901975488,1,1,1
