"method","distribution","seed","N","n1","n2","delta","scale1","scale2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"Gastwirth","Cauchy",241124909,10000,10,10,0,1,1,1,0.121,0.112598961376211,0.129401038623789,0.2182,0.210104731132223,0.226295268867777,0.357,0.349118561395437,0.364881438604563,3570,2182,1210
"Gastwirth","Cauchy",75960,10000,10,10,0,0.5,0.5,1,0.1261,0.117548658082435,0.134651341917565,0.2183,0.21020339420142,0.22639660579858,0.365,0.357080473850192,0.372919526149808,3650,2183,1261
"Gastwirth","Cauchy",13908311,10000,10,10,0,2,2,1,0.122,0.113569117590572,0.130430882409428,0.2097,0.201720948327928,0.217679051672072,0.3542,0.346332455626315,0.362067544373685,3542,2097,1220
"Gastwirth","Cauchy",289841349,10000,10,10,0.5,1,1,0,0.1351,0.126294450115466,0.143905549884534,0.2315,0.223232894022695,0.239767105977305,0.3742,0.366239587494866,0.382160412505134,3742,2315,1351
"Gastwirth","Cauchy",2196323,10000,10,10,0.5,0.5,0.5,0,0.1707,0.161007887378999,0.180392112621001,0.2789,0.27011021856208,0.28768978143792,0.4128,0.404701049025559,0.420898950974441,4128,2789,1707
"Gastwirth","Cauchy",2357586,10000,10,10,0.5,2,2,0,0.1254,0.116869011363999,0.133930988636001,0.2209,0.212768876985902,0.229031123014098,0.3648,0.356881397151113,0.372718602848887,3648,2209,1254
"Gastwirth","Cauchy",49696212,10000,10,10,0.5,0.5,2,0,0.073,0.0662988836922793,0.0797011163077207,0.1387,0.131925589250009,0.145474410749991,0.2751,0.267754011445423,0.282445988554577,2751,1387,730
"Gastwirth","Cauchy",85218,10000,10,10,0.5,1,2,0,0.1107,0.1026175353229,0.1187824646771,0.1953,0.187529943198045,0.203070056801955,0.3377,0.329920372369273,0.345479627630727,3377,1953,1107
"Gastwirth","Cauchy",38230,10000,10,10,1,1,1,0,0.1765,0.166679128800845,0.186320871199155,0.2877,0.278827265740844,0.296572734259156,0.429,0.420858346740526,0.437141653259474,4290,2877,1765
"Gastwirth","Cauchy",6616323,10000,10,10,1,0.5,0.5,0,0.2734,0.261918653852037,0.284881346147963,0.4249,0.415211174799884,0.434588825200116,0.5367,0.528497186263313,0.544902813736687,5367,4249,2734
