"method","distribution","seed","N","n1","n2","delta","rate1","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"Gastwirth","Exp",15394228,10000,10,10,0,1,1,0.1215,0.113084016398875,0.129915983601125,0.2146,0.206553326522444,0.222646673477556,0.3591,0.35120833319368,0.36699166680632,3591,2146,1215
"Gastwirth","Exp",1187257,10000,10,10,0,0.5,1,0.1173,0.10901101358162,0.12558898641838,0.2114,0.203397292397794,0.219402707602206,0.356,0.348123489887012,0.363876510112988,3560,2114,1173
"Gastwirth","Exp",541586,10000,10,10,0,0.25,1,0.1241,0.115607041291626,0.132592958708374,0.2191,0.210992723750211,0.227207276249789,0.3662,0.358274964985573,0.374125035014427,3662,2191,1241
"Gastwirth","Exp",2411988,10000,10,10,0,0.125,1,0.124,0.115509979197764,0.132490020802236,0.2119,0.203890374446805,0.219909625553195,0.3605,0.352601605688535,0.368398394311464,3605,2119,1240
"Gastwirth","Exp",3971095,10000,10,10,0.5,1,0,0.4364,0.423624623091623,0.449175376908377,0.5852,0.575543325251744,0.594856674748256,0.7381,0.730867453172984,0.745332546827016,7381,5852,4364
"Gastwirth","Exp",874417,10000,10,10,0.5,0.5,0,0.2626,0.251264392857009,0.273935607142991,0.3916,0.382033082791704,0.401166917208297,0.5561,0.547926935574341,0.564273064425659,5561,3916,2626
"Gastwirth","Exp",794932,10000,10,10,0.5,0.25,0,0.1752,0.165407643054663,0.184992356945337,0.2829,0.274071998336294,0.291728001663706,0.4321,0.423951194165525,0.440248805834475,4321,2829,1752
"Gastwirth","Exp",13599412,10000,10,10,0.5,0.125,0,0.1377,0.12882349459478,0.14657650540522,0.235,0.22668962311324,0.24331037688676,0.3808,0.37281215100954,0.38878784899046,3808,2350,1377
"Gastwirth","Exp",1119394,10000,10,10,1,1,0,0.6512,0.638923027225238,0.663476972774762,0.8031,0.795305940042417,0.810894059957583,0.8849,0.879650104465423,0.890149895534577,8849,8031,6512
"Gastwirth","Exp",58355,10000,10,10,1,0.5,0,0.4358,0.42302661470006,0.448573385299941,0.5917,0.582066223958509,0.601333776041491,0.7391,0.731876385801278,0.746323614198722,7391,5917,4358
"Gastwirth","Exp",1630627,10000,10,10,1,0.25,0,0.2697,0.258267611293819,0.281132388706181,0.3972,0.38760936610095,0.40679063389905,0.5605,0.552335433128489,0.568664566871511,5605,3972,2697
"Gastwirth","Exp",42877,10000,10,10,1,0.125,0,0.1712,0.161496629592381,0.180903370407619,0.281,0.272190045275939,0.289809954724061,0.4372,0.429040134067498,0.445359865932502,4372,2810,1712
"Gastwirth","Exp",26111,10000,10,10,1.5,1,0,0.7859,0.775333337488434,0.796466662511567,0.9097,0.904082422872305,0.915317577127695,0.9541,0.95065753769854,0.95754246230146,9541,9097,7859
"Gastwirth","Exp",20763,10000,10,10,1.5,0.5,0,0.5646,0.55182795300264,0.57737204699736,0.7233,0.71453160948762,0.73206839051238,0.8373,0.831228440933518,0.843371559066482,8373,7233,5646
"Gastwirth","Exp",139932479,10000,10,10,1.5,0.25,0,0.3613,0.348925481834017,0.373674518165984,0.502,0.492200078400314,0.511799921599686,0.6575,0.649693721005858,0.665306278994142,6575,5020,3613
"Gastwirth","Exp",86716,10000,10,10,1.5,0.125,0,0.2191,0.208444722643134,0.229755277356866,0.3431,0.333795006773651,0.352404993226349,0.5049,0.496675394973984,0.513124605026016,5049,3431,2191
"Gastwirth","Exp",37451,10000,10,10,2,1,0,0.8748,0.866274842517766,0.883325157482234,0.9637,0.96003410253695,0.96736589746305,0.9815,0.979283351055224,0.983716648944776,9815,9637,8748
"Gastwirth","Exp",209287,10000,10,10,2,0.5,0,0.6542,0.641947812819127,0.666452187180873,0.8014,0.793580655229087,0.809219344770913,0.8863,0.88107800430709,0.89152199569291,8863,8014,6542
"Gastwirth","Exp",5540619,10000,10,10,2,0.25,0,0.4408,0.42801059816098,0.45358940183902,0.5937,0.584073619876111,0.603326380123889,0.7396,0.732380870316749,0.746819129683251,7396,5937,4408
"Gastwirth","Exp",16772,10000,10,10,2,0.125,0,0.2679,0.256491792313374,0.279308207686626,0.401,0.39139402020406,0.41060597979594,0.5643,0.556143295906448,0.572456704093552,5643,4010,2679
"Gastwirth","Exp",95409,10000,10,10,2.5,1,0,0.9261,0.919360975737163,0.932839024262837,0.9839,0.981433140075643,0.986366859924357,0.9924,0.990971382136609,0.993828617863391,9924,9839,9261
"Gastwirth","Exp",270096,10000,10,10,2.5,0.5,0,0.7377,0.726368565422468,0.749031434577532,0.8651,0.858404312098193,0.871795687901807,0.9263,0.922001910266552,0.930598089733448,9263,8651,7377
"Gastwirth","Exp",369271,10000,10,10,2.5,0.25,0,0.5063,0.493421022454983,0.519178977545017,0.6642,0.654943520303182,0.673456479696818,0.7955,0.788865126448125,0.802134873551875,7955,6642,5063
"Gastwirth","Exp",2646677,10000,10,10,2.5,0.125,0,0.3207,0.308676631829551,0.332723368170449,0.4544,0.44464084055554,0.46415915944446,0.6126,0.604586279213306,0.620613720786695,6126,4544,3207
"Gastwirth","Exp",76222557,10000,10,10,5,1,0,0.9938,0.991777953215908,0.995822046784092,0.9999,0.999704009800245,1.00009599019976,1,1,1,10000,9999,9938
"Gastwirth","Exp",48485,10000,10,10,5,0.5,0,0.9208,0.913843494949104,0.927756505050896,0.9843,0.981863481910266,0.986736518089734,0.9912,0.989663658064622,0.992736341935378,9912,9843,9208
"Gastwirth","Exp",3202043,10000,10,10,5,0.25,0,0.7135,0.701853239079366,0.725146760920634,0.86,0.853199054183424,0.866800945816576,0.9249,0.920564559198424,0.929235440801577,9249,8600,7135
"Gastwirth","Exp",228261,10000,10,10,5,0.12,0,0.4947,0.481820723618727,0.507579276381273,0.6538,0.644475145559871,0.663124854440129,0.7849,0.778140831517563,0.791659168482437,7849,6538,4947
"Gastwirth","Exp",32407902,10000,10,10,0,1.5,1,0.1166,0.108332507085909,0.124867492914091,0.2097,0.201720948327928,0.217679051672072,0.3575,0.349616111176305,0.365383888823694,3575,2097,1166
"Gastwirth","Exp",80474823,10000,10,10,0.5,1.5,0,0.557,0.544203967944023,0.569796032055977,0.7201,0.71130058245573,0.72889941754427,0.8419,0.835898468470884,0.847901531529116,8419,7201,5570
"Gastwirth","Exp",1532928,10000,10,10,1,1.5,0,0.7874,0.776860374149135,0.797939625850865,0.9115,0.905933194557019,0.917066805442981,0.9536,0.950139745725875,0.957060254274125,9536,9115,7874
"Gastwirth","Exp",170476554,10000,10,10,1.5,1.5,0,0.8975,0.889686870547597,0.905313129452402,0.9762,0.973212458467301,0.979187541532699,0.9874,0.985565161956166,0.989234838043834,9874,9762,8975
"Gastwirth","Exp",43060,10000,10,10,2,1.5,0,0.9528,0.947337169415073,0.958262830584927,0.9941,0.992598943242112,0.995601056757888,0.9973,0.996446387641974,0.998153612358026,9973,9941,9528
