"method","distribution","seed","N","n1","n2","delta","scale","lambda3","lambda4","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"Gastwirth","GLDLS",18704540,10000,10,10,0,2,-0.002,-0.002,1,0.1143,0.106103804738748,0.122496195261252,0.2075,0.199551873742825,0.215448126257175,0.3509,0.343049209451464,0.358750790548536,3509,2075,1143
"Gastwirth","GLDLS",53035753,10000,10,10,0,2,-0.02,-0.02,1,0.1216,0.113181032951547,0.130018967048453,0.2098,0.201819551010526,0.217780448989474,0.3511,0.34324818236674,0.35895181763326,3511,2098,1216
"Gastwirth","GLDLS",8980817,10000,10,10,0,2,-0.05,-0.05,1,0.1168,0.108526356376893,0.125073643623107,0.2058,0.197876014029694,0.213723985970306,0.3529,0.345039006604889,0.360760993395111,3529,2058,1168
"Gastwirth","GLDLS",20892290,10000,10,10,0,2,-0.1,-0.1,1,0.1213,0.112889988835759,0.129710011164241,0.2103,0.202312575304543,0.218287424695457,0.3507,0.342850238049484,0.358549761950516,3507,2103,1213
"Gastwirth","GLDLS",289456,10000,10,10,0,2,-0.2,-0.2,1,0.1229,0.114442415303245,0.131357584696755,0.2142,0.206158782357279,0.222241217642721,0.3558,0.34792448007863,0.36367551992137,3558,2142,1229
"Gastwirth","GLDLS",4693738,10000,10,10,0.5,2,-0.002,-0.002,0,0.2823,0.270704946124933,0.293895053875067,0.4124,0.402751577934273,0.422048422065727,0.5545,0.546324006609324,0.562675993390676,5545,4124,2823
"Gastwirth","GLDLS",3765039,10000,10,10,0.5,2,-0.002,-0.02,0,0.2818,0.270211184373381,0.293388815626619,0.4162,0.406538620209846,0.425861379790154,0.5554,0.547225643595298,0.563574356404702,5554,4162,2818
"Gastwirth","GLDLS",4500983,10000,10,10,0.5,2,-0.002,-0.05,0,0.2837,0.272087572858551,0.295312427141449,0.4027,0.393087349695656,0.412312650304344,0.5439,0.535706763938713,0.552093236061287,5439,4027,2837
"Gastwirth","GLDLS",59235,10000,10,10,0.5,2,-0.002,-0.1,0,0.2635,0.252151915942222,0.274848084057778,0.3891,0.379544096633473,0.398655903366527,0.5349,0.526695060728502,0.543104939271498,5349,3891,2635
"Gastwirth","GLDLS",2045417,10000,10,10,0.5,2,-0.002,-0.2,0,0.2426,0.231557843264533,0.253642156735467,0.366,0.356558494662396,0.375441505337604,0.5114,0.503177138119906,0.519622861880094,5114,3660,2426
"Gastwirth","GLDLS",917998,10000,10,10,1,2,-0.002,-0.002,0,0.619,0.606490104812334,0.631509895187666,0.7514,0.742928852790419,0.759871147209581,0.8449,0.83894510022721,0.85085489977279,8449,7514,6190
"Gastwirth","GLDLS",74408,10000,10,10,1,2,-0.002,-0.02,0,0.6091,0.596530355537767,0.621669644462233,0.7473,0.738782616864694,0.755817383135306,0.8373,0.831228440933518,0.843371559066482,8373,7473,6091
"Gastwirth","GLDLS",31453321,10000,10,10,1,2,-0.002,-0.05,0,0.6001,0.587480754942857,0.612719245057143,0.7405,0.731908138178485,0.749091861821515,0.8344,0.828285186492983,0.840514813507017,8344,7405,6001
"Gastwirth","GLDLS",15556012,10000,10,10,1,2,-0.002,-0.1,0,0.567,0.554236160446261,0.579763839553739,0.7104,0.701509896308006,0.719290103691994,0.8034,0.796862321303773,0.809937678696227,8034,7104,5670
"Gastwirth","GLDLS",203797457,10000,10,10,1,2,-0.002,-0.2,0,0.5149,0.502025720247834,0.527774279752166,0.6623,0.653030656439985,0.671569343560015,0.7696,0.762673088018922,0.776526911981078,7696,6623,5149
"Gastwirth","GLDLS",121682762,10000,10,10,1.5,2,-0.002,-0.002,0,0.8566,0.847571627497287,0.865628372502713,0.9381,0.933376912799619,0.942823087200381,0.9656,0.962601916307773,0.968598083692227,9656,9381,8566
"Gastwirth","GLDLS",22447,10000,10,10,1.5,2,-0.002,-0.02,0,0.8511,0.84192970085989,0.86027029914011,0.9342,0.929340529504401,0.939059470495599,0.9634,0.960311057913282,0.966488942086718,9634,9342,8511
