"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"Gastwirth","Logistic",44095,10000,10,10,0,1,1,0.1179,0.109592665991235,0.126207334008765,0.2133,0.205271099531218,0.221328900468782,0.3539,0.346033961746154,0.361766038253846,3539,2133,1179
"Gastwirth","Logistic",83434711,10000,10,10,0,3,1,0.117,0.108720213442751,0.125279786557249,0.2082,0.200241995458559,0.216158004541441,0.3547,0.346829952943865,0.362570047056135,3547,2082,1170
"Gastwirth","Logistic",1284593,10000,10,10,0,5,1,0.1192,0.110853149414927,0.127546850585073,0.2135,0.20546835740088,0.22153164259912,0.3551,0.347227957558297,0.362972042441703,3551,2135,1192
"Gastwirth","Logistic",11549443,10000,10,10,0,2,1,0.1209,0.112501955933639,0.129298044066361,0.2149,0.206849242082984,0.222950757917016,0.3564,0.348521513998769,0.364278486001231,3564,2149,1209
"Gastwirth","Logistic",186306,10000,10,10,0.5,1,0,0.1645,0.154950029348234,0.174049970651766,0.2708,0.262090289269006,0.279509710730994,0.416,0.407891901964086,0.424108098035914,4160,2708,1645
"Gastwirth","Logistic",25390,10000,10,10,1.5,1,0,0.4596,0.446762113289782,0.472437886710218,0.5998,0.590197200875078,0.609402799124922,0.7238,0.716444926300852,0.731155073699148,7238,5998,4596
"Gastwirth","Logistic",31003,10000,10,10,2,1,0,0.6275,0.615045799237205,0.639954200762795,0.7648,0.756487174391725,0.773112825608275,0.8514,0.845548837900118,0.857251162099882,8514,7648,6275
"Gastwirth","Logistic",5963177,10000,10,10,2.5,1,0,0.7628,0.751842574079374,0.773757425920626,0.8723,0.865758392898255,0.878841607101745,0.9271,0.922823455879103,0.931376544120897,9271,8723,7628
"Gastwirth","Logistic",29545,10000,10,10,0.5,3,0,0.1258,0.117257370318787,0.134342629681213,0.2127,0.204679343042269,0.220720656957731,0.3577,0.349815133704192,0.365584866295808,3577,2127,1258
"Gastwirth","Logistic",390035,10000,10,10,1.5,3,0,0.1636,0.154071061578586,0.173128938421414,0.2726,0.263872182721986,0.281327817278014,0.4167,0.408589947964484,0.424810052035516,4167,2726,1636
