"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"Gastwirth","Normal",264915346,10000,10,10,0,1,1,0.1143,0.106103804738748,0.122496195261252,0.205,0.197087448199222,0.212912551800778,0.3553,0.347426962117405,0.363173037882595,3553,2050,1143
"Gastwirth","Normal",178197712,10000,10,10,0,3,1,0.1192,0.110853149414927,0.127546850585073,0.21,0.202016758553069,0.217983241446931,0.3571,0.349218070604035,0.364981929395965,3571,2100,1192
"Gastwirth","Normal",1651724,10000,10,10,0,5,1,0.1208,0.11240495234968,0.12919504765032,0.2133,0.205271099531218,0.221328900468782,0.3627,0.354791180947969,0.370608819052031,3627,2133,1208
"Gastwirth","Normal",1691473,10000,10,10,0.5,1,0,0.2648,0.253434001398799,0.276165998601201,0.393,0.383427030128534,0.402572969871466,0.5384,0.530199292385556,0.546600707614444,5384,3930,2648
"Gastwirth","Normal",1547519,10000,10,10,1.5,1,0,0.8668,0.858046990044438,0.875553009955563,0.9364,0.931616835339819,0.941183164660181,0.9679,0.965000429561474,0.970799570438526,9679,9364,8668
"Gastwirth","Normal",1761835,10000,10,10,2,1,0,0.9715,0.967213629659677,0.975786370340323,0.99,0.988049824623271,0.991950175376729,0.9968,0.995870937553014,0.997729062446986,9968,9900,9715
"Gastwirth","Normal",146674,10000,10,10,2.5,1,0,0.9947,0.992829619989089,0.996570380010911,0.999,0.998380503559332,0.999619496440668,0.9997,0.999415120383714,0.999984879616286,9997,9990,9947
"Gastwirth","Normal",722036,10000,10,10,0.5,3,0,0.1388,0.129893796743738,0.147706203256262,0.2364,0.228072535934247,0.244727464065753,0.3852,0.377194730246369,0.393205269753631,3852,2364,1388
"Gastwirth","Normal",316816159,10000,10,10,1.5,3,0,0.2766,0.265077115764126,0.288122884235874,0.397,0.387410190483644,0.406589809516356,0.545,0.536808378979866,0.553191621020134,5450,3970,2766
"Gastwirth","Normal",294685,10000,10,10,2,3,0,0.3718,0.359350568571803,0.384249431428197,0.5031,0.49330018835781,0.51289981164219,0.6412,0.633309784293671,0.649090215706329,6412,5031,3718
"Gastwirth","Normal",13192737,10000,10,10,2.5,3,0,0.4803,0.467430001081227,0.493169998918773,0.6176,0.608074919454493,0.627125080545507,0.7415,0.734298022608729,0.748701977391271,7415,6176,4803
"Gastwirth","Normal",33715,10000,10,10,0.5,5,0,0.1293,0.120656703857314,0.137943296142686,0.2173,0.209216794846498,0.225383205153502,0.3655,0.35757817204653,0.37342182795347,3655,2173,1293
"Gastwirth","Normal",4585152,10000,10,10,1.5,5,0,0.1742,0.164429711828286,0.183970288171714,0.2803,0.271496743185298,0.289103256814702,0.4305,0.422354845165721,0.438645154834279,4305,2803,1742
"Gastwirth","Normal",197367,10000,10,10,2,5,0,0.2235,0.21276862546407,0.23423137453593,0.3387,0.329423953201412,0.347976046798588,0.4815,0.473280631940692,0.489719368059308,4815,3387,2235
"Gastwirth","Normal",574070,10000,10,10,2.5,5,0,0.275,0.263497792211927,0.286502207788073,0.4005,0.390896005000001,0.410103994999999,0.547,0.538811418677359,0.555188581322641,5470,4005,2750
"Gastwirth","Normal",56613,10000,10,10,1,1,0,0.6075,0.594921211053523,0.620078788946477,0.7375,0.728876139205669,0.746123860794331,0.8338,0.827676321842234,0.839923678157766,8338,7375,6075
"Gastwirth","Normal",227608,10000,10,10,1,3,0,0.1904,0.180286194894483,0.200513805105517,0.3007,0.291712176205466,0.309687823794534,0.4563,0.448106474622498,0.464493525377502,4563,3007,1904
"Gastwirth","Normal",87712,10000,10,10,1,5,0,0.1401,0.131158942233079,0.149041057766921,0.2406,0.23222202270101,0.24897797729899,0.392,0.383969164586421,0.400030835413579,3920,2406,1401
"Gastwirth","Normal",101864,10000,10,10,5,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"Gastwirth","Normal",19083,10000,10,10,5,3,0,0.9179,0.910828441765128,0.924971558234872,0.9657,0.962132826384713,0.969267173615287,0.9873,0.985457988525341,0.989142011474659,9873,9657,9179
"Gastwirth","Normal",15572887,10000,10,10,5,5,0,0.6112,0.598642573073999,0.623757426926001,0.731,0.722308576742558,0.739691423257442,0.8324,0.826255749051381,0.838544250948619,8324,7310,6112
