"method","distribution","seed","N","n1","n2","delta","sd1","sd2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"Gastwirth","Normal2Var",876670,10000,10,10,0.5,1,3,0,0.0459,0.0405092505236708,0.0512907494763292,0.1119,0.10572122970953,0.11807877029047,0.1855,0.179105841409976,0.191894158590024,1855,1119,459
"Gastwirth","Normal2Var",1767240,10000,10,10,1.5,1,3,0,0.1532,0.143921758637038,0.162478241362962,0.314,0.304903319251507,0.323096680748493,0.4081,0.400015123883449,0.416184876116551,4081,3140,1532
"Gastwirth","Normal2Var",145488515,10000,10,10,2,1,3,0,0.2302,0.219356050867064,0.241043949132936,0.4318,0.422091592322033,0.441508407677967,0.5324,0.524192286717995,0.540607713282005,5324,4318,2302
"Gastwirth","Normal2Var",29597,10000,10,10,2.5,1,3,0,0.3518,0.33949877705622,0.36410122294378,0.5793,0.569624039392308,0.588975960607692,0.67,0.662265000791855,0.677734999208145,6700,5793,3518
"Gastwirth","Normal2Var",57958,10000,10,10,0.5,3,5,0,0.0927,0.0852293019893924,0.100170698010608,0.1719,0.164505047273823,0.179294952726177,0.3064,0.298816584969712,0.313983415030288,3064,1719,927
"Gastwirth","Normal2Var",1403328,10000,10,10,1.5,3,5,0,0.1519,0.142654119474444,0.161145880525556,0.2559,0.247347228555,0.264452771445,0.4013,0.393236843091458,0.409363156908542,4013,2559,1519
"Gastwirth","Normal2Var",162487,10000,10,10,2,3,5,0,0.2071,0.196661331232902,0.217538668767098,0.327,0.31780530177983,0.33619469822017,0.474,0.465786127727436,0.482213872272564,4740,3270,2071
"Gastwirth","Normal2Var",61639403,10000,10,10,2.5,3,5,0,0.2668,0.255406687764387,0.278193312235613,0.4036,0.39398386686415,0.41321613313585,0.5584,0.5502312963735,0.5665687036265,5584,4036,2668
"Gastwirth","Normal2Var",120031,10000,10,10,0.5,1,5,0,0.0154,0.012227978408588,0.018572021591412,0.0624,0.0576591396183393,0.0671408603816607,0.0923,0.0875385643364868,0.0970614356635131,923,624,154
"Gastwirth","Normal2Var",24574204,10000,10,10,1.5,1,5,0,0.0366,0.0317628481365432,0.0414371518634568,0.1185,0.112165294857691,0.124834705142309,0.1563,0.150326354918329,0.162273645081671,1563,1185,366
