"method","distribution","seed","N","n1","n2","delta","sd","g1","g2","h","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"Gastwirth","ghEqual",22579,10000,10,10,0,3,1,1,0,1,0.1129,0.104747719405983,0.121052280594017,0.2029,0.195017690210706,0.210782309789294,0.3498,0.34195488548357,0.35764511451643,3498,2029,1129
"Gastwirth","ghEqual",17132182,10000,10,10,0,3,3,3,0,1,0.1236,0.115121748829629,0.132078251170371,0.2163,0.208230265349493,0.224369734650507,0.357,0.349118561395437,0.364881438604563,3570,2163,1236
"Gastwirth","ghEqual",14800210,10000,10,10,0,3,-3,-3,0,1,0.1195,0.111144075803503,0.127855924196497,0.2173,0.209216794846498,0.225383205153502,0.3602,0.352303041160301,0.368096958839699,3602,2173,1195
"Gastwirth","ghEqual",132459042,10000,10,10,0,3,-1,-1,0,1,0.1181,0.109786565511748,0.126413434488252,0.2135,0.20546835740088,0.22153164259912,0.3586,0.350710753556955,0.366489246443045,3586,2135,1181
"Gastwirth","ghEqual",36111853,10000,10,10,0.5,3,1,1,0,0,0.1964,0.186166208502305,0.206633791497695,0.3113,0.302224706626803,0.320375293373197,0.46,0.4518013622473,0.4681986377527,4600,3113,1964
"Gastwirth","ghEqual",4605275,10000,10,10,0.5,3,3,3,0,0,0.2758,0.264287430901561,0.287312569098439,0.4056,0.39597624751241,0.41522375248759,0.5705,0.562357171073615,0.578642828926385,5705,4056,2758
"Gastwirth","ghEqual",795570,10000,10,10,0.5,3,1,3,0,0,0.4155,0.402805265263047,0.428194734736953,0.5525,0.542754172226024,0.562245827773976,0.7142,0.706767978840726,0.721632021159274,7142,5525,4155
"Gastwirth","ghEqual",5816819,10000,10,10,0.5,3,-1,1,0,0,0.7421,0.73083054936379,0.75336945063621,0.7986,0.790739494835165,0.806460505164835,0.8922,0.88709840013879,0.89730159986121,8922,7986,7421
"Gastwirth","ghEqual",17337,10000,10,10,0.5,3,-3,3,0,0,0.9368,0.930532016582107,0.943067983417893,0.951,0.946768986901462,0.955231013098538,0.9841,0.982042290416027,0.986157709583973,9841,9510,9368
"Gastwirth","ghEqual",32491274,10000,10,10,0.5,3,-1,3,0,0,0.8746,0.866069011363999,0.883130988636001,0.9004,0.894530467877726,0.906269532122273,0.9598,0.956568759365832,0.963031240634168,9598,9004,8746
"Gastwirth","ghEqual",113124,10000,10,10,0.5,3,1,-3,0,0,0.7004,0.688599787399729,0.712200212600271,0.7481,0.739591559180296,0.756608440819704,0.8622,0.856529850361419,0.867870149638581,8622,7481,7004
"Gastwirth","ghEqual",3120428,10000,10,10,1,3,1,1,0,0,0.3087,0.296799986560535,0.320600013439465,0.4434,0.433662992226028,0.453137007773972,0.603,0.594951409870201,0.611048590129799,6030,4434,3087
"Gastwirth","ghEqual",155434,10000,10,10,1,3,3,3,0,0,0.3724,0.359946478860361,0.384853521139639,0.5115,0.501702592442896,0.521297407557104,0.6851,0.677459369172707,0.692740630827293,6851,5115,3724
"Gastwirth","ghEqual",4671215,10000,10,10,1,3,1,3,0,0,0.4952,0.482320593524075,0.508079406475925,0.6352,0.625765068946007,0.644634931053993,0.7821,0.775309126190027,0.788890873809973,7821,6352,4952
"Gastwirth","ghEqual",639882,10000,10,10,1,3,-1,1,0,0,0.8453,0.835984708492226,0.854615291507775,0.8843,0.87803064931579,0.89056935068421,0.9484,0.944760962543804,0.952039037456196,9484,8843,8453
"Gastwirth","ghEqual",2272557,10000,10,10,1,3,-3,3,0,0,0.9749,0.97087039242156,0.97892960757844,0.9812,0.978537964972131,0.983862035027869,0.9943,0.993061596844814,0.995538403155186,9943,9812,9749
"Gastwirth","ghEqual",2607657,10000,10,10,1,3,-1,3,0,0,0.9347,0.928335876912597,0.941064123087403,0.9495,0.945208103454182,0.953791896545818,0.9825,0.9803429947301,0.9846570052699,9825,9495,9347
"Gastwirth","ghEqual",3760843,10000,10,10,1,3,1,-3,0,0,0.588,0.575321054654838,0.600678945345162,0.6433,0.633911106739471,0.652688893260529,0.7769,0.770051456034311,0.783748543965689,7769,6433,5880
"Gastwirth","ghEqual",17120,10000,10,10,1.5,3,1,1,0,0,0.4209,0.408182196689815,0.433617803310185,0.5678,0.558090516082427,0.577509483917573,0.7161,0.70868287778003,0.72351712221997,7161,5678,4209
"Gastwirth","ghEqual",262099,10000,10,10,1.5,3,3,3,0,0,0.4509,0.438082252909105,0.463717747090895,0.5916,0.581965858498527,0.601234141501473,0.7506,0.743482648625851,0.757717351374149,7506,5916,4509
"Gastwirth","ghEqual",3635397,10000,10,10,1.5,3,1,3,0,0,0.555,0.542198161157084,0.567801838842916,0.7015,0.692531040214161,0.710468959785839,0.8318,0.82564697958496,0.83795302041504,8318,7015,5550
"Gastwirth","ghEqual",171716,10000,10,10,1.5,3,-1,1,0,0,0.9264,0.919673579105951,0.933126420894049,0.9475,0.943128551841781,0.951871448158219,0.9801,0.977802647512031,0.982397352487968,9801,9475,9264
"Gastwirth","ghEqual",110211731,10000,10,10,1.5,3,-3,3,0,0,0.9949,0.993065065094717,0.996734934905283,0.997,0.995928075301152,0.998071924698848,0.9995,0.999132258787495,0.999867741212506,9995,9970,9949
"Gastwirth","ghEqual",984433,10000,10,10,1.5,3,-1,3,0,0,0.9671,0.962505063655502,0.971694936344497,0.975,0.971939950980785,0.978060049019215,0.9928,0.991409205275247,0.994190794724753,9928,9750,9671
"Gastwirth","ghEqual",130258,10000,10,10,1.5,3,1,-3,0,0,0.4658,0.452950165250248,0.478649834749752,0.5308,0.521018611015934,0.540581388984066,0.6829,0.675245046099226,0.690554953900774,6829,5308,4658
"Gastwirth","ghEqual",127219001,10000,10,10,2,3,1,1,0,0,0.497,0.484120231842087,0.509879768157913,0.6451,0.635721733021587,0.654478266978413,0.7893,0.782591595810495,0.796008404189505,7893,6451,4970
"Gastwirth","ghEqual",298373806,10000,10,10,2,3,3,3,0,0,0.5127,0.499824155500749,0.525575844499251,0.6498,0.640450163946165,0.659149836053835,0.7997,0.793116301639977,0.806283698360023,7997,6498,5127
"Gastwirth","ghEqual",458956,10000,10,10,2,3,1,3,0,0,0.624,0.611522370785185,0.636477629214815,0.7584,0.750010159615916,0.766789840384084,0.8701,0.864569618868561,0.875630381131439,8701,7584,6240
"Gastwirth","ghEqual",5204500,10000,10,10,2,3,-1,1,0,0,0.972,0.967750302603526,0.976249697396474,0.9817,0.979072933830753,0.984327066169247,0.9947,0.993505599721293,0.995894400278707,9947,9817,9720
"Gastwirth","ghEqual",22601,10000,10,10,2,3,-3,3,0,0,0.9999,0.999642412880322,1.00015758711968,0.9999,0.999704009800245,1.00009599019976,1,1,1,10000,9999,9999
"Gastwirth","ghEqual",24098,10000,10,10,2,3,-1,3,0,0,0.9855,0.982420656237183,0.988579343762817,0.99,0.988049824623271,0.991950175376729,0.9978,0.997029275805557,0.998570724194443,9978,9900,9855
"Gastwirth","ghEqual",7304241,10000,10,10,2,3,1,-3,0,0,0.3625,0.350116598367169,0.374883401632831,0.4348,0.425083677626097,0.444516322373903,0.5862,0.578098152719293,0.594301847280707,5862,4348,3625
"Gastwirth","ghEqual",10866883,10000,10,10,2.5,3,1,1,0,0,0.564,0.551225948718187,0.576774051281813,0.7171,0.708271998336294,0.725928001663706,0.8382,0.832142003903278,0.844257996096722,8382,7171,5640
"Gastwirth","ghEqual",38035,10000,10,10,2.5,3,3,3,0,0,0.5488,0.535981492685954,0.561618507314046,0.6935,0.684463618797328,0.702536381202672,0.8293,0.823110743299089,0.835489256700911,8293,6935,5488
"Gastwirth","ghEqual",69350716,10000,10,10,2.5,3,1,3,0,0,0.6613,0.64910862420757,0.67349137579243,0.7872,0.779177967338286,0.795222032661714,0.8962,0.891182734898383,0.901217265101617,8962,7872,6613
"Gastwirth","ghEqual",69981,10000,10,10,2.5,3,-1,1,0,0,0.9909,0.988453859100758,0.993346140899242,0.9946,0.993163594105275,0.996036405894725,0.999,0.998480065487297,0.999519934512703,9990,9946,9909
"Gastwirth","ghEqual",18335833,10000,10,10,2.5,3,-3,3,0,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"Gastwirth","ghEqual",341625,10000,10,10,2.5,3,-1,3,0,0,0.9978,0.996593078708276,0.999006921291724,0.9984,0.997616627451081,0.999183372548919,0.9999,0.999735508225206,1.00006449177479,9999,9984,9978
"Gastwirth","ghEqual",1814535,10000,10,10,2.5,3,1,-3,0,0,0.2666,0.255209405694322,0.277990594305678,0.3427,0.333397601507482,0.352002398492518,0.4961,0.487875250208306,0.504324749791694,4961,3427,2666
"Gastwirth","ghEqual",155873577,10000,20,20,0,3,1,1,0,1,0.0471,0.0416426730191069,0.0525573269808931,0.1272,0.120669341176757,0.133730658823243,0.211,0.204288097617106,0.217711902382894,2110,1272,471
"Gastwirth","ghEqual",45310,10000,20,20,0,3,3,3,0,1,0.0403,0.0352339889917593,0.0453660110082407,0.1252,0.118713467133083,0.131686532866917,0.2122,0.205474159247804,0.218925840752196,2122,1252,403
"Gastwirth","ghEqual",68165572,10000,20,20,0,3,-3,-3,0,1,0.0418,0.0366446033756678,0.0469553966243322,0.1301,0.123506296943416,0.136693703056584,0.2105,0.203793930970802,0.217206069029198,2105,1301,418
"Gastwirth","ghEqual",43896201,10000,20,20,0,3,-1,-1,0,1,0.043,0.0377744012957748,0.0482255987042252,0.1303,0.123701989319075,0.136898010680925,0.2102,0.203497438264671,0.216902561735329,2102,1303,430
"Gastwirth","ghEqual",117129126,10000,20,20,0.5,3,1,1,0,0,0.1585,0.149092211352374,0.167907788647626,0.3216,0.312445028197182,0.330754971802818,0.4351,0.426944581889077,0.443255418110923,4351,3216,1585
"Gastwirth","ghEqual",984519,10000,20,20,0.5,3,3,3,0,0,0.2588,0.247517750490675,0.270082249509325,0.4762,0.466411108519878,0.485988891480122,0.605,0.596958406100934,0.613041593899066,6050,4762,2588
"Gastwirth","ghEqual",228353,10000,20,20,0.5,3,1,3,0,0,0.4777,0.464832816567123,0.490567183432877,0.7166,0.707767281365831,0.725432718634169,0.8195,0.813173274610877,0.825826725389123,8195,7166,4777
"Gastwirth","ghEqual",4913527,10000,20,20,0.5,3,-1,1,0,0,0.9236,0.916757189705106,0.930442810294894,0.9718,0.968555340911344,0.975044659088656,0.9833,0.981192016741344,0.985407983258656,9833,9718,9236
"Gastwirth","ghEqual",5793864,10000,20,20,0.5,3,-3,3,0,0,0.9964,0.994857184588389,0.997942815411611,0.999,0.998380503559332,0.999619496440668,0.9997,0.999415120383714,0.999984879616286,9997,9990,9964
"Gastwirth","ghEqual",116550,10000,20,20,0.5,3,-1,3,0,0,0.9807,0.977156009077357,0.984243990922643,0.9946,0.993163594105275,0.996036405894725,0.9977,0.996911993488114,0.998488006511886,9977,9946,9807
"Gastwirth","ghEqual",191216232,10000,20,20,0.5,3,1,-3,0,0,0.892,0.884004600593241,0.899995399406759,0.9551,0.951041143806637,0.959158856193363,0.9756,0.973061970233508,0.978138029766492,9756,9551,8920
"Gastwirth","ghEqual",66039558,10000,20,20,1,3,1,1,0,0,0.3363,0.324129870453267,0.348470129546733,0.5687,0.55899294669379,0.57840705330621,0.6865,0.678868587208493,0.694131412791507,6865,5687,3363
"Gastwirth","ghEqual",237363,10000,20,20,1,3,3,3,0,0,0.4028,0.390165720241833,0.415434279758166,0.6669,0.657662089583548,0.676137910416452,0.7854,0.778646541902766,0.792153458097234,7854,6669,4028
"Gastwirth","ghEqual",59814,10000,20,20,1,3,1,3,0,0,0.5782,0.565478503872682,0.590921496127318,0.808,0.800280087710343,0.815719912289657,0.8913,0.886179732770961,0.896420267229039,8913,8080,5782
"Gastwirth","ghEqual",234585127,10000,20,20,1,3,-1,1,0,0,0.9762,0.972273516842739,0.980126483157261,0.9932,0.991589247243802,0.994810752756198,0.9966,0.995642440427388,0.997557559572612,9966,9932,9762
"Gastwirth","ghEqual",922862,10000,20,20,1,3,-3,3,0,0,0.9997,0.999253890643434,1.00014610935657,1,1,1,1,1,1,10000,10000,9997
"Gastwirth","ghEqual",31258,10000,20,20,1,3,-1,3,0,0,0.994,0.992010634069257,0.995989365930743,0.9983,0.997492558498961,0.999107441501039,0.9991,0.998606722124989,0.999593277875011,9991,9983,9940
"Gastwirth","ghEqual",254061,10000,20,20,1,3,1,-3,0,0,0.7912,0.780729817657812,0.801670182342188,0.9023,0.896480591662926,0.908119408337073,0.9391,0.935166035207075,0.943033964792925,9391,9023,7912
"Gastwirth","ghEqual",3233389,10000,20,20,1.5,3,1,1,0,0,0.4786,0.465731802457131,0.491468197542869,0.7267,0.717965189906037,0.735434810093963,0.8261,0.819865063936096,0.832334936063904,8261,7267,4786
"Gastwirth","ghEqual",13274565,10000,20,20,1.5,3,3,3,0,0,0.4876,0.474723961466809,0.500476038533191,0.7435,0.734940660700732,0.752059339299268,0.8423,0.836304641611816,0.848295358388185,8423,7435,4876
"Gastwirth","ghEqual",18659089,10000,20,20,1.5,3,1,3,0,0,0.6481,0.635797977901302,0.660402022098698,0.8574,0.850546576432293,0.864253423567707,0.9271,0.922823455879103,0.931376544120897,9271,8574,6481
"Gastwirth","ghEqual",4460279,10000,20,20,1.5,3,-1,1,0,0,0.9955,0.993775859125941,0.997224140874059,0.9991,0.998512264659562,0.999687735340438,0.9996,0.999271065806581,0.999928934193419,9996,9991,9955
"Gastwirth","ghEqual",3144545,10000,20,20,1.5,3,-3,3,0,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
