"method","distribution","seed","N","n1","n2","delta","sd","g1","g2","h","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"Gastwirth","ghEqualK",333402,10000,10,10,0,3,1,1,0.2,1,0.1168,0.108526356376893,0.125073643623107,0.2125,0.204482096595743,0.220517903404257,0.3583,0.350412210248189,0.366187789751811,3583,2125,1168
"Gastwirth","ghEqualK",84363,10000,10,10,0,3,3,3,0.2,1,0.1217,0.113278051349009,0.130121948650991,0.2133,0.205271099531218,0.221328900468782,0.3552,0.347327459650253,0.363072540349747,3552,2133,1217
"Gastwirth","ghEqualK",18031,10000,10,10,0,3,-3,-3,0.2,1,0.1222,0.113763170939766,0.130636829060234,0.2067,0.198763207306626,0.214636792693374,0.3521,0.344243069621794,0.359956930378206,3521,2067,1222
"Gastwirth","ghEqualK",139664,10000,10,10,0,3,-1,-1,0.2,1,0.1179,0.109592665991235,0.126207334008765,0.2042,0.196298930033369,0.212101069966631,0.3472,0.33936848411057,0.35503151588943,3472,2042,1179
"Gastwirth","ghEqualK",47711,10000,10,10,0.5,3,1,1,0.2,0,0.1438,0.134761155533308,0.152838844466692,0.2454,0.236965647435968,0.253834352564032,0.3929,0.384865903698737,0.400934096301263,3929,2454,1438
"Gastwirth","ghEqualK",8443656,10000,10,10,0.5,3,3,3,0.2,0,0.2012,0.190872888287606,0.211527111712394,0.3186,0.309467703114419,0.327732296885581,0.4717,0.463488185208873,0.479911814791127,4717,3186,2012
"Gastwirth","ghEqualK",148622228,10000,10,10,0.5,3,1,3,0.2,0,0.3392,0.327004242012702,0.351395757987298,0.4679,0.458120216889194,0.477679783110806,0.6239,0.615931527800389,0.631868472199611,6239,4679,3392
"Gastwirth","ghEqualK",17575218,10000,10,10,0.5,3,-1,1,0.2,0,0.577,0.56427364748211,0.58972635251789,0.6916,0.682548079139188,0.700651920860812,0.8021,0.795546051000124,0.808653948999876,8021,6916,5770
"Gastwirth","ghEqualK",4767397,10000,10,10,0.5,3,-3,3,0.2,0,0.9004,0.892685757782155,0.908114242217845,0.9355,0.930685426461253,0.940314573538747,0.975,0.972431744573159,0.977568255426841,9750,9355,9004
"Gastwirth","ghEqualK",196614428,10000,10,10,0.5,3,-1,3,0.2,0,0.7792,0.768515114683108,0.789884885316892,0.8478,0.84075939299026,0.85484060700974,0.9217,0.917280821163522,0.926119178836478,9217,8478,7792
"Gastwirth","ghEqualK",36676139,10000,10,10,0.5,3,1,-3,0.2,0,0.5892,0.576526620343226,0.601873379656774,0.677,0.66783459486111,0.686165405138891,0.7951,0.788460310686186,0.801739689313814,7951,6770,5892
"Gastwirth","ghEqualK",187870,10000,10,10,1,3,1,1,0.2,0,0.2016,0.191265216415554,0.211934783584446,0.322,0.312842037641484,0.331157962358516,0.4722,0.4639877230585,0.4804122769415,4722,3220,2016
"Gastwirth","ghEqualK",18039,10000,10,10,1,3,3,3,0.2,0,0.2955,0.283746557148069,0.307253442851931,0.4226,0.412918130880951,0.432281869119049,0.5868,0.578699886369908,0.594900113630092,5868,4226,2955
"Gastwirth","ghEqualK",16736658,10000,10,10,1,3,1,3,0.2,0,0.4024,0.389767766664559,0.415032233335441,0.5499,0.540148926327917,0.559651073672084,0.7066,0.699109983514364,0.714090016485636,7066,5499,4024
"Gastwirth","ghEqualK",56354,10000,10,10,1,3,-1,1,0.2,0,0.6914,0.6795010536288,0.7032989463712,0.7896,0.781611182336891,0.797588817663109,0.8819,0.876591149171904,0.887208850828096,8819,7896,6914
"Gastwirth","ghEqualK",42839055,10000,10,10,1,3,-3,3,0.2,0,0.9434,0.937447464279507,0.949352535720493,0.9682,0.964760841666686,0.971639158333313,0.9878,0.985994155592555,0.989605844407445,9878,9682,9434
"Gastwirth","ghEqualK",42550737,10000,10,10,1,3,-1,3,0.2,0,0.8575,0.848495277052569,0.866504722947432,0.9065,0.900793815877489,0.912206184122511,0.9594,0.956153400061125,0.962646599938875,9594,9065,8575
"Gastwirth","ghEqualK",12541570,10000,10,10,1,3,1,-3,0.2,0,0.4957,0.482820476311207,0.508579523688793,0.5919,0.58226695611645,0.60153304388355,0.7206,0.713218812593959,0.727981187406041,7206,5919,4957
"Gastwirth","ghEqualK",102632768,10000,10,10,1.5,3,1,1,0.2,0,0.2883,0.276631456145074,0.299968543854926,0.4158,0.406139956320099,0.425460043679901,0.5708,0.562657875456344,0.578942124543656,5708,4158,2883
"Gastwirth","ghEqualK",60130954,10000,10,10,1.5,3,3,3,0.2,0,0.3552,0.342871936814013,0.367528063185987,0.4935,0.48370082813499,0.50329917186501,0.653,0.645169540813113,0.660830459186887,6530,4935,3552
"Gastwirth","ghEqualK",42067755,10000,10,10,1.5,3,1,3,0.2,0,0.4628,0.449955697186144,0.475644302813856,0.6124,0.60285083172426,0.62194916827574,0.7586,0.751560513922231,0.765639486077769,7586,6124,4628
"Gastwirth","ghEqualK",127334871,10000,10,10,1.5,3,-1,1,0.2,0,0.8002,0.789899866013255,0.810500133986745,0.8762,0.869744676397763,0.882655323602237,0.9377,0.933724041125367,0.941675958874633,9377,8762,8002
"Gastwirth","ghEqualK",274908,10000,10,10,1.5,3,-3,3,0.2,0,0.975,0.970978221289031,0.979021778710969,0.9892,0.987174137325088,0.991225862674912,0.9964,0.995414778201825,0.997385221798175,9964,9892,9750
"Gastwirth","ghEqualK",2204672,10000,10,10,1.5,3,-1,3,0.2,0,0.9061,0.898586077350045,0.913613922649955,0.9474,0.943024621447417,0.951775378552583,0.9801,0.977802647512031,0.982397352487968,9801,9474,9061
"Gastwirth","ghEqualK",19131,10000,10,10,1.5,3,1,-3,0.2,0,0.3961,0.383501153209253,0.408698846790747,0.4936,0.483800802848886,0.503399197151114,0.6372,0.629290711357119,0.645109288642881,6372,4936,3961
"Gastwirth","ghEqualK",2547334,10000,10,10,2,3,1,1,0.2,0,0.3614,0.349024738352378,0.373775261647622,0.5144,0.504604065099114,0.524195934900886,0.6549,0.647079655640001,0.662720344359999,6549,5144,3614
"Gastwirth","ghEqualK",23240820,10000,10,10,2,3,3,3,0.2,0,0.4152,0.402506592776748,0.427893407223252,0.5677,0.557990248030274,0.577409751969726,0.7264,0.719066490370798,0.733733509629202,7264,5677,4152
"Gastwirth","ghEqualK",95308,10000,10,10,2,3,1,3,0.2,0,0.5121,0.49922377207395,0.52497622792605,0.6646,0.655346249859954,0.673853750140046,0.7983,0.791699118808161,0.804900881191839,7983,6646,5121
"Gastwirth","ghEqualK",61836921,10000,10,10,2,3,-1,1,0.2,0,0.8748,0.866274842517766,0.883325157482234,0.9288,0.923759690889479,0.933840309110521,0.968,0.9651048,0.9708952,9680,9288,8748
