"method","distribution","seed","N","n1","n2","delta","scale1","scale2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"HFR","Cauchy",29266065,10000,10,10,0,1,1,1,0.0081,0.00579100861117587,0.0104089913888241,0.0545,0.0500507676212632,0.0589492323787368,0.112,0.106812221839747,0.117187778160253,1120,545,81
"HFR","Cauchy",528734,10000,10,10,0,0.5,0.5,1,0.0092,0.00674057959837363,0.0116594204016264,0.052,0.0476482703025119,0.0563517296974881,0.1105,0.105342728233419,0.115657271766581,1105,520,92
"HFR","Cauchy",1725135,10000,10,10,0,2,2,1,0.0091,0.00665385910075809,0.0115461408992419,0.0522,0.0478403695723605,0.0565596304276395,0.1105,0.105342728233419,0.115657271766581,1105,522,91
"HFR","Cauchy",120445868,10000,10,10,0.5,1,1,0,0.023,0.0191384909362271,0.0268615090637729,0.0898,0.0841964576923521,0.0954035423076479,0.167,0.160864546929729,0.173135453070271,1670,898,230
"HFR","Cauchy",40179105,10000,10,10,0.5,0.5,0.5,0,0.0726,0.0659158264917027,0.0792841735082973,0.2143,0.206257417335109,0.222342582664891,0.3308,0.323060255595667,0.338539744404333,3308,2143,726
"HFR","Cauchy",19989478,10000,10,10,0.5,2,2,0,0.0117,0.00892997819822009,0.0144700218017799,0.061,0.0563091258128148,0.0656908741871852,0.1258,0.120344788111182,0.131255211888818,1258,610,117
"HFR","Cauchy",7326704,10000,10,10,0.5,0.5,2,0,0.0172,0.0138507878653606,0.0205492121346394,0.0776,0.0723561944469307,0.0828438055530693,0.1454,0.139601314566982,0.151198685433018,1454,776,172
"HFR","Cauchy",190246584,10000,10,10,0.5,1,2,0,0.0133,0.0103490337449683,0.0162509662550317,0.0645,0.0596854264612533,0.0693145735387467,0.13,0.124467808503857,0.135532191496143,1300,645,133
"HFR","Cauchy",7063037,10000,10,10,1,1,1,0,0.0689,0.0623754038882469,0.0754245961117531,0.21,0.202016758553069,0.217983241446931,0.3226,0.314910100217357,0.330289899782643,3226,2100,689
"HFR","Cauchy",145625,10000,10,10,1,0.5,0.5,0,0.2508,0.239633720120365,0.261966279879635,0.5137,0.503903679414719,0.523496320585281,0.6493,0.641450238049484,0.657149761950516,6493,5137,2508
"HFR","Cauchy",76380098,10000,10,10,1,2,2,0,0.0215,0.0177636676199246,0.0252363323800754,0.0899,0.0842936465471396,0.0955063534528604,0.1714,0.165200683982962,0.177599316017038,1714,899,215
"HFR","Cauchy",31019,10000,10,10,1,0.5,2,0,0.0399,0.0348581427960499,0.0449418572039501,0.1305,0.123897686832632,0.137102313167368,0.2225,0.215658030894956,0.229341969105044,2225,1305,399
"HFR","Cauchy",14933257,10000,10,10,1,1,2,0,0.0303,0.025884439183839,0.034715560816161,0.111,0.104843010099083,0.117156989900917,0.1976,0.191049795901684,0.204150204098316,1976,1110,303
