"method","distribution","seed","N","n1","n2","delta","rate1","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"HFR","Exp",407456,10000,10,10,0,1,1,0.0099,0.00734963120325236,0.0124503687967476,0.0548,0.0503392466831711,0.0592607533168289,0.1002,0.0952606163769252,0.105139383623075,1002,548,99
"HFR","Exp",34599714,10000,10,10,0,0.5,1,0.0089,0.00648064499126234,0.0113193550087377,0.059,0.0543817558488101,0.0636182441511899,0.1088,0.103677665459734,0.113922334540266,1088,590,89
"HFR","Exp",28508,10000,10,10,0,0.25,1,0.0082,0.00587691641085044,0.0105230835891496,0.0532,0.0488011311679478,0.0575988688320522,0.0935,0.0887108811828923,0.0982891188171077,935,532,82
"HFR","Exp",70788,10000,10,10,0,0.125,1,0.0072,0.00502207464379148,0.00937792535620852,0.0522,0.0478403695723605,0.0565596304276395,0.0989,0.0939892192707295,0.103810780729271,989,522,72
"HFR","Exp",1976001,10000,10,10,0.5,1,0,0.1665,0.156903656619399,0.176096343380601,0.436,0.426280613155142,0.445719386844858,0.5549,0.546724730808164,0.563075269191835,5549,4360,1665
"HFR","Exp",289788457,10000,10,10,0.5,0.5,0,0.0362,0.031388354700328,0.041011645299672,0.1838,0.176208508325131,0.191391491674869,0.2662,0.25892959202796,0.27347040797204,2662,1838,362
"HFR","Exp",2883697,10000,10,10,0.5,0.25,0,0.0142,0.0111522142245991,0.0172477857754009,0.0894,0.0838077232737998,0.0949922767262002,0.1507,0.144814910248792,0.156585089751208,1507,894,142
"HFR","Exp",938787,10000,10,10,0.5,0.125,0,0.0085,0.00613516044552701,0.010864839554473,0.0631,0.0583344023772039,0.0678655976227961,0.1136,0.108380006746978,0.118819993253022,1136,631,85
"HFR","Exp",7116682,10000,10,10,1,1,0,0.5075,0.494621449081515,0.520378550918485,0.7806,0.772488733764547,0.788711266235453,0.8651,0.859480404796698,0.870719595203302,8651,7806,5075
"HFR","Exp",38728529,10000,10,10,1,0.5,0,0.1662,0.156610580586988,0.175789419413012,0.4398,0.43007129048673,0.449528709513271,0.5523,0.544120119274233,0.560479880725767,5523,4398,1662
"HFR","Exp",27343624,10000,10,10,1,0.25,0,0.0415,0.0363623328369385,0.0466376671630615,0.1832,0.175618124118557,0.190781875881443,0.2705,0.263192611706336,0.277807388293664,2705,1832,415
"HFR","Exp",1704447,10000,10,10,1,0.125,0,0.0151,0.0119585481968644,0.0182414518031356,0.0849,0.079436836550276,0.090363163449724,0.146,0.140191402741625,0.151808597258375,1460,849,151
"HFR","Exp",64936,10000,10,10,1.5,1,0,0.6926,0.680713909465824,0.704486090534176,0.8904,0.884277145713444,0.896522854286556,0.9528,0.949311507642777,0.956288492357222,9528,8904,6926
"HFR","Exp",32841,10000,10,10,1.5,0.5,0,0.3485,0.336225481637539,0.360774518362461,0.654,0.644676413702872,0.663323586297128,0.758,0.75095455890735,0.76504544109265,7580,6540,3485
"HFR","Exp",1450374,10000,10,10,1.5,0.25,0,0.0951,0.0875432263954897,0.10265677360451,0.3145,0.305399397912226,0.323600602087774,0.4211,0.412978050258037,0.429221949741963,4211,3145,951
"HFR","Exp",121798315,10000,10,10,1.5,0.125,0,0.02,0.0163936,0.0236064,0.123,0.11656263071123,0.12943736928877,0.2009,0.194308922230623,0.207491077769377,2009,1230,200
"HFR","Exp",11125864,10000,10,10,2,1,0,0.7723,0.761497596598196,0.783102403401803,0.9163,0.910872027438389,0.921727972561611,0.982,0.979812954095132,0.984187045904868,9820,9163,7723
"HFR","Exp",196871018,10000,10,10,2,0.5,0,0.5031,0.490220247555979,0.515979752444021,0.7763,0.768132223290907,0.784467776709093,0.8641,0.858462875414542,0.869737124585458,8641,7763,5031
"HFR","Exp",196197,10000,10,10,2,0.25,0,0.1659,0.156317515789998,0.175482484210002,0.4446,0.434860341305035,0.454339658694965,0.5582,0.550030910124873,0.566369089875127,5582,4446,1659
"HFR","Exp",57328,10000,10,10,2,0.125,0,0.0403,0.0352339889917593,0.0453660110082407,0.1832,0.175618124118557,0.190781875881443,0.2701,0.262796014939845,0.277403985060156,2701,1832,403
"HFR","Exp",54624,10000,10,10,2.5,1,0,0.8154,0.805405822449427,0.825394177550573,0.924,0.918806036981264,0.929193963018736,0.9893,0.987607526818595,0.990992473181405,9893,9240,8154
