"method","distribution","seed","N","n1","n2","delta","scale","lambda3","lambda4","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"HFR","GLDLS",11425524,10000,10,10,0,2,-0.002,-0.002,1,0.008,0.00570519024021598,0.010294809759784,0.0563,0.0517821974490246,0.0608178025509754,0.1048,0.0997614383085646,0.109838561691435,1048,563,80
"HFR","GLDLS",2344705,10000,10,10,0,2,-0.02,-0.02,1,0.0058,0.00384387440854734,0.00775612559145266,0.0516,0.0472641255841065,0.0559358744158935,0.1032,0.0981955823085598,0.10820441769144,1032,516,58
"HFR","GLDLS",251944,10000,10,10,0,2,-0.05,-0.05,1,0.0069,0.00476760873419909,0.00903239126580091,0.054,0.0495700531109279,0.0584299468890721,0.1064,0.101327660705197,0.111472339294803,1064,540,69
"HFR","GLDLS",38697690,10000,10,10,0,2,-0.1,-0.1,1,0.007,0.00485232034567536,0.00914767965432464,0.0515,0.0471681006890741,0.0558318993109259,0.1024,0.0974127940558265,0.107387205944174,1024,515,70
"HFR","GLDLS",109730,10000,10,10,0,2,-0.2,-0.2,1,0.0063,0.00426181416817406,0.00833818583182594,0.0509,0.0465920470719378,0.0552079529280622,0.1054,0.100348729166724,0.110451270833276,1054,509,63
"HFR","GLDLS",2386060,10000,10,10,0.5,2,-0.002,-0.002,0,0.0615,0.0553112839762678,0.0676887160237322,0.2274,0.219184601139421,0.235615398860579,0.3379,0.330119244075093,0.345680755924907,3379,2274,615
"HFR","GLDLS",88931,10000,10,10,0.5,2,-0.002,-0.02,0,0.0576,0.0515982936974704,0.0636017063025296,0.2226,0.214446559251555,0.230753440748445,0.3374,0.329622067726761,0.345177932273239,3374,2226,576
"HFR","GLDLS",1129678,10000,10,10,0.5,2,-0.002,-0.05,0,0.0581,0.0520739001520333,0.0641260998479667,0.2245,0.216321848622091,0.232678151377909,0.3338,0.32604268579469,0.34155731420531,3338,2245,581
"HFR","GLDLS",67728498,10000,10,10,0.5,2,-0.002,-0.1,0,0.0523,0.0465650168869912,0.0580349831130088,0.2076,0.199650460358084,0.215549539641916,0.3194,0.311730283157567,0.327069716842433,3194,2076,523
"HFR","GLDLS",2514892,10000,10,10,0.5,2,-0.002,-0.2,0,0.0453,0.0399429164349605,0.0506570835650395,0.191,0.183295454650662,0.198704545349338,0.292,0.284520476055256,0.299479523944744,2920,1910,453
"HFR","GLDLS",2963041,10000,10,10,1,2,-0.002,-0.002,0,0.3163,0.304320788172027,0.328279211827973,0.6459,0.636526502303281,0.655273497696719,0.7637,0.756711899239294,0.770688100760706,7637,6459,3163
"HFR","GLDLS",22421502,10000,10,10,1,2,-0.002,-0.02,0,0.3064,0.294524694761081,0.318275305238919,0.6387,0.629284605743273,0.648115394256727,0.7529,0.745804697373757,0.759995302626243,7529,6387,3064
"HFR","GLDLS",64988,10000,10,10,1,2,-0.002,-0.05,0,0.3027,0.290865173329225,0.314534826670775,0.6202,0.610687395679752,0.629712604320248,0.7472,0.740050546123906,0.754349453876094,7472,6202,3027
"HFR","GLDLS",128800776,10000,10,10,1,2,-0.002,-0.1,0,0.2811,0.269519947634423,0.292680052365577,0.6001,0.5904984005,0.6097015995,0.7269,0.719570673194285,0.734229326805715,7269,6001,2811
"HFR","GLDLS",21262556,10000,10,10,1,2,-0.002,-0.2,0,0.2512,0.240027802767215,0.262372197232785,0.5511,0.541351314059505,0.560848685940495,0.682,0.674339243654181,0.689660756345819,6820,5511,2512
"HFR","GLDLS",37993,10000,10,10,1.5,2,-0.002,-0.002,0,0.6868,0.674852641967072,0.698747358032928,0.9118,0.906241723364063,0.917358276635937,0.9602,0.956984205492277,0.963415794507723,9602,9118,6868
"HFR","GLDLS",25439877,10000,10,10,1.5,2,-0.002,-0.02,0,0.6675,0.655364230516362,0.679635769483638,0.899,0.893093957006591,0.904906042993409,0.9536,0.950139745725875,0.957060254274125,9536,8990,6675
"HFR","GLDLS",4859299,10000,10,10,1.5,2,-0.002,-0.05,0,0.6438,0.631464172082383,0.656135827917617,0.8882,0.882023643471949,0.894376356528051,0.9478,0.944141024462517,0.951458975537483,9478,8882,6438
"HFR","GLDLS",2184916,10000,10,10,1.5,2,-0.002,-0.1,0,0.6107,0.598139641926419,0.623260358073581,0.8677,0.861059194016266,0.874340805983734,0.9341,0.930018636317727,0.938181363682273,9341,8677,6107
"HFR","GLDLS",21021,10000,10,10,1.5,2,-0.002,-0.2,0,0.5621,0.549319727205275,0.574880272794725,0.8438,0.836684321023992,0.850915678976008,0.9148,0.910207504095984,0.919392495904016,9148,8438,5621
"HFR","GLDLS",81324385,10000,10,10,2,2,-0.002,-0.002,0,0.8793,0.870907950626326,0.887692049373674,0.969,0.965602974501126,0.972397025498874,0.9929,0.991518827788444,0.994281172211556,9929,9690,8793
"HFR","GLDLS",145756,10000,10,10,2,2,-0.002,-0.02,0,0.8705,0.861851015264576,0.879148984735424,0.9656,0.962027815175218,0.969172184824782,0.9933,0.991958027793218,0.994641972206782,9933,9656,8705
"HFR","GLDLS",20524274,10000,10,10,2,2,-0.002,-0.05,0,0.86,0.851061614069643,0.868938385930357,0.964,0.96034871411144,0.96765128588856,0.9907,0.989121013350349,0.992278986649651,9907,9640,8600
"HFR","GLDLS",38115763,10000,10,10,2,2,-0.002,-0.1,0,0.8261,0.816336355440354,0.835863644559646,0.9517,0.947497771427254,0.955902228572746,0.9867,0.984815551440401,0.988584448559599,9867,9517,8261
"HFR","GLDLS",29782218,10000,10,10,2,2,-0.002,-0.2,0,0.7732,0.762412686347724,0.783987313652276,0.939,0.934309125812815,0.943690874187185,0.9801,0.977802647512031,0.982397352487968,9801,9390,7732
"HFR","GLDLS",9506152,10000,10,10,2.5,2,-0.002,-0.002,0,0.9402,0.934091893874588,0.946308106125412,0.9836,0.981110642587654,0.986089357412346,0.9987,0.998107272464133,0.999292727535867,9987,9836,9402
"HFR","GLDLS",270799,10000,10,10,2.5,2,-0.002,-0.02,0,0.937,0.930741274146793,0.943258725853207,0.9785,0.975657138406464,0.981342861593536,0.9975,0.996678528768383,0.998321471231617,9975,9785,9370
"HFR","GLDLS",6386553,10000,10,10,2.5,2,-0.002,-0.05,0,0.9237,0.916861299260689,0.930538700739311,0.978,0.975125006685225,0.980874993314775,0.9976,0.996795085514107,0.998404914485893,9976,9780,9237
"HFR","GLDLS",16735,10000,10,10,2.5,2,-0.002,-0.1,0,0.9073,0.899829301989392,0.914770698010608,0.9711,0.967816500384285,0.974383499615715,0.9966,0.995642440427388,0.997557559572612,9966,9711,9073
"HFR","GLDLS",113794,10000,10,10,2.5,2,-0.002,-0.2,0,0.8693,0.860617026165894,0.877982973834106,0.9587,0.954799929471202,0.962600070528798,0.9915,0.989989844306247,0.993010155693753,9915,9587,8693
"HFR","GLDLS",218505,10000,20,20,0,2,-0.002,-0.002,1,0.0097,0.00717526898390819,0.0122247310160918,0.049,0.044768986901462,0.053231013098538,0.1012,0.0962387890860799,0.10616121091392,1012,490,97
"HFR","GLDLS",214794,10000,20,20,0,2,-0.02,-0.02,1,0.0073,0.00510711276402639,0.00949288723597361,0.0448,0.0407454539694807,0.0488545460305193,0.098,0.0931091740380586,0.102890825961941,980,448,73
"HFR","GLDLS",50449913,10000,20,20,0,2,-0.05,-0.05,1,0.0111,0.00840112023907993,0.0137988797609201,0.0516,0.0472641255841065,0.0559358744158935,0.1064,0.101327660705197,0.111472339294803,1064,516,111
"HFR","GLDLS",1194391,10000,20,20,0,2,-0.1,-0.1,1,0.0084,0.00604899387398841,0.0107510061260116,0.0511,0.0467840466213825,0.0554159533786175,0.107,0.101915087072771,0.112084912927229,1070,511,84
"HFR","GLDLS",214776191,10000,20,20,0,2,-0.2,-0.2,1,0.0088,0.00639415390545114,0.0112058460945489,0.0507,0.0464000659817155,0.0549999340182845,0.1032,0.0981955823085598,0.10820441769144,1032,507,88
"HFR","GLDLS",160949,10000,20,20,0.5,2,-0.002,-0.002,0,0.1898,0.179698401984117,0.199901598015883,0.4174,0.407734651143471,0.427065348856529,0.5588,0.550632072901133,0.566967927098867,5588,4174,1898
