"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"HFR","Logistic",74893060,10000,10,10,0,1,1,0.0065,0.00442992313031617,0.00857007686968383,0.0514,0.0470720803327234,0.0557279196672767,0.1032,0.0981955823085598,0.10820441769144,1032,514,65
"HFR","Logistic",30069143,10000,10,10,0,3,1,0.0077,0.00544828864991625,0.00995171135008375,0.055,0.0505315868588502,0.0594684131411498,0.106,0.100936071158675,0.111063928841325,1060,550,77
"HFR","Logistic",37574298,10000,10,10,0,5,1,0.0055,0.00359484814841441,0.00740515185158559,0.0534,0.0489933358750184,0.0578066641249816,0.1067,0.101621367600055,0.111778632399945,1067,534,55
"HFR","Logistic",1880035,10000,10,10,0,2,1,0.0082,0.00587691641085044,0.0105230835891496,0.0561,0.0515897512478357,0.0606102487521643,0.1098,0.104657066990919,0.114942933009081,1098,561,82
"HFR","Logistic",336665779,10000,10,10,0.5,1,0,0.0157,0.0124977190820642,0.0189022809179358,0.096,0.0902260116522459,0.101773988347754,0.1672,0.161061611139199,0.173338388860801,1672,960,157
"HFR","Logistic",212694981,10000,10,10,1.5,1,0,0.1604,0.150946682255695,0.169853317744305,0.4306,0.420894859756686,0.440305140243314,0.5694,0.561254614438647,0.577545385561353,5694,4306,1604
"HFR","Logistic",95635,10000,10,10,2,1,0,0.3191,0.307092546101702,0.331107453898298,0.6482,0.638840373847124,0.657559626152876,0.77,0.763077305239287,0.776922694760713,7700,6482,3191
"HFR","Logistic",8310756,10000,10,10,2.5,1,0,0.518,0.505128348945936,0.530871651054065,0.8134,0.805764034191381,0.821035965808619,0.8923,0.887200481162132,0.897399518837868,8923,8134,5180
"HFR","Logistic",46173,10000,10,10,0.5,3,0,0.0065,0.00442992313031617,0.00857007686968383,0.0561,0.0515897512478357,0.0606102487521643,0.109,0.103873534921849,0.114126465078151,1090,561,65
"HFR","Logistic",3241014,10000,10,10,1.5,3,0,0.0162,0.012947953288365,0.019452046711635,0.0972,0.0913938937500593,0.103006106249941,0.1705,0.164313624330484,0.176686375669516,1705,972,162
"HFR","Logistic",47660034,10000,10,10,2,3,0,0.0208,0.0171236806630631,0.0244763193369369,0.1273,0.120767148877129,0.133832851122871,0.2126,0.205869532405018,0.219330467594982,2126,1273,208
"HFR","Logistic",48473530,10000,10,10,2.5,3,0,0.0444,0.0390939001985956,0.0497060998014044,0.1727,0.165291440855767,0.180108559144233,0.2731,0.265770673194285,0.280429326805715,2731,1727,444
"HFR","Logistic",35464,10000,10,10,1,1,0,0.0608,0.0546443107144093,0.0669556892855907,0.2357,0.227381063822723,0.244018936177277,0.3445,0.336682878477382,0.352317121522618,3445,2357,608
"HFR","Logistic",20929887,10000,10,10,1,3,0,0.0121,0.00928359545455842,0.0149164045454416,0.0731,0.0679981087053525,0.0782018912946475,0.138,0.132326395238475,0.143673604761525,1380,731,121
"HFR","Logistic",286455527,10000,10,10,5,1,0,0.9461,0.940282870092502,0.951917129907498,0.9862,0.983913463630379,0.988486536369621,0.9993,0.998864926265128,0.999735073734871,9993,9862,9461
"HFR","Logistic",100850091,10000,10,10,5,3,0,0.209,0.198526128449594,0.219473871550406,0.5079,0.498101223312352,0.517698776687648,0.6463,0.638434967706565,0.654165032293435,6463,5079,2090
