"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"HFR","Normal",175888,10000,10,10,0,1,1,0.0054,0.00351215225264748,0.00728784774735252,0.0517,0.0473601550053487,0.0560398449946513,0.1063,0.101229761210083,0.111370238789917,1063,517,54
"HFR","Normal",2774964,10000,10,10,0,3,1,0.0058,0.00384387440854734,0.00775612559145266,0.0537,0.0492816752439867,0.0581183247560133,0.106,0.100936071158675,0.111063928841325,1060,537,58
"HFR","Normal",4100749,10000,10,10,0,5,1,0.007,0.00485232034567536,0.00914767965432464,0.0514,0.0470720803327234,0.0557279196672767,0.1018,0.09682576479769,0.10677423520231,1018,514,70
"HFR","Normal",3380167,10000,10,10,0.5,1,0,0.0417,0.03655050512505,0.04684949487495,0.1795,0.171978099391776,0.187021900608224,0.284,0.276582089596119,0.291417910403881,2840,1795,417
"HFR","Normal",1445068,10000,10,10,1.5,1,0,0.5537,0.540894499310427,0.566505500689573,0.8456,0.838517897525282,0.852682102474718,0.9188,0.914306813864038,0.923293186135962,9188,8456,5537
"HFR","Normal",241421,10000,10,10,2,1,0,0.8355,0.825950029348234,0.845049970651766,0.9701,0.966761895580063,0.973438104419937,0.99,0.98836324566596,0.99163675433404,9900,9701,8355
"HFR","Normal",11794398,10000,10,10,2.5,1,0,0.9518,0.946282501445711,0.957317498554288,0.9943,0.992824455815097,0.995775544184903,0.9992,0.998734909885721,0.999665090114279,9992,9943,9518
"HFR","Normal",1608533,10000,10,10,0.5,3,0,0.0106,0.00796193954184822,0.0132380604581518,0.067,0.0620995688189711,0.0719004311810289,0.1253,0.119854083213473,0.130745916786527,1253,670,106
"HFR","Normal",18397472,10000,10,10,1.5,3,0,0.0412,0.0360801353573892,0.0463198646426108,0.1745,0.167061038247175,0.181938961752825,0.2776,0.270233443878609,0.284966556121391,2776,1745,412
"HFR","Normal",61984,10000,10,10,2,3,0,0.0763,0.0694612992606888,0.0831387007393112,0.2777,0.268921853619721,0.286478146380279,0.4007,0.39263883682371,0.40876116317629,4007,2777,763
"HFR","Normal",110925,10000,10,10,2.5,3,0,0.131,0.122308566838179,0.139691433161821,0.3937,0.384124034717607,0.403275965282393,0.5355,0.527295757304944,0.543704242695056,5355,3937,1310
"HFR","Normal",88355,10000,10,10,0.5,5,0,0.0074,0.00519225528409102,0.00960774471590898,0.0569,0.0523596317613656,0.0614403682386344,0.1123,0.107106156129823,0.117493843870177,1123,569,74
"HFR","Normal",908197,10000,10,10,1.5,5,0,0.0144,0.011331137346041,0.017468862653959,0.0896,0.0840020862766205,0.0951979137233794,0.1643,0.158204492287777,0.170395507712223,1643,896,144
"HFR","Normal",1191934,10000,10,10,2,5,0,0.027,0.0228247338851757,0.0311752661148243,0.1345,0.127812700877036,0.141187299122964,0.2212,0.214372347093444,0.228027652906556,2212,1345,270
"HFR","Normal",284083641,10000,10,10,2.5,5,0,0.0414,0.0362682588552516,0.0465317411447484,0.1757,0.168240931387794,0.183159068612206,0.2785,0.271126109744892,0.285873890255108,2785,1757,414
"HFR","Normal",36731972,10000,10,10,1,1,0,0.2122,0.201667619588051,0.222732380411949,0.5341,0.524322817639504,0.543877182360496,0.6673,0.659549086947154,0.675050913052846,6673,5341,2122
"HFR","Normal",18387,10000,10,10,1,3,0,0.0192,0.0156650221113088,0.0227349778886912,0.1064,0.100356361691299,0.112443638308701,0.1892,0.182757071106678,0.195642928893322,1892,1064,192
"HFR","Normal",28700,10000,10,10,1,5,0,0.0099,0.00734963120325236,0.0124503687967476,0.0707,0.0656760680655885,0.0757239319344115,0.1333,0.127708666778507,0.138891333221493,1333,707,99
"HFR","Normal",413720,10000,10,10,5,1,0,0.9999,0.999642412880322,1.00015758711968,1,1,1,1,1,1,10000,10000,9999
"HFR","Normal",8489453,10000,10,10,5,3,0,0.6666,0.654456012512006,0.678743987487993,0.9112,0.905624684998173,0.916775315001827,0.9596,0.956361068938122,0.962838931061878,9596,9112,6666
"HFR","Normal",75061140,10000,10,10,5,5,0,0.2085,0.198035358664608,0.218964641335392,0.5234,0.513610738058955,0.533189261941045,0.6669,0.65914675375762,0.67465324624238,6669,5234,2085
"HFR","Normal",246818644,10000,20,20,0,1,1,0.0091,0.00665385910075809,0.0115461408992419,0.0472,0.0430434984679902,0.0513565015320098,0.0984,0.0935002896965637,0.103299710303436,984,472,91
"HFR","Normal",85339,10000,20,20,0,3,1,0.0081,0.00579100861117587,0.0104089913888241,0.0438,0.0397888629929158,0.0478111370070841,0.0985,0.0935980725072299,0.10340192749277,985,438,81
"HFR","Normal",38774,10000,20,20,0,5,1,0.0088,0.00639415390545114,0.0112058460945489,0.0496,0.0453445046193892,0.0538554953806108,0.1045,0.099467812175666,0.109532187824334,1045,496,88
"HFR","Normal",4985589,10000,20,20,0.5,1,0,0.1274,0.118811087526757,0.135988912473243,0.3254,0.31621692747854,0.33458307252146,0.456,0.447806909096074,0.464193090903926,4560,3254,1274
