"method","distribution","seed","N","n1","n2","delta","sd1","sd2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"HFR","Normal2Var",19159,10000,10,10,0.5,1,3,0,0.016,0.0127677614979089,0.0192322385020911,0.0812,0.0758464165188539,0.0865535834811461,0.1449,0.139109600233665,0.150690399766335,1449,812,160
"HFR","Normal2Var",304993951,10000,10,10,1.5,1,3,0,0.0766,0.0697489808949804,0.0834510191050196,0.2436,0.235186620607247,0.252013379392753,0.3495,0.341656441450185,0.357343558549815,3495,2436,766
"HFR","Normal2Var",238970754,10000,10,10,2,1,3,0,0.1359,0.127072502776815,0.144727497223185,0.3706,0.361133876893765,0.380066123106235,0.4799,0.471681648651708,0.488118351348292,4799,3706,1359
"HFR","Normal2Var",2341256,10000,10,10,2.5,1,3,0,0.2215,0.21080299909814,0.23219700090186,0.4905,0.480701769059672,0.500298230940328,0.6035,0.595453145746978,0.611546854253022,6035,4905,2215
"HFR","Normal2Var",54856,10000,10,10,0.5,3,5,0,0.0088,0.00639415390545114,0.0112058460945489,0.0623,0.0575626872983093,0.0670373127016907,0.1172,0.111908718458029,0.122491281541971,1172,623,88
"HFR","Normal2Var",117521397,10000,10,10,1.5,3,5,0,0.0225,0.0186797173088893,0.0263202826911107,0.1104,0.1042576014087,0.1165423985913,0.1893,0.18285576609132,0.19574423390868,1893,1104,225
"HFR","Normal2Var",492300,10000,10,10,2,3,5,0,0.0416,0.0364564149362002,0.0467435850637998,0.1665,0.159198434384326,0.173801565615675,0.2579,0.25070347581655,0.26509652418345,2579,1665,416
"HFR","Normal2Var",1061717,10000,10,10,2.5,3,5,0,0.0678,0.0613238745205782,0.0742761254794218,0.2317,0.223430399969914,0.239969600030086,0.3441,0.336285034699247,0.351914965300753,3441,2317,678
"HFR","Normal2Var",665011,10000,10,10,0.5,1,5,0,0.0157,0.0124977190820642,0.0189022809179358,0.0845,0.0790485303302687,0.0899514696697313,0.1403,0.134586947682213,0.146013052317787,1403,845,157
"HFR","Normal2Var",6960567,10000,10,10,1.5,1,5,0,0.0294,0.0250484931913573,0.0337515068086427,0.1397,0.13290515998234,0.14649484001766,0.2083,0.201619778548298,0.214980221451702,2083,1397,294
"HFR","Normal2Var",41029250,10000,10,10,2,1,5,0,0.0459,0.0405092505236708,0.0512907494763292,0.1792,0.171683013887362,0.186716986112638,0.2577,0.250505297479897,0.264894702520103,2577,1792,459
"HFR","Normal2Var",17646512,10000,10,10,2.5,1,5,0,0.0748,0.0680233591459414,0.0815766408540586,0.2496,0.241117482299789,0.258082517700211,0.3333,0.325545589519907,0.341054410480093,3333,2496,748
"HFR","Normal2Var",82994275,10000,10,10,1,1,3,0,0.0345,0.0297985529927904,0.0392014470072096,0.1444,0.137510700649384,0.151289299350616,0.2259,0.21902104368476,0.23277895631524,2259,1444,345
"HFR","Normal2Var",133043663,10000,10,10,1,3,5,0,0.0133,0.0103490337449683,0.0162509662550317,0.0802,0.0748765894847758,0.0855234105152242,0.1458,0.139994702938531,0.151605297061469,1458,802,133
"HFR","Normal2Var",70998,10000,10,10,1,1,5,0,0.0191,0.0155740600663449,0.0226259399336551,0.1004,0.0945095611594381,0.106290438840562,0.161,0.154954115854774,0.167045884145226,1610,1004,191
"HFR","Normal2Var",268794,10000,10,10,5,1,3,0,0.7438,0.732554895170028,0.755045104829972,0.915,0.909533918771185,0.920466081228815,0.9548,0.951382635332833,0.958217364667167,9548,9150,7438
"HFR","Normal2Var",56643570,10000,10,10,5,3,5,0,0.3241,0.312043351561974,0.336156648438026,0.6362,0.626770595831676,0.645629404168324,0.7504,0.743280744073037,0.757519255926963,7504,6362,3241
"HFR","Normal2Var",84377,10000,10,10,5,1,5,0,0.3005,0.288689672077982,0.312310327922018,0.5973,0.587687349695656,0.606912650304344,0.6761,0.668402018833098,0.683797981166902,6761,5973,3005
