"method","distribution","seed","N","n1","n2","delta","sd","g1","g2","h","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"HFR","ghEqual",98429614,10000,10,10,0,3,1,1,0,1,0.007,0.00485232034567536,0.00914767965432464,0.0539,0.0494739228964692,0.0583260771035308,0.1013,0.0963366146349719,0.106263385365028,1013,539,70
"HFR","ghEqual",2469496,10000,10,10,0,3,3,3,0,1,0.007,0.00485232034567536,0.00914767965432464,0.0518,0.0474561889403889,0.0561438110596111,0.0945,0.0896879953995892,0.0993120046004108,945,518,70
"HFR","ghEqual",69977278,10000,10,10,0,3,-3,-3,0,1,0.0048,0.00301958329256997,0.00658041670743003,0.0509,0.0465920470719378,0.0552079529280622,0.1036,0.0985870115508212,0.108612988449179,1036,509,48
"HFR","ghEqual",76496487,10000,10,10,0,3,-1,-1,0,1,0.006,0.00401063406925724,0.00798936593074276,0.0527,0.0483206954577696,0.0570793045422304,0.1013,0.0963366146349719,0.106263385365028,1013,527,60
"HFR","ghEqual",51451,10000,10,10,0.5,3,1,1,0,0,0.0142,0.0111522142245991,0.0172477857754009,0.0956,0.089836778725192,0.101363221274808,0.1607,0.154658671487597,0.166741328512403,1607,956,142
"HFR","ghEqual",200551726,10000,10,10,0.5,3,3,3,0,0,0.0837,0.0765660932047401,0.0908339067952599,0.2635,0.254865588216908,0.272134411783092,0.3486,0.340761129844225,0.356438870155775,3486,2635,837
"HFR","ghEqual",257470061,10000,10,10,0.5,3,1,3,0,0,0.0993,0.0915961012862982,0.107003898713702,0.3002,0.291216441827783,0.309183558172217,0.3886,0.380581742159353,0.396618257840647,3886,3002,993
"HFR","ghEqual",846020,10000,10,10,0.5,3,-1,1,0,0,0.0439,0.0386224813355608,0.0491775186644392,0.2038,0.195904688889626,0.211695311110374,0.317,0.30934569285451,0.32465430714549,3170,2038,439
"HFR","ghEqual",7310582,10000,10,10,0.5,3,-3,3,0,0,0.1444,0.135345492282047,0.153454507717953,0.4262,0.416507338053476,0.435892661946524,0.5531,0.544921514108041,0.561278485891959,5531,4262,1444
"HFR","ghEqual",171645398,10000,10,10,0.5,3,-1,3,0,0,0.0887,0.081376168333976,0.096023831666024,0.3135,0.304407252844162,0.322592747155838,0.4391,0.43093623789286,0.44726376210714,4391,3135,887
"HFR","ghEqual",42847892,10000,10,10,0.5,3,1,-3,0,0,0.0186,0.0151196304717022,0.0220803695282978,0.1163,0.11001654721275,0.12258345278725,0.1968,0.190259810994291,0.203340189005709,1968,1163,186
"HFR","ghEqual",1865094,10000,10,10,1,3,1,1,0,0,0.0519,0.0461857845524636,0.0576142154475364,0.2107,0.202707007774206,0.218692992225794,0.3072,0.299611071737959,0.314788928262041,3072,2107,519
"HFR","ghEqual",627624,10000,10,10,1,3,3,3,0,0,0.1914,0.181265934804596,0.201534065195404,0.4543,0.444541020254063,0.464058979745937,0.5379,0.52969866298321,0.54610133701679,5379,4543,1914
"HFR","ghEqual",34547722,10000,10,10,1,3,1,3,0,0,0.1942,0.184009767264604,0.204390232735396,0.4452,0.435459037411344,0.454940962588656,0.5312,0.522991028706202,0.539408971293798,5312,4452,1942
"HFR","ghEqual",5154734,10000,10,10,1,3,-1,1,0,0,0.0977,0.0900516347569892,0.105348365243011,0.3342,0.32495448325416,0.34344551674584,0.4647,0.456495523786933,0.472904476213067,4647,3342,977
"HFR","ghEqual",6426085,10000,10,10,1,3,-3,3,0,0,0.2915,0.279793284462395,0.303206715537605,0.6222,0.612697189879536,0.631702810120464,0.7364,0.729152378658374,0.743647621341627,7364,6222,2915
"HFR","ghEqual",177377,10000,10,10,1,3,-1,3,0,0,0.1797,0.169809773150285,0.189590226849715,0.4778,0.468009664429367,0.487590335570633,0.6075,0.59946734944994,0.61553265055006,6075,4778,1797
"HFR","ghEqual",69451990,10000,10,10,1,3,1,-3,0,0,0.0119,0.00910668580069051,0.0146933141993095,0.0803,0.0749735612511172,0.0856264387488828,0.1495,0.143634248537112,0.155365751462888,1495,803,119
"HFR","ghEqual",26140,10000,10,10,1.5,3,1,1,0,0,0.1074,0.0994241598635238,0.115375840136476,0.3496,0.340253865005554,0.358946134994446,0.4669,0.458693042573829,0.47510695742617,4669,3496,1074
"HFR","ghEqual",205192,10000,10,10,1.5,3,3,3,0,0,0.3057,0.293832283568783,0.317567716431217,0.5868,0.577148800781167,0.596451199218833,0.6561,0.648286115111164,0.663913884888836,6561,5868,3057
"HFR","ghEqual",23814,10000,10,10,1.5,3,1,3,0,0,0.2886,0.276927847516456,0.300272152483544,0.5635,0.55377935337336,0.57322064662664,0.6498,0.641952816169102,0.657647183830898,6498,5635,2886
"HFR","ghEqual",185289054,10000,10,10,1.5,3,-1,1,0,0,0.1905,0.180384164107618,0.200615835892382,0.5015,0.491700044100099,0.511299955899901,0.6307,0.622760978618257,0.638639021381743,6307,5015,1905
"HFR","ghEqual",51282,10000,10,10,1.5,3,-3,3,0,0,0.6591,0.646889455937963,0.671310544062037,0.9,0.89412,0.90588,0.9459,0.942178764567113,0.949621235432887,9459,9000,6591
"HFR","ghEqual",548143,10000,10,10,1.5,3,-1,3,0,0,0.3352,0.323039725767134,0.347360274232866,0.6727,0.663503135502053,0.681896864497947,0.7798,0.772983425665637,0.786616574334363,7798,6727,3352
"HFR","ghEqual",2452160,10000,10,10,1.5,3,1,-3,0,0,0.008,0.00570519024021598,0.010294809759784,0.0629,0.0581414530017662,0.0676585469982338,0.1208,0.115439032071127,0.126160967928873,1208,629,80
"HFR","ghEqual",220835,10000,10,10,2,3,1,1,0,0,0.1978,0.187538748524063,0.208061251475937,0.481,0.471207078156137,0.490792921843863,0.5958,0.58772738377774,0.60387261622226,5958,4810,1978
