"method","distribution","seed","N","n1","n2","delta","sd","g1","g2","h","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"HFR","ghEqualK",1247885,10000,10,10,0,3,1,1,0.2,1,0.0073,0.00510711276402639,0.00949288723597361,0.0521,0.0477443177050662,0.0564556822949338,0.0965,0.0916427144288837,0.101357285571116,965,521,73
"HFR","ghEqualK",13826126,10000,10,10,0,3,3,3,0.2,1,0.0084,0.00604899387398841,0.0107510061260116,0.0549,0.0504354146980487,0.0593645853019513,0.1001,0.0951628074279025,0.105037192572098,1001,549,84
"HFR","ghEqualK",58530016,10000,10,10,0,3,-3,-3,0.2,1,0.0063,0.00426181416817406,0.00833818583182594,0.0481,0.0439060401072018,0.0522939598927982,0.1062,0.101131863119459,0.111268136880541,1062,481,63
"HFR","ghEqualK",7698081,10000,10,10,0,3,-1,-1,0.2,1,0.0076,0.00536284521817913,0.00983715478182087,0.0502,0.0459201946967648,0.0544798053032352,0.0997,0.0947715868633225,0.104628413136677,997,502,76
"HFR","ghEqualK",1836284,10000,10,10,0.5,3,1,1,0.2,0,0.0116,0.00884170176410454,0.0143582982358955,0.0787,0.0734223088334386,0.0839776911665614,0.1354,0.129771627271484,0.141028372728516,1354,787,116
"HFR","ghEqualK",7711868,10000,10,10,0.5,3,3,3,0.2,0,0.0524,0.0466598396007582,0.0581401603992418,0.1905,0.182803168342753,0.198196831657247,0.2719,0.264580759434205,0.279219240565795,2719,1905,524
"HFR","ghEqualK",2515918,10000,10,10,0.5,3,1,3,0.2,0,0.0683,0.0618017822774598,0.0747982177225402,0.25,0.241512951042913,0.258487048957088,0.3384,0.330616430139223,0.346183569860777,3384,2500,683
"HFR","ghEqualK",283863760,10000,10,10,0.5,3,-1,1,0.2,0,0.0336,0.0289581194766879,0.0382418805233121,0.1661,0.158805460598064,0.173394539401936,0.2668,0.259524379414758,0.274075620585242,2668,1661,336
"HFR","ghEqualK",58156,10000,10,10,0.5,3,-3,3,0.2,0,0.1144,0.106200683046688,0.122599316953312,0.3636,0.354171706487047,0.373028293512953,0.4968,0.488575168449725,0.505024831550275,4968,3636,1144
"HFR","ghEqualK",7130290,10000,10,10,0.5,3,-1,3,0.2,0,0.074,0.0672567818170847,0.0807432181829153,0.2781,0.269317966555381,0.286882033444619,0.3998,0.39174185101429,0.40785814898571,3998,2781,740
"HFR","ghEqualK",57045479,10000,10,10,0.5,3,1,-3,0.2,0,0.0175,0.0141222215347954,0.0208777784652046,0.1034,0.0974321801040581,0.109367819895942,0.1777,0.17141182294836,0.18398817705164,1777,1034,175
"HFR","ghEqualK",1231815,10000,10,10,1,3,1,1,0.2,0,0.0337,0.0290514575751687,0.0383485424248313,0.1464,0.139471267209193,0.153328732790807,0.2274,0.220504933099157,0.234295066900843,2274,1464,337
"HFR","ghEqualK",88633,10000,10,10,1,3,3,3,0.2,0,0.1411,0.132132308347724,0.150067691652276,0.3704,0.360934928041774,0.379865071958226,0.4641,0.455896228319122,0.472303771680878,4641,3704,1411
"HFR","ghEqualK",788270,10000,10,10,1,3,1,3,0.2,0,0.1415,0.132521697610439,0.150478302389561,0.3794,0.36988934078718,0.38891065921282,0.4786,0.470382536895179,0.486817463104821,4786,3794,1415
"HFR","ghEqualK",20356461,10000,10,10,1,3,-1,1,0.2,0,0.0628,0.0565505496723299,0.0690494503276701,0.2571,0.248534114027469,0.265665885972531,0.3799,0.371915799862605,0.387884200137395,3799,2571,628
"HFR","ghEqualK",15680797,10000,10,10,1,3,-3,3,0.2,0,0.2282,0.217389243988445,0.239010756011555,0.5608,0.551072723979572,0.570527276020428,0.6768,0.669106361906718,0.684493638093282,6768,5608,2282
"HFR","ghEqualK",5779305,10000,10,10,1,3,-1,3,0.2,0,0.1468,0.137683370406703,0.155916629593297,0.4241,0.414413569943968,0.433786430056032,0.5543,0.546123646519702,0.562476353480298,5543,4241,1468
"HFR","ghEqualK",18627,10000,10,10,1,3,1,-3,0.2,0,0.0113,0.00857718993386318,0.0140228100661368,0.0758,0.0706123142984949,0.0809876857015051,0.1399,0.134193770516885,0.145606229483115,1399,758,113
"HFR","ghEqualK",37070,10000,10,10,1.5,3,1,1,0.2,0,0.0674,0.0609416212203198,0.0738583787796802,0.2549,0.246358222180459,0.263441777819541,0.3589,0.351009300221085,0.366790699778915,3589,2549,674
"HFR","ghEqualK",41965,10000,10,10,1.5,3,3,3,0.2,0,0.2448,0.233724009971939,0.25587599002806,0.5231,0.513310464342861,0.532889535657139,0.6066,0.598564104452203,0.614635895547797,6066,5231,2448
"HFR","ghEqualK",55402876,10000,10,10,1.5,3,1,3,0.2,0,0.2282,0.217389243988445,0.239010756011555,0.5127,0.502903161794048,0.522496838205952,0.6134,0.605389332367705,0.621410667632295,6134,5127,2282
"HFR","ghEqualK",3684832,10000,10,10,1.5,3,-1,1,0.2,0,0.1276,0.119005333599527,0.136194666400473,0.3948,0.385219369231956,0.404380630768044,0.5322,0.523992073739129,0.540407926260871,5322,3948,1276
"HFR","ghEqualK",915028,10000,10,10,1.5,3,-3,3,0.2,0,0.5161,0.503226678981308,0.528973321018692,0.82,0.812469925896779,0.827530074103221,0.8936,0.888527660705197,0.898672339294803,8936,8200,5161
"HFR","ghEqualK",1954620,10000,10,10,1.5,3,-1,3,0.2,0,0.277,0.265471975471504,0.288528024528496,0.605,0.595418526418134,0.614581473581866,0.7201,0.712714774561059,0.727485225438941,7201,6050,2770
"HFR","ghEqualK",233284,10000,10,10,1.5,3,1,-3,0.2,0,0.0109,0.00822527455888572,0.0135747254411143,0.0644,0.0595889030167331,0.0692110969832669,0.1234,0.117989664271498,0.128810335728502,1234,644,109
"HFR","ghEqualK",1600088,10000,10,10,2,3,1,1,0.2,0,0.125,0.116480680778372,0.133519319221628,0.3745,0.365013726550431,0.383986273449569,0.4978,0.489575079618385,0.506024920381615,4978,3745,1250
"HFR","ghEqualK",200385306,10000,10,10,2,3,3,3,0.2,0,0.3357,0.323535236906845,0.347864763093155,0.6219,0.612395709799128,0.631404290200872,0.6969,0.68933961167598,0.70446038832402,6969,6219,3357
"HFR","ghEqualK",20730628,10000,10,10,2,3,1,3,0.2,0,0.33,0.317887320388948,0.342112679611052,0.6166,0.607070197815778,0.626129802184222,0.7134,0.70596175382129,0.72083824617871,7134,6166,3300
"HFR","ghEqualK",10401411,10000,10,10,2,3,-1,1,0.2,0,0.2345,0.223585850968509,0.245414149031491,0.5577,0.547965472792498,0.567434527207502,0.6888,0.681183906524838,0.696416093475162,6888,5577,2345
"HFR","ghEqualK",34384516,10000,10,10,2,3,-3,3,0.2,0,0.918,0.910932364793115,0.925067635206885,0.99,0.988049824623271,0.991950175376729,0.9967,0.995756579951042,0.997643420048958,9967,9900,9180
"HFR","ghEqualK",160411458,10000,10,10,2,3,-1,3,0.2,0,0.4659,0.453049988897633,0.478750011102367,0.7815,0.773400722424809,0.789599277575191,0.8714,0.865893252486349,0.876906747513651,8714,7815,4659
"HFR","ghEqualK",1209457,10000,10,10,2,3,1,-3,0.2,0,0.0111,0.00840112023907993,0.0137988797609201,0.0673,0.0623893996340977,0.0722106003659023,0.1267,0.121228127872129,0.132171872127871,1267,673,111
"HFR","ghEqualK",4717165,10000,10,10,2.5,3,1,1,0.2,0,0.211,0.200489446481255,0.221510553518745,0.5107,0.500902244260975,0.520497755739025,0.6307,0.622760978618257,0.638639021381743,6307,5107,2110
"HFR","ghEqualK",46987,10000,10,10,2.5,3,3,3,0.2,0,0.4327,0.419937207805026,0.445462792194974,0.7045,0.695557163047444,0.713442836952556,0.7694,0.762470982714475,0.776329017285525,7694,7045,4327
"HFR","ghEqualK",18047450,10000,10,10,2.5,3,1,3,0.2,0,0.4294,0.416649043551417,0.442150956448583,0.713,0.704133713011638,0.721866286988362,0.7958,0.789168744849435,0.802431255150565,7958,7130,4294
"HFR","ghEqualK",2696060,10000,10,10,2.5,3,-1,1,0.2,0,0.3973,0.384694625962896,0.409905374037104,0.7285,0.719783226397342,0.737216773602658,0.8297,0.823516508454702,0.835883491545298,8297,7285,3973
"HFR","ghEqualK",289534,10000,10,10,2.5,3,-3,3,0.2,0,0.9835,0.980218480321802,0.986781519678198,0.9987,0.997993771446627,0.999406228553373,0.9995,0.999132258787495,0.999867741212506,9995,9987,9835
"HFR","ghEqualK",784273,10000,10,10,2.5,3,-1,3,0.2,0,0.6878,0.675863049476603,0.699736950523396,0.921,0.91571312025482,0.926286879745181,0.9595,0.95625723181535,0.96274276818465,9595,9210,6878
"HFR","ghEqualK",50313456,10000,10,10,2.5,3,1,-3,0.2,0,0.0174,0.01403171475587,0.02076828524413,0.084,0.0785631988228371,0.0894368011771629,0.1535,0.147570288371736,0.159429711628264,1535,840,174
"HFR","ghEqualK",456680,10000,20,20,0,3,1,1,0.2,1,0.0098,0.00726241640782102,0.012337583592179,0.0536,0.0491855578284001,0.0580144421715999,0.0984,0.0935002896965637,0.103299710303436,984,536,98
"HFR","ghEqualK",81966160,10000,20,20,0,3,3,3,0.2,1,0.0102,0.00761166986137858,0.0127883301386214,0.0513,0.046976064527586,0.055623935472414,0.0965,0.0916427144288837,0.101357285571116,965,513,102
"HFR","ghEqualK",591804,10000,20,20,0,3,-3,-3,0.2,1,0.0087,0.00630774187608109,0.0110922581239189,0.0494,0.0451526460822766,0.0536473539177234,0.1026,0.0976084823022351,0.107591517697765,1026,494,87
"HFR","ghEqualK",1037709,10000,20,20,0,3,-1,-1,0.2,1,0.0096,0.00708818996570521,0.0121118100342948,0.0485,0.0442895226351398,0.0527104773648602,0.0985,0.0935980725072299,0.10340192749277,985,485,96
"HFR","ghEqualK",62363,10000,20,20,0.5,3,1,1,0.2,0,0.0247,0.0207018098266821,0.0286981901733179,0.0975,0.0916859068634911,0.103314093136509,0.1696,0.163426627308059,0.175773372691941,1696,975,247
"HFR","ghEqualK",43578134,10000,20,20,0.5,3,3,3,0.2,0,0.1518,0.142556618487557,0.161043381512443,0.3604,0.350989716877033,0.369810283122967,0.4701,0.461889719635787,0.478310280364213,4701,3604,1518
"HFR","ghEqualK",16754,10000,20,20,0.5,3,1,3,0.2,0,0.2192,0.208542973740037,0.229857026259963,0.4533,0.443542839075961,0.463057160924039,0.5681,0.55995164580176,0.57624835419824,5681,4533,2192
"HFR","ghEqualK",146767,10000,20,20,0.5,3,-1,1,0.2,0,0.104,0.0961364883748798,0.11186351162512,0.2868,0.277935559850639,0.295664440149361,0.4063,0.398220716681736,0.414379283318264,4063,2868,1040
