"method","distribution","seed","N","n1","n2","delta","scale1","scale2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"KS","Cauchy",1195979,10000,10,10,0,1,1,1,0.0028,0.00143881858974786,0.00416118141025214,0.0156,0.0131711305464476,0.0180288694535524,0.0577,0.0538642666864373,0.0615357333135627,577,156,28
"KS","Cauchy",1900306,10000,10,10,0,0.5,0.5,1,0.0019,0.000778214849062442,0.00302178515093756,0.0133,0.0110546995885628,0.0155453004114372,0.0522,0.0485410244625169,0.0558589755374831,522,133,19
"KS","Cauchy",10688355,10000,10,10,0,2,2,1,0.0024,0.00113953816677219,0.0036604618332278,0.0121,0.00995708349803358,0.0142429165019664,0.0551,0.0513465155050307,0.0588534844949693,551,121,24
"KS","Cauchy",1387073,10000,10,10,0.5,1,1,0,0.0059,0.00392718254677631,0.00787281745322369,0.03,0.0266564904665905,0.0333435095334095,0.1014,0.0964344416810292,0.106365558318971,1014,300,59
"KS","Cauchy",321000671,10000,10,10,0.5,0.5,0.5,0,0.0302,0.0257915043148829,0.0346084956851171,0.1001,0.094217387573671,0.105982612426329,0.2435,0.236439753710431,0.250560246289569,2435,1001,302
"KS","Cauchy",81964437,10000,10,10,0.5,2,2,0,0.0035,0.00197868715433018,0.00502131284566982,0.0162,0.0137256166324516,0.0186743833675484,0.0626,0.0586151172856532,0.0665848827143468,626,162,35
"KS","Cauchy",542312,10000,10,10,0.5,0.5,2,0,0.0151,0.0119585481968644,0.0182414518031356,0.0665,0.0616165802515041,0.0713834197484959,0.1942,0.187692650291255,0.200707349708745,1942,665,151
"KS","Cauchy",10131774,10000,10,10,0.5,1,2,0,0.0072,0.00502207464379148,0.00937792535620852,0.0299,0.0265618955800634,0.0332381044199366,0.1018,0.09682576479769,0.10677423520231,1018,299,72
"KS","Cauchy",153135,10000,10,10,1,1,1,0,0.0325,0.0279321374626637,0.0370678625373363,0.1077,0.10162397755488,0.11377602244512,0.2522,0.24505616897009,0.25934383102991,2522,1077,325
"KS","Cauchy",456516,10000,10,10,1,0.5,0.5,0,0.1836,0.173626819134062,0.193573180865938,0.3827,0.37317349848299,0.39222650151701,0.6083,0.600270257909262,0.616329742090738,6083,3827,1836
"KS","Cauchy",12112624,10000,10,10,1,2,2,0,0.0078,0.0055338285107221,0.0100661714892779,0.0343,0.030732826384713,0.037867173615287,0.1033,0.0982934374328513,0.108306562567149,1033,343,78
"KS","Cauchy",1877214,10000,10,10,1,0.5,2,0,0.0441,0.0388110265828099,0.0493889734171901,0.1297,0.123114927646138,0.136285072353862,0.3036,0.296036093232224,0.311163906767775,3036,1297,441
"KS","Cauchy",64399089,10000,10,10,1,1,2,0,0.0148,0.011689437600289,0.017910562399711,0.059,0.0543817558488101,0.0636182441511899,0.1749,0.168650948546461,0.181149051453539,1749,590,148
"KS","Cauchy",136359788,10000,10,10,1.5,1,1,0,0.0934,0.085904041833645,0.100895958166355,0.2315,0.223232894022695,0.239767105977305,0.4394,0.43123563381498,0.44756436618502,4394,2315,934
"KS","Cauchy",171634,10000,10,10,1.5,0.5,0.5,0,0.4027,0.390066231028577,0.415333768971423,0.6602,0.650916633024942,0.669483366975058,0.8426,0.83660928038487,0.84859071961513,8426,6602,4027
"KS","Cauchy",159380,10000,10,10,1.5,2,2,0,0.0165,0.0132184803218021,0.0197815196781979,0.0618,0.0570804779096184,0.0665195220903816,0.17,0.163820840449543,0.176179159550457,1700,618,165
"KS","Cauchy",54474292,10000,10,10,1.5,0.5,2,0,0.0931,0.08561485185728,0.10058514814272,0.2394,0.231036341244264,0.247763658755736,0.4495,0.441317059148792,0.457682940851208,4495,2394,931
