"method","distribution","seed","N","n1","n2","delta","rate1","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"KS","Exp",1639162,10000,10,10,0,1,1,0.0023,0.00106601533457826,0.00353398466542174,0.0121,0.00995708349803358,0.0142429165019664,0.0516,0.0479609625438037,0.0552390374561963,516,121,23
"KS","Exp",332036,10000,10,10,0,0.5,1,0.0025,0.00121361100750978,0.00378638899249022,0.0128,0.0105967507572678,0.0150032492427322,0.0507,0.0470911268060827,0.0543088731939173,507,128,25
"KS","Exp",542304,10000,10,10,0,0.25,1,0.0023,0.00106601533457826,0.00353398466542174,0.0119,0.00977465223965583,0.0140253477603442,0.0569,0.0530893337997176,0.0607106662002824,569,119,23
"KS","Exp",1047474,10000,10,10,0,0.125,1,0.002,0.000849130376801959,0.00315086962319804,0.012,0.00986584889007362,0.0141341511099264,0.0546,0.0508625962017598,0.0583374037982402,546,120,20
"KS","Exp",69164,10000,10,10,0.5,1,0,0.0447,0.0393768401345426,0.0500231598654574,0.1406,0.133786874225262,0.147413125774738,0.3296,0.321867382880706,0.337332617119294,3296,1406,447
"KS","Exp",2597010,10000,10,10,0.5,0.5,0,0.0076,0.00536284521817913,0.00983715478182087,0.0351,0.0314929614587033,0.0387070385412967,0.1196,0.114262086780061,0.124937913219939,1196,351,76
"KS","Exp",150847175,10000,10,10,0.5,0.25,0,0.0036,0.00205718458838914,0.00514281541161086,0.0169,0.0143736223436707,0.0194263776563293,0.0686,0.0644418890155384,0.0727581109844616,686,169,36
"KS","Exp",1988363,10000,10,10,0.5,0.125,0,0.0023,0.00106601533457826,0.00353398466542174,0.0125,0.0103223923677577,0.0146776076322423,0.0559,0.0521209659498789,0.0596790340501211,559,125,23
"KS","Exp",1285652,10000,10,10,1,1,0,0.3265,0.314420297139813,0.338579702860187,0.5922,0.582568057449009,0.601831942550991,0.8182,0.811855570448977,0.824544429551023,8182,5922,3265
"KS","Exp",176457,10000,10,10,1,0.5,0,0.0441,0.0388110265828099,0.0493889734171901,0.1407,0.133884848321453,0.147515151678547,0.3311,0.323358482664492,0.338841517335508,3311,1407,441
"KS","Exp",330652,10000,10,10,1,0.25,0,0.0081,0.00579100861117587,0.0104089913888241,0.0379,0.0341572933945606,0.0416427066054394,0.1233,0.117891548446295,0.128708451553705,1233,379,81
"KS","Exp",90471,10000,10,10,1,0.125,0,0.0026,0.00128820124431222,0.00391179875568778,0.0181,0.0154870626983412,0.0207129373016588,0.0678,0.0636644307400432,0.0719355692599568,678,181,26
"KS","Exp",1356012,10000,10,10,1.5,1,0,0.6805,0.668488552298012,0.692511447701988,0.8813,0.874960670643546,0.887639329356454,0.9712,0.968448835980462,0.973951164019538,9712,8813,6805
"KS","Exp",11490491,10000,10,10,1.5,0.5,0,0.1473,0.138170534251376,0.156429465748624,0.3525,0.343136126923116,0.361863873076884,0.6099,0.601876142741862,0.617923857258138,6099,3525,1473
"KS","Exp",114684552,10000,10,10,1.5,0.25,0,0.0204,0.0167584579384574,0.0240415420615426,0.0801,0.074779620164086,0.085420379835914,0.216,0.209230590146844,0.222769409853156,2160,801,204
"KS","Exp",26772675,10000,10,10,1.5,0.125,0,0.004,0.00237405622532635,0.00562594377467365,0.0231,0.0201556657149026,0.0260443342850974,0.0844,0.0798271177605803,0.0889728822394197,844,231,40
"KS","Exp",287338,10000,10,10,2,1,0,0.8928,0.884830696949343,0.900769303050657,0.9765,0.973530891103378,0.979469108896622,0.9959,0.994848847574338,0.996951152425662,9959,9765,8928
"KS","Exp",4646260,10000,10,10,2,0.5,0,0.3271,0.315014589822485,0.339185410177515,0.5938,0.584173994011554,0.603426005988446,0.8113,0.804863606458833,0.817736393541167,8113,5938,3271
"KS","Exp",124993,10000,10,10,2,0.25,0,0.0426,0.0373976763196987,0.0478023236803013,0.1456,0.138686986918687,0.152513013081313,0.34,0.332207490712229,0.347792509287771,3400,1456,426
"KS","Exp",54909,10000,10,10,2,0.125,0,0.0086,0.00622141025800917,0.0109785897419908,0.0378,0.0340620400181917,0.0415379599818083,0.122,0.116616148461371,0.127383851538629,1220,378,86
"KS","Exp",8491715,10000,10,10,2.5,1,0,0.9689,0.9644283733978,0.9733716266022,0.9957,0.994417508330787,0.996982491669213,0.9995,0.999132258787495,0.999867741212506,9995,9957,9689
"KS","Exp",108779,10000,10,10,2.5,0.5,0,0.5087,0.495821949922001,0.521578050077999,0.7667,0.758410541295259,0.774989458704741,0.9193,0.914819450293237,0.923780549706763,9193,7667,5087
"KS","Exp",81274670,10000,10,10,2.5,0.25,0,0.0875,0.0802210904662855,0.0947789095337145,0.2454,0.236965647435968,0.253834352564032,0.4744,0.466185787746497,0.482614212253503,4744,2454,875
"KS","Exp",188678,10000,10,10,2.5,0.125,0,0.0124,0.00954932805320851,0.0152506719467915,0.0536,0.0491855578284001,0.0580144421715999,0.1662,0.160076321842234,0.172323678157766,1662,536,124
"KS","Exp",12743321,10000,10,10,5,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Exp",20892,10000,10,10,5,0.5,0,0.967,0.962398323697434,0.971601676302566,0.9957,0.994417508330787,0.996982491669213,0.9995,0.999132258787495,0.999867741212506,9995,9957,9670
"KS","Exp",19609,10000,10,10,5,0.25,0,0.5159,0.503026514032829,0.528773485967171,0.7706,0.762359239727889,0.778840760272111,0.9253,0.920975185501576,0.929624814498424,9253,7706,5159
"KS","Exp",210120,10000,10,10,5,0.12,0,0.0719,0.0652456185829738,0.0785543814170262,0.2165,0.2084275656435,0.2245724343565,0.4469,0.438721514108041,0.455078485891959,4469,2165,719
"KS","Exp",1098408,10000,10,10,0,1.5,1,0.0028,0.00143881858974786,0.00416118141025214,0.0127,0.0105052629238107,0.0148947370761893,0.0553,0.0515401075213811,0.0590598924786189,553,127,28
"KS","Exp",12577707,10000,10,10,0.5,1.5,0,0.1492,0.140022085429994,0.158377914570006,0.3498,0.340452629512339,0.359147370487661,0.6053,0.597259467671492,0.613340532328507,6053,3498,1492
"KS","Exp",28786,10000,10,10,1,1.5,0,0.672,0.659906070932836,0.684093929067164,0.8811,0.874756052222283,0.887443947777717,0.9703,0.967507474531759,0.973092525468241,9703,8811,6720
"KS","Exp",25021,10000,10,10,1.5,1.5,0,0.9324,0.925932739731028,0.938867260268972,0.9887,0.986628296688809,0.990771703311191,0.9987,0.998107272464133,0.999292727535867,9987,9887,9324
"KS","Exp",45902,10000,10,10,2,1.5,0,0.993,0.990852320345675,0.995147679654325,0.9989,0.998250299171618,0.999549700828382,1,1,1,10000,9989,9930
"KS","Exp",211967,10000,10,10,2.5,1.5,0,0.9991,0.998327547838281,0.999872452161719,1,1,1,1,1,1,10000,10000,9991
"KS","Exp",7087117,10000,10,10,5,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Exp",310085345,10000,20,20,0,1,1,0.0034,0.00190050245650618,0.00489949754349382,0.0325,0.0290244524172442,0.0359755475827558,0.0774,0.073004147538065,0.081795852461935,774,325,34
"KS","Exp",3514357,10000,20,20,0,0.5,1,0.0028,0.00143881858974786,0.00416118141025214,0.0317,0.0282660760844771,0.0351339239155229,0.0815,0.0769992562509764,0.0860007437490236,815,317,28
"KS","Exp",1987967,10000,20,20,0,0.25,1,0.0046,0.00285689482302874,0.00634310517697126,0.0341,0.0305428732226135,0.0376571267773865,0.0804,0.0759270565458973,0.0848729434541027,804,341,46
"KS","Exp",310472985,10000,20,20,0,0.125,1,0.0036,0.00205718458838914,0.00514281541161086,0.0323,0.0288348048087301,0.0357651951912699,0.0813,0.0768042926461151,0.0857957073538849,813,323,36
"KS","Exp",86130,10000,20,20,0.5,1,0,0.2536,0.24239256319606,0.26480743680394,0.5853,0.57564366439763,0.59495633560237,0.7444,0.737224543940933,0.751575456059067,7444,5853,2536
"KS","Exp",401840,10000,20,20,0.5,0.5,0,0.031,0.0265353379157656,0.0354646620842344,0.1509,0.143884152964153,0.157915847035847,0.2726,0.265274867641667,0.279925132358333,2726,1509,310
