"method","distribution","seed","N","n1","n2","delta","scale","lambda3","lambda4","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"KS","GLDLS",7665848,10000,10,10,0,2,-0.002,-0.002,1,0.0017,0.000638791170063121,0.00276120882993688,0.0122,0.0100483555996401,0.0143516444003599,0.0549,0.0511529373358623,0.0586470626641377,549,122,17
"KS","GLDLS",916321,10000,10,10,0,2,-0.02,-0.02,1,0.0019,0.000778214849062442,0.00302178515093756,0.0134,0.0111463886248068,0.0156536113751932,0.0527,0.0490245122591995,0.0563754877408005,527,134,19
"KS","GLDLS",59113046,10000,10,10,0,2,-0.05,-0.05,1,0.0021,0.000920768647472431,0.00327923135252757,0.0141,0.0117890951663039,0.0164109048336961,0.0529,0.0492179332559044,0.0565820667440956,529,141,21
"KS","GLDLS",352371886,10000,10,10,0,2,-0.1,-0.1,1,0.0014,0.000436823989135942,0.00236317601086406,0.0131,0.0108714196666039,0.0153285803333961,0.0515,0.0478642987926158,0.0551357012073842,515,131,14
"KS","GLDLS",1068569,10000,10,10,0,2,-0.2,-0.2,1,0.002,0.000849130376801959,0.00315086962319804,0.0135,0.0112381098965688,0.0157618901034312,0.0528,0.0491212209190548,0.0564787790809452,528,135,20
"KS","GLDLS",44564,10000,10,10,0.5,2,-0.002,-0.002,0,0.0241,0.0201494547649541,0.0280505452350459,0.0888,0.0832246849981727,0.0943753150018273,0.2204,0.213581205336454,0.227218794663546,2204,888,241
"KS","GLDLS",846551,10000,10,10,0.5,2,-0.002,-0.02,0,0.023,0.0191384909362271,0.0268615090637729,0.0814,0.0760404109106761,0.0867595890893239,0.2066,0.19993995507109,0.21326004492891,2066,814,230
"KS","GLDLS",36454962,10000,10,10,0.5,2,-0.002,-0.05,0,0.0215,0.0177636676199246,0.0252363323800754,0.0792,0.0739070070264925,0.0844929929735075,0.1999,0.193321234071349,0.206478765928651,1999,792,215
"KS","GLDLS",291519011,10000,10,10,0.5,2,-0.002,-0.1,0,0.0207,0.0170323413525553,0.0243676586474447,0.077,0.0717748076245941,0.0822251923754059,0.1972,0.190654798224928,0.203745201775072,1972,770,207
"KS","GLDLS",1436007,10000,10,10,0.5,2,-0.002,-0.2,0,0.0195,0.0159380570165147,0.0230619429834853,0.0692,0.0642256389297117,0.0741743610702883,0.189,0.182559683191216,0.195440316808784,1890,692,195
"KS","GLDLS",29106,10000,10,10,1,2,-0.002,-0.002,0,0.1707,0.161007887378999,0.180392112621001,0.3791,0.369590804120726,0.388609195879274,0.624,0.616031948735105,0.631968051264895,6240,3791,1707
"KS","GLDLS",36155514,10000,10,10,1,2,-0.002,-0.02,0,0.1695,0.159835029598721,0.179164970401279,0.3749,0.36541169708755,0.38438830291245,0.6116,0.603582494781567,0.619617505218433,6116,3749,1695
"KS","GLDLS",314838834,10000,10,10,1,2,-0.002,-0.05,0,0.1698,0.160128227640515,0.179471772359485,0.373,0.36352139866014,0.38247860133986,0.6055,0.597460177145958,0.613539822854042,6055,3730,1698
"KS","GLDLS",24704,10000,10,10,1,2,-0.002,-0.1,0,0.1451,0.136027285944447,0.154172714055553,0.3353,0.326046933412884,0.344553066587116,0.5811,0.572983916244211,0.589216083755788,5811,3353,1451
"KS","GLDLS",1120785,10000,10,10,1,2,-0.002,-0.2,0,0.1293,0.120656703857314,0.137943296142686,0.3146,0.30549861511338,0.32370138488662,0.5467,0.538510954224467,0.554889045775533,5467,3146,1293
"KS","GLDLS",10386842,10000,10,10,1.5,2,-0.002,-0.002,0,0.4993,0.486420012622406,0.512179987377594,0.7573,0.748897182370562,0.765702817629438,0.912,0.907339798905627,0.916660201094374,9120,7573,4993
"KS","GLDLS",122190,10000,10,10,1.5,2,-0.002,-0.02,0,0.486,0.473125049949984,0.498874950050016,0.7424,0.733828674611333,0.750971325388667,0.9058,0.900994843776535,0.910605156223465,9058,7424,4860
"KS","GLDLS",211174953,10000,10,10,1.5,2,-0.002,-0.05,0,0.469,0.456144779195735,0.481855220804265,0.7284,0.719682219645437,0.737117780354563,0.8952,0.890161438308565,0.900238561691435,8952,7284,4690
"KS","GLDLS",129462,10000,10,10,1.5,2,-0.002,-0.1,0,0.444,0.431201038298112,0.456798961701888,0.6944,0.685371042632596,0.703428957367404,0.8791,0.873737118598927,0.884462881401073,8791,6944,4440
"KS","GLDLS",180668295,10000,10,10,1.5,2,-0.002,-0.2,0,0.3951,0.382506653127392,0.407693346872608,0.6627,0.653433350700841,0.671966649299159,0.8527,0.846870042252917,0.858529957747083,8527,6627,3951
"KS","GLDLS",87619632,10000,10,10,2,2,-0.002,-0.002,0,0.8032,0.792958342322974,0.813441657677026,0.9483,0.943960155005349,0.952639844994651,0.9889,0.987176530587456,0.990623469412544,9889,9483,8032
"KS","GLDLS",472130,10000,10,10,2,2,-0.002,-0.02,0,0.7934,0.782970653047494,0.803829346952506,0.9443,0.939804907182093,0.948795092817907,0.9888,0.987068872153075,0.990531127846925,9888,9443,7934
"KS","GLDLS",47350,10000,10,10,2,2,-0.002,-0.05,0,0.7758,0.765056679043874,0.786543320956126,0.9327,0.927789399634098,0.937610600365902,0.9852,0.983213635424098,0.987186364575902,9852,9327,7758
"KS","GLDLS",265703,10000,10,10,2,2,-0.002,-0.1,0,0.7511,0.739962000655813,0.762237999344187,0.924,0.918806036981264,0.929193963018736,0.981,0.978754168306061,0.983245831693939,9810,9240,7511
"KS","GLDLS",92277,10000,10,10,2,2,-0.002,-0.2,0,0.6841,0.672124863654933,0.696075136345067,0.8817,0.875369924877413,0.888030075122587,0.9684,0.965522357533049,0.971277642466951,9684,8817,6841
"KS","GLDLS",35638809,10000,10,10,2.5,2,-0.002,-0.002,0,0.95,0.94438573816072,0.95561426183928,0.994,0.992486352009217,0.995513647990783,0.9995,0.999132258787495,0.999867741212506,9995,9940,9500
"KS","GLDLS",36998,10000,10,10,2.5,2,-0.002,-0.02,0,0.9475,0.941754668134912,0.953245331865088,0.9921,0.990364808778722,0.993835191221278,0.9991,0.998606722124989,0.999593277875011,9991,9921,9475
"KS","GLDLS",91333572,10000,10,10,2.5,2,-0.002,-0.05,0,0.9358,0.929485995411727,0.942114004588273,0.9911,0.989259186406395,0.992940813593605,0.999,0.998480065487297,0.999519934512703,9990,9911,9358
"KS","GLDLS",23929,10000,10,10,2.5,2,-0.002,-0.1,0,0.9138,0.906570220226185,0.921029779773814,0.9822,0.979608411540078,0.984791588459922,0.9978,0.997029275805557,0.998570724194443,9978,9822,9138
"KS","GLDLS",484134,10000,10,10,2.5,2,-0.002,-0.2,0,0.8727,0.864113967095655,0.881286032904345,0.9721,0.968872147770669,0.975327852229331,0.9961,0.995074703025473,0.997125296974527,9961,9721,8727
"KS","GLDLS",44446870,10000,20,20,0,2,-0.002,-0.002,1,0.004,0.00237405622532635,0.00562594377467365,0.035,0.0313979167139001,0.0386020832860999,0.0824,0.0778766914797242,0.0869233085202758,824,350,40
"KS","GLDLS",143850041,10000,20,20,0,2,-0.02,-0.02,1,0.0041,0.00245394003130384,0.00574605996869616,0.0332,0.0296884938442885,0.0367115061557115,0.0798,0.0753423243774474,0.0842576756225526,798,332,41
"KS","GLDLS",17949808,10000,20,20,0,2,-0.05,-0.05,1,0.004,0.00237405622532635,0.00562594377467365,0.0327,0.0292141351785246,0.0361858648214754,0.0836,0.0790468539501132,0.0881531460498868,836,327,40
