"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"KS","Logistic",35179,10000,10,10,0,1,1,0.0025,0.00121361100750978,0.00378638899249022,0.0129,0.0106882730877434,0.0151117269122566,0.0515,0.0478642987926158,0.0551357012073842,515,129,25
"KS","Logistic",7816127,10000,10,10,0,3,1,0.0017,0.000638791170063121,0.00276120882993688,0.0099,0.00795950200247462,0.0118404979975254,0.052,0.0483476554324653,0.0556523445675347,520,99,17
"KS","Logistic",55837,10000,10,10,0,5,1,0.0024,0.00113953816677219,0.0036604618332278,0.0162,0.0137256166324516,0.0186743833675484,0.0577,0.0538642666864373,0.0615357333135627,577,162,24
"KS","Logistic",4116137,10000,10,10,0,2,1,0.0023,0.00106601533457826,0.00353398466542174,0.0128,0.0105967507572678,0.0150032492427322,0.0519,0.0482509765484482,0.0555490234515518,519,128,23
"KS","Logistic",172556432,10000,10,10,0.5,1,0,0.0043,0.0026144395204633,0.0059855604795367,0.0249,0.0218459206037825,0.0279540793962175,0.0897,0.0849993881057063,0.0944006118942937,897,249,43
"KS","Logistic",19537,10000,10,10,1.5,1,0,0.0705,0.0639057544606225,0.0770942455393775,0.1972,0.189401461714808,0.204998538285192,0.4011,0.39303750627157,0.40916249372843,4011,1972,705
"KS","Logistic",4180876,10000,10,10,2,1,0,0.171,0.161301129086414,0.180698870913586,0.3773,0.367799665279918,0.386800334720082,0.6186,0.610609734606467,0.626590265393534,6186,3773,1710
"KS","Logistic",260426,10000,10,10,2.5,1,0,0.3243,0.312241416570137,0.336358583429863,0.5813,0.57163041771897,0.59096958228103,0.7979,0.791294232384274,0.804505767615726,7979,5813,3243
"KS","Logistic",21924760,10000,10,10,0.5,3,0,0.0024,0.00113953816677219,0.0036604618332278,0.014,0.0116971876672208,0.0163028123327792,0.0576,0.0537673886383303,0.0614326113616697,576,140,24
"KS","Logistic",872492,10000,10,10,1.5,3,0,0.0058,0.00384387440854734,0.00775612559145266,0.0294,0.0260890709064675,0.0327109290935325,0.0921,0.0873432018228671,0.0968567981771329,921,294,58
"KS","Logistic",1925367,10000,10,10,2,3,0,0.0089,0.00648064499126234,0.0113193550087377,0.0377,0.0339667937059948,0.0414332062940052,0.1175,0.112202850956942,0.122797149043058,1175,377,89
"KS","Logistic",735981,10000,10,10,2.5,3,0,0.0159,0.012677714353608,0.019122285646392,0.0599,0.0552488910915353,0.0645511089084647,0.1647,0.158598537553932,0.170801462446068,1647,599,159
"KS","Logistic",466279,10000,10,10,1,1,0,0.0225,0.0186797173088893,0.0263202826911107,0.0823,0.0769135038370384,0.0876864961629616,0.2114,0.204683441833863,0.218116558166137,2114,823,225
"KS","Logistic",7557197,10000,10,10,1,3,0,0.0039,0.00229442856754861,0.00550557143245139,0.0194,0.0166966462417212,0.0221033537582788,0.0654,0.061333060940818,0.069466939059182,654,194,39
