"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"KS","Normal",11019736,10000,10,10,0,1,1,0.0016,0.000570424649992046,0.00262957535000795,0.0124,0.0102310104752673,0.0145689895247327,0.052,0.0483476554324653,0.0556523445675347,520,124,16
"KS","Normal",167733447,10000,10,10,0,3,1,0.0014,0.000436823989135942,0.00236317601086406,0.0106,0.00859278008618886,0.0126072199138111,0.0491,0.0455455363925094,0.0526544636074906,491,106,14
"KS","Normal",5111652,10000,10,10,0,5,1,0.0022,0.000993078708276302,0.0034069212917237,0.0131,0.0108714196666039,0.0153285803333961,0.0508,0.0471877597858946,0.0544122402141054,508,131,22
"KS","Normal",340426,10000,10,10,0.5,1,0,0.0154,0.012227978408588,0.018572021591412,0.0565,0.0519746596547884,0.0610253403452116,0.1589,0.152886162797267,0.164913837202733,1589,565,154
"KS","Normal",288011690,10000,10,10,1.5,1,0,0.321,0.30897366597344,0.33302633402656,0.5892,0.579557211130715,0.598842788869285,0.8011,0.79453361020644,0.807666389793561,8011,5892,3210
"KS","Normal",1698230,10000,10,10,2,1,0,0.6361,0.6237063398157,0.6484936601843,0.86,0.853199054183424,0.866800945816576,0.9595,0.95625723181535,0.96274276818465,9595,8600,6361
"KS","Normal",68864024,10000,10,10,2.5,1,0,0.8835,0.875235585361418,0.891764414638581,0.9726,0.96940037939149,0.97579962060851,0.995,0.993839720965673,0.996160279034327,9950,9726,8835
"KS","Normal",3091822,10000,10,10,0.5,3,0,0.0031,0.0016679687226656,0.0045320312773344,0.0151,0.0127097649323968,0.0174902350676032,0.0624,0.0584210636082491,0.0663789363917509,624,151,31
"KS","Normal",6593683,10000,10,10,1.5,3,0,0.0136,0.0106163914386931,0.0165836085613069,0.0566,0.0520708967344076,0.0611291032655924,0.1568,0.150818580938406,0.162781419061594,1568,566,136
"KS","Normal",31217,10000,10,10,2,3,0,0.0285,0.0242136296596771,0.0327863703403229,0.1024,0.0964577971728996,0.1083422028271,0.2541,0.246938425100093,0.261261574899907,2541,1024,285
"KS","Normal",122685772,10000,10,10,2.5,3,0,0.0532,0.0474186295350171,0.0589813704649828,0.1661,0.158805460598064,0.173394539401936,0.3542,0.346332455626315,0.362067544373685,3542,1661,532
"KS","Normal",126555976,10000,10,10,0.5,5,0,0.0023,0.00106601533457826,0.00353398466542174,0.0122,0.0100483555996401,0.0143516444003599,0.0573,0.0534767740365269,0.0611232259634731,573,122,23
"KS","Normal",161993,10000,10,10,1.5,5,0,0.0054,0.00351215225264748,0.00728784774735252,0.0274,0.0242003793914903,0.0305996206085097,0.0857,0.0810953070792098,0.0903046929207902,857,274,54
"KS","Normal",22990,10000,10,10,2,5,0,0.0075,0.00527750011023622,0.00972249988976378,0.0389,0.0351102098677631,0.0426897901322369,0.116,0.110732300050307,0.121267699949693,1160,389,75
"KS","Normal",23402,10000,10,10,2.5,5,0,0.0158,0.0125877001123905,0.0190122998876095,0.0577,0.0531297645625635,0.0622702354374365,0.1607,0.154658671487597,0.166741328512403,1607,577,158
"KS","Normal",98754,10000,10,10,1,1,0,0.0958,0.0882184000530801,0.10338159994692,0.2549,0.246358222180459,0.263441777819541,0.4764,0.468184167100555,0.484615832899445,4764,2549,958
"KS","Normal",40970057,10000,10,10,1,3,0,0.0068,0.00468301066328241,0.00891698933671759,0.0295,0.026183615709843,0.032816384290157,0.0982,0.0933047287462389,0.103095271253761,982,295,68
"KS","Normal",787023,10000,10,10,1,5,0,0.0035,0.00197868715433018,0.00502131284566982,0.0209,0.018096227707106,0.023703772292894,0.0695,0.0653167242471509,0.0736832757528491,695,209,35
"KS","Normal",15365048,10000,10,10,5,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Normal",106775,10000,10,10,5,3,0,0.4296,0.416848309788817,0.442351690211183,0.7025,0.693539696489516,0.711460303510485,0.8843,0.879038223532895,0.889561776467105,8843,7025,4296
"KS","Normal",3603470,10000,10,10,5,5,0,0.0934,0.085904041833645,0.100895958166355,0.2522,0.243688201326065,0.260711798673935,0.4778,0.469583111217505,0.486016888782495,4778,2522,934
"KS","Normal",2938219,10000,20,20,0,1,1,0.0044,0.00269503824744835,0.00610496175255165,0.0322,0.0287399942853226,0.0356600057146774,0.0823,0.0777791907203715,0.0868208092796285,823,322,44
"KS","Normal",488839,10000,20,20,0,3,1,0.0033,0.00182264434886653,0.00477735565113347,0.0342,0.0306378457223753,0.0377621542776247,0.0825,0.0779741942171173,0.0870258057828828,825,342,33
"KS","Normal",133394,10000,20,20,0,5,1,0.0038,0.00221506693533891,0.00538493306466109,0.0329,0.0294038527813606,0.0363961472186394,0.082,0.0774867003434294,0.0865132996565706,820,329,38
"KS","Normal",49070880,10000,20,20,0.5,1,0,0.0555,0.0496021553176097,0.0613978446823903,0.21,0.202016758553069,0.217983241446931,0.3462,0.338373782880606,0.354026217119394,3462,2100,555
"KS","Normal",1632699,10000,20,20,1.5,1,0,0.8461,0.836804430203979,0.855395569796021,0.9706,0.967289070906468,0.973910929093532,0.9895,0.987823249474616,0.991176750525384,9895,9706,8461
"KS","Normal",214738,10000,20,20,2,1,0,0.9897,0.987099144307653,0.992300855692347,0.9992,0.998645850076604,0.999754149923396,0.9996,0.999271065806581,0.999928934193419,9996,9992,9897
"KS","Normal",20639529,10000,20,20,2.5,1,0,0.9997,0.999253890643434,1.00014610935657,1,1,1,1,1,1,10000,10000,9997
"KS","Normal",178715,10000,20,20,0.5,3,0,0.0099,0.00734963120325236,0.0124503687967476,0.0546,0.0501469231340117,0.0590530768659883,0.1166,0.111320486861926,0.121879513138074,1166,546,99
"KS","Normal",197151519,10000,20,20,1.5,3,0,0.0565,0.0505524098320076,0.0624475901679924,0.2096,0.20162234637162,0.21757765362838,0.3411,0.33330140232792,0.34889859767208,3411,2096,565
"KS","Normal",72008425,10000,20,20,2,3,0,0.1281,0.119490979095201,0.136709020904799,0.3623,0.352878968695859,0.371721031304141,0.5159,0.507679159776399,0.524120840223601,5159,3623,1281
"KS","Normal",654817,10000,20,20,2.5,3,0,0.2406,0.229588944121327,0.251611055878673,0.5438,0.534037673838188,0.553562326161812,0.6987,0.69115236586858,0.70624763413142,6987,5438,2406
"KS","Normal",7479551,10000,20,20,0.5,5,0,0.005,0.00318305240581903,0.00681694759418097,0.0393,0.0354915676818932,0.0431084323181068,0.09,0.0852923100410074,0.0947076899589926,900,393,50
"KS","Normal",96238,10000,20,20,1.5,5,0,0.0179,0.0144845319294152,0.0213154680705848,0.0932,0.0875020349209915,0.0988979650790085,0.1773,0.171017376727212,0.183582623272788,1773,932,179
"KS","Normal",22918,10000,20,20,2,5,0,0.0313,0.0268144812405859,0.0357855187594141,0.1402,0.13339498951701,0.14700501048299,0.2513,0.244164637146103,0.258435362853897,2513,1402,313
"KS","Normal",100239,10000,20,20,2.5,5,0,0.0571,0.0511228145488713,0.0630771854511286,0.2184,0.21030205796573,0.22649794203427,0.3479,0.340064797653029,0.355735202346971,3479,2184,571
"KS","Normal",249381874,10000,20,20,1,1,0,0.3862,0.373658039303767,0.398741960696233,0.7091,0.700198121248276,0.718001878751724,0.8351,0.828995565025002,0.841204434974998,8351,7091,3862
"KS","Normal",4420825,10000,20,20,1,3,0,0.0252,0.0211625803783981,0.0292374196216019,0.1118,0.105623643471949,0.117976356528051,0.1989,0.19233361020644,0.20546638979356,1989,1118,252
"KS","Normal",54467,10000,20,20,1,5,0,0.0094,0.00691424141894994,0.0118857585810501,0.0565,0.0519746596547884,0.0610253403452116,0.1219,0.116518048947178,0.127281951052822,1219,565,94
"KS","Normal",12123450,10000,20,20,5,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Normal",4774878,10000,20,20,5,3,0,0.927,0.920298883692279,0.933701116307721,0.9908,0.988928701868328,0.992671298131672,0.9972,0.996330767305953,0.998069232694047,9972,9908,9270
"KS","Normal",24419364,10000,20,20,5,5,0,0.3906,0.378032085917096,0.403167914082904,0.7091,0.700198121248276,0.718001878751724,0.8309,0.824733878392622,0.837066121607378,8309,7091,3906
"KS","Normal",20372,10000,100,100,0,1,1,0.0064,0.00434580514519581,0.00845419485480419,0.0359,0.0322535997544976,0.0395464002455024,0.0786,0.0741730840216806,0.0830269159783194,786,359,64
"KS","Normal",159671,10000,100,100,0,3,1,0.0061,0.0040942254270472,0.0081057745729528,0.038,0.0342525538082582,0.0417474461917418,0.0805,0.0760245190873634,0.0849754809126367,805,380,61
"KS","Normal",348286146,10000,100,100,0,5,1,0.0056,0.00367770325743812,0.00752229674256188,0.0355,0.0318732187328156,0.0391267812671844,0.075,0.0706672123941393,0.0793327876058607,750,355,56
"KS","Normal",6078012,10000,100,100,0.5,1,0,0.6086,0.596027482657451,0.621172517342549,0.8308,0.8234514019257,0.8381485980743,0.9069,0.902120082028426,0.911679917971574,9069,8308,6086
"KS","Normal",180170807,10000,100,100,1.5,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Normal",8105594,10000,100,100,2,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Normal",22634182,10000,100,100,2.5,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Normal",19437,10000,100,100,0.5,3,0,0.0411,0.0359860858980323,0.0462139141019677,0.1375,0.130750261116162,0.144249738883838,0.2254,0.218526441955501,0.232273558044499,2254,1375,411
"KS","Normal",8766078,10000,100,100,1.5,3,0,0.6051,0.592507759722963,0.617692240277037,0.8296,0.822230716942986,0.836969283057014,0.9075,0.902733933633553,0.912266066366447,9075,8296,6051
"KS","Normal",47784,10000,100,100,2,3,0,0.896,0.88813648837488,0.90386351162512,0.9761,0.973106342042517,0.979093657957483,0.9908,0.989229446210918,0.992370553789082,9908,9761,8960
"KS","Normal",5206860,10000,100,100,2.5,3,0,0.9876,0.984749328053209,0.990450671946791,0.9987,0.997993771446627,0.999406228553373,0.9995,0.999132258787495,0.999867741212506,9995,9987,9876
"KS","Normal",35258484,10000,100,100,0.5,5,0,0.0151,0.0119585481968644,0.0182414518031356,0.0731,0.0679981087053525,0.0782018912946475,0.134,0.128396269411365,0.139603730588635,1340,731,151
"KS","Normal",163101,10000,100,100,1.5,5,0,0.1681,0.158466917547614,0.177733082452386,0.3849,0.375363195268938,0.394436804731062,0.5284,0.520188278630665,0.536611721369335,5284,3849,1681
"KS","Normal",64092,10000,100,100,2,5,0,0.3638,0.351407068807346,0.376192931192654,0.6297,0.620235454268397,0.639164545731603,0.7518,0.744694118650871,0.758905881349129,7518,6297,3638
"KS","Normal",81801607,10000,100,100,2.5,5,0,0.6093,0.596731508569547,0.621868491430453,0.8299,0.822535875699148,0.837264124300852,0.9034,0.898540467302806,0.908259532697194,9034,8299,6093
"KS","Normal",4212546,10000,100,100,1,1,0,0.9995,0.998924132909779,1.00007586709022,1,1,1,1,1,1,10000,10000,9995
"KS","Normal",30684,10000,100,100,1,3,0,0.2273,0.216504294402935,0.238095705597065,0.4691,0.459318732178782,0.478881267821218,0.6071,0.599065903698737,0.615134096301263,6071,4691,2273
"KS","Normal",167348,10000,100,100,1,5,0,0.0609,0.0547395785370363,0.0670604214629637,0.1869,0.179259307838788,0.194540692161212,0.294,0.286505512872117,0.301494487127883,2940,1869,609
"KS","Normal",53156,10000,100,100,5,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Normal",68065,10000,100,100,5,3,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"KS","Normal",5205385,10000,100,100,5,5,0,0.9996,0.999084903050306,1.00011509694969,1,1,1,1,1,1,10000,10000,9996
"KS","Normal",20528772,10000,10,100,0,1,1,0.0091,0.00665385910075809,0.0115461408992419,0.043,0.0390240009859156,0.0469759990140844,0.0995,0.0945759857484594,0.104424014251541,995,430,91
"KS","Normal",2779889,10000,10,100,0,3,1,0.01,0.00743691236201335,0.0125630876379867,0.0454,0.0413196754082059,0.0494803245917941,0.099,0.0940870098313247,0.103912990168675,990,454,100
"KS","Normal",4378273,10000,10,100,0,5,1,0.0098,0.00726241640782102,0.012337583592179,0.045,0.0409368391614409,0.0490631608385591,0.0994,0.09447818749005,0.10432181250995,994,450,98
"KS","Normal",1456451,10000,10,100,0.5,1,0,0.0874,0.0801248524267735,0.0946751475732266,0.2274,0.219184601139421,0.235615398860579,0.3594,0.351506885445966,0.367293114554034,3594,2274,874
"KS","Normal",193609,10000,10,100,1.5,1,0,0.88,0.871628990827863,0.888371009172137,0.9664,0.962868134384437,0.969931865615564,0.9877,0.985886861478603,0.989513138521397,9877,9664,8800
"KS","Normal",7429697,10000,10,100,2,1,0,0.9915,0.989135160445527,0.993864839554473,0.9991,0.998512264659562,0.999687735340438,0.9999,0.999735508225206,1.00006449177479,9999,9991,9915
"KS","Normal",174516419,10000,10,100,2.5,1,0,0.9999,0.999642412880322,1.00015758711968,1,1,1,1,1,1,10000,10000,9999
"KS","Normal",582510,10000,10,100,0.5,3,0,0.0161,0.0128578412422733,0.0193421587577267,0.0701,0.0650958167581113,0.0751041832418887,0.1351,0.129476890698735,0.140723109301265,1351,701,161
"KS","Normal",177315,10000,10,100,1.5,3,0,0.0892,0.0818575703037253,0.0965424296962747,0.2283,0.220073155714516,0.236526844285484,0.362,0.35409447844921,0.36990552155079,3620,2283,892
"KS","Normal",3532364,10000,10,100,2,3,0,0.1757,0.1658966526811,0.1855033473189,0.3722,0.362725530295283,0.381674469704717,0.5224,0.514183258097664,0.530616741902336,5224,3722,1757
"KS","Normal",10886166,10000,10,100,2.5,3,0,0.3044,0.292546462734118,0.316253537265882,0.5457,0.535941020254063,0.555458979745936,0.6964,0.688836093232225,0.703963906767776,6964,5457,3044
"KS","Normal",181119,10000,10,100,0.5,5,0,0.0111,0.00840112023907993,0.0137988797609201,0.0496,0.0453445046193892,0.0538554953806108,0.1059,0.100838177292025,0.110961822707975,1059,496,111
"KS","Normal",301340,10000,10,100,1.5,5,0,0.035,0.0302658333954116,0.0397341666045884,0.1132,0.106989992466864,0.119410007533136,0.2097,0.203003295918082,0.216396704081918,2097,1132,350
