"method","distribution","seed","N","n1","n2","delta","sd1","sd2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"KS","Normal2Var",4106039,10000,10,10,0.5,1,3,0,0.0153,0.0121381333994591,0.0184618666005409,0.0722,0.0671271519453467,0.0772728480546533,0.2183,0.211504634419049,0.225095365580951,2183,722,153
"KS","Normal2Var",2983763,10000,10,10,1.5,1,3,0,0.0862,0.0789702202261856,0.0934297797738144,0.2273,0.219085876176146,0.235514123823854,0.4567,0.448505899983599,0.464894100016401,4567,2273,862
"KS","Normal2Var",80700793,10000,10,10,2,1,3,0,0.1639,0.154364039418081,0.173435960581919,0.3752,0.365710179525744,0.384689820474256,0.6209,0.612919067744181,0.628880932255819,6209,3752,1639
"KS","Normal2Var",65714,10000,10,10,2.5,1,3,0,0.274,0.262510808970933,0.285489191029067,0.5263,0.516513566514322,0.536086433485678,0.7596,0.752570480953607,0.766629519046393,7596,5263,2740
"KS","Normal2Var",296358,10000,10,10,0.5,3,5,0,0.0046,0.00285689482302874,0.00634310517697126,0.0209,0.018096227707106,0.023703772292894,0.0836,0.0790468539501132,0.0881531460498868,836,209,46
"KS","Normal2Var",298870560,10000,10,10,1.5,3,5,0,0.0103,0.00769914430765258,0.0129008556923474,0.0474,0.043235138816431,0.051564861183569,0.1457,0.139896354440115,0.151503645559885,1457,474,103
"KS","Normal2Var",148219766,10000,10,10,2,3,5,0,0.0171,0.013760368248746,0.020439631751254,0.0688,0.0638389709041772,0.0737610290958228,0.1957,0.189173650169522,0.202226349830478,1957,688,171
"KS","Normal2Var",35539,10000,10,10,2.5,3,5,0,0.0317,0.0271868428538842,0.0362131571461158,0.1125,0.106306779916715,0.118693220083285,0.2742,0.266861486298173,0.281538513701827,2742,1125,317
"KS","Normal2Var",1105006,10000,10,10,0.5,1,5,0,0.0277,0.0234724779050493,0.0319275220949507,0.1117,0.10552605880028,0.11787394119972,0.3299,0.322165595720485,0.337634404279515,3299,1117,277
"KS","Normal2Var",9214306,10000,10,10,1.5,1,5,0,0.0613,0.0551206968056053,0.0674793031943947,0.1992,0.191371784536844,0.207028215463156,0.4346,0.426445662822087,0.442754337177913,4346,1992,613
"KS","Normal2Var",80673213,10000,10,10,2,1,5,0,0.1058,0.0978767013615833,0.113723298638417,0.2775,0.268723800423874,0.286276199576126,0.5335,0.525293481777003,0.541706518222997,5335,2775,1058
"KS","Normal2Var",47825767,10000,10,10,2.5,1,5,0,0.1569,0.147530921556606,0.166269078443394,0.3641,0.354668933148874,0.373531066851126,0.6196,0.61161376912783,0.62758623087217,6196,3641,1569
"KS","Normal2Var",4056877,10000,10,10,1,1,3,0,0.0387,0.0337314368692492,0.0436685631307508,0.1286,0.122038768919905,0.135161231080095,0.3158,0.308153485788158,0.323446514211842,3158,1286,387
"KS","Normal2Var",3033225,10000,10,10,1,3,5,0,0.0062,0.0041779532159082,0.0082220467840918,0.0332,0.0296884938442885,0.0367115061557115,0.1088,0.103677665459734,0.113922334540266,1088,332,62
"KS","Normal2Var",2476664,10000,10,10,1,1,5,0,0.0434,0.0381512497091456,0.0486487502908544,0.1503,0.14329564142654,0.15730435857346,0.38,0.372015392996521,0.387984607003479,3800,1503,434
"KS","Normal2Var",238418,10000,10,10,5,1,3,0,0.8931,0.885140518897412,0.901059481102588,0.9752,0.972151903178441,0.978248096821559,0.9972,0.996330767305953,0.998069232694047,9972,9752,8931
"KS","Normal2Var",341776,10000,10,10,5,3,5,0,0.2058,0.195385618439027,0.216214381560973,0.4362,0.426480108037144,0.445919891962856,0.6862,0.678566605128785,0.693833394871216,6862,4362,2058
"KS","Normal2Var",2025824,10000,10,10,5,1,5,0,0.5622,0.549420049904713,0.574979950095287,0.8,0.79216,0.80784,0.9366,0.932591447204402,0.940608552795598,9366,8000,5622
"KS","Normal2Var",241712,10000,20,20,0.5,1,3,0,0.0939,0.0863860773500452,0.101413922649955,0.3646,0.35516617080638,0.37403382919362,0.58,0.571880962557051,0.588119037442948,5800,3646,939
"KS","Normal2Var",101079591,10000,20,20,1.5,1,3,0,0.4111,0.39842522162419,0.42377477837581,0.7343,0.725642577496645,0.742957422503355,0.8637,0.858055892329892,0.869344107670108,8637,7343,4111
"KS","Normal2Var",332211,10000,20,20,2,1,3,0,0.6428,0.630456465994165,0.655143534005835,0.8911,0.884994331331754,0.897205668668246,0.9513,0.947759299997631,0.954840700002369,9513,8911,6428
"KS","Normal2Var",20435566,10000,20,20,2.5,1,3,0,0.8234,0.813576943553794,0.833223056446206,0.9631,0.959405080798935,0.966794919201065,0.9872,0.985350844385564,0.989049155614436,9872,9631,8234
