"method","distribution","seed","N","n1","n2","delta","sd","g1","g2","h","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"KS","ghEqual",347362295,10000,10,10,0,3,1,1,0,1,0.002,0.000849130376801959,0.00315086962319804,0.0147,0.012341157303761,0.017058842696239,0.0532,0.0495080922302419,0.0568919077697581,532,147,20
"KS","ghEqual",32971480,10000,10,10,0,3,3,3,0,1,0.0019,0.000778214849062442,0.00302178515093756,0.0116,0.00950129482051432,0.0136987051794857,0.0539,0.0501852567166795,0.0576147432833205,539,116,19
"KS","ghEqual",275747785,10000,10,10,0,3,-3,-3,0,1,0.0016,0.000570424649992046,0.00262957535000795,0.011,0.00895567208109853,0.0130443279189015,0.05,0.0464148056189378,0.0535851943810622,500,110,16
"KS","ghEqual",4081142,10000,10,10,0,3,-1,-1,0,1,0.0023,0.00106601533457826,0.00353398466542174,0.0121,0.00995708349803358,0.0142429165019664,0.0523,0.0486377145881601,0.0559622854118399,523,121,23
"KS","ghEqual",3627176,10000,10,10,0.5,3,1,1,0,0,0.0026,0.00128820124431222,0.00391179875568778,0.0183,0.0156729338307534,0.0209270661692466,0.0695,0.0653167242471509,0.0736832757528491,695,183,26
"KS","ghEqual",4512544,10000,10,10,0.5,3,3,3,0,0,0.018,0.0145751791787599,0.0214248208212401,0.0756,0.0704186021864366,0.0807813978135634,0.2116,0.204881117568554,0.218318882431446,2116,756,180
"KS","ghEqual",235857,10000,10,10,0.5,3,1,3,0,0,0.024,0.0200574574571224,0.0279425425428776,0.0892,0.0836133687093562,0.0947866312906438,0.2455,0.23842019538233,0.25257980461767,2455,892,240
"KS","ghEqual",185499199,10000,10,10,0.5,3,-1,1,0,0,0.0066,0.00451416522232848,0.00868583477767152,0.0445,0.0404584177405377,0.0485415822594623,0.1643,0.158204492287777,0.170395507712223,1643,445,66
"KS","ghEqual",47240097,10000,10,10,0.5,3,-3,3,0,0,0.0528,0.0470391885030305,0.0585608114969695,0.1855,0.17788142806295,0.19311857193705,0.4359,0.427742869944522,0.444057130055478,4359,1855,528
"KS","ghEqual",12418789,10000,10,10,0.5,3,-1,3,0,0,0.029,0.0246773062058018,0.0333226937941982,0.114,0.107770899210962,0.120229100789038,0.3182,0.310537958703589,0.32586204129641,3182,1140,290
"KS","ghEqual",35675394,10000,10,10,0.5,3,1,-3,0,0,0.0081,0.00579100861117587,0.0104089913888241,0.04,0.036159200083316,0.043840799916684,0.143,0.137241301624716,0.148758698375284,1430,400,81
"KS","ghEqual",246580,10000,10,10,1,3,1,1,0,0,0.0086,0.00622141025800917,0.0109785897419908,0.0429,0.0389284194463161,0.0468715805536839,0.1375,0.131835040579636,0.143164959420364,1375,429,86
"KS","ghEqual",25810411,10000,10,10,1,3,3,3,0,0,0.0595,0.0534062625096251,0.0655937374903749,0.1769,0.169420952548459,0.184379047451541,0.3883,0.380282871625465,0.396317128374535,3883,1769,595
"KS","ghEqual",447252,10000,10,10,1,3,1,3,0,0,0.0585,0.0524544759401355,0.0645455240598645,0.1826,0.175027770386577,0.190172229613423,0.3937,0.385663029137991,0.401736970862009,3937,1826,585
"KS","ghEqual",822532,10000,10,10,1,3,-1,1,0,0,0.0202,0.0165759827102929,0.0238240172897071,0.0888,0.0832246849981727,0.0943753150018273,0.2617,0.254469235821936,0.268930764178064,2617,888,202
"KS","ghEqual",38406,10000,10,10,1,3,-3,3,0,0,0.1063,0.0983602218098327,0.114239778190167,0.3133,0.30420882971573,0.32239117028427,0.6006,0.592543199749088,0.608656800250912,6006,3133,1063
"KS","ghEqual",216372,10000,10,10,1,3,-1,3,0,0,0.0683,0.0618017822774598,0.0747982177225402,0.2189,0.210795387201945,0.227004612798055,0.4681,0.459891756753728,0.476308243246272,4681,2189,683
"KS","ghEqual",959826,10000,10,10,1,3,1,-3,0,0,0.0067,0.00459852862937988,0.00880147137062012,0.0333,0.0297833912902343,0.0368166087097657,0.124,0.118578383455094,0.129421616544906,1240,333,67
"KS","ghEqual",579289,10000,10,10,1.5,3,1,1,0,0,0.0268,0.0226397990788213,0.0309602009211787,0.0942,0.0884747074784252,0.0999252925215748,0.2541,0.246938425100093,0.261261574899907,2541,942,268
"KS","ghEqual",27610,10000,10,10,1.5,3,3,3,0,0,0.1033,0.0954599360650607,0.111140063934939,0.2678,0.259120869470644,0.276479130529356,0.5296,0.521389425482124,0.537810574517876,5296,2678,1033
"KS","ghEqual",32365,10000,10,10,1.5,3,1,3,0,0,0.1201,0.111725979470898,0.128474020529102,0.2951,0.286160681081962,0.304039318918038,0.5499,0.541716063168073,0.558083936831927,5499,2951,1201
"KS","ghEqual",3233529,10000,10,10,1.5,3,-1,1,0,0,0.0449,0.0395655032887231,0.0502344967112769,0.1673,0.159984427407673,0.174615572592327,0.4003,0.392240172967379,0.408359827032621,4003,1673,449
"KS","ghEqual",79641835,10000,10,10,1.5,3,-3,3,0,0,0.3038,0.291953044615115,0.315646955384885,0.5919,0.58226695611645,0.60153304388355,0.8407,0.834680030181573,0.846719969818427,8407,5919,3038
"KS","ghEqual",143781,10000,10,10,1.5,3,-1,3,0,0,0.1528,0.143531690895982,0.162068309104018,0.3781,0.368595709799128,0.387604290200872,0.6534,0.645571658794157,0.661228341205843,6534,3781,1528
"KS","ghEqual",13444220,10000,10,10,1.5,3,1,-3,0,0,0.0072,0.00502207464379148,0.00937792535620852,0.035,0.0313979167139001,0.0386020832860999,0.1214,0.116027569015883,0.126772430984117,1214,350,72
"KS","ghEqual",31456113,10000,10,10,2,3,1,1,0,0,0.0615,0.0553112839762678,0.0676887160237322,0.1836,0.1760117102107,0.1911882897893,0.4044,0.396326742210508,0.412473257789492,4044,1836,615
"KS","ghEqual",2928150,10000,10,10,2,3,3,3,0,0,0.1626,0.153094551622768,0.172105448377232,0.3782,0.36869521729856,0.38770478270144,0.6301,0.622158312246193,0.638041687753807,6301,3782,1626
"KS","ghEqual",23353,10000,10,10,2,3,1,3,0,0,0.1942,0.184009767264604,0.204390232735396,0.4266,0.416906171295592,0.436293828704408,0.6738,0.666087887006799,0.681512112993201,6738,4266,1942
"KS","ghEqual",54919,10000,10,10,2,3,-1,1,0,0,0.0996,0.0918857577821549,0.107314242217845,0.2938,0.284872171815632,0.302727828184368,0.5841,0.575992182480348,0.592207817519652,5841,2938,996
"KS","ghEqual",165755,10000,10,10,2,3,-3,3,0,0,0.9704,0.966034167111537,0.974765832888463,0.9962,0.994994072668193,0.997405927331807,0.9996,0.999271065806581,0.999928934193419,9996,9962,9704
"KS","ghEqual",53502,10000,10,10,2,3,-1,3,0,0,0.3055,0.29363445772425,0.31736554227575,0.591,0.581363674401516,0.600636325598484,0.8281,0.821893521819101,0.834306478180899,8281,5910,3055
"KS","ghEqual",1117206,10000,10,10,2,3,1,-3,0,0,0.0135,0.0105272301497761,0.0164727698502239,0.0518,0.0474561889403889,0.0561438110596111,0.1534,0.147471870064253,0.159328129935747,1534,518,135
"KS","ghEqual",245524875,10000,10,10,2.5,3,1,1,0,0,0.1166,0.108332507085909,0.124867492914091,0.302,0.293001144997279,0.310998855002721,0.556,0.547826750000153,0.564173249999847,5560,3020,1166
"KS","ghEqual",640531,10000,10,10,2.5,3,3,3,0,0,0.2439,0.232837803265287,0.254962196734713,0.4877,0.477902965732754,0.497497034267246,0.7332,0.725924379414758,0.740475620585242,7332,4877,2439
"KS","ghEqual",21847,10000,10,10,2.5,3,1,3,0,0,0.2927,0.280979151593946,0.304420848406054,0.5582,0.548466616318998,0.567933383681002,0.7931,0.786436381541161,0.799763618458839,7931,5582,2927
