"method","distribution","seed","N","n1","n2","delta","sd","g1","g2","h","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"KS","ghEqualK",123379,10000,10,10,0,3,1,1,0.2,1,0.0022,0.000993078708276302,0.0034069212917237,0.0139,0.0116053103812498,0.0161946896187502,0.0533,0.0496048191771207,0.0569951808228793,533,139,22
"KS","ghEqualK",45409,10000,10,10,0,3,3,3,0.2,1,0.0027,0.00136327937126114,0.00403672062873885,0.012,0.00986584889007362,0.0141341511099264,0.0517,0.0480576300937748,0.0553423699062252,517,120,27
"KS","ghEqualK",118216421,10000,10,10,0,3,-3,-3,0.2,1,0.0023,0.00106601533457826,0.00353398466542174,0.0118,0.0096834940204195,0.0139165059795805,0.048,0.0444835455583784,0.0515164544416216,480,118,23
"KS","ghEqualK",1242075,10000,10,10,0,3,-1,-1,0.2,1,0.0013,0.000371813901280567,0.00222818609871943,0.0115,0.00941025483850303,0.013589745161497,0.0505,0.0468978725419032,0.0541021274580968,505,115,13
"KS","ghEqualK",283402,10000,10,10,0.5,3,1,1,0.2,0,0.0026,0.00128820124431222,0.00391179875568778,0.0171,0.0145589758414372,0.0196410241585628,0.0677,0.063567260047163,0.071832739952837,677,171,26
"KS","ghEqualK",18566,10000,10,10,0.5,3,3,3,0.2,0,0.0126,0.00972672170157083,0.0154732782984292,0.0519,0.0475522273768745,0.0562477726231255,0.1569,0.15091702871142,0.16288297128858,1569,519,126
"KS","ghEqualK",98784,10000,10,10,0.5,3,1,3,0.2,0,0.0137,0.0107055941757577,0.0166944058242423,0.0618,0.0570804779096184,0.0665195220903816,0.1899,0.183447950349775,0.196352049650226,1899,618,137
"KS","ghEqualK",73727,10000,10,10,0.5,3,-1,1,0.2,0,0.0063,0.00426181416817406,0.00833818583182594,0.0317,0.0282660760844771,0.0351339239155229,0.1194,0.11406594602173,0.12473405397827,1194,317,63
"KS","ghEqualK",1676620,10000,10,10,0.5,3,-3,3,0.2,0,0.0406,0.0355159626489114,0.0456840373510886,0.1452,0.13829487354543,0.15210512645457,0.3657,0.357777253903174,0.373622746096826,3657,1452,406
"KS","ghEqualK",733172,10000,10,10,0.5,3,-1,3,0.2,0,0.0198,0.0162113111701213,0.0233886888298787,0.0887,0.0831275193845469,0.0942724806154531,0.2579,0.25070347581655,0.26509652418345,2579,887,198
