"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Lepage","Logistic",124608630,1000,10,10,0,1,1,0.007,0.000208440607931048,0.013791559392069,0.039,0.0270008614309193,0.0509991385690807,0.104,0.0881205090257905,0.119879490974209
"Lepage","Logistic",1476266,1000,10,10,0,3,1,0.011,0.00250349441805633,0.0194965055819437,0.046,0.0330159800369839,0.0589840199630161,0.096,0.0806755204460315,0.111324479553969
"Lepage","Logistic",31518,1000,10,10,0.5,1,0,0.007,0.000208440607931048,0.013791559392069,0.062,0.0470530240650491,0.0769469759349509,0.141,0.1228961042321,0.1591038957679
"Lepage","Logistic",70173087,1000,10,10,1.5,1,0,0.118,0.0917202545108215,0.144279745489179,0.347,0.317496237772108,0.376503762227892,0.485,0.459001973259976,0.510998026740024
"Lepage","Logistic",123054,1000,10,10,2,1,0,0.232,0.197614886584802,0.266385113415198,0.515,0.484023627714014,0.545976372285986,0.668,0.64350242051957,0.69249757948043
"Lepage","Logistic",34702039,1000,10,10,2.5,1,0,0.44,0.399564184113586,0.480435815886414,0.714,0.685991606857943,0.742008393142056,0.817,0.796885813370285,0.837114186629715
"Lepage","Logistic",947389,1000,10,10,0.5,3,0,0.007,0.000208440607931048,0.013791559392069,0.06,0.0452804130492734,0.0747195869507266,0.106,0.0899864509523966,0.122013549047603
"Lepage","Logistic",224811,1000,10,10,1.5,3,0,0.017,0.00646954641356793,0.0275304535864321,0.069,0.0532907497823734,0.0847092502176266,0.141,0.1228961042321,0.1591038957679
"Lepage","Logistic",54599547,1000,10,10,2,3,0,0.03,0.0161039184803773,0.0438960815196227,0.106,0.0869200266666853,0.125079973333315,0.187,0.166717009915326,0.207282990084674
"Lepage","Logistic",532781,1000,10,10,2.5,3,0,0.023,0.0107888361530934,0.0352111638469066,0.137,0.115688120458298,0.158311879541702,0.227,0.205209430645919,0.248790569354081
"Lepage","Logistic",1799341,1000,20,20,0,1,1,0.01,0.00189480522134107,0.0181051947786589,0.053,0.0391142610711565,0.0668857389288435,0.113,0.0965310112097008,0.129468988790299
"Lepage","Logistic",3204291,1000,20,20,0,3,1,0.01,0.00189480522134107,0.0181051947786589,0.057,0.0426302455970883,0.0713697544029117,0.094,0.0788192255434711,0.109180774456529
"Lepage","Logistic",177647,1000,20,20,0.5,1,0,0.033,0.0184482218290684,0.0475517781709316,0.113,0.0933773750583669,0.132622624941633,0.186,0.16575887826478,0.20624112173522
"Lepage","Logistic",95752,1000,20,20,1.5,1,0,0.369,0.329692654019077,0.408307345980923,0.633,0.603126166339085,0.662873833660915,0.746,0.723356050673524,0.768643949326476
"Lepage","Logistic",3671301,1000,20,20,2,1,0,0.677,0.638907326508947,0.715092673491053,0.879,0.858786422028745,0.899213577971255,0.933,0.919993988744623,0.946006011255377
"Lepage","Logistic",221441286,1000,20,20,2.5,1,0,0.893,0.867819550588284,0.918180449411716,0.973,0.962953972247699,0.983046027752301,0.989,0.983574242359357,0.994425757640643
"Lepage","Logistic",9884507,1000,20,20,0.5,3,0,0.016,0.00577876439250127,0.0262212356074987,0.048,0.0347506319546931,0.0612493680453069,0.102,0.0862563960320389,0.117743603967961
"Lepage","Logistic",4752189,1000,20,20,1.5,3,0,0.029,0.0153304419828584,0.0426695580171416,0.115,0.0952268151275522,0.134773184872448,0.184,0.163843278599931,0.204156721400069
"Lepage","Logistic",9585423,1000,20,20,2,3,0,0.044,0.0272928972690056,0.0607071027309944,0.16,0.137277521261975,0.182722478738025,0.242,0.219720359026681,0.264279640973319
