"method","distribution","seed","N","n1","n2","delta","sd1","sd2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Lepage","Normal2Var",26482133,1000,10,10,0,1,2,1,0.076,0.0544131814798011,0.0975868185201988,0.231,0.204876868824737,0.257123131175263,0.354,0.329123814177009,0.378876185822991
"Lepage","Normal2Var",39126,1000,10,10,0,3,5,1,0.032,0.017662992035435,0.046337007964565,0.143,0.121302259988653,0.164697740011347,0.254,0.231356050673524,0.276643949326476
"Lepage","Normal2Var",14361245,1000,10,10,0,1,5,1,0.475,0.434320808267617,0.515679191732383,0.791,0.76579901846356,0.81620098153644,0.887,0.870531011209701,0.903468988790299
"Lepage","Normal2Var",130369805,1000,10,10,0.5,1,2,0,0.073,0.0518092096019049,0.0941907903980951,0.246,0.219306267881767,0.272693732118233,0.383,0.35771238497258,0.40828761502742
"Lepage","Normal2Var",134754893,1000,10,10,1.5,1,2,0,0.201,0.168354954589953,0.233645045410047,0.509,0.478014699769084,0.539985300230916,0.663,0.638411184010307,0.687588815989693
"Lepage","Normal2Var",4306975,1000,10,10,2,1,2,0,0.391,0.351249473646957,0.430750526353043,0.732,0.704547682764473,0.759452317235527,0.861,0.843004045844274,0.878995954155726
"Lepage","Normal2Var",291060719,1000,10,10,2.5,1,2,0,0.603,0.563143444047234,0.642856555952766,0.879,0.858786422028745,0.899213577971255,0.94,0.927646060952069,0.952353939047931
"Lepage","Normal2Var",24520911,1000,10,10,0.5,3,5,0,0.041,0.0248472269704549,0.0571527730295451,0.155,0.132568915318246,0.177431084681754,0.265,0.242042081553961,0.28795791844604
"Lepage","Normal2Var",2558177,1000,10,10,1.5,3,5,0,0.047,0.0297598421464303,0.0642401578535697,0.182,0.158085108371561,0.205914891628439,0.306,0.282027885093301,0.329972114906699
"Lepage","Normal2Var",16669241,1000,10,10,2,3,5,0,0.051,0.0330789251822331,0.0689210748177669,0.221,0.195282962565645,0.246717037434355,0.356,0.331092288029608,0.380907711970392
"Lepage","Normal2Var",140208,1000,10,10,2.5,3,5,0,0.065,0.0449179362016749,0.0850820637983251,0.257,0.229915735904404,0.284084264095596,0.393,0.367592816571391,0.418407183428609
"Lepage","Normal2Var",1199610,1000,10,10,0.5,1,5,0,0.48,0.439302460890123,0.520697539109877,0.757,0.730416806783232,0.783583193216768,0.863,0.845113243956072,0.880886756043928
"Lepage","Normal2Var",16491890,1000,10,10,1.5,1,5,0,0.523,0.482312979041272,0.563687020958728,0.842,0.819393118357456,0.864606881642544,0.922,0.908049856850197,0.935950143149803
"Lepage","Normal2Var",56393649,1000,10,10,2,1,5,0,0.544,0.503427877333519,0.584572122666481,0.863,0.841688120458298,0.884311879541702,0.928,0.914553596525465,0.941446403474536
"Lepage","Normal2Var",71017,1000,10,10,2.5,1,5,0,0.557,0.516535393690584,0.597464606309416,0.88,0.859858675316653,0.900141324683347,0.943,0.930939670411842,0.955060329588158
"Lepage","Normal2Var",8475859,1000,20,20,0,1,2,1,0.248,0.212821232527333,0.283178767472667,0.475,0.444048441073187,0.505951558926813,0.624,0.598802809489945,0.649197190510055
"Lepage","Normal2Var",234239,1000,20,20,0,3,5,1,0.102,0.0773461861267673,0.126653813873233,0.296,0.267706396934996,0.324293603065004,0.434,0.408217858795282,0.459782141204718
"Lepage","Normal2Var",4911184,1000,20,20,0,1,5,1,0.948,0.929913618004255,0.966086381995745,0.991,0.985146519804424,0.996853480195576,0.996,0.992716586593193,0.999283413406807
"Lepage","Normal2Var",260696941,1000,20,20,0.5,1,2,0,0.293,0.255924298601699,0.330075701398301,0.563,0.532256664305902,0.593743335694098,0.71,0.686395539669376,0.733604460330624
"Lepage","Normal2Var",1422116,1000,20,20,1.5,1,2,0,0.728,0.691751002490883,0.764248997509117,0.913,0.895531682118761,0.930468317881239,0.949,0.937555835374524,0.960444164625476
"Lepage","Normal2Var",1152664,1000,20,20,2,1,2,0,0.903,0.878891199623042,0.927108800376958,0.979,0.970112961438139,0.987887038561861,0.993,0.988662998757782,0.997337001242218
"Lepage","Normal2Var",184811,1000,20,20,2.5,1,2,0,0.974,0.961036806279932,0.986963193720068,0.998,0.995230914663648,1.00076908533635,0.999,0.997355822705728,1.00064417729427
"Lepage","Normal2Var",352355,1000,20,20,0.5,3,5,0,0.132,0.104426449793761,0.159573550206239,0.312,0.283283759131808,0.340716240868192,0.45,0.424120641671402,0.475879358328599
"Lepage","Normal2Var",93657,1000,20,20,1.5,3,5,0,0.148,0.119073458373044,0.176926541626956,0.389,0.358782990776716,0.419217009223284,0.539,0.513069508566651,0.564930491433349
"Lepage","Normal2Var",29370389,1000,20,20,2,3,5,0,0.207,0.173995920461616,0.240004079538384,0.467,0.436077249514314,0.497922750485686,0.61,0.584627508054982,0.635372491945018
"Lepage","Normal2Var",41685864,1000,20,20,2.5,3,5,0,0.33,0.291696343861193,0.368303656138807,0.608,0.577741256179412,0.638258743820588,0.725,0.701772565049601,0.748227434950399
"Lepage","Normal2Var",73411555,1000,20,20,0.5,1,5,0,0.94,0.920654257150474,0.959345742849526,0.987,0.979979204489518,0.994020795510482,0.995,0.991330875530184,0.998669124469816
"Lepage","Normal2Var",17868,1000,20,20,1.5,1,5,0,0.962,0.946425102650226,0.977574897349774,0.994,0.98921342477339,0.99878657522661,1,1,1
"Lepage","Normal2Var",249388,1000,20,20,2,1,5,0,0.98,0.968595561846369,0.991404438153631,0.998,0.995230914663648,1.00076908533635,1,1,1
"Lepage","Normal2Var",137794226,1000,20,20,2.5,1,5,0,0.987,0.977772668757653,0.996227331242347,0.998,0.995230914663648,1.00076908533635,1,1,1
"Lepage","Normal2Var",786386,1000,100,100,0,1,2,1,0.991,0.9833068546001,0.9986931453999,1,1,1,1,1,1
"Lepage","Normal2Var",745553,1000,100,100,0,3,5,1,0.848,0.818754060396424,0.877245939603576,0.952,0.938750631954693,0.965249368045307,0.971,0.962270798548836,0.979729201451164
"Lepage","Normal2Var",30259,1000,100,100,0,1,5,1,1,1,1,1,1,1,1,1,1
"Lepage","Normal2Var",81438837,1000,100,100,0.5,1,2,0,0.996,0.99085831432466,1.00114168567534,0.999,0.997040980245123,1.00095901975488,1,1,1
"Lepage","Normal2Var",496187,1000,100,100,1.5,1,2,0,1,1,1,1,1,1,1,1,1
"Lepage","Normal2Var",394980,1000,100,100,2,1,2,0,1,1,1,1,1,1,1,1,1
"Lepage","Normal2Var",38708423,1000,100,100,2.5,1,2,0,1,1,1,1,1,1,1,1,1
"Lepage","Normal2Var",22211,1000,100,100,0.5,3,5,0,0.854,0.825235871388412,0.882764128611588,0.948,0.934238622394542,0.961761377605458,0.974,0.9657218735755,0.9822781264245
"Lepage","Normal2Var",78654913,1000,100,100,1.5,3,5,0,0.949,0.931078925182233,0.966921074817767,0.992,0.986478502232184,0.997521497767816,0.995,0.991330875530184,0.998669124469816
"Lepage","Normal2Var",742767,1000,100,100,2,3,5,0,0.991,0.9833068546001,0.9986931453999,0.998,0.995230914663648,1.00076908533635,0.998,0.995675946235562,1.00032405376444
