"method","distribution","seed","N","n1","n2","delta","sd","g1","g2","h","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Lepage","ghEqual",56659134,1000,10,10,0,1,1,1,0,1,0.012,0.00313017698846251,0.0208698230115375,0.055,0.0408696369473392,0.0691303630526608,0.114,0.0974676272392618,0.130532372760738
"Lepage","ghEqual",892549,1000,10,10,0,1,3,3,0,1,0.004,-0.00114168567534034,0.00914168567534034,0.039,0.0270008614309193,0.0509991385690807,0.079,0.0649683332075266,0.0930316667924734
"Lepage","ghEqual",78364709,1000,10,10,0,1,1,3,0,1,0.032,0.017662992035435,0.046337007964565,0.145,0.123176563973563,0.166823436026437,0.234,0.211976404809841,0.256023595190159
"Lepage","ghEqual",2224543,1000,10,10,0,1,-1,1,0,1,0.017,0.00646954641356793,0.0275304535864321,0.092,0.0740859859997822,0.109914014000218,0.209,0.187849176210488,0.230150823789512
"Lepage","ghEqual",105417400,1000,10,10,0,1,-3,3,0,1,0.079,0.0570270068951906,0.100972993104809,0.254,0.227019975270582,0.280980024729418,0.415,0.38936886230822,0.44063113769178
"Lepage","ghEqual",40921,1000,10,10,0,1,-1,3,0,1,0.032,0.017662992035435,0.046337007964565,0.184,0.159983480885024,0.208016519114976,0.315,0.290836131427791,0.339163868572209
"Lepage","ghEqual",2049150,1000,10,10,0,1,1,-3,0,1,0.043,0.0264752059566238,0.0595247940433761,0.168,0.144827527503523,0.191172472496477,0.298,0.274207362359335,0.321792637640665
"Lepage","ghEqual",14916378,1000,10,10,0.5,3,1,1,0,0,0.015,0.00509830366048322,0.0249016963395168,0.079,0.062281418289819,0.095718581710181,0.138,0.120058486410004,0.155941513589996
"Lepage","ghEqual",21589,1000,10,10,0.5,3,3,3,0,0,0.087,0.0640416393560864,0.109958360643914,0.26,0.232813167893261,0.287186832106739,0.4,0.374515769581955,0.425484230418045
"Lepage","ghEqual",103711664,1000,10,10,0.5,3,1,3,0,0,0.073,0.0518092096019049,0.0941907903980951,0.263,0.235712252390496,0.290287747609504,0.376,0.350802809489945,0.401197190510055
"Lepage","ghEqual",9518486,1000,10,10,0.5,3,-1,1,0,0,0.024,0.0115325857923946,0.0364674142076054,0.156,0.133509992832371,0.178490007167629,0.294,0.270300350781077,0.317699649218923
"Lepage","ghEqual",85551084,1000,10,10,0.5,3,-3,3,0,0,0.09,0.0666875558038201,0.11331244419618,0.321,0.292063668262891,0.349936331737109,0.502,0.475990474323817,0.528009525676183
"Lepage","ghEqual",771999,1000,10,10,0.5,3,-1,3,0,0,0.074,0.0526760717825256,0.0953239282174744,0.279,0.251201215594922,0.306798784405078,0.443,0.41715983021002,0.46884016978998
"Lepage","ghEqual",4953089,1000,10,10,0.5,3,1,-3,0,0,0.028,0.0145612768606538,0.0414387231393462,0.129,0.108224092453036,0.149775907546964,0.227,0.205209430645919,0.248790569354081
"Lepage","ghEqual",99380,1000,10,10,1,3,1,1,0,0,0.036,0.0208247579820287,0.0511752420179712,0.148,0.125990674849055,0.170009325150945,0.251,0.228444956351738,0.273555043648262
"Lepage","ghEqual",4795841,1000,10,10,1,3,3,3,0,0,0.156,0.126441704865402,0.185558295134598,0.428,0.397332669734716,0.458667330265284,0.591,0.565424667021229,0.616575332978771
"Lepage","ghEqual",44579142,1000,10,10,1,3,1,3,0,0,0.137,0.108990101173764,0.165009898826236,0.402,0.371610770434248,0.432389229565752,0.536,0.510057771074944,0.561942228925056
"Lepage","ghEqual",1115939,1000,10,10,1,3,-1,1,0,0,0.049,0.0314153326496064,0.0665846673503936,0.207,0.181888200351229,0.232111799648771,0.366,0.340941730604449,0.391058269395551
"Lepage","ghEqual",208058,1000,10,10,1,3,-3,3,0,0,0.179,0.147772015672093,0.210227984327907,0.478,0.447039692094554,0.508960307905446,0.678,0.653694269114055,0.702305730885946
"Lepage","ghEqual",1505144,1000,10,10,1,3,-1,3,0,0,0.15,0.120912864699321,0.179087135300679,0.43,0.399314886997112,0.460685113002888,0.603,0.577548123236684,0.628451876763315
"Lepage","ghEqual",91427,1000,10,10,1,3,1,-3,0,0,0.043,0.0264752059566238,0.0595247940433761,0.11,0.0906068919458484,0.129393108054152,0.189,0.168633930031177,0.209366069968823
"Lepage","ghEqual",4973368,1000,10,10,1.5,3,1,1,0,0,0.06,0.0406542571504736,0.0793457428495263,0.272,0.244419241025672,0.299580758974328,0.419,0.393333835113617,0.444666164886383
"Lepage","ghEqual",51460,1000,10,10,1.5,3,3,3,0,0,0.221,0.187200465086277,0.254799534913723,0.52,0.48903448111205,0.55096551888795,0.67,0.645539784802664,0.694460215197336
"Lepage","ghEqual",596594,1000,10,10,1.5,3,1,3,0,0,0.198,0.165538720208593,0.230461279791407,0.532,0.501073212232758,0.562926787767242,0.688,0.663898869271339,0.712101130728661
"Lepage","ghEqual",1876422,1000,10,10,1.5,3,-1,1,0,0,0.112,0.0863101627514692,0.137689837248531,0.376,0.345977815562488,0.406022184437512,0.545,0.519095819847465,0.570904180152535
"Lepage","ghEqual",36044,1000,10,10,1.5,3,-3,3,0,0,0.504,0.463271167122246,0.544728832877754,0.768,0.741837413705828,0.794162586294172,0.889,0.872659013463839,0.905340986536161
"Lepage","ghEqual",230790161,1000,10,10,1.5,3,-1,3,0,0,0.22,0.186255383220431,0.253744616779569,0.544,0.513129906666808,0.574870093333192,0.738,0.715125862422815,0.760874137577185
