"method","distribution","seed","N","n1","n2","delta","scale1","scale2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"Mood","Cauchy",26000388,10000,10,10,0,1,1,1,8e-04,7.16886721078684e-05,0.00152831132789213,0.0213,0.0184701027492858,0.0241298972507142,0.0213,0.0189249076645791,0.0236750923354209,213,213,8
"Mood","Cauchy",250767720,10000,10,10,0,0.5,0.5,1,9e-04,0.00012754783828123,0.00167245216171877,0.025,0.0219399509807848,0.0280600490192152,0.025,0.0224317445731587,0.0275682554268413,250,250,9
"Mood","Cauchy",7172775,10000,10,10,0,2,2,1,0.001,0.00018580467797954,0.00181419532202046,0.0208,0.0180028005045045,0.0235971994954954,0.0208,0.0184523504234235,0.0231476495765765,208,208,10
"Mood","Cauchy",63032070,10000,10,10,0.5,1,1,0,0.0051,0.00326506509471753,0.00693493490528247,0.0572,0.0526484022645229,0.0617515977354771,0.0572,0.0533799090434389,0.0610200909565611,572,572,51
"Mood","Cauchy",47282060,10000,10,10,0.5,0.5,0.5,0,0.0218,0.0180382672793809,0.0255617327206191,0.1565,0.149378757324736,0.163621242675264,0.1565,0.150523242754689,0.162476757245311,1565,1565,218
"Mood","Cauchy",250735,10000,10,10,0.5,2,2,0,0.0017,0.000638791170063121,0.00276120882993688,0.0307,0.0273189284181491,0.0340810715818509,0.0307,0.0278623149223751,0.0335376850776249,307,307,17
"Mood","Cauchy",57404012,10000,10,10,0.5,0.5,2,0,0.0084,0.00604899387398841,0.0107510061260116,0.068,0.0630657802886373,0.0729342197113627,0.068,0.0638587798851063,0.0721412201148937,680,680,84
"Mood","Cauchy",4631756,10000,10,10,0.5,1,2,0,0.0039,0.00229442856754861,0.00550557143245139,0.0435,0.0395019963431733,0.0474980036568267,0.0435,0.0401445326451633,0.0468554673548367,435,435,39
"Mood","Cauchy",23874354,10000,10,10,1,1,1,0,0.0184,0.0149380400048897,0.0218619599951103,0.1527,0.145649917598099,0.159750082401901,0.1527,0.146782966555547,0.158617033444453,1527,1527,184
"Mood","Cauchy",281676,10000,10,10,1,0.5,0.5,0,0.1247,0.116189451526604,0.133210548473396,0.465,0.455224039484531,0.474775960515469,0.465,0.456795175995946,0.473204824004054,4650,4650,1247
"Mood","Cauchy",33763340,10000,10,10,1,2,2,0,0.0041,0.00245394003130384,0.00574605996869616,0.0494,0.0451526460822766,0.0536473539177234,0.0494,0.0458352565333393,0.0529647434666607,494,494,41
"Mood","Cauchy",600545,10000,10,10,1,0.5,2,0,0.0195,0.0159380570165147,0.0230619429834853,0.1437,0.136824608586444,0.150575391413556,0.1437,0.13792958220648,0.14947041779352,1437,1437,195
"Mood","Cauchy",12037066,10000,10,10,1,1,2,0,0.01,0.00743691236201335,0.0125630876379867,0.0922,0.086529561806562,0.097870438193438,0.0922,0.0874408822305074,0.0969591177694926,922,922,100
"Mood","Cauchy",184702038,10000,10,10,1.5,1,1,0,0.0609,0.0547395785370363,0.0670604214629637,0.3059,0.296868563514568,0.314931436485432,0.3059,0.298320044378298,0.313479955621702,3059,3059,609
"Mood","Cauchy",2928795,10000,10,10,1.5,0.5,0.5,0,0.2972,0.285427027281115,0.308972972718885,0.7168,0.707969166546605,0.725630833453395,0.7168,0.709388407637329,0.724211592362671,7168,7168,2972
"Mood","Cauchy",45884,10000,10,10,1.5,2,2,0,0.0093,0.00682737409756834,0.0117726259024317,0.0962,0.0904206396262562,0.101979360373744,0.0962,0.0913494654006079,0.101050534599392,962,962,93
"Mood","Cauchy",30910062,10000,10,10,1.5,0.5,2,0,0.0462,0.0407925127325664,0.0516074872674336,0.2408,0.232419645073292,0.249180354926708,0.2408,0.23376648782937,0.24783351217063,2408,2408,462
"Mood","Cauchy",576079,10000,10,10,1.5,1,2,0,0.0266,0.0224549254297004,0.0307450745702995,0.1602,0.153010887788218,0.167389112211782,0.1602,0.154166280822254,0.166233719177746,1602,1602,266
"Mood","Cauchy",1018002,10000,10,10,2,1,1,0,0.1315,0.122794501470542,0.140205498529458,0.4634,0.453626290641195,0.473173709358805,0.4634,0.455197065359574,0.471602934640426,4634,4634,1315
"Mood","Cauchy",1127507,10000,10,10,2,0.5,0.5,0,0.4751,0.462235981372362,0.487964018627638,0.8492,0.842186065031838,0.856213934968162,0.8492,0.843313304580293,0.855086695419707,8492,8492,4751
"Mood","Cauchy",646360,10000,10,10,2,2,2,0,0.0202,0.0165759827102929,0.0238240172897071,0.1515,0.144472702963443,0.158527297036557,0.1515,0.145602089987176,0.157397910012824,1515,1515,202
"Mood","Cauchy",1455444,10000,10,10,2,0.5,2,0,0.0952,0.0876396721507533,0.102760327849247,0.3694,0.359940209899665,0.378859790100335,0.3694,0.361460533308647,0.377339466691353,3694,3694,952
"Mood","Cauchy",181549,10000,10,10,2,1,2,0,0.0511,0.0454276041309598,0.0567723958690402,0.2641,0.255459285148184,0.272740714851816,0.2641,0.256847971463654,0.271352028536346,2641,2641,511
"Mood","Cauchy",30782,10000,10,10,2.5,1,1,0,0.213,0.202453143754388,0.223546856245612,0.6061,0.596523182668214,0.615676817331786,0.6061,0.598062314025108,0.614137685974892,6061,6061,2130
"Mood","Cauchy",1737274,10000,10,10,2.5,0.5,0.5,0,0.6103,0.59773730700859,0.62286269299141,0.9188,0.913446416518854,0.924153583481146,0.9188,0.914306813864038,0.923293186135962,9188,9188,6103
"Mood","Cauchy",86887681,10000,10,10,2.5,2,2,0,0.0372,0.0323248793354404,0.0420751206645596,0.2279,0.219678235930507,0.236121764069493,0.2279,0.220999590870247,0.234800409129753,2279,2279,372
"Mood","Cauchy",341983,10000,10,10,2.5,0.5,2,0,0.1606,0.151141917202051,0.170058082797949,0.4925,0.482701102562023,0.502298897437977,0.4925,0.484275925364555,0.500724074635445,4925,4925,1606
"Mood","Cauchy",336248,10000,10,10,2.5,1,2,0,0.0899,0.0825316497476691,0.0972683502523308,0.3781,0.368595709799128,0.387604290200872,0.3781,0.370123185009982,0.386076814990018,3781,3781,899
"Mood","Cauchy",1702320,10000,10,10,5,1,1,0,0.6055,0.592909979530692,0.618090020469308,0.9175,0.912107550556565,0.922892449443435,0.9175,0.912974194217117,0.922025805782883,9175,9175,6055
"Mood","Cauchy",97045606,10000,10,10,5,0.5,0.5,0,0.8819,0.873586565511748,0.890213434488252,0.9916,0.989811190991078,0.993388809008922,0.9916,0.990098678153226,0.993101321846774,9916,9916,8819
"Mood","Cauchy",43964,10000,10,10,5,2,2,0,0.2126,0.202060374149135,0.223139625850865,0.6008,0.591201214215454,0.610398785784546,0.6008,0.592743876216542,0.608856123783458,6008,6008,2126
"Mood","Cauchy",19803,10000,10,10,5,0.5,2,0,0.5022,0.489320124679003,0.515079875320997,0.8427,0.83556396568719,0.84983603431281,0.8427,0.836710828344606,0.848689171655394,8427,8427,5022
"Mood","Cauchy",7893236,10000,10,10,5,1,2,0,0.3724,0.359946478860361,0.384853521139639,0.7704,0.762156718130841,0.778643281869159,0.7704,0.763481531288385,0.777318468711615,7704,7704,3724
"Mood","Cauchy",131616771,10000,10,10,5,0.5,1,0,0.7584,0.747373352638061,0.769426647361938,0.9621,0.958357293394561,0.965842706605439,0.9621,0.958958799813292,0.965241200186708,9621,9621,7584
"Mood","Cauchy",106985949,10000,10,10,0.5,0.5,1,0,0.0109,0.00822527455888572,0.0135747254411143,0.0885,0.0829331945570193,0.0940668054429807,0.0885,0.0838278597174983,0.0931721402825017,885,885,109
"Mood","Cauchy",72910701,10000,10,10,1,0.5,1,0,0.044,0.0387167502267638,0.0492832497732362,0.2572,0.248633024971111,0.265766975028889,0.2572,0.250009860243611,0.264390139756389,2572,2572,440
"Mood","Cauchy",107921,10000,10,10,1.5,0.5,1,0,0.1371,0.128239773573797,0.145960226426203,0.4773,0.467510104893636,0.487089895106364,0.4773,0.469083480892873,0.485516519107127,4773,4773,1371
"Mood","Cauchy",136844571,10000,10,10,2,0.5,1,0,0.2549,0.243673663437175,0.266126336562825,0.6533,0.643971983163737,0.662628016836263,0.6533,0.645471128726708,0.661128871273292,6533,6533,2549
"Mood","Cauchy",33707193,10000,10,10,2.5,0.5,1,0,0.3802,0.367695172622475,0.392704827377525,0.7736,0.765397381500618,0.781802618499382,0.7736,0.766715659473733,0.780484340526267,7736,7736,3802
"Mood","Cauchy",63318117,10000,20,20,0,1,1,1,0.0056,0.00367770325743812,0.00752229674256188,0.0288,0.0255220173384229,0.0320779826615771,0.0288,0.0260488359804621,0.0315511640195379,288,288,56
