"method","distribution","seed","N","n1","n2","delta","rate1","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"Mood","Exp",3165019,10000,10,10,0,1,1,0.0016,0.000570424649992046,0.00262957535000795,0.0235,0.020530891103378,0.026469108896622,0.0235,0.0210080693189065,0.0259919306810935,235,235,16
"Mood","Exp",2311203,10000,10,10,0,0.5,1,0.0012,0.00030818299620606,0.00209181700379394,0.0241,0.021094150364639,0.027105849635361,0.0241,0.0215772333417506,0.0266227666582494,241,241,12
"Mood","Exp",76725003,10000,10,10,0,0.25,1,9e-04,0.00012754783828123,0.00167245216171877,0.0226,0.0196869599318925,0.0255130400681075,0.0226,0.0201551270856955,0.0250448729143045,226,226,9
"Mood","Exp",1180851,10000,10,10,0,0.125,1,0.0012,0.00030818299620606,0.00209181700379394,0.0234,0.0204370633907557,0.0263629366092443,0.0234,0.0209132496315271,0.0258867503684729,234,234,12
"Mood","Exp",1724723,10000,10,10,0.5,1,0,0.0187,0.0152104649781015,0.0221895350218985,0.1365,0.129770952902528,0.143229047097472,0.1365,0.130852406900336,0.142147593099664,1365,1365,187
"Mood","Exp",40284,10000,10,10,0.5,0.5,0,0.004,0.00237405622532635,0.00562594377467365,0.0481,0.0439060401072018,0.0522939598927982,0.0481,0.0445800693756872,0.0516199306243128,481,481,40
"Mood","Exp",41544724,10000,10,10,0.5,0.25,0,0.0018,0.000708079815840004,0.00289192018416,0.0322,0.0287399942853226,0.0356600057146774,0.0322,0.0292960666323244,0.0351039333676756,322,322,18
"Mood","Exp",44655,10000,10,10,0.5,0.125,0,7e-04,1.86930449672482e-05,0.00138130695503275,0.0232,0.0202494506068191,0.0261505493931809,0.0232,0.0207236460450089,0.0256763539549911,232,232,7
"Mood","Exp",84376,10000,10,10,1,1,0,0.1585,0.149092211352374,0.167907788647626,0.4806,0.47080737943437,0.49039262056563,0.4806,0.472381193453846,0.488818806546154,4806,4806,1585
"Mood","Exp",79470,10000,10,10,1,0.5,0,0.0207,0.0170323413525553,0.0243676586474447,0.1382,0.131435848319146,0.144964151680854,0.1382,0.132522944124998,0.143877055875002,1382,1382,207
