"method","distribution","seed","N","n1","n2","delta","scale","lambda3","lambda4","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"Mood","GLDLS",1277765,10000,10,10,0,2,-0.002,-0.002,1,8e-04,7.16886721078684e-05,0.00152831132789213,0.0245,0.0214699293803609,0.0275300706196391,0.0245,0.0219569050156601,0.0270430949843399,245,245,8
"Mood","GLDLS",335368189,10000,10,10,0,2,-0.02,-0.02,1,0.0017,0.000638791170063121,0.00276120882993688,0.0213,0.0184701027492858,0.0241298972507142,0.0213,0.0189249076645791,0.0236750923354209,213,213,17
"Mood","GLDLS",958514,10000,10,10,0,2,-0.05,-0.05,1,9e-04,0.00012754783828123,0.00167245216171877,0.025,0.0219399509807848,0.0280600490192152,0.025,0.0224317445731587,0.0275682554268413,250,250,9
"Mood","GLDLS",4272376,10000,10,10,0,2,-0.1,-0.1,1,0.0011,0.000246107482698203,0.0019538925173018,0.0227,0.0197806716194302,0.0256193283805698,0.0227,0.020249849394879,0.025150150605121,227,227,11
"Mood","GLDLS",412108,10000,10,10,0,2,-0.2,-0.2,1,5e-04,-7.58670902213462e-05,0.00107586709022135,0.0238,0.0208124584673013,0.0267875415326988,0.0238,0.0212925990707707,0.0263074009292293,238,238,5
"Mood","GLDLS",1513165,10000,10,10,0.5,2,-0.002,-0.002,0,0.0126,0.00972672170157083,0.0154732782984292,0.1181,0.11177456071546,0.12442543928454,0.1181,0.112791149171904,0.123408850828096,1181,1181,126
"Mood","GLDLS",31170131,10000,10,10,0.5,2,-0.002,-0.02,0,0.0144,0.011331137346041,0.017468862653959,0.1181,0.11177456071546,0.12442543928454,0.1181,0.112791149171904,0.123408850828096,1181,1181,144
"Mood","GLDLS",59037,10000,10,10,0.5,2,-0.002,-0.05,0,0.014,0.0109734466483473,0.0170265533516527,0.1169,0.110602498649274,0.123197501350726,0.1169,0.11161459708064,0.12218540291936,1169,1169,140
"Mood","GLDLS",790532,10000,10,10,0.5,2,-0.002,-0.1,0,0.014,0.0109734466483473,0.0170265533516527,0.1088,0.102696792888194,0.114903207111806,0.1088,0.103677665459734,0.113922334540266,1088,1088,140
"Mood","GLDLS",94200,10000,10,10,0.5,2,-0.002,-0.2,0,0.0103,0.00769914430765258,0.0129008556923474,0.1001,0.094217387573671,0.105982612426329,0.1001,0.0951628074279025,0.105037192572098,1001,1001,103
"Mood","GLDLS",10746735,10000,10,10,1,2,-0.002,-0.002,0,0.108,0.100004600593241,0.115995399406759,0.437,0.42727810363355,0.44672189636645,0.437,0.428840551263872,0.445159448736128,4370,4370,1080
"Mood","GLDLS",156957,10000,10,10,1,2,-0.002,-0.02,0,0.1071,0.0991339687534391,0.115066031246561,0.441,0.431268466768284,0.450731533231716,0.441,0.432832463180524,0.449167536819476,4410,4410,1071
"Mood","GLDLS",28305748,10000,10,10,1,2,-0.002,-0.05,0,0.105,0.0971031838719646,0.112896816128035,0.4309,0.421194037451628,0.440605962548372,0.4309,0.422753924289759,0.439046075710241,4309,4309,1050
"Mood","GLDLS",506816,10000,10,10,1,2,-0.002,-0.1,0,0.0997,0.091982314747671,0.107417685252329,0.4083,0.398666223958509,0.417933776041491,0.4083,0.400214509393749,0.416385490606251,4083,4083,997
"Mood","GLDLS",8850654,10000,10,10,1,2,-0.002,-0.2,0,0.0862,0.0789702202261856,0.0934297797738144,0.3782,0.36869521729856,0.38770478270144,0.3782,0.370222771661291,0.386177228338709,3782,3782,862
"Mood","GLDLS",48336,10000,10,10,1.5,2,-0.002,-0.002,0,0.378,0.365509295015829,0.390490704984171,0.7906,0.782625144639406,0.798574855360594,0.7906,0.783906817822358,0.797293182177642,7906,7906,3780
"Mood","GLDLS",220821,10000,10,10,1.5,2,-0.002,-0.02,0,0.3687,0.35627202639667,0.38112797360333,0.7865,0.77846835740088,0.79453164259912,0.7865,0.77975915710431,0.79324084289569,7865,7865,3687
"Mood","GLDLS",317160112,10000,10,10,1.5,2,-0.002,-0.05,0,0.3453,0.33305199603385,0.35754800396615,0.762,0.753653161019883,0.770346838980117,0.762,0.754994617284545,0.769005382715455,7620,7620,3453
"Mood","GLDLS",231804,10000,10,10,1.5,2,-0.002,-0.1,0,0.3232,0.311152090134775,0.335247909865225,0.7446,0.736052717982048,0.753147282017952,0.7446,0.737426388306362,0.751773611693638,7446,7446,3232
"Mood","GLDLS",8514156,10000,10,10,1.5,2,-0.002,-0.2,0,0.282,0.270408686953688,0.293591313046312,0.7069,0.697978395405399,0.715821604594601,0.7069,0.699412224715246,0.714387775284754,7069,7069,2820
"Mood","GLDLS",27356,10000,10,10,2,2,-0.002,-0.002,0,0.693,0.681118215707327,0.704881784292672,0.9527,0.948539316081027,0.956860683918973,0.9527,0.949207997425148,0.956192002574852,9527,9527,6930
"Mood","GLDLS",61226,10000,10,10,2,2,-0.002,-0.02,0,0.6901,0.678187232644955,0.702012767355045,0.9502,0.94593638230682,0.95446361769318,0.9502,0.946621606578938,0.953778393421062,9502,9502,6901
"Mood","GLDLS",49625,10000,10,10,2,2,-0.002,-0.05,0,0.6673,0.655162399985331,0.679437600014669,0.9426,0.938040935512805,0.947159064487195,0.9426,0.93877364230539,0.94642635769461,9426,9426,6673
"Mood","GLDLS",14795206,10000,10,10,2,2,-0.002,-0.1,0,0.6259,0.613435002705891,0.638364997294109,0.9309,0.925928967412056,0.935871032587944,0.9309,0.92672788336369,0.93507211663631,9309,9309,6259
"Mood","GLDLS",69841,10000,10,10,2,2,-0.002,-0.2,0,0.5613,0.548517164591208,0.574082835408792,0.8982,0.892273251673843,0.904126748326157,0.8982,0.89322576479769,0.90317423520231,8982,8982,5613
"Mood","GLDLS",1425665,10000,10,10,2.5,2,-0.002,-0.002,0,0.8918,0.883798098094942,0.899801901905058,0.9938,0.992261486142539,0.995338513857461,0.9938,0.992508747298202,0.995091252701798,9938,9938,8918
"Mood","GLDLS",2210196,10000,10,10,2.5,2,-0.002,-0.02,0,0.8835,0.875235585361418,0.891764414638581,0.9935,0.991924941512197,0.995075058487803,0.9935,0.992178075912023,0.994821924087978,9935,9935,8835
"Mood","GLDLS",4306109,10000,10,10,2.5,2,-0.002,-0.05,0,0.8726,0.864011087526757,0.881188912473243,0.9891,0.987064882816543,0.991135117183456,0.9891,0.987391955221028,0.990808044778972,9891,9891,8726
"Mood","GLDLS",105641,10000,10,10,2.5,2,-0.002,-0.1,0,0.841,0.831580184020141,0.850419815979859,0.9862,0.983913463630379,0.988486536369621,0.9862,0.984280942689782,0.988119057310218,9862,9862,8410
"Mood","GLDLS",24747,10000,10,10,2.5,2,-0.002,-0.2,0,0.773,0.762209326941771,0.783790673058229,0.9741,0.970986794958503,0.977213205041497,0.9741,0.97148713148303,0.97671286851697,9741,9741,7730
"Mood","GLDLS",5331502,10000,20,20,0,2,-0.002,-0.002,1,0.0039,0.00229442856754861,0.00550557143245139,0.026,0.0228809508115453,0.0291190491884547,0.026,0.0233822265739755,0.0286177734260245,260,260,39
"Mood","GLDLS",2575908,10000,20,20,0,2,-0.02,-0.02,1,0.0029,0.00151479447287271,0.00428520552712729,0.0238,0.0208124584673013,0.0267875415326988,0.0238,0.0212925990707707,0.0263074009292293,238,238,29
"Mood","GLDLS",38460452,10000,20,20,0,2,-0.05,-0.05,1,0.0043,0.0026144395204633,0.0059855604795367,0.0291,0.0258054976900296,0.0323945023099704,0.0291,0.0263349712755606,0.0318650287244394,291,291,43
"Mood","GLDLS",38723,10000,20,20,0,2,-0.1,-0.1,1,0.0037,0.00213598185986991,0.00526401814013009,0.0257,0.0225985200046429,0.0288014799953571,0.0257,0.0230969721467539,0.0283030278532461,257,257,37
"Mood","GLDLS",4672925,10000,20,20,0,2,-0.2,-0.2,1,0.0034,0.00190050245650618,0.00489949754349382,0.0284,0.0251441904370188,0.0316558095629812,0.0284,0.025667445545355,0.031132554454645,284,284,34
"Mood","GLDLS",18134058,10000,20,20,0.5,2,-0.002,-0.002,0,0.0875,0.0802210904662855,0.0947789095337145,0.2502,0.241710689036583,0.258689310963417,0.2502,0.243075042584275,0.257324957415725,2502,2502,875
"Mood","GLDLS",1525479,10000,20,20,0.5,2,-0.002,-0.02,0,0.085,0.0778160075278436,0.0921839924721564,0.2396,0.23123394852667,0.24796605147333,0.2396,0.232578492513456,0.246621507486544,2396,2396,850
"Mood","GLDLS",285057,10000,20,20,0.5,2,-0.002,-0.05,0,0.0817,0.0746441526069836,0.0887558473930164,0.2391,0.230739935051066,0.247460064948934,0.2391,0.232083516917859,0.246116483082141,2391,2391,817
"Mood","GLDLS",36309969,10000,20,20,0.5,2,-0.002,-0.1,0,0.0813,0.0742599135905121,0.0883400864094879,0.2319,0.223627908526715,0.240172091473285,0.2319,0.224957351799207,0.238842648200793,2319,2319,813
"Mood","GLDLS",33110,10000,20,20,0.5,2,-0.002,-0.2,0,0.0698,0.0632361033014149,0.0763638966985851,0.2172,0.209118138747442,0.225281861252558,0.2172,0.210417009305889,0.223982990694111,2172,2172,698
"Mood","GLDLS",2998790,10000,20,20,1,2,-0.002,-0.002,0,0.5412,0.528363800529804,0.554036199470196,0.7835,0.7754275656435,0.7915724343565,0.7835,0.77672492116508,0.79027507883492,7835,7835,5412
"Mood","GLDLS",38019480,10000,20,20,1,2,-0.002,-0.02,0,0.5456,0.532773676158709,0.558426323841291,0.7875,0.779482096595743,0.795517903404257,0.7875,0.780770688214284,0.794229311785716,7875,7875,5456
"Mood","GLDLS",134138,10000,20,20,1,2,-0.002,-0.05,0,0.5269,0.514038653701386,0.539761346298614,0.7708,0.762561763962012,0.779038236037988,0.7708,0.763885766182403,0.777714233817597,7708,7708,5269
"Mood","GLDLS",19560250,10000,20,20,1,2,-0.002,-0.1,0,0.5042,0.491320454414416,0.517079545585584,0.7602,0.751831558329438,0.768568441670562,0.7602,0.753176486455064,0.767223513544936,7602,7602,5042
"Mood","GLDLS",1298503,10000,20,20,1,2,-0.002,-0.2,0,0.4469,0.434092839113868,0.459707160886132,0.7122,0.703326346816243,0.721073653183757,0.7122,0.704752469649347,0.719647530350653,7122,7122,4469
"Mood","GLDLS",45707,10000,20,20,1.5,2,-0.002,-0.002,0,0.9289,0.922279890994802,0.935520109005198,0.9835,0.981003191549197,0.985996808450803,0.9835,0.981404464335933,0.985595535664067,9835,9835,9289
"Mood","GLDLS",21819384,10000,20,20,1.5,2,-0.002,-0.02,0,0.9242,0.917381898792308,0.931018101207692,0.9846,0.982186505310882,0.987013494689118,0.9846,0.982574388385919,0.986625611614081,9846,9846,9242
"Mood","GLDLS",211626,10000,20,20,1.5,2,-0.002,-0.05,0,0.9187,0.911659913590512,0.925740086409488,0.9832,0.980680979817151,0.985719020182849,0.9832,0.981085822346538,0.985314177653462,9832,9832,9187
"Mood","GLDLS",1663430,10000,20,20,1.5,2,-0.002,-0.1,0,0.8985,0.890720746560858,0.906279253439142,0.9781,0.975231401557833,0.980968598442166,0.9781,0.975692426307467,0.980507573692533,9781,9781,8985
"Mood","GLDLS",682705,10000,20,20,1.5,2,-0.002,-0.2,0,0.8606,0.851677677509254,0.869522322490746,0.9651,0.961502879863224,0.968697120136776,0.9651,0.962080988456634,0.968119011543366,9651,9651,8606
"Mood","GLDLS",198391597,10000,20,20,2,2,-0.002,-0.002,0,0.9963,0.99473598185987,0.99786401814013,0.9997,0.99936056896783,1.00003943103217,0.9997,0.999415120383714,0.999984879616286,9997,9997,9963
"Mood","GLDLS",6056571,10000,20,20,2,2,-0.002,-0.02,0,0.9962,0.994615066935339,0.997784933064661,0.9996,0.999208078407842,0.999991921592158,0.9996,0.999271065806581,0.999928934193419,9996,9996,9962
"Mood","GLDLS",176390,10000,20,20,2,2,-0.002,-0.05,0,0.9957,0.994014439520463,0.997385560479537,0.9997,0.99936056896783,1.00003943103217,0.9997,0.999415120383714,0.999984879616286,9997,9997,9957
"Mood","GLDLS",3165815,10000,20,20,2,2,-0.002,-0.1,0,0.9922,0.989933828510722,0.994466171489278,0.9993,0.998781614273345,0.999818385726655,0.9993,0.998864926265128,0.999735073734871,9993,9993,9922
"Mood","GLDLS",29910702,10000,20,20,2,2,-0.002,-0.2,0,0.9824,0.979012756878725,0.985787243121275,0.9978,0.996881690321515,0.998718309678485,0.9978,0.997029275805557,0.998570724194443,9978,9978,9824
"Mood","GLDLS",24981,10000,20,20,2.5,2,-0.002,-0.002,0,0.9999,0.999642412880322,1.00015758711968,1,1,1,1,1,1,10000,10000,9999
"Mood","GLDLS",111987162,10000,20,20,2.5,2,-0.002,-0.02,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"Mood","GLDLS",212748593,10000,20,20,2.5,2,-0.002,-0.05,0,0.9998,0.999435735018296,1.0001642649817,1,1,1,1,1,1,10000,10000,9998
"Mood","GLDLS",7329083,10000,20,20,2.5,2,-0.002,-0.1,0,0.9998,0.999435735018296,1.0001642649817,1,1,1,1,1,1,10000,10000,9998
"Mood","GLDLS",2083847,10000,20,20,2.5,2,-0.002,-0.2,0,0.9988,0.997908182996206,0.999691817003794,0.9999,0.999704009800245,1.00009599019976,0.9999,0.999735508225206,1.00006449177479,9999,9999,9988
"Mood","GLDLS",33325019,10000,100,100,0,2,-0.002,-0.002,1,0.0074,0.00519225528409102,0.00960774471590898,0.0329,0.0294038527813606,0.0363961472186394,0.0655,0.061430170596404,0.0695698294035961,655,329,74
"Mood","GLDLS",144140668,10000,100,100,0,2,-0.02,-0.02,1,0.0066,0.00451416522232848,0.00868583477767152,0.0331,0.0295936049192368,0.0366063950807631,0.0653,0.0612359540066856,0.0693640459933144,653,331,66
"Mood","GLDLS",1594185,10000,100,100,0,2,-0.05,-0.05,1,0.0067,0.00459852862937988,0.00880147137062012,0.0331,0.0295936049192368,0.0366063950807631,0.0663,0.0622071451226833,0.0703928548773167,663,331,67
"Mood","GLDLS",61810,10000,100,100,0,2,-0.1,-0.1,1,0.0061,0.0040942254270472,0.0081057745729528,0.032,0.0285504,0.0354496,0.0602,0.0562872520888894,0.0641127479111105,602,320,61
"Mood","GLDLS",24303447,10000,100,100,0,2,-0.2,-0.2,1,0.0074,0.00519225528409102,0.00960774471590898,0.0346,0.0310178170043394,0.0381821829956606,0.0641,0.0600708852098786,0.0681291147901214,641,346,74
"Mood","GLDLS",15753435,10000,100,100,0.5,2,-0.002,-0.002,0,0.7848,0.774213644123529,0.795386355876471,0.9171,0.911695672199579,0.922504327800421,0.9521,0.948587025951138,0.955612974048862,9521,9171,7848
"Mood","GLDLS",9988842,10000,100,100,0.5,2,-0.002,-0.02,0,0.7853,0.774722581697389,0.795877418302611,0.9116,0.906036035349645,0.917163964650355,0.9487,0.94507098272851,0.95232901727149,9487,9116,7853
"Mood","GLDLS",14534839,10000,100,100,0.5,2,-0.002,-0.05,0,0.7671,0.756211787346218,0.777988212653782,0.9015,0.895659405540529,0.907340594459471,0.946,0.942282008860957,0.949717991139043,9460,9015,7671
"Mood","GLDLS",59459538,10000,100,100,0.5,2,-0.002,-0.1,0,0.749,0.737830759863697,0.760169240136303,0.8953,0.889299137103249,0.901300862896751,0.9382,0.934238972531287,0.942161027468713,9382,8953,7490
"Mood","GLDLS",71520,10000,100,100,0.5,2,-0.002,-0.2,0,0.7003,0.688498660797773,0.712101339202227,0.8715,0.864940944119769,0.878059055880232,0.9215,0.917075660953953,0.925924339046047,9215,8715,7003
"Mood","GLDLS",45330,10000,100,100,1,2,-0.002,-0.002,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"Mood","GLDLS",247591,10000,100,100,1,2,-0.002,-0.02,0,0.9999,0.999642412880322,1.00015758711968,1,1,1,1,1,1,10000,10000,9999
"Mood","GLDLS",648698,10000,100,100,1,2,-0.002,-0.05,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"Mood","GLDLS",32759,10000,100,100,1,2,-0.002,-0.1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"Mood","GLDLS",2502407,10000,100,100,1,2,-0.002,-0.2,0,0.9999,0.999642412880322,1.00015758711968,0.9999,0.999704009800245,1.00009599019976,1,1,1,10000,9999,9999
"Mood","GLDLS",837499,10000,100,100,1.5,2,-0.002,-0.002,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"Mood","GLDLS",14205903,10000,100,100,1.5,2,-0.002,-0.02,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"Mood","GLDLS",1323082,10000,100,100,1.5,2,-0.002,-0.05,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"Mood","GLDLS",464286,10000,100,100,1.5,2,-0.002,-0.1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"Mood","GLDLS",159116,10000,100,100,1.5,2,-0.002,-0.2,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"Mood","GLDLS",306754913,10000,100,100,2,2,-0.002,-0.002,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"Mood","GLDLS",197941,10000,100,100,2,2,-0.002,-0.02,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"Mood","GLDLS",245923996,10000,100,100,2,2,-0.002,-0.05,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"Mood","GLDLS",3903507,10000,100,100,2,2,-0.002,-0.1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"Mood","GLDLS",20359494,10000,100,100,2,2,-0.002,-0.2,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"Mood","GLDLS",1575533,10000,100,100,2.5,2,-0.002,-0.002,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"Mood","GLDLS",37099383,10000,100,100,2.5,2,-0.002,-0.02,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"Mood","GLDLS",13627271,10000,100,100,2.5,2,-0.002,-0.05,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"Mood","GLDLS",3158936,10000,100,100,2.5,2,-0.002,-0.1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"Mood","GLDLS",2108267,10000,100,100,2.5,2,-0.002,-0.2,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"Mood","GLDLS",57491,10000,10,100,0,2,-0.002,-0.002,1,0.0015,0.000503068031207746,0.00249693196879225,0.0146,0.0122490749789923,0.0169509250210077,0.0905,0.0857805483237589,0.0952194516762411,905,146,15
"Mood","GLDLS",28078,10000,10,100,0,2,-0.02,-0.02,1,7e-04,1.86930449672482e-05,0.00138130695503275,0.0153,0.0128942319343711,0.0177057680656289,0.092,0.0872455231160516,0.0967544768839484,920,153,7
"Mood","GLDLS",326682,10000,10,100,0,2,-0.05,-0.05,1,0.0013,0.000371813901280567,0.00222818609871943,0.0168,0.0142809798171511,0.0193190201828489,0.0943,0.0894925593373631,0.0991074406626369,943,168,13
"Mood","GLDLS",64032,10000,10,100,0,2,-0.1,-0.1,1,0.0011,0.000246107482698203,0.0019538925173018,0.017,0.0144662877511446,0.0195337122488554,0.0951,0.0902743429427719,0.0999256570572281,951,170,11
"Mood","GLDLS",15523757,10000,10,100,0,2,-0.2,-0.2,1,0.0012,0.00030818299620606,0.00209181700379394,0.0171,0.0145589758414372,0.0196410241585628,0.0926,0.0878316208197019,0.0973683791802981,926,171,12
"Mood","GLDLS",8564349,10000,10,100,0.5,2,-0.002,-0.002,0,0.0299,0.0255127770480834,0.0342872229519166,0.1583,0.15114556747061,0.16545443252939,0.413,0.404900467008679,0.421099532991321,4130,1583,299
"Mood","GLDLS",30482407,10000,10,100,0.5,2,-0.002,-0.02,0,0.0291,0.0247700826783247,0.0334299173216753,0.1601,0.152912704052399,0.167287295947601,0.4094,0.401311154454244,0.417488845545756,4094,1601,291
"Mood","GLDLS",21454,10000,10,100,0.5,2,-0.002,-0.05,0,0.0274,0.0231947843431015,0.0316052156568985,0.1506,0.143589892375833,0.157610107624167,0.3944,0.386360532411559,0.402439467588441,3944,1506,274
"Mood","GLDLS",341137620,10000,10,100,0.5,2,-0.002,-0.1,0,0.0226,0.0187714330533444,0.0264285669466556,0.1403,0.133492958940509,0.147107041059491,0.3768,0.368828591384805,0.384771408615195,3768,1403,226
"Mood","GLDLS",617539,10000,10,100,0.5,2,-0.002,-0.2,0,0.0215,0.0177636676199246,0.0252363323800754,0.1287,0.122136595026238,0.135263404973762,0.3594,0.351506885445966,0.367293114554034,3594,1287,215
"Mood","GLDLS",145134139,10000,10,100,1,2,-0.002,-0.002,0,0.2205,0.209820320604363,0.231179679395637,0.597,0.587386185015302,0.606613814984698,0.8592,0.853478441221625,0.864921558778375,8592,5970,2205
"Mood","GLDLS",293341,10000,10,100,1,2,-0.002,-0.02,0,0.2191,0.208444722643134,0.229755277356866,0.584,0.57433928744657,0.59366071255343,0.8593,0.853580140555505,0.865019859444495,8593,5840,2191
