"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"Mood","Logistic",53478,10000,10,10,0,1,1,0.0011,0.000246107482698203,0.0019538925173018,0.0218,0.0189378120603985,0.0246621879396015,0.0218,0.0193978065506916,0.0242021934493084,218,218,11
"Mood","Logistic",2103192,10000,10,10,0,3,1,0.0012,0.00030818299620606,0.00209181700379394,0.0222,0.0193122634147831,0.0250877365852169,0.0222,0.0197763639374073,0.0246236360625927,222,222,12
"Mood","Logistic",18092472,10000,10,10,0,5,1,0.0013,0.000371813901280567,0.00222818609871943,0.0232,0.0202494506068191,0.0261505493931809,0.0232,0.0207236460450089,0.0256763539549911,232,232,13
"Mood","Logistic",26892257,10000,10,10,0,2,1,3e-04,-0.000146109356566302,0.000746109356566302,0.0223,0.0194059148123112,0.0251940851876888,0.0223,0.0198710356460469,0.0247289643539531,223,223,3
"Mood","Logistic",37615,10000,10,10,0.5,1,0,0.0046,0.00285689482302874,0.00634310517697126,0.0462,0.0420856075139093,0.0503143924860907,0.0462,0.0427468491634595,0.0496531508365404,462,462,46
"Mood","Logistic",2505567,10000,10,10,1.5,1,0,0.0423,0.0371152145930525,0.0474847854069475,0.2597,0.251105988690629,0.268294011309371,0.2597,0.252487169079635,0.266912830920365,2597,2597,423
"Mood","Logistic",817601,10000,10,10,2,1,0,0.109,0.100972173835066,0.117027826164934,0.4452,0.435459037411344,0.454940962588656,0.4452,0.437024549255949,0.453375450744051,4452,4452,1090
"Mood","Logistic",1036662,10000,10,10,2.5,1,0,0.2257,0.214931225871856,0.236468774128144,0.6279,0.618426048701075,0.637373951298925,0.6279,0.619948648016974,0.635851351983026,6279,6279,2257
"Mood","Logistic",302811,10000,10,10,0.5,3,0,9e-04,0.00012754783828123,0.00167245216171877,0.0257,0.0225985200046429,0.0288014799953571,0.0257,0.0230969721467539,0.0283030278532461,257,257,9
"Mood","Logistic",349838,10000,10,10,1.5,3,0,0.0033,0.00182264434886653,0.00477735565113347,0.0434,0.039406385648263,0.047393614351737,0.0434,0.0400482165262207,0.0467517834737793,434,434,33
"Mood","Logistic",463183,10000,10,10,2,3,0,0.0066,0.00451416522232848,0.00868583477767152,0.0644,0.0595889030167331,0.0692110969832669,0.0644,0.060362115031901,0.068437884968099,644,644,66
"Mood","Logistic",16005797,10000,10,10,2.5,3,0,0.008,0.00570519024021598,0.010294809759784,0.084,0.0785631988228371,0.0894368011771629,0.084,0.0794369704405954,0.0885630295594046,840,840,80
"Mood","Logistic",109169,10000,10,10,1,1,0,0.0128,0.00990430099526626,0.0156956990047337,0.1136,0.107380433570867,0.119819566429133,0.1136,0.108380006746978,0.118819993253022,1136,1136,128
"Mood","Logistic",3981785,10000,10,10,1,3,0,0.0017,0.000638791170063121,0.00276120882993688,0.0363,0.0326341025369495,0.0399658974630505,0.0363,0.0332232646292255,0.0393767353707745,363,363,17
"Mood","Logistic",325027,10000,10,10,5,1,0,0.8957,0.887826473382646,0.903573526617354,0.9935,0.991924941512197,0.995075058487803,0.9935,0.992178075912023,0.994821924087978,9935,9935,8957
"Mood","Logistic",411105,10000,10,10,5,3,0,0.0635,0.0572181637380142,0.0697818362619858,0.3215,0.312345777037891,0.330654222962109,0.3215,0.313816991442516,0.329183008557484,3215,3215,635
"Mood","Logistic",747967,10000,10,10,0.5,5,0,7e-04,1.86930449672482e-05,0.00138130695503275,0.0229,0.0199681393869421,0.0258318606130579,0.0229,0.0204393312711836,0.0253606687288164,229,229,7
"Mood","Logistic",215490,10000,10,10,1,5,0,0.0014,0.000436823989135942,0.00236317601086406,0.0284,0.0251441904370188,0.0316558095629812,0.0284,0.025667445545355,0.031132554454645,284,284,14
"Mood","Logistic",30252,10000,10,10,1.5,5,0,0.0022,0.000993078708276302,0.0034069212917237,0.0324,0.0289296241992545,0.0358703758007455,0.0324,0.0294873631672314,0.0353126368327685,324,324,22
"Mood","Logistic",42455,10000,10,10,2,5,0,0.0018,0.000708079815840004,0.00289192018416,0.0354,0.0317781427341211,0.0390218572658789,0.0354,0.0323602269375659,0.0384397730624341,354,354,18
"Mood","Logistic",583296,10000,10,10,2.5,5,0,0.0038,0.00221506693533891,0.00538493306466109,0.0442,0.0401714318104816,0.0482285681895185,0.0442,0.0408188802695113,0.0475811197304887,442,442,38
"Mood","Logistic",188990,10000,10,10,5,5,0,0.0118,0.00901830642683706,0.0145816935731629,0.1128,0.106599576012433,0.119000423987567,0.1128,0.10759607272472,0.11800392727528,1128,1128,118
"Mood","Logistic",5898089,10000,10,10,3,1,0,0.3791,0.366602199701526,0.391597800298474,0.7918,0.783841995458559,0.799758004541441,0.7918,0.785120960474147,0.798479039525852,7918,7918,3791
"Mood","Logistic",83028007,10000,10,10,3,3,0,0.0138,0.0107948379142123,0.0168051620857877,0.1243,0.117833499573834,0.130766500426166,0.1243,0.118872758570897,0.129727241429103,1243,1243,138
"Mood","Logistic",211851,10000,10,10,3,5,0,0.005,0.00318305240581903,0.00681694759418097,0.0547,0.0502430828249114,0.0591569171750886,0.0547,0.0509593730851935,0.0584406269148065,547,547,50
"Mood","Logistic",248966851,10000,10,10,0.5,2,0,0.0024,0.00113953816677219,0.0036604618332278,0.0294,0.0260890709064675,0.0327109290935325,0.0294,0.0266211845107852,0.0321788154892148,294,294,24
"Mood","Logistic",33220,10000,10,10,1,2,0,0.0033,0.00182264434886653,0.00477735565113347,0.046,0.0418940923731774,0.0501059076268226,0.046,0.042553970384631,0.049446029615369,460,460,33
"Mood","Logistic",145168047,10000,10,10,1.5,2,0,0.007,0.00485232034567536,0.00914767965432464,0.0736,0.0684820710588755,0.0787179289411245,0.0736,0.0693045953529848,0.0778954046470152,736,736,70
"Mood","Logistic",68019174,10000,10,10,2,2,0,0.0123,0.00946070223032243,0.0151392977696776,0.1151,0.108844805320504,0.121355194679496,0.1151,0.109850104465423,0.120349895534577,1151,1151,123
"Mood","Logistic",10407535,10000,10,10,2.5,2,0,0.0242,0.0202414699275696,0.0281585300724304,0.1854,0.177783014319667,0.193016985680333,0.1854,0.179007172732578,0.191792827267422,1854,1854,242
"Mood","Logistic",5530147,10000,10,10,3,2,0,0.0455,0.0401316660616538,0.0508683339383462,0.2569,0.248336293901447,0.265463706098553,0.2569,0.249712603810143,0.264087396189857,2569,2569,455
"Mood","Logistic",2289827,10000,10,10,5,2,0,0.2276,0.216799269738419,0.238400730261581,0.6342,0.624759585989079,0.643640414010921,0.6342,0.626276795383691,0.642123204616309,6342,6342,2276
