"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"Mood","Normal",9208325,10000,10,10,0,1,1,0.0015,0.000503068031207746,0.00249693196879225,0.0266,0.0234461389139025,0.0297538610860975,0.0266,0.0239530094455968,0.0292469905544032,266,266,15
"Mood","Normal",22337,10000,10,10,0,3,1,0.0015,0.000503068031207746,0.00249693196879225,0.0243,0.0212820130282587,0.0273179869717413,0.0243,0.0217670466487172,0.0268329533512828,243,243,15
"Mood","Normal",2634941,10000,10,10,0,5,1,0.001,0.00018580467797954,0.00181419532202046,0.0229,0.0199681393869421,0.0258318606130579,0.0229,0.0204393312711836,0.0253606687288164,229,229,10
"Mood","Normal",24441,10000,10,10,0.5,1,0,0.0085,0.00613516044552701,0.010864839554473,0.0843,0.0788543908695537,0.0897456091304463,0.0843,0.0797295780512326,0.0888704219487674,843,843,85
"Mood","Normal",1037810,10000,10,10,1.5,1,0,0.2252,0.214439688155407,0.235960311844593,0.6334,0.623955231200797,0.642844768799203,0.6334,0.625473140472097,0.641326859527903,6334,6334,2252
"Mood","Normal",3996312,10000,10,10,2,1,0,0.513,0.50012435417598,0.52587564582402,0.88,0.873630753890765,0.886369246109235,0.88,0.874654382729749,0.885345617270251,8800,8800,5130
"Mood","Normal",45607,10000,10,10,2.5,1,0,0.7836,0.772992288477117,0.794207711522883,0.9777,0.974805914812311,0.980594085187689,0.9777,0.975271035646047,0.980128964353953,9777,9777,7836
"Mood","Normal",637787,10000,10,10,0.5,3,0,0.0018,0.000708079815840004,0.00289192018416,0.0302,0.0268457098048022,0.0335542901951978,0.0302,0.0273847921576019,0.0330152078423981,302,302,18
"Mood","Normal",394910,10000,10,10,1.5,3,0,0.0079,0.00561946296632043,0.0101805370336796,0.0846,0.0791456034784405,0.0900543965215595,0.0846,0.0800222029194054,0.0891777970805945,846,846,79
"Mood","Normal",31521,10000,10,10,2,3,0,0.0179,0.0144845319294152,0.0213154680705848,0.1301,0.123506296943416,0.136693703056584,0.1301,0.124565999220367,0.135634000779633,1301,1301,179
"Mood","Normal",313085299,10000,10,10,2.5,3,0,0.0319,0.0273730957334549,0.0364269042665451,0.2116,0.203594523060404,0.219605476939596,0.2116,0.204881117568554,0.218318882431446,2116,2116,319
"Mood","Normal",283834,10000,10,10,0.5,5,0,0.0012,0.00030818299620606,0.00209181700379394,0.0239,0.0209063420425172,0.0268936579574828,0.0239,0.0213874656428269,0.0264125343571731,239,239,12
