"method","distribution","seed","N","n1","n2","delta","sd1","sd2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"Mood","Normal2Var",13418354,10000,10,10,0.5,1,3,0,0.0063,0.00426181416817406,0.00833818583182594,0.0576,0.0530334843350318,0.0621665156649682,0.0576,0.0537673886383303,0.0614326113616697,576,576,63
"Mood","Normal2Var",3696950,10000,10,10,1.5,1,3,0,0.0386,0.0336376022651238,0.0435623977348762,0.2024,0.194524939515254,0.210275060484746,0.2024,0.195790574236017,0.209009425763983,2024,2024,386
"Mood","Normal2Var",63654459,10000,10,10,2,1,3,0,0.0789,0.0719555516613122,0.0858444483386878,0.3214,0.312246526359551,0.330553473640449,0.3214,0.31371762033748,0.32908237966252,3214,3214,789
"Mood","Normal2Var",36841,10000,10,10,2.5,1,3,0,0.1495,0.140314482815562,0.158685517184438,0.4681,0.458319965493803,0.477880034506197,0.4681,0.459891756753728,0.476308243246272,4681,4681,1495
"Mood","Normal2Var",3003543,10000,10,10,0.5,3,5,0,9e-04,0.00012754783828123,0.00167245216171877,0.0293,0.0259945362682976,0.0326054637317024,0.0293,0.0265257715108926,0.0320742284891074,293,293,9
"Mood","Normal2Var",94617705,10000,10,10,1.5,3,5,0,0.0056,0.00367770325743812,0.00752229674256188,0.0626,0.0578520546382251,0.0673479453617749,0.0626,0.0586151172856532,0.0665848827143468,626,626,56
"Mood","Normal2Var",713272,10000,10,10,2,3,5,0,0.0104,0.00778668132697445,0.0130133186730255,0.0897,0.0840992709344586,0.0953007290655414,0.0897,0.0849993881057063,0.0944006118942937,897,897,104
"Mood","Normal2Var",77339,10000,10,10,2.5,3,5,0,0.016,0.0127677614979089,0.0192322385020911,0.1321,0.12546345070881,0.13873654929119,0.1321,0.126530038987751,0.137669961012249,1321,1321,160
"Mood","Normal2Var",206667,10000,10,10,0.5,1,5,0,0.0083,0.00596291202152422,0.0106370879784758,0.0613,0.0565983562651345,0.0660016437348655,0.0613,0.0573539775796665,0.0652460224203335,613,613,83
"Mood","Normal2Var",13796031,10000,10,10,1.5,1,5,0,0.0239,0.0199654781130226,0.0278345218869774,0.131,0.124386953029049,0.137613046970951,0.131,0.125449764149381,0.136550235850619,1310,1310,239
