"method","distribution","seed","N","n1","n2","delta","sd","g1","g2","h","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"Mood","ghEqual",145421775,10000,10,10,0,3,1,1,0,1,0.0011,0.000246107482698203,0.0019538925173018,0.0215,0.0186571384064644,0.0243428615935356,0.0215,0.019114026876854,0.023885973123146,215,215,11
"Mood","ghEqual",576108,10000,10,10,0,3,3,3,0,1,0.0013,0.000371813901280567,0.00222818609871943,0.0237,0.0207185887285381,0.0266814112714619,0.0237,0.0211977441114516,0.0262022558885484,237,237,13
"Mood","ghEqual",105520560,10000,10,10,0,3,-3,-3,0,1,0.0012,0.00030818299620606,0.00209181700379394,0.0238,0.0208124584673013,0.0267875415326988,0.0238,0.0212925990707707,0.0263074009292293,238,238,12
"Mood","ghEqual",81689377,10000,10,10,0,3,-1,-1,0,1,0.0012,0.00030818299620606,0.00209181700379394,0.0252,0.0221280502879116,0.0282719497120884,0.0252,0.0226217564916401,0.0277782435083599,252,252,12
"Mood","ghEqual",166984,10000,10,10,0.5,3,1,1,0,0,0.0017,0.000638791170063121,0.00276120882993688,0.0306,0.0272242654218082,0.0339757345781918,0.0306,0.0277667941933033,0.0334332058066967,306,306,17
"Mood","ghEqual",2795179,10000,10,10,0.5,3,3,3,0,0,0.005,0.00318305240581903,0.00681694759418097,0.0453,0.0412239581570352,0.0493760418429648,0.0453,0.0418790363103688,0.0487209636896312,453,453,50
"Mood","ghEqual",16991,10000,10,10,0.5,3,1,3,0,0,0.0061,0.0040942254270472,0.0081057745729528,0.0507,0.0464000659817155,0.0549999340182845,0.0507,0.0470911268060827,0.0543088731939173,507,507,61
"Mood","ghEqual",39701,10000,10,10,0.5,3,-1,1,0,0,0.0028,0.00143881858974786,0.00416118141025214,0.0389,0.0351102098677631,0.0426897901322369,0.0389,0.0357192832818726,0.0420807167181274,389,389,28
"Mood","ghEqual",97791,10000,10,10,0.5,3,-3,3,0,0,0.011,0.00831316902087236,0.0136868309791276,0.0786,0.0733253767066832,0.0838746232933168,0.0786,0.0741730840216806,0.0830269159783194,786,786,110
"Mood","ghEqual",45695195,10000,10,10,0.5,3,-1,3,0,0,0.0071,0.00493714308998861,0.00926285691001139,0.0549,0.0504354146980487,0.0593645853019513,0.0549,0.0511529373358623,0.0586470626641377,549,549,71
"Mood","ghEqual",2424973,10000,10,10,0.5,3,1,-3,0,0,0.0016,0.000570424649992046,0.00262957535000795,0.0293,0.0259945362682976,0.0326054637317024,0.0293,0.0265257715108926,0.0320742284891074,293,293,16
"Mood","ghEqual",3838080,10000,10,10,1,3,1,1,0,0,0.0044,0.00269503824744835,0.00610496175255165,0.0515,0.0471681006890741,0.0558318993109259,0.0515,0.0478642987926158,0.0551357012073842,515,515,44
"Mood","ghEqual",469240,10000,10,10,1,3,3,3,0,0,0.0145,0.011420656237183,0.017579343762817,0.093,0.087307524250381,0.098692475749619,0.093,0.0882223864244269,0.0977776135755731,930,930,145
"Mood","ghEqual",21205423,10000,10,10,1,3,1,3,0,0,0.0139,0.0108841222153569,0.0169158777846431,0.0951,0.08935028095309,0.10084971904691,0.0951,0.0902743429427719,0.0999256570572281,951,951,139
"Mood","ghEqual",744927,10000,10,10,1,3,-1,1,0,0,0.0069,0.00476760873419909,0.00903239126580091,0.0716,0.0665466410467492,0.0766533589532508,0.0716,0.0673587880213788,0.0758412119786212,716,716,69
"Mood","ghEqual",92401272,10000,10,10,1,3,-3,3,0,0,0.0316,0.0270937343496256,0.0361062656503744,0.1698,0.162441042769957,0.177158957230043,0.1698,0.163623732324785,0.175976267675215,1698,1698,316
"Mood","ghEqual",2829512,10000,10,10,1,3,-1,3,0,0,0.0191,0.0155740600663449,0.0226259399336551,0.1149,0.108649536030149,0.121150463969851,0.1149,0.109654074882447,0.120145925117553,1149,1149,191
"Mood","ghEqual",100975478,10000,10,10,1,3,1,-3,0,0,0.0023,0.00106601533457826,0.00353398466542174,0.0376,0.0338715544849898,0.0413284455150102,0.0376,0.0344707689427593,0.0407292310572407,376,376,23
"Mood","ghEqual",966494,10000,10,10,1.5,3,1,1,0,0,0.0107,0.00804965901805522,0.0133503409819448,0.0986,0.0927567656348218,0.104443234365178,0.0986,0.0936958568720825,0.103504143127917,986,986,107
"Mood","ghEqual",30106834,10000,10,10,1.5,3,3,3,0,0,0.0315,0.0270006378756095,0.0359993621243905,0.1559,0.148789893939582,0.163010106060419,0.1559,0.149932589556434,0.161867410443566,1559,1559,315
"Mood","ghEqual",174206156,10000,10,10,1.5,3,1,3,0,0,0.036,0.0312011671178921,0.0407988328821079,0.1764,0.168929261572883,0.183870738427117,0.1764,0.170129915962956,0.182670084037044,1764,1764,360
"Mood","ghEqual",2946208,10000,10,10,1.5,3,-1,1,0,0,0.0194,0.0158470207748336,0.0229529792251664,0.1306,0.123995537512984,0.137204462487016,0.1306,0.125056968984112,0.136143031015888,1306,1306,194
"Mood","ghEqual",241601,10000,10,10,1.5,3,-3,3,0,0,0.1534,0.144116800781468,0.162683199218532,0.492,0.482201254480292,0.501798745519708,0.492,0.483776052867388,0.500223947132612,4920,4920,1534
"Mood","ghEqual",315927,10000,10,10,1.5,3,-1,3,0,0,0.0527,0.04694434260164,0.05845565739836,0.226,0.217802512345846,0.234197487654154,0.226,0.219119965718835,0.232880034281165,2260,2260,527
"Mood","ghEqual",961710,10000,10,10,1.5,3,1,-3,0,0,0.005,0.00318305240581903,0.00681694759418097,0.0556,0.0511087062952419,0.0600912937047581,0.0556,0.0518305213549351,0.0593694786450649,556,556,50
"Mood","ghEqual",9051230,10000,10,10,2,3,1,1,0,0,0.0245,0.0205176214713315,0.0284823785286685,0.1575,0.150360277946586,0.164639722053414,0.1575,0.151507733276599,0.163492266723401,1575,1575,245
"Mood","ghEqual",364269,10000,10,10,2,3,3,3,0,0,0.0535,0.0477032701792821,0.0592967298207179,0.2137,0.205665618119009,0.221734381880991,0.2137,0.206956858064168,0.220443141935832,2137,2137,535
"Mood","ghEqual",2226719,10000,10,10,2,3,1,3,0,0,0.0719,0.0652456185829738,0.0785543814170262,0.2576,0.249028674611333,0.266171325388667,0.2576,0.250406209048798,0.264793790951202,2576,2576,719
"Mood","ghEqual",9086059,10000,10,10,2,3,-1,1,0,0,0.0464,0.0409813890515831,0.0518186109484169,0.2368,0.228467676916874,0.245132323083126,0.2368,0.229806800269519,0.243793199730481,2368,2368,464
"Mood","ghEqual",5437569,10000,10,10,2,3,-3,3,0,0,0.9216,0.914675712,0.928524288,0.9947,0.993276884774307,0.996123115225693,0.9947,0.993505599721293,0.995894400278707,9947,9947,9216
