"method","distribution","seed","N","n1","n2","delta","sd","g1","g2","h","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"Mood","ghEqualK",293659,10000,10,10,0,3,1,1,0.2,1,0.0012,0.00030818299620606,0.00209181700379394,0.0244,0.0213759645335413,0.0274240354664587,0.0244,0.0218619702335079,0.0269380297664921,244,244,12
"Mood","ghEqualK",28185,10000,10,10,0,3,3,3,0.2,1,0.0016,0.000570424649992046,0.00262957535000795,0.0257,0.0225985200046429,0.0288014799953571,0.0257,0.0230969721467539,0.0283030278532461,257,257,16
"Mood","ghEqualK",6942522,10000,10,10,0,3,-3,-3,0.2,1,0.0011,0.000246107482698203,0.0019538925173018,0.0212,0.0183766092849908,0.0240233907150092,0.0212,0.0188303685070459,0.0235696314929541,212,212,11
"Mood","ghEqualK",215993,10000,10,10,0,3,-1,-1,0.2,1,0.0014,0.000436823989135942,0.00236317601086406,0.0243,0.0212820130282587,0.0273179869717413,0.0243,0.0217670466487172,0.0268329533512828,243,243,14
"Mood","ghEqualK",116818,10000,10,10,0.5,3,1,1,0.2,0,0.0013,0.000371813901280567,0.00222818609871943,0.0312,0.0277923856894302,0.0346076143105698,0.0312,0.0283400379893432,0.0340599620106568,312,312,13
"Mood","ghEqualK",10497557,10000,10,10,0.5,3,3,3,0.2,0,0.0032,0.00174512774259181,0.00465487225740819,0.0448,0.0407454539694807,0.0488545460305193,0.0448,0.0413970774386713,0.0482029225613287,448,448,32
"Mood","ghEqualK",6157549,10000,10,10,0.5,3,1,3,0.2,0,0.0059,0.00392718254677631,0.00787281745322369,0.0509,0.0465920470719378,0.0552079529280622,0.0509,0.0472843966496621,0.0545156033503379,509,509,59
"Mood","ghEqualK",124182,10000,10,10,0.5,3,-1,1,0.2,0,0.0026,0.00128820124431222,0.00391179875568778,0.0389,0.0351102098677631,0.0426897901322369,0.0389,0.0357192832818726,0.0420807167181274,389,389,26
"Mood","ghEqualK",195344,10000,10,10,0.5,3,-3,3,0.2,0,0.009,0.00656721381654696,0.011432786183453,0.0745,0.0693533762562239,0.0796466237437761,0.0745,0.0701805122150451,0.0788194877849549,745,745,90
"Mood","ghEqualK",898415,10000,10,10,0.5,3,-1,3,0.2,0,0.0056,0.00367770325743812,0.00752229674256188,0.0542,0.049762326260573,0.058637673739427,0.0542,0.0504755238258381,0.0579244761741619,542,542,56
"Mood","ghEqualK",325489208,10000,10,10,0.5,3,1,-3,0.2,0,0.0024,0.00113953816677219,0.0036604618332278,0.0313,0.0278871052917501,0.0347128947082499,0.0313,0.0284356062270046,0.0341643937729954,313,313,24
"Mood","ghEqualK",96212,10000,10,10,1,3,1,1,0.2,0,0.0054,0.00351215225264748,0.00728784774735252,0.0541,0.0496661875693259,0.0585338124306741,0.0541,0.0503787645671128,0.0578212354328872,541,541,54
"Mood","ghEqualK",100128,10000,10,10,1,3,3,3,0.2,0,0.0115,0.00875347778774684,0.0142465222122532,0.0859,0.0804077599879102,0.0913922400120898,0.0859,0.0812904414184246,0.0905095585815754,859,859,115
"Mood","ghEqualK",842300,10000,10,10,1,3,1,3,0.2,0,0.0131,0.0101710087046794,0.0160289912953206,0.0947,0.0889611176571043,0.100438882342896,0.0947,0.0898834380336411,0.0995165619663589,947,947,131
"Mood","ghEqualK",17077,10000,10,10,1,3,-1,1,0.2,0,0.0053,0.00342961998908885,0.00717038001091115,0.0656,0.060747400982731,0.070452599017269,0.0656,0.0615272829676492,0.0696727170323508,656,656,53
"Mood","ghEqualK",7694544,10000,10,10,1,3,-3,3,0.2,0,0.0268,0.0226397990788213,0.0309602009211787,0.1564,0.149280610868452,0.163519389131548,0.1564,0.150424798407451,0.162375201592549,1564,1564,268
"Mood","ghEqualK",727717,10000,10,10,1,3,-1,3,0.2,0,0.0181,0.0146658538321056,0.0215341461678944,0.1172,0.110895494332971,0.123504505667029,0.1172,0.111908718458029,0.122491281541971,1172,1172,181
"Mood","ghEqualK",58430,10000,10,10,1,3,1,-3,0.2,0,0.0023,0.00106601533457826,0.00353398466542174,0.0404,0.0365408480964854,0.0442591519035146,0.0404,0.0371610689381217,0.0436389310618783,404,404,23
"Mood","ghEqualK",97598,10000,10,10,1.5,3,1,1,0.2,0,0.0105,0.00787428002833509,0.0131257199716649,0.0867,0.0811846592546244,0.0922153407453756,0.0867,0.0820710533029884,0.0913289466970116,867,867,105
"Mood","ghEqualK",15144786,10000,10,10,1.5,3,3,3,0.2,0,0.0263,0.0221777310992785,0.0304222689007215,0.1437,0.136824608586444,0.150575391413556,0.1437,0.13792958220648,0.14947041779352,1437,1437,263
"Mood","ghEqualK",907254,10000,10,10,1.5,3,1,3,0.2,0,0.0324,0.0278389346618773,0.0369610653381227,0.1604,0.153207258238029,0.167592741761971,0.1604,0.154363234592632,0.166436765407368,1604,1604,324
"Mood","ghEqualK",173451830,10000,10,10,1.5,3,-1,1,0.2,0,0.0141,0.0110628107899994,0.0171371892100006,0.1272,0.120669341176757,0.133730658823243,0.1272,0.121718911344778,0.132681088655222,1272,1272,141
"Mood","ghEqualK",439646,10000,10,10,1.5,3,-3,3,0.2,0,0.1113,0.103198395635415,0.119401604364585,0.4042,0.394581563650073,0.413818436349927,0.4042,0.39612738377774,0.41227261622226,4042,4042,1113
"Mood","ghEqualK",111280128,10000,10,10,1.5,3,-1,3,0.2,0,0.0405,0.0354219630129744,0.0455780369870256,0.2166,0.208526216842743,0.224673783157257,0.2166,0.209823789135874,0.223376210864126,2166,2166,405
"Mood","ghEqualK",7664734,10000,10,10,1.5,3,1,-3,0.2,0,0.0039,0.00229442856754861,0.00550557143245139,0.0522,0.0478403695723605,0.0565596304276395,0.0522,0.0485410244625169,0.0558589755374831,522,522,39
"Mood","ghEqualK",30856463,10000,10,10,2,3,1,1,0.2,0,0.0214,0.0176721764201744,0.0251278235798256,0.1494,0.142412946650955,0.156387053349045,0.1494,0.143535865939194,0.155264134060806,1494,1494,214
"Mood","ghEqualK",2780689,10000,10,10,2,3,3,3,0.2,0,0.0483,0.0427770710186771,0.0538229289813229,0.1993,0.191470308782487,0.207129691217513,0.1993,0.192728652013873,0.205871347986127,1993,1993,483
"Mood","ghEqualK",5500474,10000,10,10,2,3,1,3,0.2,0,0.068,0.0615150255222091,0.074484974477791,0.2615,0.252886747719938,0.270113252280062,0.2615,0.254271020407805,0.268728979592195,2615,2615,680
"Mood","ghEqualK",34876978,10000,10,10,2,3,-1,1,0.2,0,0.0344,0.0297051285160013,0.0390948714839987,0.2193,0.211190063067964,0.227409936932036,0.2193,0.212493445789184,0.226106554210816,2193,2193,344
"Mood","ghEqualK",407215,10000,10,10,2,3,-3,3,0.2,0,0.6388,0.626426225896605,0.651173774103395,0.935,0.930168093130037,0.939831906869964,0.935,0.930944649591281,0.939055350408719,9350,9350,6388
"Mood","ghEqualK",244874,10000,10,10,2,3,-1,3,0.2,0,0.1074,0.0994241598635238,0.115375840136476,0.3898,0.380240986159985,0.399359013840015,0.3898,0.381777256241416,0.397822743758584,3898,3898,1074
"Mood","ghEqualK",2392000,10000,10,10,2,3,1,-3,0.2,0,0.007,0.00485232034567536,0.00914767965432464,0.076,0.0708060369812637,0.0811939630187363,0.076,0.0716407810378463,0.0803592189621537,760,760,70
"Mood","ghEqualK",3522545,10000,10,10,2.5,3,1,1,0.2,0,0.0402,0.035140014666494,0.045259985333506,0.2259,0.217703796730778,0.234096203269222,0.2259,0.21902104368476,0.23277895631524,2259,2259,402
"Mood","ghEqualK",20215,10000,10,10,2.5,3,3,3,0.2,0,0.0803,0.0732995376443255,0.0873004623556745,0.2812,0.272388136446267,0.290011863553733,0.2812,0.273804328803117,0.288595671196883,2812,2812,803
"Mood","ghEqualK",308755938,10000,10,10,2.5,3,1,3,0.2,0,0.1,0.092272,0.107728,0.3401,0.330814646303,0.349385353697,0.3401,0.332306935290017,0.347893064709983,3401,3401,1000
"Mood","ghEqualK",215372,10000,10,10,2.5,3,-1,1,0.2,0,0.0769,0.0700366933400245,0.0837633066599755,0.3449,0.335583421057148,0.354216578942852,0.3449,0.337080728387249,0.352719271612751,3449,3449,769
"Mood","ghEqualK",6510678,10000,10,10,2.5,3,-3,3,0.2,0,0.9066,0.899104041833645,0.914095958166355,0.9928,0.991142882881146,0.994457117118854,0.9928,0.991409205275247,0.994190794724753,9928,9928,9066
"Mood","ghEqualK",65388,10000,10,10,2.5,3,-1,3,0.2,0,0.258,0.24672912419403,0.26927087580597,0.6313,0.621843933127901,0.640756066872099,0.6313,0.623363658160917,0.639236341839083,6313,6313,2580
"Mood","ghEqualK",3601273,10000,10,10,2.5,3,1,-3,0.2,0,0.0117,0.00892997819822009,0.0144700218017799,0.1101,0.103964918530419,0.116235081469581,0.1101,0.104950913766601,0.115249086233399,1101,1101,117
