"method","distribution","seed","N","n1","n2","delta","scale","lambda3","lambda4","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"SmoothFixed_4_asymp","GLDLS",29118,10000,10,10,0,2,-0.002,-0.002,1,0.0025,0.00121361100750978,0.00378638899249022,0.0273,0.0241060592689281,0.0304939407310719,0.0727,0.0684288656000103,0.0769711343999897,727,273,25
"SmoothFixed_4_asymp","GLDLS",14382692,10000,10,10,0,2,-0.02,-0.02,1,0.0011,0.000246107482698203,0.0019538925173018,0.0271,0.0239174530554287,0.0302825469445713,0.0763,0.0719328949083203,0.0806671050916797,763,271,11
"SmoothFixed_4_asymp","GLDLS",27642082,10000,10,10,0,2,-0.05,-0.05,1,0.0013,0.000371813901280567,0.00222818609871943,0.0246,0.0215639074891565,0.0276360925108435,0.0706,0.0663862420307877,0.0748137579692123,706,246,13
"SmoothFixed_4_asymp","GLDLS",43693388,10000,10,10,0,2,-0.1,-0.1,1,0.0019,0.000778214849062442,0.00302178515093756,0.0274,0.0242003793914903,0.0305996206085097,0.0758,0.0714460495005226,0.0801539504994775,758,274,19
"SmoothFixed_4_asymp","GLDLS",46118441,10000,10,10,0,2,-0.2,-0.2,1,0.0015,0.000503068031207746,0.00249693196879225,0.0257,0.0225985200046429,0.0288014799953571,0.0734,0.069109972459867,0.0776900275401331,734,257,15
"SmoothFixed_4_asymp","GLDLS",25161,10000,10,10,0.5,2,-0.002,-0.002,0,0.0094,0.00691424141894994,0.0118857585810501,0.0794,0.0741009037504118,0.0846990962495882,0.1726,0.166383526935062,0.178816473064938,1726,794,94
"SmoothFixed_4_asymp","GLDLS",3085526,10000,10,10,0.5,2,-0.002,-0.02,0,0.0097,0.00717526898390819,0.0122247310160918,0.0791,0.07381006239447,0.08438993760553,0.1728,0.166580678120052,0.179019321879948,1728,791,97
"SmoothFixed_4_asymp","GLDLS",132311,10000,10,10,0.5,2,-0.002,-0.05,0,0.0093,0.00682737409756834,0.0117726259024317,0.0786,0.0733253767066832,0.0838746232933168,0.1634,0.157317937782701,0.169482062217299,1634,786,93
"SmoothFixed_4_asymp","GLDLS",3979629,10000,10,10,0.5,2,-0.002,-0.1,0,0.0084,0.00604899387398841,0.0107510061260116,0.0725,0.067417445622524,0.077582554377476,0.164,0.157908966823272,0.170091033176728,1640,725,84
"SmoothFixed_4_asymp","GLDLS",49721381,10000,10,10,0.5,2,-0.002,-0.2,0,0.0084,0.00604899387398841,0.0107510061260116,0.0719,0.0668368837044366,0.0769631162955634,0.1568,0.150818580938406,0.162781419061594,1568,719,84
