"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"SmoothFixed_4_asymp","Normal",74806,10000,10,10,0,1,1,0.0024,0.00113953816677219,0.0036604618332278,0.0302,0.0268457098048022,0.0335542901951978,0.0751,0.0707645591984234,0.0794354408015766,751,302,24
"SmoothFixed_4_asymp","Normal",460513,10000,10,10,0,3,1,0.002,0.000849130376801959,0.00315086962319804,0.0269,0.0237288926252175,0.0300711073747825,0.0735,0.0692072827493096,0.0777927172506904,735,269,20
"SmoothFixed_4_asymp","Normal",1171379,10000,10,10,0,5,1,0.0021,0.000920768647472431,0.00327923135252757,0.028,0.0247665345896392,0.0312334654103608,0.0734,0.069109972459867,0.0776900275401331,734,280,21
"SmoothFixed_4_asymp","Normal",2343920,10000,10,10,0.5,1,0,0.006,0.00401063406925724,0.00798936593074276,0.0549,0.0504354146980487,0.0593645853019513,0.1315,0.125940782189069,0.137059217810931,1315,549,60
"SmoothFixed_4_asymp","Normal",71659,10000,10,10,1.5,1,0,0.1438,0.134761155533308,0.152838844466692,0.4835,0.473705337553545,0.493294662446455,0.6775,0.669810724677554,0.685189275322446,6775,4835,1438
"SmoothFixed_4_asymp","Normal",109721580,10000,10,10,2,1,0,0.4006,0.387977083759128,0.413222916240872,0.7953,0.787391748290197,0.803208251709803,0.9134,0.908773470327005,0.918026529672995,9134,7953,4006
"SmoothFixed_4_asymp","Normal",43227,10000,10,10,2.5,1,0,0.7172,0.70559872553058,0.72880127446942,0.9577,0.95375505458167,0.96164494541833,0.9899,0.988255165330808,0.991544834669192,9899,9577,7172
"SmoothFixed_4_asymp","Normal",42159430,10000,10,10,0.5,3,0,0.0022,0.000993078708276302,0.0034069212917237,0.031,0.027602974501126,0.034397025498874,0.0772,0.0728093547858658,0.0815906452141343,772,310,22
"SmoothFixed_4_asymp","Normal",2287904,10000,10,10,1.5,3,0,0.0041,0.00245394003130384,0.00574605996869616,0.0542,0.049762326260573,0.058637673739427,0.1315,0.125940782189069,0.137059217810931,1315,542,41
"SmoothFixed_4_asymp","Normal",113243,10000,10,10,2,3,0,0.0093,0.00682737409756834,0.0117726259024317,0.0856,0.0801164594118034,0.0910835405881966,0.183,0.17663933569684,0.18936066430316,1830,856,93
"SmoothFixed_4_asymp","Normal",67002,10000,10,10,2.5,3,0,0.0181,0.0146658538321056,0.0215341461678944,0.1231,0.116660381596523,0.129539618403477,0.2493,0.242183601663779,0.256416398336221,2493,1231,181
"SmoothFixed_4_asymp","Normal",379958,10000,10,10,0.5,5,0,0.0018,0.000708079815840004,0.00289192018416,0.0279,0.0246721477706686,0.0311278522293314,0.0743,0.0699858480144094,0.0786141519855906,743,279,18
"SmoothFixed_4_asymp","Normal",44977,10000,10,10,1.5,5,0,0.0025,0.00121361100750978,0.00378638899249022,0.0372,0.0334906690595742,0.0409093309404258,0.0945,0.0896879953995892,0.0993120046004108,945,372,25
"SmoothFixed_4_asymp","Normal",1432242,10000,10,10,2,5,0,0.0047,0.00293813840191234,0.00646186159808766,0.0446,0.0405540909186686,0.0486459090813314,0.1038,0.0987827348983834,0.108817265101617,1038,446,47
"SmoothFixed_4_asymp","Normal",4256836,10000,10,10,2.5,5,0,0.0055,0.00359484814841441,0.00740515185158559,0.0583,0.0537075267646289,0.0628924732353711,0.1322,0.126628252167955,0.137771747832045,1322,583,55
"SmoothFixed_4_asymp","Normal",8874037,10000,10,10,1,1,0,0.0308,0.0263493041189567,0.0352506958810433,0.1832,0.175618124118557,0.190781875881443,0.3379,0.330119244075093,0.345680755924907,3379,1832,308
"SmoothFixed_4_asymp","Normal",164205,10000,10,10,1,3,0,0.0027,0.00136327937126114,0.00403672062873885,0.0361,0.0324438360476587,0.0397561639523413,0.0921,0.0873432018228671,0.0968567981771329,921,361,27
"SmoothFixed_4_asymp","Normal",186756,10000,10,10,1,5,0,0.0023,0.00106601533457826,0.00353398466542174,0.0334,0.0298782972200369,0.0369217027799631,0.0795,0.0750499861461592,0.0839500138538408,795,334,23
"SmoothFixed_4_asymp","Normal",305048960,10000,10,10,5,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"SmoothFixed_4_asymp","Normal",8021457,10000,10,10,5,3,0,0.2234,0.212670335655141,0.234129664344859,0.6071,0.597527459726154,0.616672540273846,0.7859,0.779152267146146,0.792647732853854,7859,6071,2234
"SmoothFixed_4_asymp","Normal",2605638,10000,10,10,5,5,0,0.0333,0.0286781714100222,0.0379218285899778,0.1861,0.178471928025615,0.193728071974385,0.3438,0.335986655892647,0.351613344107353,3438,1861,333
"SmoothFixed_4_asymp","Normal",158324690,10000,20,20,0,1,1,0.0042,0.0025340707064416,0.0058659292935584,0.0396,0.0357776562616112,0.0434223437383888,0.094,0.0891994176072064,0.0988005823927936,940,396,42
"SmoothFixed_4_asymp","Normal",508499,10000,20,20,0,3,1,0.0042,0.0025340707064416,0.0058659292935584,0.0374,0.0336810974255299,0.0411189025744701,0.0912,0.0864641549917253,0.0959358450082747,912,374,42
"SmoothFixed_4_asymp","Normal",51290379,10000,20,20,0,5,1,0.0035,0.00197868715433018,0.00502131284566982,0.0398,0.0359684150546282,0.0436315849453718,0.092,0.0872455231160516,0.0967544768839484,920,398,35
"SmoothFixed_4_asymp","Normal",50019014,10000,20,20,0.5,1,0,0.0299,0.0255127770480834,0.0342872229519166,0.1485,0.141530339488899,0.155469660511101,0.2654,0.258136568860993,0.272663431139007,2654,1485,299
"SmoothFixed_4_asymp","Normal",636270,10000,20,20,1.5,1,0,0.7712,0.760379249604419,0.78202075039558,0.9447,0.940220128110582,0.949179871889418,0.9801,0.977802647512031,0.982397352487968,9801,9447,7712
