"method","distribution","seed","N","n1","n2","delta","sd1","sd2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"SmoothFixed_4_asymp","Normal2Var",137007155,10000,10,10,0.5,1,3,0,0.0736,0.0668735791059506,0.0803264208940494,0.2886,0.279719014414695,0.297480985585305,0.47,0.461789818348538,0.478210181651462,4700,2886,736
"SmoothFixed_4_asymp","Normal2Var",156256,10000,10,10,1.5,1,3,0,0.1091,0.101068942904764,0.117131057095236,0.3999,0.3902984005,0.4095015995,0.5912,0.583112979229506,0.599287020770494,5912,3999,1091
"SmoothFixed_4_asymp","Normal2Var",306395,10000,10,10,2,1,3,0,0.1586,0.149189803245803,0.168010196754197,0.4875,0.477703062978665,0.497296937021335,0.6731,0.665383627975209,0.680816372024791,6731,4875,1586
"SmoothFixed_4_asymp","Normal2Var",5949510,10000,10,10,2.5,1,3,0,0.215,0.204417216366192,0.225582783633808,0.589,0.579356501224141,0.598643498775859,0.7626,0.755600699167267,0.769599300832733,7626,5890,2150
"SmoothFixed_4_asymp","Normal2Var",2203397,10000,10,10,0.5,3,5,0,0.0091,0.00665385910075809,0.0115461408992419,0.0658,0.0609405295044007,0.0706594704955993,0.1523,0.146389326832942,0.158210673167058,1523,658,91
"SmoothFixed_4_asymp","Normal2Var",6779661,10000,10,10,1.5,3,5,0,0.0123,0.00946070223032243,0.0151392977696776,0.0893,0.0837105449351838,0.0948894550648162,0.1896,0.183151855147905,0.196048144852095,1896,893,123
"SmoothFixed_4_asymp","Normal2Var",34914922,10000,10,10,2,3,5,0,0.0153,0.0121381333994591,0.0184618666005409,0.1103,0.104160038854716,0.116439961145284,0.2234,0.216548176301516,0.230251823698483,2234,1103,153
"SmoothFixed_4_asymp","Normal2Var",174059,10000,10,10,2.5,3,5,0,0.0197,0.0161202023954955,0.0232797976045045,0.1307,0.12409338947405,0.137306610525951,0.2492,0.242084555209658,0.256315444790342,2492,1307,197
"SmoothFixed_4_asymp","Normal2Var",113678,10000,10,10,0.5,1,5,0,0.2382,0.227226700787139,0.249173299212861,0.5911,0.581464037386623,0.600735962613377,0.7702,0.763279417159234,0.777120582840766,7702,5911,2382
"SmoothFixed_4_asymp","Normal2Var",844390,10000,10,10,1.5,1,5,0,0.2544,0.24318091697786,0.26561908302214,0.6144,0.604859960179203,0.623940039820797,0.7869,0.780163762359078,0.793636237640922,7869,6144,2544
